#Study : TianlinLiu
#Date : 20180411 09:06:18
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:47:49.742 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	664ea0ccc_19__utterance_395	0	MALE	recording	TestImage	Emotient FACET	20180320_144749825	83			0	83	1	392	206	386	386	-2.698321	0	-2.788486	0	-0.6322969	0	-1.809327	0	-0.5938242	0	-1.799729	0	-1.43242	0	-1.885617	0	-2.203959	0	2.148609	0	-2.698321	0	-0.5938242	0	-0.7143686	-0.5054627	-1.4803	-0.7131138	-1.606507	-1.238487	-3.21993	-0.804565	-1.407343	-0.6535626	-0.7879837	-0.7980041	0.04530853	-0.6889493	-1.140456	-0.760297	-0.8916085	-0.7497946	-2.746672	-2.502448						
TianlinLiu	20180411	664ea0ccc_19__utterance_395	0	MALE	recording	TestImage	Emotient FACET	20180320_144749867	125			1	125	1	394	208	383	383	-2.92672	0	-3.002396	0	-0.6346627	0	-1.891458	0	-0.7891189	0	-2.016531	0	-1.675936	0	-1.990719	0	-2.435265	0	2.394715	0	-2.92672	0	-0.7891189	0	-0.7380899	-0.5192224	-1.54898	-0.6372849	-1.64886	-1.240756	-3.496222	-0.824867	-1.456206	-0.7209822	-1.07816	-1.156634	-0.08816816	-0.759324	-1.324051	-0.9437097	-0.9361961	-0.9016031	-3.145993	-2.65924						
TianlinLiu	20180411	664ea0ccc_19__utterance_395	0	MALE	recording	TestImage	Emotient FACET	20180320_144749908	166			2	167	1	388	209	398	398	-2.337095	0	-2.568115	0	-0.4740541	0	-1.443678	0	-0.3642206	0	-1.699613	0	-1.501464	0	-1.883751	0	-2.115345	0	2.000564	0	-2.337095	0	-0.3642206	0	-0.649461	-0.4336826	-1.461842	-0.5477157	-1.611871	-1.242001	-3.120489	-0.6415215	-1.280102	-0.751735	-0.7360532	-0.7905172	0.1791808	-0.6152558	-0.9381605	-0.7109179	-0.7165205	-0.7158933	-2.515995	-2.343334						
TianlinLiu	20180411	664ea0ccc_19__utterance_395	0	MALE	recording	TestImage	Emotient FACET	20180320_144749950	208			3	209	1	389	218	391	391	-3.430892	0	-2.354858	0	-0.268464	0	-1.259765	0	-1.153399	0	-1.256095	0	-1.505509	0	-1.89802	0	-2.521371	0	2.149067	0	-3.430892	0	-1.153399	0	-0.6248213	-0.320637	-1.304413	-0.6543584	-1.300233	-0.9078884	-2.759034	0.01605196	-1.703251	-1.44499	-1.283047	-1.293081	-0.5913838	-0.6736053	-1.196705	-1.544758	-0.1755668	-0.4836009	-3.053468	-2.139917						
TianlinLiu	20180411	664ea0ccc_19__utterance_395	0	MALE	recording	TestImage	Emotient FACET	20180320_144749992	250			4	250	1	389	225	394	394	-2.510341	0	-2.196923	0	-0.1363568	0	-0.7401879	0	-1.095685	0	-0.6295044	0	-1.526322	0	-2.124743	0	-2.3943	0	1.969267	0	-2.510341	0	-0.6295044	0	-0.5052544	-0.2509283	-1.268834	-0.591755	-1.095237	-0.7708354	-2.208662	0.4372014	-1.542882	-1.409965	-1.043037	-1.17232	-0.9774491	-0.4803536	-1.189471	-1.517856	0.0732938	-0.3763506	-2.367489	-2.08884						
TianlinLiu	20180411	664ea0ccc_19__utterance_395	0	MALE	recording	TestImage	Emotient FACET	20180320_144750033	291			5	292	1	385	231	404	404	-2.387193	0	-1.553203	0	-0.7623827	0	-0.9097888	0	-0.6345818	0	-0.517799	0	-1.585851	0	-1.502957	0	-1.707309	0	1.788414	0	-2.387193	0	-0.517799	0	-0.6271383	-0.336901	-1.104137	-0.3337784	-1.015873	-0.6688893	-1.927236	0.06096252	-1.408624	-1.180731	-0.7794554	-1.014734	-0.7661884	-0.3172603	-1.097249	-1.069472	-0.5855556	-0.9436914	-2.251426	-2.127445						
TianlinLiu	20180411	664ea0ccc_19__utterance_395	0	MALE	recording	TestImage	Emotient FACET	20180320_144750075	333			6	334	1	387	240	402	402	-2.72927	0	-1.33829	0	-0.9929341	0	-1.265445	0	-0.5109304	0	-0.6224229	0	-1.424881	0	-1.393353	0	-1.627565	0	1.740736	0	-2.72927	0	-0.5109304	0	-0.7041265	-0.3273253	-1.136499	-0.3834958	-1.092073	-0.7303559	-2.064798	-0.1588002	-1.534456	-1.207047	-0.7856001	-0.7845562	-0.6697378	-0.6757525	-1.186273	-1.009223	-0.9935309	-1.261404	-2.335428	-2.441753						
TianlinLiu	20180411	664ea0ccc_19__utterance_395	0	MALE	recording	TestImage	Emotient FACET	20180320_144750117	375			7	375	1	384	245	405	405	-2.433195	0	-1.167791	0	-0.5944846	0	-1.247653	0	-0.4487974	0	-0.5093672	0	-1.390407	0	-1.640077	0	-1.601203	0	1.586555	0	-2.433195	0	-0.4487974	0	-0.6504543	-0.2554797	-1.13714	-0.3798973	-1.166658	-0.9155689	-2.107718	-0.1372436	-1.519626	-1.039909	-0.68972	-0.4167966	-0.3694774	-0.8333803	-1.04969	-0.8674125	-0.9748116	-0.9862651	-1.70312	-1.993383						
TianlinLiu	20180411	664ea0ccc_19__utterance_395	0	MALE	recording	TestImage	Emotient FACET	20180320_144750159	417			8	417	1	384	246	407	407	-2.547596	0	-1.076322	0	-0.5805024	0	-1.374188	0	-0.5054583	0	-0.4781897	0	-1.478992	0	-1.412036	0	-1.529827	0	1.618076	0	-2.547596	0	-0.4781897	0	-0.6454053	-0.2333748	-1.073342	-0.3896338	-1.096986	-0.7965395	-1.995311	-0.1186869	-1.518276	-1.080123	-0.8095719	-0.5734595	-0.3164965	-0.8748031	-1.081619	-0.8946735	-0.8970606	-0.9857498	-1.894186	-1.980334						
TianlinLiu	20180411	664ea0ccc_19__utterance_395	0	MALE	recording	TestImage	Emotient FACET	20180320_144750200	458			9	459	1	387	246	407	407	-3.209253	0	-1.298305	0	-0.3748531	0	-1.36192	0	-0.8547476	0	-0.603048	0	-1.606424	0	-1.569053	0	-1.945398	0	1.739703	0	-3.209253	0	-0.603048	0	-0.5218697	-0.06949485	-1.189518	-0.1812106	-1.231304	-0.8593677	-2.248827	-0.1306155	-1.783036	-1.292197	-0.9053065	-0.9203525	-0.5949343	-0.885995	-1.358552	-1.154644	-0.8324649	-1.202117	-2.668468	-2.226052						
