#Study : TianlinLiuValidation
#Date : 20180411 09:25:34
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:29:54.055 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	8e236ad62_1___utterance_12	0	MALE	a	TestImage	Emotient FACET	20180325_232954188	133			0	133	1	115	89	71	71	-0.3384218	0	-1.396102	0	-3.693683	0	-0.5052149	0	-0.2255126	0	-0.4770863	0	0.4902788	0	-2.324589	0	-1.844285	0	-2.167273	0	-0.3384218	0	0.4902788	0	-0.2888144	-1.009889	0.3243852	-1.454416	0.4324762	-0.4297138	-0.7932544	1.313911	0.257344	-0.5831988	0.3026049	0.6819145	0.006112583	-0.3918618	-1.053498	0.1962537	-1.135569	-0.7656285	-1.515766	-0.4104571						
TianlinLiuValidation	20180411	8e236ad62_1___utterance_12	0	MALE	a	TestImage	Emotient FACET	20180325_232954255	200			1	200	1	116	89	70	70	-0.2173841	0	-1.595008	0	-3.741317	0	-0.489458	0	-0.191205	0	-0.4349141	0	0.533508	0	-2.479383	0	-2.084924	0	-2.27346	0	-0.2173841	0	0.533508	0	-0.2749723	-0.922183	0.2050806	-1.592869	0.4418533	-0.6107981	-1.091331	1.478824	0.3672227	-0.5864098	0.4528005	0.7839046	-0.01679458	-0.3756294	-1.055869	0.3195551	-1.344509	-0.8395464	-1.520045	-0.5225775						
TianlinLiuValidation	20180411	8e236ad62_1___utterance_12	0	MALE	a	TestImage	Emotient FACET	20180325_232954321	266			2	267	1	116	89	71	71	-0.1019669	0	-1.575213	0	-3.701332	0	-0.4361517	0	-0.3533136	0	-0.5497291	0	0.3694717	0	-2.502016	0	-2.008922	0	-2.207657	0	-0.1019669	0	0.3694717	0	-0.2184583	-0.8945438	0.2718061	-1.485351	0.4859446	-0.4330087	-0.9188117	1.438948	0.367201	-0.5965607	0.2539552	0.6625079	-0.1923619	-0.3382509	-1.094377	0.1716416	-1.177984	-0.8669199	-1.410962	-0.4887705						
TianlinLiuValidation	20180411	8e236ad62_1___utterance_12	0	MALE	a	TestImage	Emotient FACET	20180325_232954388	333			3	333	1	116	89	71	71	-0.1067275	0	-1.537352	0	-3.900063	0	-0.5005477	0	-0.4156414	0	-0.4700418	0	0.280768	0	-2.636534	0	-2.113242	0	-2.254205	0	-0.1067275	0	0.280768	0	-0.3812882	-0.9509614	0.09209636	-1.537603	0.5006625	-0.46185	-0.9945175	1.486042	0.3990365	-0.5983894	0.1671966	0.6679825	-0.3521098	-0.3902321	-1.021414	0.1807167	-1.224646	-0.9485219	-1.520985	-0.6461575						
TianlinLiuValidation	20180411	8e236ad62_1___utterance_12	0	MALE	a	TestImage	Emotient FACET	20180325_232954454	399			4	400	1	116	88	72	72	-0.2715313	0	-1.508925	0	-3.714666	0	-0.4546768	0	-0.3548439	0	-0.3672808	0	0.2533654	0	-2.62496	0	-2.106118	0	-2.039343	0	-0.2715313	0	0.2533654	0	-0.3645343	-0.9594994	0.09726698	-1.539501	0.3627147	-0.5993806	-0.9261042	1.606076	0.3041532	-0.5834978	0.2199661	0.6363565	-0.3199183	-0.4837504	-1.016911	0.1836945	-1.293697	-1.141143	-1.596636	-0.5074167						
TianlinLiuValidation	20180411	8e236ad62_1___utterance_12	0	MALE	a	TestImage	Emotient FACET	20180325_232954521	466			5	467	1	117	88	71	71	-0.345372	0	-1.593575	0	-3.920715	0	-0.4012579	0	-0.6579877	0	-0.3447226	0	0.1582856	0	-2.625062	0	-2.187627	0	-2.183102	0	-0.345372	0	0.1582856	0	-0.3089193	-0.8031191	0.01022314	-1.587312	0.3950014	-0.4264181	-1.249113	1.734727	0.3181298	-0.7285472	0.3402144	0.6036478	-0.6462403	-0.3854826	-1.139586	0.2611822	-1.329563	-1.106382	-1.717246	-0.5794542						
TianlinLiuValidation	20180411	8e236ad62_1___utterance_12	0	MALE	a	TestImage	Emotient FACET	20180325_232954588	533			6	533	1	119	89	66	66	0.526233	0	-2.424327	0	-3.053169	0	-1.281824	0	-0.2682985	0	-0.4018574	0	-0.4277602	0	-2.237759	0	-2.078506	0	-1.046398	0	0.526233	0	-0.2682985	0	0.1588564	-0.5205457	-0.2107791	-2.42104	0.4843532	-0.5582834	-1.707191	1.060834	0.4777074	-0.7311151	-0.4807063	-0.07401188	0.3374745	-0.5970172	-1.135859	-0.5670075	-0.8742109	-0.7122852	-1.649279	0.4354766						
TianlinLiuValidation	20180411	8e236ad62_1___utterance_12	0	MALE	a	TestImage	Emotient FACET	20180325_232954654	599			7	600	1	119	88	66	66	0.3311965	0	-2.176145	0	-2.514603	0	-1.110565	0	-0.3176084	0	-0.6589159	0	-0.962778	0	-2.135587	0	-1.98504	0	-0.7635769	0	0.3311965	0	-0.3176084	0	0.02209069	-0.3984146	-0.2735632	-2.024886	0.3448359	-0.4549554	-1.982207	0.4507344	0.3144111	-0.8647515	-1.128271	-0.4473929	0.507431	-0.7208064	-1.182796	-0.9032976	-0.6490013	-0.4611951	-1.666533	-0.1385208						
TianlinLiuValidation	20180411	8e236ad62_1___utterance_12	0	MALE	a	TestImage	Emotient FACET	20180325_232954721	666			8	667	1	117	85	69	69	-0.6650669	0	-1.66573	0	-3.060652	0	0.1706366	0	-0.505092	0	-0.7306843	0	-0.3136802	0	-1.734259	0	-1.735085	0	-1.551049	0	-0.6650669	0	0.1706366	0	0.1736656	-0.5075775	0.4367016	-1.369328	0.3479121	-0.403488	-1.428851	0.9933937	0.1060774	-0.8796568	-0.4165483	-0.3454258	0.5255638	-0.1845721	-1.121471	-0.504553	-0.8527702	-0.8968928	-1.6074	-0.4107827						
TianlinLiuValidation	20180411	8e236ad62_1___utterance_12	0	MALE	a	TestImage	Emotient FACET	20180325_232954788	733			9	733	1	117	84	70	70	-0.03537171	0	-1.70637	0	-2.859207	0	-0.15024	0	-0.264658	0	-0.9194062	0	-0.5911391	0	-1.84263	0	-1.688304	0	-1.360333	0	-0.03537171	0	-0.15024	0	0.03535565	-0.5364745	0.2307918	-1.337665	0.476615	-0.33532	-1.483297	0.7854254	0.2617494	-0.8265871	-0.7011728	-0.3704715	0.5955019	-0.444878	-1.122522	-0.5257197	-0.8411677	-0.7500761	-1.767301	-0.4261858						
