#Study : TianlinLiu
#Date : 20180411 09:08:54
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:26:48.708 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	0e4ee0fb1_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142648774	66			0	67	1	509	128	199	199	0.3197984	0	-3.974913	0	-0.4338027	0	-1.776438	0	-0.3182953	0	-2.095397	0	-3.357572	0	-2.527155	0	-3.264488	0	1.617496	0	0.3197984	0	-0.3182953	0	1.118712	1.274997	-1.144107	0.1925964	-0.7404914	-0.4072348	-5.085321	-1.165115	-0.2544194	-0.6949264	-1.675633	-2.456375	-2.003204	-0.3310244	-0.6475423	-1.56878	0.09343335	-0.8609343	-2.865565	-1.421133						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142648807	99			1	100	1	510	128	199	199	0.2967635	0	-3.961838	0	-0.6234999	0	-1.814312	0	-0.1888279	0	-2.196458	0	-3.214641	0	-2.499482	0	-3.124313	0	1.674631	0	0.2967635	0	-0.1888279	0	1.061525	1.203713	-1.194257	0.1704469	-0.8308854	-0.4506473	-5.106187	-1.180028	-0.2759235	-0.634275	-1.616573	-2.381026	-1.992384	-0.3770238	-0.556493	-1.451226	-0.01393675	-0.9366577	-2.826566	-1.403333						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142648841	133			2	133	1	509	128	199	199	0.4895761	0	-4.167924	0	-0.6230197	0	-1.848742	0	-0.1848452	0	-2.338966	0	-3.245549	0	-2.658952	0	-3.274944	0	1.750896	0	0.4895761	0	-0.1848452	0	1.057451	1.204953	-1.233362	0.2097491	-0.8838408	-0.4711881	-5.270093	-1.235661	-0.2731828	-0.6174305	-1.655368	-2.422062	-2.013108	-0.3570914	-0.5999452	-1.465048	-0.04820102	-0.9472474	-2.796657	-1.511297						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142648874	166			3	167	1	511	129	198	198	0.3788461	0	-4.085879	0	-0.7331319	0	-1.723368	0	0.07096059	0	-2.347716	0	-2.937393	0	-2.408417	0	-3.021587	0	1.966374	0	0.3788461	0	0.07096059	0	1.060147	1.197216	-1.197423	0.2202912	-0.9139274	-0.4699402	-5.204888	-1.27738	-0.3426961	-0.5748624	-1.597438	-2.339714	-2.075931	-0.3430966	-0.6508865	-1.377079	-0.3077448	-1.120071	-2.607657	-1.588435						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142648907	199			4	200	1	511	129	197	197	0.3014839	0	-4.152211	0	-0.8245768	0	-1.807923	0	0.06216136	0	-2.484932	0	-2.903682	0	-2.400487	0	-3.066916	0	2.104799	0	0.3014839	0	0.06216136	0	1.028417	1.166554	-1.236928	0.1819269	-0.9997655	-0.502046	-5.302196	-1.32742	-0.3903233	-0.5822273	-1.596354	-2.356891	-1.982062	-0.3178217	-0.6644513	-1.358848	-0.3472198	-1.128299	-2.618027	-1.639462						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142648941	233			5	233	1	511	128	198	198	0.4405638	0	-4.302767	0	-0.8409024	0	-1.936072	0	0.1666128	0	-2.587086	0	-2.851551	0	-2.533325	0	-3.110474	0	2.231749	0	0.4405638	0	0.1666128	0	0.9722524	1.118394	-1.306184	0.2006584	-1.026316	-0.5237122	-5.386813	-1.388786	-0.3750918	-0.5128787	-1.671805	-2.321718	-1.888573	-0.4312782	-0.6674554	-1.25453	-0.5027546	-1.193645	-2.577982	-1.742286						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142648974	266			6	267	1	511	128	198	198	0.5304333	0	-4.187863	0	-0.9116079	0	-1.90151	0	0.2011557	0	-2.478743	0	-2.800547	0	-2.413493	0	-2.969116	0	2.187762	0	0.5304333	0	0.2011557	0	0.9736763	1.111858	-1.272079	0.203523	-0.9305941	-0.4694413	-5.267128	-1.336731	-0.3319179	-0.4987218	-1.624169	-2.317555	-1.881818	-0.4507255	-0.6472936	-1.22348	-0.5131719	-1.228044	-2.588391	-1.666548						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142649007	299			7	300	1	510	128	200	200	0.6798417	0	-4.174472	0	-0.9837387	0	-1.914792	0	0.2455259	0	-2.394495	0	-2.774722	0	-2.426596	0	-2.889609	0	2.115367	0	0.6798417	0	0.2455259	0	0.938149	1.070121	-1.271533	0.2158775	-0.860749	-0.4401116	-5.153266	-1.255347	-0.2820219	-0.4703153	-1.555697	-2.263208	-1.862407	-0.4744447	-0.591691	-1.14672	-0.4900088	-1.209242	-2.505408	-1.640306						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142649041	333			8	333	1	510	128	199	199	0.6568743	0	-4.185733	0	-0.922586	0	-1.868336	0	0.2518556	0	-2.4292	0	-2.759953	0	-2.432204	0	-2.904794	0	2.116306	0	0.6568743	0	0.2518556	0	0.9610211	1.093521	-1.260767	0.2200408	-0.8933368	-0.4599428	-5.194121	-1.293731	-0.293945	-0.4597948	-1.55853	-2.248735	-1.862821	-0.4549745	-0.614207	-1.145329	-0.5141976	-1.212765	-2.487721	-1.65033						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142649074	366			9	367	1	511	128	198	198	0.5901716	0	-4.090874	0	-0.9452885	0	-1.882815	0	0.2406015	0	-2.397381	0	-2.723933	0	-2.315915	0	-2.836849	0	2.135579	0	0.5901716	0	0.2406015	0	0.966548	1.098146	-1.249403	0.1890458	-0.8891964	-0.4402511	-5.14435	-1.314803	-0.307217	-0.4743064	-1.534246	-2.235726	-1.862973	-0.4421869	-0.6125692	-1.162234	-0.5438338	-1.225544	-2.47592	-1.607646						
