#Study : TianlinLiuValidation
#Date : 20180411 09:25:32
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:30:15.039 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	9c772b88e_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233015105	66			0	67	1	432	147	424	424	-3.784963	0	-2.127309	0	-2.77203	0	-1.647149	0	0.2859659	0	-3.697223	0	-1.490601	0	-0.5155481	0	-0.6364399	0	1.917787	0	-3.784963	0	0.2859659	0	-1.168153	-0.9742866	-1.121557	-0.8257607	-2.327036	-1.173459	-4.355132	-2.262001	-1.533214	-0.1983432	-1.161791	-0.8600312	-0.7695295	-1.342548	-0.9404094	-0.1251897	-1.829379	-1.072341	-1.774562	-2.553364						
TianlinLiuValidation	20180411	9c772b88e_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233015139	100			1	100	1	431	147	427	427	-3.236744	0	-2.344861	0	-3.097848	0	-1.772309	0	0.3667344	0	-3.773794	0	-1.735426	0	-0.6469082	0	-0.6291606	0	2.032214	0	-3.236744	0	0.3667344	0	-1.264889	-1.087299	-1.303709	-0.842973	-2.434373	-1.183267	-4.715757	-2.356263	-1.423502	-0.06252223	-1.135192	-1.020292	-0.8083249	-1.27094	-0.9352047	-0.04037382	-1.851286	-1.200893	-1.784111	-2.874578						
TianlinLiuValidation	20180411	9c772b88e_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233015172	133			2	133	1	430	148	428	428	-1.894551	0	-1.799019	0	-4.59556	0	-2.289666	0	0.37845	0	-3.253828	0	-1.18622	0	0.4662433	0	0.3708645	0	1.491251	0	-1.894551	0	0.37845	0	-1.361514	-1.328605	-0.8422595	-1.853473	-2.292766	-0.9373711	-3.987567	-2.1923	-0.7391986	0.3255233	-1.007566	-0.886543	-1.045797	-0.652944	-0.5052567	0.2013296	-1.686597	-1.013717	-1.067313	-1.7727						
TianlinLiuValidation	20180411	9c772b88e_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233015205	166			3	167	1	436	154	419	419	-0.4469652	0	-3.06641	0	-5.804056	0	-2.976323	0	1.155115	0	-3.316132	0	-1.27994	0	-0.6064224	0	-0.2469286	0	1.098701	0	-0.4469652	0	1.155115	0	-1.118364	-1.172262	-0.9753149	-2.642789	-2.569342	-1.455475	-3.811494	-1.781041	-0.3534284	0.7910389	-0.8744459	-0.6239012	-1.39938	-0.1137821	-0.4062247	0.2137403	-1.504133	-0.6214052	-0.3341719	-0.3336998						
TianlinLiuValidation	20180411	9c772b88e_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233015239	200			4	200	1	430	152	427	427	-0.3426322	0	-2.41956	0	-5.478961	0	-2.701223	0	1.144069	0	-2.918655	0	-1.349417	0	-0.1651385	0	0.137998	0	0.6768978	0	-0.3426322	0	1.144069	0	-1.225531	-1.318368	-0.7575382	-2.217497	-2.073458	-1.121101	-3.195025	-1.85068	-0.09596687	0.8420671	-0.9687747	-0.6905535	-1.037295	-0.3863415	-0.1759548	0.3523668	-1.508329	-0.8161857	-0.4734735	-0.8441395						
TianlinLiuValidation	20180411	9c772b88e_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233015272	233			5	234	1	430	150	429	429	-0.2528822	0	-2.470597	0	-4.629307	0	-2.205522	0	1.154744	0	-3.216327	0	-1.47636	0	-0.3865889	0	-0.02140389	0	0.5958278	0	-0.2528822	0	1.154744	0	-1.287162	-1.29529	-0.8625414	-1.744519	-1.877048	-0.9947714	-3.566586	-1.849273	-0.07905203	0.9503952	-0.9156231	-0.7231967	-0.8188091	-0.3039311	-0.07296142	0.4613046	-1.353705	-0.7662351	-0.5408387	-1.585118						
TianlinLiuValidation	20180411	9c772b88e_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233015305	266			6	267	1	430	150	425	425	-0.1328223	0	-2.191026	0	-3.723268	0	-1.860896	0	0.8187655	0	-3.039011	0	-1.55643	0	-0.3245455	0	0.06925289	0	1.019032	0	-0.1328223	0	0.8187655	0	-1.31708	-1.271134	-1.026958	-1.435679	-1.749525	-0.8375505	-3.918253	-1.649846	-0.1871457	0.687529	-0.9666722	-0.7748045	-0.9522101	-0.4672852	-0.1213058	0.3925608	-1.323243	-0.779381	-0.7160341	-1.973106						
TianlinLiuValidation	20180411	9c772b88e_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233015339	300			7	300	1	432	154	417	417	-0.1306833	0	-2.218829	0	-3.105995	0	-1.520049	0	0.3709792	0	-2.79838	0	-1.747095	0	-0.1123875	0	-0.008628685	0	1.498271	0	-0.1306833	0	0.3709792	0	-1.0832	-0.9893058	-0.8262078	-1.459765	-1.396425	-0.7851709	-3.587675	-1.320659	-0.3844603	0.3148661	-1.449972	-1.290835	-1.494529	-0.2549133	-0.547156	-0.2424142	-0.8216568	-0.3838365	-0.6479946	-2.166759						
TianlinLiuValidation	20180411	9c772b88e_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233015372	333			8	334	1	428	152	422	422	-0.9142779	0	-1.930791	0	-1.923925	0	-1.512396	0	-0.008582043	0	-2.069679	0	-2.135331	0	-0.4286027	0	-0.2540998	0	1.02093	0	-0.9142779	0	-0.008582043	0	-0.7831689	-0.6583272	-0.5664627	-1.305137	-1.244339	-0.5211422	-3.553789	-1.000753	-0.6065004	-0.1564627	-2.024867	-1.530333	-0.6253324	-0.4845878	-0.6664687	-0.6405951	0.2527961	0.2526468	-1.223036	-1.534893						
TianlinLiuValidation	20180411	9c772b88e_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233015406	367			9	367	1	429	154	414	414	-1.500535	0	-2.026553	0	-1.881868	0	-1.62032	0	0.1460222	0	-1.823876	0	-2.07241	0	-0.503831	0	-0.4948064	0	1.292693	0	-1.500535	0	0.1460222	0	-0.7594371	-0.7514428	-0.712704	-1.504466	-0.6565113	-0.3755177	-2.704531	-1.168713	-0.8119149	-0.212418	-1.730683	-1.109214	-0.3867145	-0.5946547	-0.3838898	-0.7722802	-0.1129192	0.1024066	-0.9852571	-1.287928						
