#Study : TianlinLiuValidation
#Date : 20180411 09:25:31
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:30:20.720 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233020786	66			0	67	1	339	58	105	105	-0.686251	0	-3.548323	0	-1.576477	0	0.2531917	0	-0.6585627	0	-3.147605	0	0.7016202	0	-1.51775	0	-1.973616	0	-1.195575	0	-0.686251	0	0.7016202	0	1.944651	0.4450764	0.2818157	-1.663697	-0.5560061	-0.3352357	-3.404453	-0.7178543	-0.3922047	0.04301633	-0.1926596	-0.7620891	-1.083796	-0.1848087	-0.6823302	0.4513129	0.3230121	0.7531746	1.205514	-0.8214426						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233020820	100			1	100	1	338	59	104	104	-0.982528	0	-4.463196	0	-2.174516	0	0.1122227	0	-0.4765959	0	-3.539714	0	0.8675507	0	-2.100345	0	-2.623906	0	-1.727232	0	-0.982528	0	0.8675507	0	2.52171	0.5665244	0.4239635	-1.912629	-0.3813419	-0.3797023	-3.626031	-0.9912077	-0.5633534	0.06304688	-0.4384838	-0.9006491	-1.137109	-0.3589298	-0.9066818	0.2378159	0.425332	0.6520829	1.091797	-0.8798224						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233020853	133			2	133	1	336	60	104	104	-1.156464	0	-4.14732	0	-1.795021	0	-0.1198274	0	-0.7782284	0	-3.650579	0	1.326869	0	-1.488834	0	-2.120536	0	-1.373605	0	-1.156464	0	1.326869	0	2.378773	0.5022436	0.4726056	-1.940284	-0.4350873	-0.2070957	-3.963445	-1.18056	-0.629049	0.1793522	-0.1011318	-0.7764109	-0.8709533	-0.1343317	-0.7803385	0.4098315	0.215027	0.7395209	1.143258	-1.846577						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233020886	166			3	167	1	334	60	105	105	-0.3943991	0	-3.121497	0	-1.522104	0	-0.1989038	0	-0.3741301	0	-3.318571	0	0.5732064	0	-0.8603773	0	-1.369945	0	-0.7270281	0	-0.3943991	0	0.5732064	0	1.38677	0.2020151	0.2768118	-1.387648	-0.1917767	0.0487321	-3.042321	-1.176459	-0.4838071	-0.03298163	-0.2183477	-0.7237296	-0.3688745	-0.04784532	-0.4312719	0.1493012	0.1730928	0.7433983	0.9118569	-1.734014						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233020920	200			4	200	1	332	59	105	105	-0.3851566	0	-2.291481	0	-1.757335	0	0.0930601	0	-0.2637765	0	-2.835993	0	0.3036494	0	-0.3874114	0	-0.8650895	0	-0.353141	0	-0.3851566	0	0.3036494	0	0.775425	-0.1239323	0.2423563	-0.8874568	0.1178811	0.3396301	-2.530592	-0.9039051	-0.462289	-0.1474671	-0.2494377	-0.7304529	-0.2005638	-0.09755976	-0.2474156	0.127128	0.01986684	0.5320091	0.4528374	-2.001482						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233020953	233			5	234	1	331	60	105	105	-0.5657645	0	-3.241251	0	-1.578697	0	-0.1947858	0	-0.5040992	0	-3.181991	0	1.014079	0	-1.149227	0	-1.789418	0	-0.717506	0	-0.5657645	0	1.014079	0	1.574237	0.1212909	0.4226565	-0.6855174	-0.1793252	-0.1098628	-3.537111	-0.8363515	-0.4696442	0.02209832	0.00373983	-0.7057121	-0.929355	-0.1525819	-0.6894519	0.06397582	0.06214748	0.4384452	0.2700573	-3.205698						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233020986	266			6	267	1	329	59	106	106	-0.8175254	0	-2.790738	0	-1.409892	0	-0.1235246	0	-0.6370251	0	-2.891743	0	0.8904877	0	-0.7700859	0	-1.475467	0	-0.3790562	0	-0.8175254	0	0.8904877	0	1.174753	-0.08027814	0.2679557	-0.5265664	-0.1868131	-0.03646652	-3.320223	-0.8482097	-0.4638226	-0.05965414	0.01148729	-0.7412242	-0.7360636	-0.4155663	-0.6338285	0.01680939	-0.04433183	0.4530599	0.1224119	-3.097667						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233021020	300			7	300	1	328	59	106	106	-1.71339	0	-2.916715	0	-0.8724328	0	0.1392698	0	-0.8279	0	-2.639375	0	1.11701	0	-0.8576294	0	-1.907199	0	-0.537689	0	-1.71339	0	1.11701	0	1.444951	-0.0386784	0.5060774	-0.4741152	-0.2460212	-0.07625478	-3.074993	-0.9903546	-0.6050325	-0.1910245	0.06031758	-0.7750122	-0.03466586	-0.6868894	-0.6687607	-0.4149908	0.2002114	0.7146263	-0.1713339	-2.6261						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233021053	333			8	334	1	329	60	105	105	-2.572339	0	-3.543226	0	-0.2346093	0	-0.2882501	0	-1.203092	0	-3.310568	0	0.9830882	0	-1.385551	0	-2.515935	0	-1.277665	0	-2.572339	0	0.9830882	0	2.320642	0.4030282	0.8696868	-0.7264581	-0.4476588	-0.1501038	-3.605654	-1.386362	-0.6764476	-0.1372155	-0.1856018	-0.9864474	0.1606409	-0.6287124	-0.965545	-0.6421745	0.7095816	1.358675	-0.1747067	-2.513021						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233021087	367			9	367	1	329	61	104	104	-2.370262	0	-3.008066	0	0.03132489	0	-0.06654318	0	-1.296918	0	-3.152733	0	0.6285869	0	-1.518299	0	-2.284797	0	-1.526384	0	-2.370262	0	0.6285869	0	2.053276	0.2050399	0.7767737	-0.6095871	-0.7117304	-0.3088149	-3.620106	-1.432235	-0.73882	-0.2547364	-0.2320201	-0.9431664	0.05929728	-0.6449378	-0.9052994	-0.6554504	0.8383619	1.581547	-0.1557357	-2.340334						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233021120	400			10	400	1	328	62	105	105	-2.069592	0	-3.219529	0	-0.3391939	0	0.2458097	0	-1.068417	0	-3.005979	0	0.7893731	0	-1.612927	0	-2.598807	0	-1.487057	0	-2.069592	0	0.7893731	0	2.090123	0.05192815	0.7968729	-0.5043479	-0.4850056	-0.2957362	-3.763607	-1.383896	-0.6406345	-0.0266079	-0.1945832	-0.8278921	-0.03063873	-0.6357972	-0.870513	-0.5795327	0.4993257	1.141679	-0.2729076	-2.362913						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233021153	433			11	434	1	328	63	105	105	-1.688309	0	-3.028913	0	-1.04143	0	0.3576092	0	-0.837319	0	-3.095156	0	0.6659634	0	-1.419051	0	-2.132652	0	-1.565861	0	-1.688309	0	0.6659634	0	1.986463	-0.1365025	0.7836952	-0.5590535	-0.3572287	-0.2537689	-3.885115	-1.332756	-0.7118608	0.1258108	-0.2940549	-0.8017999	-0.3898885	-0.4770668	-0.5476738	-0.2613233	0.2330462	0.7365276	0.07743119	-2.694367						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233021187	467			12	467	1	327	62	107	107	-1.320987	0	-2.967878	0	-1.113367	0	0.1104127	0	-0.7721352	0	-3.093669	0	0.7743457	0	-1.207788	0	-1.918667	0	-1.482855	0	-1.320987	0	0.7743457	0	1.810967	-0.1784659	0.7891273	-0.6012738	-0.3810699	-0.2383822	-3.676049	-1.167599	-0.5877343	0.1227862	-0.2750154	-0.7668113	-0.4265221	-0.3091543	-0.4584602	-0.1747817	0.2220976	0.6762734	0.2729785	-2.878242						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233021220	500			13	500	1	327	63	106	106	-0.8087897	0	-2.960796	0	-0.6695881	0	0.1336101	0	-0.8713428	0	-2.653817	0	0.4292302	0	-1.484865	0	-2.12481	0	-1.640793	0	-0.8087897	0	0.4292302	0	1.609393	-0.0197445	0.6318923	-0.6140236	-0.2315891	-0.09240161	-3.698379	-0.8661941	-0.3665404	-0.0130137	-0.2920626	-0.9740679	-0.5201483	-0.1825144	-0.6567727	-0.3379984	0.7087274	0.9472017	0.1733398	-2.557702						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233021253	533			14	534	1	328	63	105	105	-0.5855578	0	-3.415934	0	-0.8459035	0	0.2234501	0	-0.4884997	0	-2.688536	0	0.2988667	0	-2.077953	0	-2.590406	0	-2.126583	0	-0.5855578	0	0.2988667	0	1.81068	0.09734916	0.7328056	-0.5452474	0.1503262	0.01150273	-3.482726	-0.6543694	-0.2055644	0.03887117	-0.2261585	-0.8288032	-0.5079575	-0.1171469	-0.6758184	-0.425139	0.7630317	1.014278	0.001309021	-2.558919						
TianlinLiuValidation	20180411	9e9c69399_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233021287	567			15	567	1	328	63	106	106	-0.6919791	0	-3.055978	0	-0.8451053	0	0.1351288	0	-0.5931225	0	-2.569098	0	0.5607332	0	-1.728391	0	-2.321087	0	-2.020861	0	-0.6919791	0	0.5607332	0	1.685681	-0.05001853	0.8114275	-0.517695	0.007900212	-0.09306911	-3.587376	-0.6822497	-0.2122065	0.02939407	-0.3704065	-0.8518312	-0.5631015	-0.1885903	-0.8086402	-0.478837	0.7479435	0.9628282	-0.08818813	-2.451597						
