#Study : TianlinLiu
#Date : 20180411 09:07:42
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:36:55.721 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	2debca276_5__utterance_49	0	MALE	recording	TestImage	Emotient FACET	20180320_143655787	66			0	67	1	281	69	68	68	0.5091081	0	-2.337094	0	-0.7098219	0	-0.5275138	0	-0.991756	0	-2.085587	0	-0.8295953	0	-1.870396	0	-1.449918	0	-1.222634	0	0.5091081	0	-0.5275138	0	-0.519289	-0.6583539	-0.620611	-1.339408	-0.2507279	-0.2903829	-3.440588	-0.5662976	0.296886	-0.3045508	-1.014818	-0.8216894	-0.5588297	-0.1714544	-0.3376023	-0.1942779	0.4097081	0.7455679	-0.481121	-1.414207						
TianlinLiu	20180411	2debca276_5__utterance_49	0	MALE	recording	TestImage	Emotient FACET	20180320_143655821	100			1	100	1	281	66	69	69	0.4530285	0	-2.121403	0	-0.7133719	0	-0.3511513	0	-0.9862022	0	-1.831437	0	-0.8704492	0	-1.711981	0	-1.366693	0	-1.072003	0	0.4530285	0	-0.3511513	0	-0.455265	-0.5094693	-0.5618594	-1.02308	-0.1286056	-0.03775602	-3.215739	-0.3062102	0.3626786	-0.3506686	-1.041892	-1.027406	-0.6422154	-0.2162456	-0.3138687	-0.2348361	0.5837721	0.7227331	-0.6662435	-1.581604						
TianlinLiu	20180411	2debca276_5__utterance_49	0	MALE	recording	TestImage	Emotient FACET	20180320_143655854	133			2	133	1	282	63	70	70	0.6031297	0	-2.407805	0	-1.339478	0	-0.1684266	0	-1.175639	0	-1.469211	0	-0.7540704	0	-1.573316	0	-1.531587	0	-0.4107345	0	0.6031297	0	-0.1684266	0	-0.5180095	-0.5003806	-0.4980482	-0.7789131	0.1274753	0.07732111	-2.970921	0.3250265	0.4223619	-0.618718	-0.7075164	-1.193174	-0.9985928	0.009002743	-0.6589047	-0.6432273	0.6867231	0.2521532	-1.149544	-2.183959						
TianlinLiu	20180411	2debca276_5__utterance_49	0	MALE	recording	TestImage	Emotient FACET	20180320_143655887	166			3	167	1	283	62	70	70	0.3121661	0	-2.125162	0	-1.588062	0	0.03453962	0	-1.089178	0	-1.451363	0	-0.7797574	0	-1.206384	0	-1.129488	0	-0.164971	0	0.3121661	0	0.03453962	0	-0.7030255	-0.5782145	-0.3614745	-0.6924999	-0.0308341	0.1295115	-3.02462	0.1341768	0.3292946	-0.5442725	-0.9584183	-1.235316	-1.004903	0.03632943	-0.5052232	-0.5797189	0.5875037	0.1732208	-1.076857	-2.080301						
TianlinLiu	20180411	2debca276_5__utterance_49	0	MALE	recording	TestImage	Emotient FACET	20180320_143655921	200			4	200	1	286	61	68	68	0.7249231	0	-2.506943	0	-2.112443	0	-0.1854944	0	-1.045339	0	-2.043767	0	-0.851258	0	-1.530083	0	-1.26773	0	-0.341281	0	0.7249231	0	-0.1854944	0	-0.7239558	-0.6984668	-0.4780675	-0.8647017	0.04791962	0.1523882	-3.178872	-0.04979352	0.3914821	-0.4159417	-0.8337115	-1.21028	-1.140599	0.1569743	-0.3712023	-0.4341602	0.4961068	0.1905029	-0.9089136	-2.74875						
TianlinLiu	20180411	2debca276_5__utterance_49	0	MALE	recording	TestImage	Emotient FACET	20180320_143655954	233			5	234	1	287	60	69	69	0.8819912	0	-2.254696	0	-2.510906	0	-0.6343079	0	-0.9467261	0	-1.720123	0	-0.6118417	0	-1.346041	0	-1.110159	0	-0.3422462	0	0.8819912	0	-0.6118417	0	-0.6811759	-0.7039887	-0.6518754	-0.7048317	0.3140586	0.2533855	-3.071079	0.04258975	0.5048002	-0.2819236	-0.5795882	-1.08293	-0.83597	-0.2495858	-0.3120373	-0.1554541	-0.09001586	-0.3453888	-1.21688	-3.032036						
TianlinLiu	20180411	2debca276_5__utterance_49	0	MALE	recording	TestImage	Emotient FACET	20180320_143655987	266			6	267	1	288	60	69	69	1.244815	0	-2.589947	0	-2.662205	0	-0.8709694	0	-1.119926	0	-1.824034	0	-0.7080486	0	-1.558573	0	-1.367811	0	-0.4450466	0	1.244815	0	-0.7080486	0	-0.796806	-0.856311	-0.6953036	-0.8914352	0.5137095	0.338695	-2.983395	0.2147792	0.57377	-0.393844	-0.4179085	-1.181257	-1.01281	-0.1914271	-0.3645641	-0.273798	0.1397496	-0.2174699	-1.303273	-3.446995						
TianlinLiu	20180411	2debca276_5__utterance_49	0	MALE	recording	TestImage	Emotient FACET	20180320_143656021	300			7	300	1	289	60	69	69	1.175704	0	-2.615597	0	-2.63532	0	-0.8617471	0	-1.035875	0	-1.742533	0	-0.5605603	0	-1.609696	0	-1.427473	0	-0.3690764	0	1.175704	0	-0.5605603	0	-0.868188	-0.9105729	-0.8048897	-0.9000712	0.5333881	0.3516811	-3.094303	0.2086456	0.5995236	-0.4377779	-0.3105009	-1.177689	-0.8688322	-0.2961368	-0.4299999	-0.2082287	-0.01269996	-0.4013923	-1.499924	-3.656623						
TianlinLiu	20180411	2debca276_5__utterance_49	0	MALE	recording	TestImage	Emotient FACET	20180320_143656054	333			8	334	1	290	59	70	70	1.137554	0	-2.300231	0	-2.317259	0	-0.4866865	0	-0.9190155	0	-1.329182	0	-0.320268	0	-1.341186	0	-1.309382	0	-0.4778198	0	1.137554	0	-0.320268	0	-0.6437204	-0.6632594	-0.4703611	-0.614289	0.5564655	0.4786465	-2.692102	0.3529536	0.640998	-0.4374329	-0.1476957	-1.196585	-0.7311922	-0.3053937	-0.3863769	-0.1585795	0.009261711	-0.4518795	-1.606072	-2.966477						
TianlinLiu	20180411	2debca276_5__utterance_49	0	MALE	recording	TestImage	Emotient FACET	20180320_143656088	367			9	367	1	291	60	69	69	1.179091	0	-2.69032	0	-2.633583	0	-0.9261733	0	-1.169951	0	-1.47988	0	-0.3864032	0	-1.559816	0	-1.600895	0	-0.6060627	0	1.179091	0	-0.3864032	0	-0.6850636	-0.8114231	-0.4749641	-0.9222171	0.6499664	0.4954536	-2.78006	0.4452539	0.6549153	-0.5134622	-0.1686658	-1.259637	-0.8499792	-0.2433953	-0.5000625	-0.3403739	0.1747916	-0.3761964	-1.708259	-3.350198						
