#Study : TianlinLiu
#Date : 20180411 09:05:41
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:54:11.765 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	692e35f74_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_145411832	67			0	67	1	551	356	111	111	-3.361101	0	-1.779517	0	-2.909862	0	-0.672552	0	-0.166294	0	-2.903558	0	1.883678	0	-0.2570382	0	-0.5435398	0	-0.4638959	0	-3.361101	0	1.883678	0	1.614961	0.1663211	0.4534583	-1.749511	-1.651403	-1.857423	-2.231392	-1.272444	-1.129831	0.1729586	0.5133854	1.176192	-0.8352999	-1.538858	0.02013238	0.4000196	-2.942326	-2.487276	-1.060773	0.3778147						
TianlinLiu	20180411	692e35f74_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_145411866	101			1	101	1	551	356	113	113	-3.597241	0	-1.667697	0	-2.984828	0	-0.9247944	0	-0.2000469	0	-2.998351	0	1.945568	0	-0.1525504	0	-0.4545564	0	-0.4449717	0	-3.597241	0	1.945568	0	1.443471	0.05630651	0.436387	-1.84707	-1.895577	-1.934152	-2.281708	-1.407173	-1.161401	0.1554506	0.4823804	1.273886	-0.6807722	-1.501508	-0.04649916	0.400155	-2.94807	-2.435667	-1.140303	0.2022172						
TianlinLiu	20180411	692e35f74_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_145411899	134			2	135	1	551	356	111	111	-3.365833	0	-1.738388	0	-2.910123	0	-0.651827	0	-0.1424429	0	-3.010658	0	1.868252	0	-0.2911295	0	-0.4718888	0	-0.4219248	0	-3.365833	0	1.868252	0	1.583678	0.136539	0.4193187	-1.785404	-1.725075	-1.908744	-2.282906	-1.307493	-1.130266	0.2540647	0.4292859	1.196055	-0.8233114	-1.502775	0.03084805	0.4474262	-2.912741	-2.443798	-0.9391103	0.4079089						
TianlinLiu	20180411	692e35f74_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_145411933	168			3	169	1	552	355	112	112	-3.721525	0	-1.491336	0	-3.00767	0	-0.8874414	0	-0.2255061	0	-2.914236	0	1.834256	0	-0.006189094	0	-0.3072349	0	-0.3019657	0	-3.721525	0	1.834256	0	1.350388	-0.002042565	0.4154918	-1.971949	-1.697905	-1.83766	-2.131889	-1.272552	-1.263035	0.0313706	0.4223075	1.140077	-0.7827289	-1.63635	-0.03640494	0.3150349	-2.891896	-2.525217	-1.254022	0.4765854						
TianlinLiu	20180411	692e35f74_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_145411967	202			4	202	1	552	355	111	111	-3.536925	0	-1.633415	0	-3.036514	0	-0.7209796	0	-0.1941972	0	-2.846121	0	1.791138	0	-0.1229015	0	-0.4213626	0	-0.2987903	0	-3.536925	0	1.791138	0	1.475925	0.07331114	0.4090331	-1.794152	-1.554424	-1.784314	-2.128921	-1.20434	-1.248153	0.05091502	0.4670364	1.071036	-0.9142208	-1.682233	-0.01330967	0.2916325	-2.939789	-2.613712	-1.27016	0.4997958						
TianlinLiu	20180411	692e35f74_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_145412000	235			5	236	1	553	354	111	111	-3.462708	0	-1.645936	0	-2.877976	0	-0.5774405	0	-0.178199	0	-2.903426	0	1.753889	0	-0.1613357	0	-0.4402935	0	-0.3338721	0	-3.462708	0	1.753889	0	1.477407	0.06154867	0.4345354	-1.696716	-1.646704	-1.854117	-2.188771	-1.243815	-1.202999	0.1073839	0.4633838	1.090947	-0.8579199	-1.563213	-0.0199136	0.3280034	-2.907977	-2.532483	-1.116141	0.3601474						
TianlinLiu	20180411	692e35f74_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_145412034	269			6	270	1	554	353	111	111	-3.646657	0	-1.559094	0	-2.885806	0	-0.4989111	0	-0.2213209	0	-2.745641	0	1.735274	0	-0.1055187	0	-0.4665183	0	-0.2689794	0	-3.646657	0	1.735274	0	1.455576	0.0003600353	0.4312953	-1.783845	-1.435339	-1.747709	-2.087442	-1.15327	-1.283763	-0.06725655	0.4403282	0.9857986	-1.039534	-1.737511	-0.01956351	0.2262095	-2.918986	-2.661938	-1.418428	0.496288						
TianlinLiu	20180411	692e35f74_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_145412068	303			7	303	1	555	353	111	111	-3.898248	0	-1.699799	0	-2.712957	0	-0.4928123	0	-0.2552249	0	-3.098992	0	1.659984	0	-0.1334758	0	-0.5094612	0	-0.204724	0	-3.898248	0	1.659984	0	1.490967	0.1050514	0.2978994	-1.632852	-1.665284	-1.84662	-2.296284	-1.551285	-1.376227	-0.06943495	0.2714622	0.7892885	-0.9646206	-1.89674	-0.1179622	0.1923928	-2.959388	-2.690978	-1.517617	0.4997784						
TianlinLiu	20180411	692e35f74_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_145412102	337			8	337	1	557	353	111	111	-4.021498	0	-1.913105	0	-2.600397	0	-0.3313928	0	-0.3222258	0	-3.272666	0	1.729831	0	-0.2717551	0	-0.7300224	0	-0.2293645	0	-4.021498	0	1.729831	0	1.646185	0.1898713	0.2975649	-1.58241	-1.750648	-1.902486	-2.429835	-1.705319	-1.432559	-0.07560975	0.2606608	0.7656169	-0.9396844	-1.91908	-0.1230843	0.233899	-2.968237	-2.656321	-1.546172	0.5053075						
TianlinLiu	20180411	692e35f74_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_145412135	370			9	371	1	556	353	111	111	-3.78868	0	-1.965639	0	-2.6556	0	-0.2327836	0	-0.2891821	0	-3.204601	0	1.774569	0	-0.2831318	0	-0.7355661	0	-0.3842023	0	-3.78868	0	1.774569	0	1.69453	0.1896612	0.4197944	-1.474851	-1.788797	-1.900591	-2.530197	-1.625609	-1.307086	-0.02236094	0.3297782	0.8172931	-0.92287	-1.691149	-0.1644171	0.2328742	-2.917756	-2.600003	-1.389132	0.3178488						
