#Study : TianlinLiu
#Date : 20180411 09:05:11
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:58:13.257 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813323	66			0	67	1	261	77	117	117	2.602516	0	-4.669887	0	-4.458626	0	-2.29348	0	-1.83536	0	-2.31899	0	-4.770332	0	-5.08252	0	-3.66124	0	-2.349616	0	2.602516	0	-1.83536	0	0.6008905	0.8123929	-1.396262	-0.4515816	0.142581	0.4127785	-4.68497	-0.9373322	0.8627341	-0.2857216	-0.8023273	-1.721352	-4.36378	0.740599	0.1778518	-1.197759	0.8375362	-0.5454746	-1.432566	-2.555176						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813357	100			1	100	1	261	74	119	119	3.110498	0	-5.068253	0	-4.429491	0	-2.376119	0	-3.126589	0	-2.436212	0	-5.764042	0	-6.134357	0	-4.474891	0	-3.795935	0	3.110498	0	-2.376119	0	0.6154065	0.7484853	-1.399513	-0.5823802	0.1594423	0.4421011	-4.499407	-0.8802772	1.103156	-0.4639629	-1.01752	-2.026648	-5.572646	0.6582073	-0.006164498	-1.624672	1.461684	-0.1600845	-1.590641	-2.04782						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813390	133			2	133	1	263	73	116	116	2.751029	0	-5.051816	0	-3.748372	0	-1.906694	0	-3.200553	0	-2.012437	0	-5.741771	0	-6.097988	0	-4.893283	0	-3.846428	0	2.751029	0	-1.906694	0	1.130856	1.214871	-1.036021	-0.3233318	0.2397332	0.3254904	-4.353838	-1.010776	0.8202853	-0.6704116	-0.973996	-1.842254	-5.864036	0.8270807	-0.3089081	-2.158392	1.572949	-0.1987561	-1.969831	-1.71062						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813423	166			3	167	1	264	71	116	116	2.610495	0	-5.06143	0	-3.27329	0	-1.644576	0	-3.177562	0	-1.838985	0	-5.998291	0	-6.023332	0	-5.04787	0	-3.856969	0	2.610495	0	-1.644576	0	1.268461	1.321765	-0.9641459	-0.3198307	0.1790494	0.2607531	-4.032612	-1.123702	0.7494252	-0.6857331	-1.209857	-1.934254	-5.901907	0.8307235	-0.4941165	-2.378308	1.558457	-0.2260709	-2.188415	-1.294027						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813457	200			4	200	1	264	69	118	118	2.494601	0	-5.379704	0	-3.383912	0	-1.807823	0	-2.822698	0	-2.013076	0	-5.710723	0	-6.102412	0	-5.21907	0	-3.482503	0	2.494601	0	-1.807823	0	1.22797	1.314543	-1.16865	-0.4245626	-0.09761426	0.07888519	-4.27286	-1.135873	0.7897981	-0.6614096	-1.15244	-1.786867	-5.81946	0.9342103	-0.4366949	-2.179415	1.548377	-0.124023	-2.18965	-1.132813						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813490	233			5	234	1	265	69	116	116	2.294223	0	-5.621887	0	-3.384705	0	-1.792407	0	-2.260751	0	-2.06213	0	-5.368573	0	-5.666254	0	-5.028407	0	-3.020829	0	2.294223	0	-1.792407	0	1.494744	1.456352	-1.144365	-0.5246152	-0.1937979	-0.04842268	-4.031096	-1.280042	0.7102488	-0.6067629	-1.230174	-1.556871	-5.02741	0.9913967	-0.511531	-2.278614	1.283233	-0.3376216	-2.149592	-0.5656617						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813523	266			6	267	1	264	69	117	117	2.418192	0	-5.615171	0	-3.767915	0	-1.535727	0	-2.578415	0	-1.832322	0	-5.303905	0	-5.930652	0	-5.28567	0	-3.321471	0	2.418192	0	-1.535727	0	1.607858	1.601139	-1.008784	-0.1299211	-0.03683181	0.05488328	-4.443137	-1.061249	0.7149414	-0.8421331	-1.24619	-1.816558	-5.887832	1.251258	-0.6278892	-2.391524	1.422794	-0.555729	-2.461395	-0.9274829						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813557	300			7	300	1	265	70	116	116	2.371537	0	-5.73769	0	-4.252185	0	-1.471224	0	-2.30129	0	-1.74149	0	-5.260718	0	-5.492338	0	-4.97795	0	-3.046867	0	2.371537	0	-1.471224	0	1.657222	1.575199	-0.973637	-0.302064	0.04698436	0.09891137	-4.023112	-1.121975	0.6861762	-0.7645193	-1.477937	-1.765352	-5.523004	1.566126	-0.6914542	-2.454913	1.256728	-0.8283787	-2.435558	-0.6128635						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813590	333			8	334	1	265	71	117	117	2.26161	0	-5.419095	0	-4.222367	0	-1.406954	0	-2.278715	0	-1.736849	0	-5.153227	0	-5.296377	0	-4.846546	0	-2.90696	0	2.26161	0	-1.406954	0	1.517795	1.462247	-0.9063414	-0.4898536	-0.1905683	-0.0132638	-3.5632	-1.068807	0.599326	-0.4557459	-1.342191	-1.628352	-4.826291	1.675911	-0.3559969	-2.072397	1.170598	-0.9027978	-2.09856	-0.6226836						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813624	367			9	367	1	265	72	116	116	1.939119	0	-5.915496	0	-3.943551	0	-0.8444411	0	-2.250489	0	-1.537629	0	-4.836539	0	-5.775862	0	-5.493672	0	-2.816319	0	1.939119	0	-0.8444411	0	1.894	1.850716	-0.9422958	-0.281811	-0.2585761	-0.1974295	-4.006013	-0.9810429	0.4876255	-0.711683	-1.434536	-1.632498	-5.196828	1.989611	-0.7018578	-2.434142	1.167089	-1.24524	-2.399212	-0.848597						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813657	400			10	400	1	264	72	118	118	1.510279	0	-5.861295	0	-3.578479	0	-0.5064781	0	-2.1996	0	-1.249494	0	-3.94912	0	-5.807745	0	-5.686091	0	-2.575818	0	1.510279	0	-0.5064781	0	2.207721	2.141075	-0.8263922	-0.1275888	-0.2902182	-0.3267767	-4.413613	-0.7927299	0.4507601	-0.9970282	-1.163821	-1.750158	-5.380183	1.895856	-0.9225337	-2.459291	1.056564	-1.430213	-2.60792	-0.9007378						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813690	433			11	434	1	266	74	116	116	1.500549	0	-6.19923	0	-2.454472	0	0.3942585	0	-1.634111	0	-1.72967	0	-3.385243	0	-6.251142	0	-5.803858	0	-2.317359	0	1.500549	0	0.3942585	0	2.441848	2.267593	-0.8263075	0.376984	-0.3634362	-0.3993416	-4.572615	-0.8741762	0.4497611	-0.3475266	-1.017698	-1.548412	-4.492537	1.416149	-0.9067976	-2.014383	0.6373396	-1.516305	-2.33825	-1.113439						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813724	467			12	467	1	265	76	117	117	1.07835	0	-5.622979	0	-2.017132	0	0.4150231	0	0.03865974	0	-2.478165	0	-1.292597	0	-4.653675	0	-3.957595	0	-0.685601	0	1.07835	0	0.4150231	0	2.3462	2.191467	-1.033505	0.6716416	-0.518975	-0.4680287	-5.541499	-1.469178	0.543462	0.2457004	-1.01922	-1.208205	-3.054718	0.8879951	-0.6416053	-0.8309664	-0.776035	-1.877661	-1.674958	-1.536238						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813757	500			13	500	1	265	77	119	119	0.05677788	0	-5.33282	0	-2.246347	0	-0.4017472	0	0.4779657	0	-3.420706	0	-0.6451653	0	-4.204216	0	-3.449563	0	-0.9516927	0	0.05677788	0	0.4779657	0	1.976329	1.741743	-1.08339	0.7248476	-0.6867457	-0.5927633	-5.915072	-2.036804	0.5423108	0.6153939	-1.198099	-0.9500149	-1.817114	-0.3036203	-0.4175914	-0.3369938	-1.656796	-1.898149	-1.91285	-2.023078						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813790	533			14	534	1	266	79	119	119	-0.8700468	0	-5.115029	0	-2.140856	0	-0.7327128	0	0.5638981	0	-3.829153	0	-0.4695788	0	-4.056094	0	-3.23161	0	-0.8376756	0	-0.8700468	0	0.5638981	0	1.917986	1.749547	-1.209558	0.575895	-1.340129	-1.026602	-6.280375	-2.575704	0.3207463	0.6861628	-1.309667	-0.5959269	-1.12913	-0.7145681	-0.3640864	-0.05060042	-2.240033	-2.079398	-1.567222	-1.976375						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813824	567			15	567	1	267	82	119	119	-1.436595	0	-4.326124	0	-1.808832	0	-0.8224155	0	0.565099	0	-3.794957	0	-0.0292656	0	-3.550594	0	-2.70017	0	-0.7897768	0	-1.436595	0	0.565099	0	1.619819	1.356693	-0.9934107	0.5915076	-1.382877	-0.9669929	-5.828875	-2.626975	0.07150495	0.7739635	-1.174931	-0.308074	-0.8480027	-1.210392	-0.1275085	-0.06887734	-2.527724	-1.916331	-1.446278	-1.879937						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813857	600			16	601	1	266	85	120	120	-1.088578	0	-4.641747	0	0.08490607	0	0.02134412	0	0.02408866	0	-3.583976	0	-0.06578927	0	-3.853166	0	-3.142736	0	-0.2228216	0	-1.088578	0	0.02408866	0	2.105298	2.024057	-0.9181206	0.4985252	-1.536779	-1.192459	-5.722708	-2.455353	0.02990695	0.5629836	-0.6665052	-0.1621912	-0.7670152	-0.2015616	-0.2353543	-0.2505896	-1.501458	-1.262673	-1.10113	-1.181878						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813890	633			17	634	1	265	88	120	120	-1.139047	0	-4.987396	0	0.4652182	0	0.9201591	0	-0.931717	0	-3.420491	0	-1.185607	0	-4.523858	0	-3.980679	0	-0.8294165	0	-1.139047	0	0.9201591	0	2.326394	2.286376	-0.7148036	0.4825193	-1.397729	-0.9833451	-5.74054	-2.22495	-0.02306619	-0.04986257	-0.6448925	-1.240917	-1.641684	0.5723634	-0.3782589	-1.418005	-0.07331344	-0.7357205	-1.344415	-0.7322777						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813924	667			18	667	1	265	91	119	119	-0.3106971	0	-5.626215	0	-0.6736289	0	1.833236	0	-2.653321	0	-2.935475	0	-3.266469	0	-6.345599	0	-5.457189	0	-2.91363	0	-0.3106971	0	1.833236	0	2.331025	2.25173	-0.5792517	0.8456287	-1.350248	-0.8727231	-5.517843	-1.501553	-0.03955372	-0.3047052	-1.14058	-1.814983	-3.805734	1.504496	-0.5946696	-2.523827	1.04875	-0.8780267	-1.937632	-1.063974						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813957	700			19	701	1	263	92	121	121	-0.03166657	0	-5.768936	0	-0.7772752	0	1.940003	0	-3.210023	0	-2.449289	0	-3.69398	0	-6.860009	0	-5.954621	0	-3.319341	0	-0.03166657	0	1.940003	0	2.351153	2.429616	-0.712989	0.9605441	-1.244671	-0.8481323	-5.990319	-0.9233811	0.1428351	-0.4376048	-0.8178548	-1.94916	-5.033075	1.479486	-0.7299013	-2.318461	1.258659	-0.9470989	-2.314635	-1.701336						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145813991	734			20	734	1	263	92	122	122	-0.1564513	0	-5.284066	0	-1.031132	0	1.61603	0	-2.636329	0	-1.9312	0	-2.851726	0	-5.980102	0	-5.356134	0	-2.238485	0	-0.1564513	0	1.61603	0	2.175216	2.331997	-0.8223269	1.003423	-1.09981	-0.825352	-5.8494	-0.6551354	0.09526955	-0.477945	-0.7399321	-1.968245	-4.32883	1.208358	-0.7063	-2.059471	0.8145517	-1.310153	-2.548407	-1.83673						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145814024	767			21	767	1	262	90	122	122	0.2032246	0	-5.345671	0	-1.026246	0	1.333499	0	-2.769062	0	-1.82287	0	-2.998199	0	-6.182062	0	-5.602814	0	-2.251539	0	0.2032246	0	1.333499	0	2.149103	2.359392	-0.8985217	0.8953567	-1.073804	-0.8771657	-5.661092	-0.5566007	0.2045828	-0.5147195	-0.6200691	-1.938781	-4.284375	1.031867	-0.6200739	-2.053906	0.8178679	-1.441414	-2.69565	-1.878899						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145814057	800			22	801	1	263	89	120	120	0.06026356	0	-5.504451	0	-1.070261	0	1.438917	0	-2.701868	0	-2.02091	0	-2.845041	0	-6.03995	0	-5.5976	0	-2.06615	0	0.06026356	0	1.438917	0	2.199949	2.294711	-0.8353474	0.9380282	-1.190819	-0.814607	-5.739091	-0.6713406	0.03865628	-0.3015878	-0.6969781	-1.87719	-3.985903	1.268739	-0.6316094	-2.113039	0.8460746	-1.41017	-2.547306	-1.9085						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145814091	834			23	834	1	263	88	120	120	-0.06876884	0	-5.442756	0	-0.8560656	0	1.475864	0	-2.839818	0	-2.041161	0	-3.003162	0	-6.14923	0	-5.734382	0	-2.204674	0	-0.06876884	0	1.475864	0	2.207575	2.279453	-0.8155074	0.8790289	-1.202309	-0.8035222	-5.584154	-0.7244642	0.002956174	-0.2596343	-0.6940703	-1.776181	-3.907618	1.335375	-0.5919757	-2.161892	0.9670426	-1.324135	-2.500781	-1.821645						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145814124	867			24	868	1	264	87	118	118	-0.1765469	0	-5.527183	0	-0.8158937	0	1.310513	0	-2.561775	0	-2.252904	0	-2.698165	0	-5.970875	0	-5.583859	0	-2.041154	0	-0.1765469	0	1.310513	0	2.287858	2.194929	-0.7593194	0.720602	-1.239184	-0.8123018	-5.431358	-0.973062	-0.09355756	-0.1033707	-0.7318287	-1.527631	-3.462586	1.308122	-0.6990637	-2.259462	0.8528491	-1.233009	-2.203053	-1.437159						
TianlinLiu	20180411	793f836eb_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_145814157	900			25	901	1	263	85	119	119	0.1262671	0	-5.669797	0	-0.7456243	0	1.476917	0	-3.34625	0	-2.198895	0	-3.610755	0	-6.876254	0	-6.388871	0	-2.881787	0	0.1262671	0	1.476917	0	2.379563	2.319171	-0.8331481	0.7254418	-1.245737	-0.7922205	-5.383138	-0.7922533	-0.02599294	-0.2726165	-0.7118326	-1.838152	-4.304471	1.532722	-0.6629335	-2.567814	1.446077	-1.071542	-2.410056	-1.730545						
