#Study : TianlinLiu
#Date : 20180411 09:08:15
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:32:27.492 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	1808cc160_1__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_143227558	66			0	67	1	284	37	121	121	-0.3273589	0	-1.872158	0	-2.022705	0	-1.80883	0	1.471734	0	-2.009694	0	-1.849866	0	-1.209436	0	-1.161039	0	-0.1090355	0	-0.3273589	0	1.471734	0	-0.6759907	-0.4153621	-1.588744	-0.8479982	-1.256492	-1.131586	-2.666405	-1.727596	0.2290792	0.5873726	-1.019677	-0.3287852	-0.166793	-1.447438	0.09934559	0.6226674	-1.69792	-1.072004	-0.5130158	-1.305394						
TianlinLiu	20180411	1808cc160_1__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_143227592	100			1	100	1	287	38	117	117	-0.2394977	0	-2.105714	0	-2.28943	0	-2.006755	0	1.101538	0	-2.690228	0	-2.107925	0	-1.771514	0	-1.16598	0	0.1175169	0	-0.2394977	0	1.101538	0	-0.6736516	-0.3338836	-1.864695	-0.9839931	-1.411212	-1.197106	-3.389072	-2.091564	0.121429	0.5862752	-0.9597873	-0.01827885	-0.8379657	-1.234238	0.07778097	0.722144	-1.942471	-1.230308	-0.5684397	-1.795573						
TianlinLiu	20180411	1808cc160_1__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_143227625	133			2	133	1	285	36	120	120	-0.1323114	0	-2.07668	0	-2.066213	0	-1.883297	0	1.272298	0	-2.335557	0	-2.023981	0	-1.648717	0	-1.355508	0	-0.09145138	0	-0.1323114	0	1.272298	0	-0.7167187	-0.342647	-1.773062	-0.7297163	-1.325772	-1.166943	-3.026467	-1.866202	0.2266614	0.4998093	-1.010356	-0.2172291	-0.491843	-1.240943	0.01855196	0.5498383	-1.673033	-1.050875	-0.4949925	-1.690744						
TianlinLiu	20180411	1808cc160_1__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_143227658	166			3	167	1	288	37	117	117	-0.1305815	0	-1.972392	0	-2.316053	0	-1.867511	0	1.056121	0	-2.563986	0	-2.007677	0	-1.739558	0	-1.075355	0	0.1033849	0	-0.1305815	0	1.056121	0	-0.6954274	-0.3570976	-1.70079	-0.909847	-1.305757	-1.144685	-3.077481	-1.983135	0.147765	0.6116982	-0.8956604	0.05067455	-0.7835575	-1.09709	0.06389041	0.7272135	-1.814558	-1.116707	-0.5347037	-1.706689						
TianlinLiu	20180411	1808cc160_1__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_143227691	199			4	200	1	286	37	118	118	-0.3883581	0	-2.090585	0	-2.344118	0	-2.106761	0	0.9993323	0	-2.58064	0	-1.947783	0	-1.511855	0	-1.11359	0	0.4511794	0	-0.3883581	0	0.9993323	0	-0.7459931	-0.3937961	-1.822199	-1.027188	-1.482912	-1.114508	-3.410918	-2.117098	0.001005922	0.462164	-0.9705763	-0.1365621	-0.8541931	-1.190842	-0.02205324	0.6230302	-1.915995	-1.233967	-0.6281788	-1.770759						
TianlinLiu	20180411	1808cc160_1__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_143227725	233			5	233	1	286	36	118	118	-0.534973	0	-2.059443	0	-2.317051	0	-2.140415	0	0.9676762	0	-2.630181	0	-1.999819	0	-1.360958	0	-1.052984	0	0.5712823	0	-0.534973	0	0.9676762	0	-0.7392026	-0.4122573	-1.742424	-1.072335	-1.630273	-1.145874	-3.436096	-2.167446	-0.1080345	0.4075823	-1.019792	-0.2265028	-0.9489882	-1.10787	-0.03314453	0.5311173	-1.853893	-1.243198	-0.5689079	-1.886268						
TianlinLiu	20180411	1808cc160_1__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_143227758	266			6	267	1	284	34	123	123	-0.2265387	0	-1.860567	0	-1.543711	0	-1.686257	0	0.8126068	0	-1.82462	0	-1.796762	0	-1.420471	0	-1.418248	0	0.6389271	0	-0.2265387	0	0.8126068	0	-0.7672338	-0.3233849	-1.717664	-0.7115778	-1.389771	-1.095005	-3.040743	-1.681708	0.1101536	0.2783865	-0.8790433	-0.2835654	-0.3893513	-1.302743	-0.06813886	0.4659672	-1.635127	-1.081069	-0.5439759	-1.708222						
TianlinLiu	20180411	1808cc160_1__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_143227791	299			7	300	1	284	35	120	120	-0.6135922	0	-1.600831	0	-1.658394	0	-1.853926	0	0.7551454	0	-2.083836	0	-1.54363	0	-0.7178862	0	-0.7204166	0	1.139914	0	-0.6135922	0	0.7551454	0	-0.5706345	-0.3297808	-1.707704	-1.070766	-1.596655	-1.1678	-3.406374	-1.964114	-0.1636644	0.3481144	-1.011049	-0.4662587	-0.4754879	-1.475523	-0.01287377	0.5530848	-1.908653	-1.323359	-0.5573264	-1.595133						
TianlinLiu	20180411	1808cc160_1__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_143227825	333			8	333	1	286	35	119	119	-0.9385161	0	-1.569308	0	-1.729186	0	-1.923527	0	0.554429	0	-2.126055	0	-1.442866	0	-0.5918711	0	-0.7230988	0	1.29783	0	-0.9385161	0	0.554429	0	-0.6338875	-0.3683654	-1.51356	-1.023463	-1.644832	-1.099944	-3.25944	-1.948757	-0.4326572	0.1170869	-0.9408146	-0.3229417	-0.8858356	-1.087131	-0.1394088	0.422104	-1.750855	-1.227215	-0.6070732	-1.607333						
TianlinLiu	20180411	1808cc160_1__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_143227858	366			9	367	1	287	35	119	119	-0.9554206	0	-1.725696	0	-1.718123	0	-1.96223	0	0.2772982	0	-2.229323	0	-1.57558	0	-1.018368	0	-1.014562	0	1.433637	0	-0.9554206	0	0.2772982	0	-0.8282285	-0.4273689	-1.695488	-0.9504864	-1.841606	-1.141032	-3.472371	-2.019914	-0.5090741	-0.02047335	-0.8573408	-0.2098958	-0.9737066	-1.087088	-0.2507581	0.3797698	-1.847113	-1.216346	-0.7208268	-2.05086						
