#Study : TianlinLiu
#Date : 20180411 09:07:37
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:37:17.051 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	3463ed0d8_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_143717206	155			0	155	1	371	190	311	311	-3.190526	0	-1.930633	0	-0.9421062	0	-0.8854691	0	-1.187433	0	-0.6808206	0	1.181516	0	-0.6339497	0	-1.800453	0	0.5005316	0	-3.190526	0	1.181516	0	1.767882	0.9988989	0.225259	-1.062698	-0.8714448	-0.575253	-2.042523	-0.1384822	-0.8935411	-0.5011972	0.2946711	0.09133804	0.1969961	-1.938851	-0.05612019	0.04036523	-1.711226	-1.469867	-2.413534	1.12394						
TianlinLiu	20180411	3463ed0d8_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_143717283	232			1	233	1	371	189	312	312	-3.281415	0	-2.034801	0	-1.005613	0	-0.9007114	0	-1.244217	0	-0.7494801	0	1.231371	0	-0.6960117	0	-1.854686	0	0.5425931	0	-3.281415	0	1.231371	0	1.763733	1.004973	0.2242731	-1.106421	-0.9576283	-0.6647155	-2.125711	-0.1535773	-0.9518672	-0.5171285	0.3103105	0.1047992	0.2011245	-1.832846	-0.05898755	0.0296787	-1.679314	-1.409288	-2.399231	1.209672						
TianlinLiu	20180411	3463ed0d8_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_143717361	310			2	310	1	370	190	315	315	-3.254243	0	-1.695492	0	-0.9827307	0	-0.5771514	0	-1.164565	0	-0.9191485	0	1.354662	0	-0.7173871	0	-1.62242	0	0.3365689	0	-3.254243	0	1.354662	0	1.457818	0.7859306	0.2451185	-0.9847094	-0.8646555	-0.6997212	-2.123265	-0.3020535	-0.9392518	-0.4182385	0.529507	0.3697718	0.06040823	-1.385426	-0.06092143	0.0942168	-1.646575	-1.195803	-2.035804	1.402454						
TianlinLiu	20180411	3463ed0d8_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_143717438	387			3	388	1	375	195	308	308	-2.607392	0	-1.775356	0	-0.5667938	0	-1.019923	0	-1.725584	0	-0.2957373	0	1.039754	0	-0.9411771	0	-1.580645	0	0.01895453	0	-2.607392	0	1.039754	0	1.814561	1.075211	0.2028325	-1.353764	-0.7012538	-0.2613131	-2.426853	-0.167959	-0.9394535	-1.257209	-0.1438112	-0.945049	-0.5040027	-1.260036	-0.7302523	-0.9098794	-0.5232825	-0.6618114	-2.51173	2.1056						
TianlinLiu	20180411	3463ed0d8_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_143717516	465			4	465	1	373	196	312	312	-2.932559	0	-1.475763	0	-0.3032364	0	-0.5490384	0	-1.51671	0	-0.4486982	0	1.253138	0	-0.8271254	0	-1.557884	0	0.1920311	0	-2.932559	0	1.253138	0	1.517658	0.8718476	0.2564343	-1.176865	-0.664947	-0.4699178	-2.267298	-0.1522015	-0.9864681	-1.007519	-0.007919263	-0.4707258	-0.4851066	-1.213521	-0.7532057	-0.6319245	-0.7600219	-0.649105	-2.22142	1.925693						
TianlinLiu	20180411	3463ed0d8_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_143717594	543			5	543	1	385	209	298	298	-2.537998	0	-1.006774	0	-0.626552	0	-0.7824167	0	-0.9660178	0	-0.3762784	0	0.8679267	0	-0.3293651	0	-1.014811	0	0.488436	0	-2.537998	0	0.8679267	0	1.394455	0.8688153	0.182811	-0.9426468	-0.5849487	-0.1215043	-1.817359	-0.2876952	-1.058962	-1.107936	-0.2575707	-0.8270565	-0.6054873	-1.369093	-0.6169646	-0.7541217	-1.436808	-1.527262	-2.918419	1.959796						
TianlinLiu	20180411	3463ed0d8_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_143717671	620			6	621	1	388	213	298	298	-2.021639	0	-1.075081	0	-0.817917	0	-0.3683696	0	-0.7249482	0	-0.2393581	0	0.6229594	0	-0.6838157	0	-1.260746	0	-0.0370529	0	-2.021639	0	0.6229594	0	1.014872	0.5018871	0.4914935	-1.119124	-0.744967	-0.6191329	-1.59149	-0.4103662	-0.7481589	-0.3698056	-0.6599423	-0.4272104	-0.5271385	-0.7328075	-0.5850821	-0.2958144	-1.235891	-1.197589	-1.697915	2.308809						
TianlinLiu	20180411	3463ed0d8_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_143717749	698			7	698	1	388	211	294	294	-1.310812	0	-1.436023	0	-1.631426	0	-0.6790624	0	-0.9941547	0	0.2941557	0	0.5821316	0	-0.6212501	0	-1.682927	0	-0.3480836	0	-1.310812	0	0.5821316	0	1.420211	0.7849186	0.555554	-1.263138	-0.3245957	-0.01785737	-1.393289	-0.422858	-0.434835	-0.4580392	-0.536994	-0.6263644	-0.5757674	-1.007971	-0.3917941	-0.2460602	-1.387905	-1.46727	-2.127093	2.351613						
TianlinLiu	20180411	3463ed0d8_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_143717826	775			8	776	1	393	211	283	283	-0.8102579	0	-1.882853	0	-2.713538	0	-1.437849	0	-1.043449	0	0.841406	0	0.6845368	0	-0.7203531	0	-1.828275	0	-0.6507524	0	-0.8102579	0	0.841406	0	2.191259	1.416968	0.5989314	-2.38103	0.1330858	0.3405762	-0.8706122	0.1742754	0.3051193	-0.369554	-0.1218834	-0.1310035	-0.9765474	-1.294523	0.174691	0.06294513	-1.552108	-1.930129	-2.312401	2.751713						
TianlinLiu	20180411	3463ed0d8_1__utterance_15	0	MALE	recording	TestImage	Emotient FACET	20180320_143717904	853			9	853	1	393	207	290	290	-0.9318331	0	-2.359557	0	-2.995283	0	-1.535955	0	-1.129489	0	0.4312004	0	1.184592	0	-0.8614938	0	-2.495246	0	-0.8884937	0	-0.9318331	0	1.184592	0	2.582862	1.487772	1.066648	-1.986348	0.06084839	0.5476202	-0.7961941	0.1468367	0.1468776	-0.1894913	0.09466024	0.2950974	-0.1819169	-1.221089	0.320373	0.2931814	-1.573739	-2.049932	-2.372772	2.497148						
