#Study : TianlinLiuValidation
#Date : 20180411 09:26:26
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:22:24.093 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	1e0c8219d_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232224159	66			0	67	1	563	83	158	158	-0.8307855	0	-1.346503	0	-2.78922	0	-1.95825	0	-2.592853	0	0.93631	0	-3.415849	0	-3.573708	0	-2.991665	0	-3.368368	0	-0.8307855	0	0.93631	0	-0.202106	-0.1414573	-1.070871	-1.645196	-0.926061	-0.682933	-0.9196276	0.9339268	-0.9919395	-1.693864	-0.9224759	-0.9478574	-4.152717	-0.2548022	-1.103137	-2.144981	0.9526117	0.252772	-2.693075	0.4609412						
TianlinLiuValidation	20180411	1e0c8219d_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232224193	100			1	100	1	565	84	156	156	-0.4855288	0	-1.350852	0	-2.381263	0	-1.657957	0	-3.743227	0	0.686933	0	-4.689614	0	-4.962681	0	-4.00089	0	-4.319761	0	-0.4855288	0	0.686933	0	-0.2331512	-0.1434184	-1.186391	-1.859298	-1.005876	-0.7491274	-1.245841	0.7981431	-0.9957884	-1.98015	-1.175475	-1.399943	-5.142287	-0.1454346	-1.093478	-3.054728	1.881141	0.7492565	-3.022335	0.2531222						
TianlinLiuValidation	20180411	1e0c8219d_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232224226	133			2	133	1	566	84	155	155	-0.5260116	0	-1.506735	0	-2.626049	0	-1.587646	0	-4.274741	0	0.7144855	0	-5.05447	0	-5.413098	0	-4.479271	0	-4.820959	0	-0.5260116	0	0.7144855	0	-0.1881811	-0.1231102	-1.133525	-1.93197	-1.04512	-0.8077381	-1.237772	0.8920931	-1.013468	-2.064397	-1.178587	-1.557469	-5.704573	-0.08849719	-1.101518	-3.335738	2.180029	0.8054373	-3.256927	0.1552803						
TianlinLiuValidation	20180411	1e0c8219d_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232224259	166			3	167	1	566	84	155	155	-0.6874313	0	-1.663375	0	-2.95418	0	-1.576708	0	-4.782225	0	0.7182363	0	-5.509196	0	-6.08839	0	-5.066974	0	-5.345565	0	-0.6874313	0	0.7182363	0	-0.2736096	-0.1447866	-1.138268	-1.930364	-1.031834	-0.7677407	-1.151649	1.129552	-1.132954	-2.291818	-1.042061	-1.613636	-6.370176	0.05185641	-1.074379	-3.681526	2.551651	0.8357322	-3.658334	-0.09633549						
TianlinLiuValidation	20180411	1e0c8219d_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232224293	200			4	200	1	567	84	154	154	-0.9315159	0	-1.507591	0	-3.144632	0	-1.852834	0	-4.79197	0	0.817354	0	-5.642218	0	-6.411111	0	-5.341905	0	-5.562497	0	-0.9315159	0	0.817354	0	-0.4629249	-0.2735466	-1.16091	-2.064161	-1.094927	-0.7504403	-0.9126213	1.364111	-1.316826	-2.499444	-0.7814155	-1.562501	-6.191062	0.01357728	-0.9360905	-3.868101	2.734971	0.7838593	-3.945348	-0.2406592						
TianlinLiuValidation	20180411	1e0c8219d_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232224326	233			5	234	1	564	83	157	157	-1.392023	0	-1.172128	0	-2.768964	0	-1.659547	0	-3.600522	0	1.156337	0	-4.009801	0	-4.452119	0	-3.899314	0	-4.088547	0	-1.392023	0	1.156337	0	-0.3472393	-0.2565814	-1.150481	-1.922748	-1.32639	-0.8561705	-1.23986	1.159904	-1.384015	-2.218231	-0.8605274	-1.151751	-4.74942	-0.1933125	-1.060055	-2.864022	1.471158	0.3714768	-3.164622	0.4201808						
TianlinLiuValidation	20180411	1e0c8219d_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232224359	266			6	267	1	565	83	155	155	-1.562296	0	-0.8714712	0	-2.376259	0	-1.451196	0	-1.225457	0	0.7370123	0	-1.541844	0	-2.272429	0	-1.891275	0	-0.8053713	0	-1.562296	0	0.7370123	0	-0.2055209	-0.2558392	-1.11539	-1.800778	-1.068139	-0.9212118	-1.683911	0.823545	-1.458957	-1.787817	-0.7942472	-0.6562427	-2.901584	-0.2057018	-1.500439	-1.983763	-0.02939638	-0.3397226	-2.463086	0.1465158						
TianlinLiuValidation	20180411	1e0c8219d_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232224393	300			7	300	1	563	81	158	158	-2.467666	0	0.3799142	0	-4.910649	0	-3.226776	0	-0.7083721	0	0.3264541	0	-1.249294	0	-1.128601	0	0.3233083	0	-1.173622	0	-2.467666	0	0.3799142	0	-0.1036557	-0.4328517	-0.9503706	-2.09023	-1.053962	-0.9508185	-0.9788072	1.059005	-1.495064	-0.7738163	0.07437714	0.6493476	-2.257889	-1.268529	-0.5729865	-0.0005404045	-2.408253	-1.657484	-2.379503	-0.3748201						
TianlinLiuValidation	20180411	1e0c8219d_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232224426	333			8	334	1	563	80	159	159	-2.660741	0	0.1314465	0	-4.913977	0	-2.915773	0	-0.5162322	0	0.35613	0	-0.9679834	0	-1.268061	0	-0.1628454	0	-0.9445387	0	-2.660741	0	0.35613	0	0.3028686	-0.008957086	-0.8963947	-1.991999	-1.21319	-1.188234	-1.218886	0.8789069	-1.590588	-0.8375404	0.1856058	0.4994336	-1.468836	-1.359427	-0.4811324	0.25788	-2.735677	-2.231339	-2.860729	0.3829644						
TianlinLiuValidation	20180411	1e0c8219d_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232224460	367			9	367	1	565	80	152	152	-2.046754	0	-1.268971	0	-6.923849	0	-3.629892	0	0.4689944	0	0.3674301	0	-0.1190715	0	-1.246039	0	-0.4265564	0	-0.4028056	0	-2.046754	0	0.4689944	0	1.164964	0.4922872	-0.8751475	-3.19509	-1.494597	-1.578655	-1.657115	0.5812681	-1.352896	-0.8765002	0.6129147	0.5911804	-1.397912	-0.7981079	-1.041508	0.07597823	-2.75093	-2.265464	-2.014724	2.059723						
