#Study : TianlinLiu
#Date : 20180411 09:07:13
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:41:03.460 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	4091ec374_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144103526	66			0	67	1	565	211	315	315	-0.230534	0	-1.642275	0	-1.402483	0	0.5623394	0	-1.176343	0	-0.2693464	0	-1.680668	0	-2.104676	0	-1.890455	0	-0.2149928	0	-0.230534	0	0.5623394	0	0.01710639	0.1726064	-0.4395082	-0.02973413	-1.152739	-0.3061511	-2.439719	-0.2069932	-0.8378028	-0.6044456	-1.341379	-0.536254	-1.390166	0.844376	-0.7298772	-0.9054478	-0.1051852	-0.998578	-0.5056075	0.618177						
TianlinLiu	20180411	4091ec374_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144103560	100			1	100	1	572	215	305	305	0.04681227	0	-1.853588	0	-1.120859	0	0.7646288	0	-1.739848	0	-0.6046527	0	-2.829203	0	-2.378707	0	-2.021927	0	-0.7975513	0	0.04681227	0	0.7646288	0	0.4631793	0.4492278	-0.4750884	-0.4190298	-1.286981	-0.3632455	-2.302108	-0.4623563	-0.7519446	-0.4866726	-2.0323	-1.460293	-1.645742	0.4478043	-1.178557	-1.641573	0.2831595	-0.7669494	-0.7446282	1.249784						
TianlinLiu	20180411	4091ec374_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144103593	133			2	133	1	569	213	307	307	-0.41071	0	-1.63587	0	-0.8165385	0	0.04055965	0	-1.518931	0	-0.2103318	0	-2.726095	0	-2.382718	0	-2.230275	0	-0.7108979	0	-0.41071	0	0.04055965	0	0.04012334	0.215108	-0.536324	-0.4054355	-1.113491	-0.3854772	-1.775242	-0.1012306	-0.8498623	-0.7863877	-2.017448	-1.185228	-1.738527	0.2591269	-1.486254	-1.690011	0.5202143	-0.4419992	-1.258581	1.210599						
TianlinLiu	20180411	4091ec374_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144103626	166			3	167	1	573	216	302	302	-0.9992592	0	-1.136716	0	0.05348182	0	0.01753884	0	-0.6629933	0	-0.2745317	0	-1.51225	0	-1.462119	0	-1.471516	0	0.2608508	0	-0.9992592	0	0.01753884	0	0.4153769	0.5744771	-0.495208	-0.3604448	-1.009625	-0.3555319	-1.660683	-0.1198133	-1.126482	-1.028996	-1.742859	-1.140766	-1.162292	-0.3765971	-1.560606	-1.17993	-0.1925767	-0.593397	-1.4819	1.254679						
TianlinLiu	20180411	4091ec374_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144103660	200			4	200	1	571	216	303	303	-2.910672	0	-1.091201	0	-0.4841433	0	-1.86164	0	-0.4247731	0	-0.8483623	0	-1.34097	0	-0.5763518	0	-0.6881207	0	0.8837869	0	-2.910672	0	-0.4247731	0	0.2020099	0.3554941	-0.5186014	-1.032867	-0.8606479	-0.4266947	-1.942383	-0.8726118	-1.247387	-1.058794	-1.709161	-1.347259	-0.3968609	-0.8639169	-1.316406	-0.8660679	-0.3626697	-0.4990763	-2.23501	1.430426						
TianlinLiu	20180411	4091ec374_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144103693	233			5	234	1	565	208	311	311	-3.599906	0	-1.348537	0	0.7278038	0	-2.020974	0	-0.776459	0	-0.9449872	0	-2.1244	0	-0.8305433	0	-1.303792	0	0.7640817	0	-3.599906	0	-0.776459	0	-0.2124214	0.08635045	-0.7312828	-0.6681595	-1.351428	-0.7927723	-2.253822	-0.9434841	-1.556502	-1.274563	-1.93296	-1.535143	-0.3769365	-0.8612642	-1.618941	-1.328069	0.2185837	-0.007659198	-2.779259	1.272262						
TianlinLiu	20180411	4091ec374_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144103726	266			6	267	1	567	208	309	309	-4.18178	0	-1.565927	0	1.276066	0	-2.760753	0	-1.265001	0	-1.241611	0	-2.873755	0	-1.201814	0	-1.661043	0	0.1343212	0	-4.18178	0	-1.241611	0	-0.110496	0.1792427	-0.8148552	-0.7665988	-1.511553	-0.8858487	-2.356077	-1.116516	-1.631979	-1.507839	-2.122596	-1.906001	-0.8391183	-1.070405	-1.74432	-1.615494	0.613526	0.3852951	-3.484978	1.477922						
TianlinLiu	20180411	4091ec374_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144103760	300			7	300	1	580	215	294	294	-6.044497	0	-2.192882	0	1.967122	0	-4.130891	0	-2.734207	0	-2.55016	0	-3.490213	0	-2.035014	0	-2.635413	0	-1.599836	0	-6.044497	0	-2.192882	0	0.8364961	0.7426451	-0.6232259	-0.9854628	-1.790114	-0.9810728	-2.47146	-1.695015	-2.112607	-2.087306	-1.970918	-2.672124	-1.670707	-1.880237	-1.994006	-1.825853	0.7978641	0.8300971	-5.213207	2.142535						
TianlinLiu	20180411	4091ec374_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144103793	333			8	334	1	566	204	312	312	-4.705992	0	-1.728889	0	1.628117	0	-2.947541	0	-1.593234	0	-1.57912	0	-2.933443	0	-1.361372	0	-1.892052	0	-0.1897889	0	-4.705992	0	-1.57912	0	0.01259699	0.2019572	-0.7742363	-0.751479	-1.673845	-1.016189	-2.56126	-1.269607	-1.770517	-1.598514	-2.022969	-1.987848	-0.8591266	-1.171976	-1.79368	-1.722136	0.8597989	0.629465	-3.84692	1.857737						
TianlinLiu	20180411	4091ec374_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144103827	367			9	367	1	568	206	310	310	-5.658397	0	-1.770896	0	2.051858	0	-3.456884	0	-2.295021	0	-2.102233	0	-3.45231	0	-1.66683	0	-2.21884	0	-1.060742	0	-5.658397	0	-1.770896	0	0.2824695	0.453532	-0.7092608	-0.8218329	-1.79896	-1.049627	-2.677741	-1.636781	-2.083294	-1.980544	-2.176848	-2.3874	-1.398725	-1.464789	-1.728279	-2.021887	1.308937	1.080686	-4.456532	2.004604						
