#Study : TianlinLiuValidation
#Date : 20180411 09:26:24
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:22:34.398 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	22e9f018d_2___utterance_44	0	MALE	a	TestImage	Emotient FACET	20180325_232234464	66			0	67	1	637	200	209	209	2.322736	0	-2.978587	0	-1.428789	0	-0.2749839	0	-2.676276	0	-1.49502	0	-3.237087	0	-4.568422	0	-4.240465	0	-2.669319	0	2.322736	0	-0.2749839	0	0.3374138	0.7825479	-1.501573	-0.6239124	0.3463747	-0.7227983	-2.668279	0.0503635	1.46827	0.2059541	-0.1663831	0.2382711	-3.855371	-0.8223742	-0.3219048	-0.1816287	-0.6259001	-1.029746	-0.2138362	-1.534657						
TianlinLiuValidation	20180411	22e9f018d_2___utterance_44	0	MALE	a	TestImage	Emotient FACET	20180325_232234497	99			1	100	1	638	205	213	213	2.552787	0	-2.978039	0	-1.685598	0	-0.3684717	0	-2.794727	0	-1.687786	0	-3.440843	0	-4.730665	0	-4.242597	0	-2.874315	0	2.552787	0	-0.3684717	0	0.2177824	0.7057247	-1.519238	-0.7966013	0.5537137	-0.7322743	-2.537078	0.09822442	1.615265	0.1593542	-0.04475576	0.1981211	-4.083657	-0.8349982	-0.3844274	-0.1636271	-0.7003164	-1.006352	-0.2036279	-1.665172						
TianlinLiuValidation	20180411	22e9f018d_2___utterance_44	0	MALE	a	TestImage	Emotient FACET	20180325_232234531	133			2	133	1	638	207	221	221	2.750621	0	-3.307331	0	-1.798958	0	-0.5103995	0	-3.041577	0	-1.937601	0	-3.629213	0	-5.283503	0	-4.673809	0	-3.3486	0	2.750621	0	-0.5103995	0	0.2062616	0.7333016	-1.492779	-0.7689093	0.5838315	-0.7334126	-2.635538	0.07776157	1.705388	0.1611557	-0.1731799	0.1507969	-4.023048	-0.6927489	-0.5065832	-0.1902079	-0.5988725	-0.9170765	-0.04906811	-1.977747						
TianlinLiuValidation	20180411	22e9f018d_2___utterance_44	0	MALE	a	TestImage	Emotient FACET	20180325_232234564	166			3	167	1	641	210	221	221	2.757001	0	-3.322921	0	-1.82489	0	-0.4644848	0	-3.020021	0	-2.026186	0	-3.439452	0	-5.12523	0	-4.529006	0	-3.090487	0	2.757001	0	-0.4644848	0	0.2035219	0.6895084	-1.520136	-1.002587	0.5872101	-0.9046299	-2.851581	0.1203524	1.657428	0.1634957	0.02325258	0.1455754	-4.2742	-0.696969	-0.6415197	-0.1808618	-0.6677375	-0.9299873	-0.1700873	-1.938287						
TianlinLiuValidation	20180411	22e9f018d_2___utterance_44	0	MALE	a	TestImage	Emotient FACET	20180325_232234598	200			4	200	1	644	210	223	223	2.932277	0	-3.580022	0	-2.149847	0	-0.6118444	0	-3.160468	0	-2.185963	0	-3.477213	0	-5.290851	0	-4.795528	0	-3.251424	0	2.932277	0	-0.6118444	0	0.1985155	0.6431236	-1.458749	-1.1208	0.6805999	-0.9149338	-2.824074	0.1544476	1.703326	0.07159045	0.04378963	0.09660055	-4.565111	-0.6179886	-0.6620103	-0.1630583	-0.5906293	-0.9262264	-0.1866605	-2.292888						
TianlinLiuValidation	20180411	22e9f018d_2___utterance_44	0	MALE	a	TestImage	Emotient FACET	20180325_232234631	233			5	233	1	650	209	226	226	2.971464	0	-3.541893	0	-2.218753	0	-0.7801566	0	-3.109697	0	-2.37781	0	-3.516422	0	-5.09086	0	-4.646048	0	-3.262888	0	2.971464	0	-0.7801566	0	0.06635229	0.5292923	-1.473459	-1.146447	0.6585336	-0.8543115	-2.742222	0.1151107	1.678399	0.08391048	-0.02869535	0.1280134	-4.433431	-0.6318917	-0.5258198	-0.09548163	-0.6530354	-0.9307258	-0.134455	-2.640216						
TianlinLiuValidation	20180411	22e9f018d_2___utterance_44	0	MALE	a	TestImage	Emotient FACET	20180325_232234664	266			6	267	1	658	206	228	228	2.876618	0	-3.524681	0	-2.14069	0	-0.8080063	0	-3.043339	0	-2.284236	0	-3.549067	0	-5.00747	0	-4.519179	0	-3.207108	0	2.876618	0	-0.8080063	0	0.05509594	0.4570277	-1.440362	-0.9447787	0.6628347	-0.7030222	-2.578712	0.2036973	1.602388	-0.001241596	-0.04652737	0.1284897	-4.273731	-0.4925953	-0.432111	-0.2093628	-0.375903	-0.7455765	-0.1830488	-2.593113						
TianlinLiuValidation	20180411	22e9f018d_2___utterance_44	0	MALE	a	TestImage	Emotient FACET	20180325_232234697	299			7	300	1	667	200	234	234	2.846877	0	-3.709043	0	-2.138766	0	-0.7600011	0	-3.207106	0	-2.153646	0	-3.579352	0	-5.111004	0	-4.893718	0	-3.370356	0	2.846877	0	-0.7600011	0	0.1186354	0.4735982	-1.367269	-0.7455214	0.6906916	-0.4033436	-2.501616	0.1152469	1.731736	0.04832243	-0.2006354	0.2218991	-4.024265	-0.2722346	-0.1499468	-0.140826	-0.1064666	-0.6992967	0.009092774	-2.314116						
TianlinLiuValidation	20180411	22e9f018d_2___utterance_44	0	MALE	a	TestImage	Emotient FACET	20180325_232234731	333			8	333	1	680	196	234	234	2.571585	0	-3.297444	0	-1.879223	0	-0.7373046	0	-2.938341	0	-1.744661	0	-3.406318	0	-4.55406	0	-4.48206	0	-2.969475	0	2.571585	0	-0.7373046	0	0.1585752	0.432063	-1.269275	-0.6358638	0.5346898	-0.4001479	-2.084412	0.1791009	1.600681	0.1424018	-0.2621183	0.2377867	-3.798655	-0.1801737	-0.08242292	-0.1576536	-0.02634417	-0.6850924	-0.02320125	-2.003662						
TianlinLiuValidation	20180411	22e9f018d_2___utterance_44	0	MALE	a	TestImage	Emotient FACET	20180325_232234764	366			9	367	1	692	189	237	237	2.721859	0	-3.52845	0	-1.845935	0	-0.8563214	0	-3.175567	0	-1.736326	0	-3.589314	0	-5.04532	0	-4.851271	0	-3.011007	0	2.721859	0	-0.8563214	0	0.07006133	0.4591812	-1.40272	-0.5830773	0.5034573	-0.2090144	-2.051837	0.1446399	1.794866	0.1960807	-0.4220512	0.2954245	-3.869713	-0.443449	-0.04744471	-0.2172616	-0.09205345	-0.8630494	-0.1430503	-2.280416						
TianlinLiuValidation	20180411	22e9f018d_2___utterance_44	0	MALE	a	TestImage	Emotient FACET	20180325_232234798	400			10	400	1	706	182	235	235	2.925246	0	-3.714329	0	-1.804509	0	-0.858413	0	-3.667756	0	-1.796158	0	-3.934848	0	-5.241167	0	-5.259848	0	-3.422201	0	2.925246	0	-0.858413	0	0.05565901	0.4527229	-1.358392	-0.4970472	0.3465194	-0.02605556	-1.793638	0.09201836	1.776458	-0.001702945	-0.6023844	0.1797765	-4.139274	-0.6305	-0.152198	-0.4848354	0.2138521	-0.7997723	-0.3720103	-2.12079						
TianlinLiuValidation	20180411	22e9f018d_2___utterance_44	0	MALE	a	TestImage	Emotient FACET	20180325_232234831	433			11	433	1	722	178	225	225	2.336084	0	-3.373171	0	-1.560625	0	-0.5054991	0	-3.219309	0	-1.002584	0	-4.102001	0	-5.309463	0	-4.951676	0	-3.171129	0	2.336084	0	-0.5054991	0	0.2370679	0.6622944	-1.543377	-0.4580012	-0.1798555	-0.3538691	-1.861434	-0.1035843	1.274306	-0.1488794	-0.4102493	0.2491862	-4.391441	-0.6443676	-0.361643	-0.616152	-0.1719356	-0.8628171	-0.706288	-1.31275						
TianlinLiuValidation	20180411	22e9f018d_2___utterance_44	0	MALE	a	TestImage	Emotient FACET	20180325_232234864	466			12	467	1	730	172	225	225	2.865398	0	-4.223006	0	-1.795627	0	-0.7809445	0	-4.079626	0	-1.635865	0	-4.752413	0	-6.391496	0	-5.882749	0	-4.124399	0	2.865398	0	-0.7809445	0	0.4714811	0.8590497	-1.563043	-0.3270851	-0.04355893	-0.1316468	-2.191234	-0.1902496	1.536395	-0.1843218	-0.6217032	0.170632	-4.595577	-0.4609149	-0.3931533	-0.9100588	0.4067077	-0.7546753	-0.9529893	-1.461117						
