#Study : TianlinLiu
#Date : 20180411 09:05:31
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:56:00.946 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	7241c40a2_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145601012	66			0	67	1	499	247	274	274	2.455725	0	-5.42684	0	-5.126281	0	-2.62841	0	-0.9948338	0	-3.465589	0	-2.930642	0	-5.890475	0	-4.240046	0	-2.939475	0	2.455725	0	-0.9948338	0	0.2060876	0.3461499	-2.298859	-3.10025	-0.08753002	-1.185824	-4.671721	-0.5829172	1.50736	-0.2231982	-0.3131886	0.07056189	-3.219882	-0.4301111	-0.4514536	0.06266435	-0.7583805	-0.6391068	-1.392109	-1.685247						
TianlinLiu	20180411	7241c40a2_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145601046	100			1	100	1	504	248	267	267	2.372679	0	-5.745695	0	-5.755133	0	-2.830229	0	-1.249998	0	-3.422275	0	-3.009871	0	-6.349072	0	-5.043606	0	-3.059967	0	2.372679	0	-1.249998	0	0.4988519	0.5856169	-1.820748	-3.363196	-0.4292467	-1.3587	-4.946716	-0.3612355	1.196438	-0.4172595	-0.09096188	-0.1305904	-3.271848	-0.08568752	-0.6597417	-0.376125	-0.1849654	-0.2053278	-1.558042	-0.2576491						
TianlinLiu	20180411	7241c40a2_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145601079	133			2	133	1	509	249	267	267	2.248455	0	-5.723022	0	-4.540028	0	-2.873858	0	-0.9122204	0	-2.74218	0	-3.272245	0	-6.269601	0	-5.320633	0	-2.885314	0	2.248455	0	-0.9122204	0	0.8974364	1.016332	-1.50576	-3.480203	-0.5969294	-1.319574	-4.837142	-0.2954744	1.068378	-0.6454798	-0.2398545	-0.6172705	-2.889949	-0.1128167	-1.017776	-0.9771534	0.6425604	0.3281458	-2.471906	0.9115272						
TianlinLiu	20180411	7241c40a2_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145601112	166			3	167	1	515	249	264	264	2.038474	0	-6.700108	0	-3.198704	0	-2.315957	0	-1.89654	0	-2.755286	0	-4.115303	0	-7.763962	0	-7.458092	0	-3.519347	0	2.038474	0	-1.89654	0	1.400817	1.736478	-1.371309	-3.221462	-0.6948766	-1.003624	-4.724689	-0.4578806	1.057289	-1.03504	-1.206138	-0.915349	-3.887808	-0.08550898	-1.699476	-1.916982	2.016501	1.151428	-3.384901	1.115285						
TianlinLiu	20180411	7241c40a2_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145601145	199			4	200	1	518	249	267	267	0.738574	0	-5.9081	0	-2.655168	0	-1.473935	0	-2.694583	0	-2.479095	0	-4.077976	0	-7.699548	0	-8.053159	0	-3.229686	0	0.738574	0	-1.473935	0	1.577772	2.080943	-1.438277	-3.355702	-1.266978	-1.433345	-5.702084	-0.3278742	0.5489045	-1.59466	-1.653009	-1.793692	-4.322645	0.1697181	-2.035931	-2.664697	3.13902	1.807524	-4.545795	1.331138						
TianlinLiu	20180411	7241c40a2_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145601179	233			5	233	1	523	249	267	267	-0.06772613	0	-4.849209	0	-1.669255	0	-1.573967	0	-1.743995	0	-2.076747	0	-3.546992	0	-6.469856	0	-7.043533	0	-2.511686	0	-0.06772613	0	-1.573967	0	1.416233	2.01938	-1.439498	-3.49229	-1.558995	-1.710288	-6.272141	-0.2593742	0.217962	-1.669988	-1.344145	-2.112865	-3.219746	-0.2278579	-2.049634	-2.576821	2.845578	1.994517	-4.338385	1.380772						
TianlinLiu	20180411	7241c40a2_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145601212	266			6	267	1	525	249	268	268	-0.6932622	0	-4.529577	0	-2.200607	0	-2.006817	0	-0.7025905	0	-1.575778	0	-2.618384	0	-5.37009	0	-5.475622	0	-1.194023	0	-0.6932622	0	-0.7025905	0	1.338973	1.823705	-1.49019	-3.585701	-1.743053	-1.751982	-6.150323	-0.2929279	-0.1263619	-1.482998	-0.9336463	-1.542548	-1.519096	-0.5730975	-1.583817	-1.995769	1.532511	1.192987	-3.070649	1.539849						
TianlinLiu	20180411	7241c40a2_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145601245	299			7	300	1	530	252	264	264	-0.7318323	0	-4.80173	0	-3.251115	0	-1.783612	0	0.3078849	0	-1.430548	0	-1.938511	0	-4.256202	0	-4.485544	0	0.07951629	0	-0.7318323	0	0.3078849	0	1.237105	1.714314	-1.399834	-3.636385	-1.604573	-1.791276	-5.399245	-0.2394697	-0.03534659	-0.8163016	-0.6084101	-0.8837553	-0.9890363	-0.4071718	-1.372877	-1.049953	0.2263349	0.07707043	-2.217803	0.9939281						
TianlinLiu	20180411	7241c40a2_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145601279	333			8	333	1	533	253	265	265	-0.9109998	0	-4.917617	0	-3.429905	0	-1.966649	0	0.1063151	0	-1.28809	0	-1.647272	0	-4.291635	0	-4.454501	0	0.1518964	0	-0.9109998	0	0.1063151	0	1.40734	1.840678	-1.397588	-3.806569	-1.511483	-1.908256	-5.621751	-0.07884611	0.003214548	-0.9499777	-0.6924556	-1.114165	-0.7174729	-0.8919307	-1.337375	-1.208575	0.02006105	-0.1875437	-2.697381	0.9152176						
TianlinLiu	20180411	7241c40a2_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145601312	366			9	367	1	534	254	266	266	-0.3368112	0	-4.935773	0	-3.716286	0	-1.85187	0	0.2959123	0	-1.500745	0	-1.919069	0	-4.515748	0	-4.214544	0	-0.3247832	0	-0.3368112	0	0.2959123	0	1.36626	1.705087	-1.511256	-3.755562	-1.558749	-1.806757	-5.302898	-0.08339383	0.2013071	-0.7415874	-0.8828467	-1.023295	-0.9605882	-0.8860542	-1.099589	-0.9751893	-0.01836627	-0.2398528	-2.416913	0.6832081						
