#Study : TianlinLiu
#Date : 20180411 09:04:52
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:00:49.821 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	9152c3951_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_150049887	66			0	67	1	592	79	204	204	-3.459874	0	-2.095011	0	-6.134665	0	-4.252138	0	-4.408766	0	4.155107	0	-4.408333	0	-4.322869	0	-5.428811	0	-5.217311	0	-3.459874	0	4.155107	0	-1.202191	-0.9486308	0.724806	-1.820908	-0.2063696	0.7795767	2.654219	1.44179	-1.887201	-2.759342	-0.6711287	-0.3282425	-4.333031	0.37617	-1.345526	-2.990195	0.8674827	-1.012375	-3.568024	1.528491						
TianlinLiu	20180411	9152c3951_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_150049921	100			1	100	1	588	83	208	208	-2.61032	0	-2.392488	0	-5.282534	0	-3.481298	0	-3.542382	0	3.421866	0	-2.744102	0	-3.415578	0	-4.467954	0	-3.363964	0	-2.61032	0	3.421866	0	-0.2762085	-0.2590414	0.6424583	-1.696941	-0.2087246	0.5472059	1.828911	1.476106	-1.797362	-2.336999	-0.3293043	-0.282714	-4.364135	0.4802263	-1.279639	-2.763885	0.9350445	-0.863321	-2.915363	1.977476						
TianlinLiu	20180411	9152c3951_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_150049954	133			2	133	1	588	87	204	204	-2.515259	0	-2.671571	0	-4.013604	0	-2.908033	0	-2.364709	0	1.480756	0	-0.5915388	0	-2.198649	0	-3.328925	0	-1.117539	0	-2.515259	0	1.480756	0	0.5136383	0.4058675	0.1379913	-1.812478	-0.7404819	-0.004157944	-0.137379	0.4122677	-1.592495	-1.821189	0.2349501	-0.07002252	-2.258631	0.04471339	-0.9647142	-2.010158	0.4639934	-0.2966056	-2.459531	2.570448						
TianlinLiu	20180411	9152c3951_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_150049987	166			3	167	1	587	89	200	200	-3.327209	0	-2.962255	0	-3.393375	0	-2.782769	0	-1.747797	0	-0.2035488	0	0.530202	0	-1.109406	0	-2.533571	0	0.5912171	0	-3.327209	0	0.530202	0	1.426741	1.091297	-0.1397788	-1.900788	-0.3728089	0.04686147	-2.220936	-0.9196159	-1.482639	-1.861506	-0.2904906	-0.5703517	-1.220412	-0.2822037	-1.230472	-2.061208	0.1133911	-0.3231568	-3.08845	2.186989						
TianlinLiu	20180411	9152c3951_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_150050021	200			4	200	1	584	89	200	200	-3.517069	0	-3.024404	0	-3.221569	0	-3.003234	0	-1.707147	0	-0.3060744	0	0.4085657	0	-1.069324	0	-2.525797	0	0.6790519	0	-3.517069	0	0.4085657	0	1.585509	1.240129	-0.1945398	-1.944581	-0.3085606	0.06007227	-2.357432	-1.057081	-1.42759	-1.89524	-0.2731124	-0.566058	-1.090076	-0.471015	-1.266217	-2.049257	0.007689336	-0.4190645	-3.356617	2.373713						
TianlinLiu	20180411	9152c3951_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_150050054	233			5	234	1	582	87	204	204	-3.513574	0	-2.957438	0	-2.852358	0	-2.788753	0	-1.771034	0	-0.4034512	0	0.4332757	0	-1.032057	0	-2.559116	0	0.7647661	0	-3.513574	0	0.4332757	0	1.480756	1.20525	-0.1346207	-1.832389	-0.450656	-0.05149621	-2.286099	-0.9372993	-1.433494	-1.899953	-0.1816781	-0.48965	-1.009133	-0.3210547	-1.187052	-1.962441	0.143068	-0.3428721	-3.165467	2.324269						
TianlinLiu	20180411	9152c3951_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_150050087	266			6	267	1	582	87	203	203	-3.834474	0	-3.080118	0	-2.61238	0	-2.859634	0	-1.678753	0	-0.5387613	0	0.4502153	0	-1.125725	0	-2.677718	0	0.8639044	0	-3.834474	0	0.4502153	0	1.660032	1.354166	-0.1572855	-1.804551	-0.2711532	0.001671272	-2.370545	-1.292038	-1.458994	-1.969624	-0.1263325	-0.4202251	-0.9069827	-0.6007734	-1.25336	-1.97341	-0.06434344	-0.4917284	-3.46936	2.395641						
TianlinLiu	20180411	9152c3951_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_150050121	300			7	300	1	579	85	206	206	-3.817117	0	-3.123713	0	-2.440425	0	-2.732702	0	-1.681547	0	-0.6797897	0	0.1783832	0	-1.248997	0	-2.729601	0	0.749634	0	-3.817117	0	0.1783832	0	1.600739	1.341441	-0.2492955	-1.633337	-0.4295275	-0.02516453	-2.541598	-1.211014	-1.387382	-1.953882	-0.09839281	-0.4999467	-0.8994011	-0.4342735	-1.159224	-1.956195	0.08590636	-0.349472	-3.38289	2.387762						
TianlinLiu	20180411	9152c3951_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_150050154	333			8	334	1	576	83	209	209	-3.513087	0	-2.661074	0	-2.894537	0	-2.799319	0	-1.594839	0	-0.4134469	0	0.4607953	0	-0.761067	0	-2.264438	0	0.6527587	0	-3.513087	0	0.4607953	0	1.521916	1.206133	-0.04644129	-1.688289	-0.08508051	0.3173063	-2.16938	-1.003202	-1.270398	-1.821429	-0.1457066	-0.5457624	-1.126949	-0.2123665	-1.058313	-1.948682	0.1209943	-0.4482336	-3.43375	2.050539						
TianlinLiu	20180411	9152c3951_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_150050188	367			9	367	1	575	82	211	211	-1.977351	0	-2.239267	0	-3.683029	0	-2.640885	0	-1.59723	0	0.08827136	0	-0.1128494	0	-0.9903392	0	-2.174546	0	-0.0268435	0	-1.977351	0	0.08827136	0	1.143827	0.9439574	-0.1327767	-1.654153	0.1639566	0.729044	-1.952399	-0.78914	-0.7266412	-1.619358	-0.4867965	-0.9859078	-1.877025	0.3541552	-0.9599286	-1.825381	0.4357539	-0.273064	-2.922628	1.944942						
TianlinLiu	20180411	9152c3951_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_150050221	400			10	400	1	572	81	213	213	-0.2731074	0	-2.48919	0	-4.321238	0	-1.760378	0	-1.474013	0	-0.2196006	0	-0.8288898	0	-1.303014	0	-2.179123	0	-0.465067	0	-0.2731074	0	-0.2196006	0	0.7295967	0.6017696	-0.3588516	-1.100867	-0.1209286	0.5957736	-2.068541	-0.6899268	-0.6390753	-1.517268	-1.14267	-1.33815	-3.131038	1.511173	-0.7446396	-1.934535	0.5816584	-0.5331048	-2.505899	0.9231895						
TianlinLiu	20180411	9152c3951_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_150050254	433			11	434	1	575	84	207	207	1.33828	0	-3.326446	0	-3.770934	0	-1.202314	0	-1.217183	0	-1.120379	0	-1.680715	0	-2.221368	0	-2.850226	0	-0.897963	0	1.33828	0	-1.120379	0	0.8149721	0.625142	-0.7129176	-0.3325911	-0.2442952	0.421214	-2.80876	-1.032165	-0.2265654	-1.100078	-1.701301	-1.758009	-3.594906	1.393977	-0.9100839	-1.985984	0.4532548	-0.6802798	-2.287569	-0.01365563						
