#Study : TianlinLiu
#Date : 20180411 09:04:50
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:01:15.861 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	9354b482f_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150115941	80			0	80	1	634	262	197	197	-0.4129757	0	1.416274	0	-3.868045	0	-1.309356	0	-0.3176971	0	-0.2079021	0	-0.7511411	0	0.1391693	0	1.112242	0	-1.786986	0	-0.4129757	0	1.416274	0	0.06901827	-1.150676	1.16228	-0.4473441	0.4935812	-0.1943708	0.6384816	0.7654751	-0.3635806	0.6522419	0.2291434	1.779055	-0.5706399	-2.402148	0.8876683	1.2862	-2.734415	-1.570591	0.09280933	0.1739243						
TianlinLiu	20180411	9354b482f_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150115981	120			1	120	1	641	270	173	173	1.96101	0	-1.237848	0	-2.543531	0	-0.8689882	0	0.2976874	0	-0.8283905	0	-1.26832	0	-1.938718	0	-0.4983017	0	-2.825377	0	1.96101	0	0.2976874	0	0.1930172	-0.003608532	-0.4111905	-0.9817654	0.2411279	-0.6472127	-1.186497	0.057556	0.8384678	0.8108331	-0.4206264	0.6524125	-3.14955	-1.088943	0.1517671	0.8102864	-0.930512	-0.5605066	0.376411	-0.5075882						
TianlinLiu	20180411	9354b482f_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150116021	160			2	160	1	630	262	198	198	-0.6449792	0	1.522552	0	-4.260055	0	-1.064045	0	-0.4600377	0	0.1211816	0	-0.5682428	0	-0.2210819	0	0.8885159	0	-2.516053	0	-0.6449792	0	1.522552	0	-0.1102648	-1.307458	1.540569	-0.714238	0.7018509	-0.2824881	1.347715	1.360221	-0.4980938	0.8759606	0.6922685	2.124086	-0.7064344	-2.415336	0.9515211	1.420625	-3.049904	-1.826266	0.2966295	0.57714						
TianlinLiu	20180411	9354b482f_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150116061	200			3	200	1	645	274	173	173	2.461177	0	-0.9616196	0	-3.581588	0	-1.638898	0	-0.5883251	0	-0.6298676	0	-1.801682	0	-2.375503	0	-0.8884838	0	-3.837411	0	2.461177	0	-0.5883251	0	-0.5956601	-0.8217122	-1.004785	-1.491707	1.047582	-0.9087455	-0.9578962	0.945263	0.6086441	0.369601	-0.04982049	0.9470466	-3.542447	-0.9807556	0.289847	0.4990776	-1.198006	-0.7153364	-0.5714549	-0.1708019						
TianlinLiu	20180411	9354b482f_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150116101	240			4	240	1	643	266	187	187	0.2790033	0	0.8493926	0	-3.674682	0	-1.237604	0	-0.3789628	0	-0.3159889	0	-0.9701653	0	-0.5885472	0	0.5681893	0	-2.907917	0	0.2790033	0	0.8493926	0	0.03719274	-0.9552927	0.4650753	-1.248731	0.759263	-0.439829	0.1861564	0.8346635	-0.0713161	0.967429	0.6159943	1.404237	-1.865162	-1.493497	0.7372081	1.185171	-1.912449	-0.6699528	0.005478022	0.4777091						
TianlinLiu	20180411	9354b482f_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150116141	280			5	280	1	649	270	180	180	1.711842	0	-0.5130666	0	-3.895764	0	-1.355911	0	-0.2653922	0	-0.3303032	0	-1.11931	0	-1.708312	0	-0.2653813	0	-3.080894	0	1.711842	0	-0.2653922	0	0.03228188	-0.2440926	-0.3050996	-1.247625	0.7415522	-0.688824	-0.8255622	0.8312429	0.5291411	0.7146943	0.2480739	1.110354	-3.386245	-1.260116	0.4255553	0.9712856	-1.566911	-1.021466	0.2110331	-0.4692419						
TianlinLiu	20180411	9354b482f_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150116181	320			6	320	1	652	271	183	183	1.084403	0	0.3831232	0	-3.887389	0	-1.264764	0	-0.3148869	0	-0.1708856	0	-0.9191263	0	-0.8558562	0	0.4825809	0	-3.007561	0	1.084403	0	0.3831232	0	-0.07022972	-0.5413454	0.0600433	-1.214876	0.8525912	-0.6106673	-0.1906196	0.9387197	0.1413105	0.6925314	0.4384786	1.180035	-2.392222	-1.430855	0.5323903	1.034774	-1.810658	-0.7722471	-0.05374731	0.2819619						
TianlinLiu	20180411	9354b482f_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150116221	360			7	360	1	652	267	195	195	-1.656995	0	1.646411	0	-3.493497	0	-1.458899	0	-0.06305928	0	-0.6070966	0	-0.179735	0	0.3414625	0	1.22326	0	-2.018434	0	-1.656995	0	1.646411	0	0.08875148	-1.618463	1.640308	-0.4237544	0.6937931	-0.2314999	1.08094	0.5288114	-0.9536909	0.6408462	0.2733952	2.017068	0.1038846	-2.358597	0.8343838	1.218918	-2.967423	-1.725457	-0.3924314	0.3772622						
TianlinLiu	20180411	9354b482f_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150116261	400			8	400	1	655	270	187	187	-0.27454	0	1.275267	0	-3.860012	0	-1.131144	0	-0.2412597	0	-0.304947	0	-0.5297093	0	-0.1095125	0	1.019046	0	-2.828874	0	-0.27454	0	1.275267	0	-0.001922377	-1.295384	0.9976175	-0.769312	0.8130585	-0.3812289	0.5796662	0.7778032	-0.594192	0.8416527	0.4750771	1.663986	-0.7814224	-1.707734	0.7420911	1.270044	-2.52646	-1.137575	-0.2784045	0.9392997						
TianlinLiu	20180411	9354b482f_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150116301	440			9	440	1	651	266	195	195	-0.5725055	0	1.71439	0	-4.437842	0	-1.539031	0	-0.2954979	0	-0.1699282	0	-0.4494008	0	0.1596044	0	1.478686	0	-2.316445	0	-0.5725055	0	1.71439	0	-0.2813368	-1.301003	1.085157	-0.8285728	0.6111205	-0.296216	1.036813	1.008491	-0.432261	0.7964199	0.697138	2.28128	-0.6110246	-2.449827	1.033015	1.476866	-3.222424	-1.619273	0.3149254	0.2065888						
