#Study : TianlinLiu
#Date : 20180411 09:07:28
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:38:27.374 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	39373c7f9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143827440	66			0	67	1	578	125	148	148	0.1797044	0	-3.437142	0	-2.159317	0	-2.125294	0	0.5058894	0	0.1621407	0	-3.656041	0	-3.350675	0	-3.184342	0	-1.661221	0	0.1797044	0	0.5058894	0	-0.7648079	-0.7180704	-0.5976322	0.3682968	-0.5889105	-0.3318276	-0.8926002	-0.2644263	-0.2457628	-0.7536124	-2.441602	-1.93585	-2.903854	-0.5841461	-1.40224	-2.222448	-0.1593156	-0.714335	-2.731558	-0.4928271						
TianlinLiu	20180411	39373c7f9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143827474	100			1	100	1	578	125	147	147	-0.3061048	0	-2.978008	0	-2.088022	0	-2.223805	0	1.230709	0	0.2981254	0	-2.632527	0	-2.191142	0	-2.437091	0	-0.4942219	0	-0.3061048	0	1.230709	0	-0.7572801	-0.7840911	-0.5421329	0.2737062	-0.5567935	-0.3506508	-0.741788	-0.4187017	-0.4652054	-0.6278939	-2.298746	-1.795938	-2.157592	-0.7843016	-1.521151	-1.904895	-0.8424484	-1.121125	-2.824932	-0.4551196						
TianlinLiu	20180411	39373c7f9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143827507	133			2	133	1	579	125	147	147	-1.42397	0	-2.663054	0	-1.955186	0	-2.555716	0	1.808456	0	-0.1352088	0	-2.359494	0	-1.648055	0	-2.10881	0	0.07973281	0	-1.42397	0	1.808456	0	-0.9028506	-0.8962772	-0.5762545	0.1386477	-0.7308432	-0.4819011	-0.8087863	-0.6539105	-0.7527809	-0.5122933	-2.416427	-1.677284	-1.496724	-1.00009	-1.449773	-1.721885	-1.212597	-1.191947	-2.901851	-0.5891102						
TianlinLiu	20180411	39373c7f9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143827540	166			3	167	1	579	125	147	147	-1.509218	0	-2.366604	0	-2.485596	0	-2.738488	0	2.229022	0	-0.3632665	0	-2.06239	0	-1.531927	0	-1.871208	0	-0.1013849	0	-1.509218	0	2.229022	0	-0.8184956	-0.852768	-0.5785782	0.1722425	-0.558143	-0.5483286	-0.9190077	-0.7909278	-0.6420311	-0.1827531	-2.262594	-1.489952	-1.124445	-1.175026	-1.13533	-1.283469	-1.775163	-1.498055	-2.709926	-0.7864863						
TianlinLiu	20180411	39373c7f9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143827574	200			4	200	1	579	125	147	147	-1.152836	0	-2.250344	0	-2.419792	0	-2.685647	0	1.736171	0	0.06983019	0	-1.84421	0	-1.432628	0	-1.749655	0	0.1216716	0	-1.152836	0	1.736171	0	-0.812645	-0.8503334	-0.6210417	0.08018371	-0.4941173	-0.5322248	-0.8777021	-0.7863745	-0.6348828	-0.3368085	-2.21002	-1.473992	-1.303214	-1.280935	-1.262326	-1.386465	-1.846062	-1.651709	-2.744166	-0.6330625						
TianlinLiu	20180411	39373c7f9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143827607	233			5	234	1	578	125	147	147	-1.220965	0	-2.243273	0	-2.233849	0	-2.626322	0	1.91694	0	0.05923495	0	-1.912649	0	-1.546388	0	-1.830074	0	-0.02945108	0	-1.220965	0	1.91694	0	-0.750228	-0.7780216	-0.6013458	0.08394001	-0.4602946	-0.5154771	-0.7936929	-0.7538377	-0.5280128	-0.2506757	-2.173505	-1.410283	-1.117048	-1.292831	-1.19328	-1.340704	-1.752329	-1.548687	-2.671162	-0.6316437						
TianlinLiu	20180411	39373c7f9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143827640	266			6	267	1	578	124	148	148	-1.101987	0	-2.163816	0	-2.07411	0	-2.415095	0	1.636932	0	0.1830259	0	-1.736583	0	-1.395876	0	-1.758036	0	0.009119899	0	-1.101987	0	1.636932	0	-0.6797902	-0.7588782	-0.5249456	0.09603927	-0.4189559	-0.4843912	-0.8040244	-0.6780268	-0.552749	-0.3568589	-2.162904	-1.456903	-1.249342	-1.238346	-1.218508	-1.415604	-1.669016	-1.541782	-2.702053	-0.4543011						
TianlinLiu	20180411	39373c7f9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143827674	300			7	300	1	577	122	149	149	-0.3307293	0	-2.650779	0	-2.434022	0	-2.684421	0	0.9152504	0	0.8873438	0	-2.458344	0	-1.911387	0	-2.252307	0	-0.5587872	0	-0.3307293	0	0.9152504	0	-0.9063506	-0.8220831	-0.3951404	0.06037932	-0.2611235	-0.1824485	-0.3407879	-0.2760805	-0.5912387	-0.7295579	-2.198981	-1.664833	-1.986607	-0.8346786	-1.561881	-1.792201	-1.08703	-1.271209	-2.646633	0.2247384						
TianlinLiu	20180411	39373c7f9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143827707	333			8	334	1	576	122	149	149	0.01099832	0	-3.17218	0	-2.05001	0	-2.443275	0	-1.143601	0	1.758788	0	-3.305395	0	-3.220989	0	-3.488623	0	-1.569271	0	0.01099832	0	1.758788	0	-0.5121124	-0.4343321	-0.3374041	0.09445716	-0.2554149	-0.04338741	-0.1365663	0.06851459	-0.5323528	-1.501155	-2.20336	-1.958416	-3.536035	-0.847694	-1.836899	-2.779922	-0.08636267	-1.060704	-3.586903	0.7684148						
TianlinLiu	20180411	39373c7f9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143827741	367			9	367	1	577	122	147	147	0.2554736	0	-3.261158	0	-2.009362	0	-2.03204	0	-1.679289	0	1.79951	0	-3.419463	0	-3.636617	0	-3.866437	0	-1.957057	0	0.2554736	0	1.79951	0	-0.2111753	-0.2314779	-0.3186744	0.2914617	-0.1997407	-0.02973923	-0.287608	0.09523989	-0.3878348	-1.567669	-2.158018	-2.010201	-3.90685	-0.839815	-1.721101	-2.897413	0.127011	-1.017113	-3.662093	0.4838276						
