#Study : TianlinLiu
#Date : 20180411 09:07:06
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:42:20.916 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	47628d7dd_2__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144220982	66			0	67	1	242	81	172	172	-0.8271399	0	-3.593756	0	-2.612329	0	-0.9599081	0	-2.827156	0	-0.1111612	0	-0.9746839	0	-3.674483	0	-4.543492	0	-3.098178	0	-0.8271399	0	-0.1111612	0	3.540343	3.232529	0.2666795	-2.119224	-0.2676453	-0.4231182	-2.32011	0.2937611	0.8155196	-1.308145	-0.3828148	-1.271828	-4.16802	-0.7885617	-1.11245	-0.9215006	0.2644561	-1.57411	-2.64479	1.529135						
TianlinLiu	20180411	47628d7dd_2__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144221016	100			1	100	1	247	82	170	170	-0.500994	0	-3.6432	0	-1.582904	0	-0.8603781	0	-3.065488	0	0.1168485	0	-1.328615	0	-4.107613	0	-4.798527	0	-2.832957	0	-0.500994	0	0.1168485	0	3.406679	2.531581	0.5565774	-1.962747	0.2558056	0.3060843	-1.486121	0.01031939	0.2287999	-0.7737696	-1.648469	-1.178558	-3.696779	-1.076431	-0.6901696	-0.7471011	0.4499866	-1.30743	-3.531392	0.3441334						
TianlinLiu	20180411	47628d7dd_2__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144221049	133			2	133	1	248	82	169	169	-0.2576611	0	-3.547094	0	-1.633471	0	-1.040825	0	-3.157756	0	0.1915245	0	-1.503844	0	-4.020943	0	-4.545598	0	-2.932863	0	-0.2576611	0	0.1915245	0	3.125377	2.248901	0.5540298	-2.043185	0.4270348	0.4840062	-1.226001	-0.02567173	0.3282486	-0.7607951	-1.632292	-1.275054	-3.739952	-1.069471	-0.7032893	-0.8875116	0.5657257	-1.189821	-3.571175	0.4159231						
TianlinLiu	20180411	47628d7dd_2__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144221082	166			3	167	1	248	80	176	176	-0.1050236	0	-3.292744	0	-2.523999	0	-1.716606	0	-2.206468	0	-0.5121484	0	-0.2609104	0	-2.941756	0	-3.953263	0	-2.147435	0	-0.1050236	0	-0.2609104	0	3.172377	1.935625	0.8306195	-2.063621	0.9569154	0.5929473	-1.332037	-0.2236701	0.4324309	-0.2538177	-1.35797	-0.7904268	-3.00537	-1.016127	-0.3482983	-0.3158728	-0.05110352	-1.561753	-2.552614	-0.2543603						
TianlinLiu	20180411	47628d7dd_2__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144221116	200			4	200	1	248	80	175	175	-0.1570531	0	-3.280847	0	-2.553305	0	-1.726133	0	-2.354168	0	-0.4488378	0	-0.3491414	0	-3.019119	0	-4.052392	0	-2.26573	0	-0.1570531	0	-0.3491414	0	3.195218	1.973956	0.8558052	-2.08405	0.955296	0.6183951	-1.271109	-0.2023069	0.4168332	-0.3085074	-1.388316	-0.8019007	-3.148705	-1.015361	-0.3533516	-0.3229651	-0.04999188	-1.580344	-2.595143	-0.2672131						
TianlinLiu	20180411	47628d7dd_2__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144221149	233			5	234	1	248	80	176	176	-0.09005412	0	-3.280559	0	-2.497145	0	-1.695178	0	-2.21807	0	-0.5354951	0	-0.2618742	0	-2.948216	0	-3.953227	0	-2.147268	0	-0.09005412	0	-0.2618742	0	3.168297	1.929898	0.8176063	-2.038032	0.9499609	0.5743645	-1.360151	-0.2235597	0.4313058	-0.2660934	-1.360934	-0.7988044	-3.020077	-1.03574	-0.3571633	-0.3278144	-0.04841068	-1.560593	-2.555815	-0.2787696						
TianlinLiu	20180411	47628d7dd_2__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144221182	266			6	267	1	246	81	177	177	0.2821394	0	-3.870436	0	-3.462681	0	-2.200217	0	-2.83531	0	-0.6526349	0	-0.8465698	0	-3.528041	0	-4.909171	0	-3.358022	0	0.2821394	0	-0.6526349	0	3.181146	2.075853	0.6757293	-2.206856	1.282707	1.010789	-1.094403	-0.158474	1.024118	-0.6378746	-1.205889	-0.4504206	-3.84341	-1.502642	-0.3202257	-0.319819	-0.400448	-2.297269	-2.786184	-0.6780923						
TianlinLiu	20180411	47628d7dd_2__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144221216	300			7	300	1	251	83	172	172	0.5425852	0	-3.463494	0	-3.369134	0	-2.514347	0	-3.125503	0	-0.1811965	0	-1.236819	0	-3.540942	0	-4.50566	0	-3.334209	0	0.5425852	0	-0.1811965	0	2.585415	1.634703	0.6118767	-2.576698	1.333787	1.04684	-0.7336709	-0.01247983	0.9402822	-0.5085703	-1.495038	-0.7075952	-4.905428	-1.455625	-0.4049416	-0.4792129	-0.26633	-1.920407	-3.097684	-0.1572193						
TianlinLiu	20180411	47628d7dd_2__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144221249	333			8	334	1	244	80	183	183	-0.8434474	0	-3.375857	0	-3.823322	0	-2.276347	0	-2.147556	0	0.09671857	0	-0.2147245	0	-3.226169	0	-4.905632	0	-3.416405	0	-0.8434474	0	0.09671857	0	3.171984	1.828621	1.505368	-2.355045	1.180526	1.149945	-0.3118871	-0.03385265	0.5513117	-0.3711356	-1.646608	-0.2541969	-1.776565	-1.53829	0.08424299	0.01674052	-0.501332	-1.985632	-3.145762	0.3353863						
TianlinLiu	20180411	47628d7dd_2__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144221283	367			9	367	1	245	81	181	181	-0.7443615	0	-3.228098	0	-3.640233	0	-2.226344	0	-2.131649	0	0.1137368	0	-0.4049151	0	-3.041825	0	-4.534774	0	-3.130122	0	-0.7443615	0	0.1137368	0	3.205042	1.86205	1.272019	-2.396991	1.126373	1.10926	-0.5085522	-0.09449107	0.4282182	-0.3671087	-1.674133	-0.4213153	-2.278581	-1.490807	-0.008508382	-0.03739733	-0.4530609	-1.907869	-3.011849	0.2558727						
