#Study : TianlinLiu
#Date : 20180411 09:05:42
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:54:03.812 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	68062fe15_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_145403878	66			0	67	1	418	49	176	176	1.110265	0	-2.007091	0	-1.541024	0	-0.2793071	0	-0.24545	0	-0.6402927	0	-0.8850658	0	-1.751652	0	-2.230965	0	-0.7448135	0	1.110265	0	-0.24545	0	-0.4590608	-0.9630808	-0.4400239	-0.7765768	0.6674684	0.08697843	-1.086418	0.137623	0.380934	-0.6935592	-0.2451249	-0.2151012	-0.930151	-0.1025148	-0.2491813	-0.614327	0.04875008	-0.1073627	-1.683259	-0.9488586						
TianlinLiu	20180411	68062fe15_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_145403912	100			1	100	1	422	53	171	171	1.317856	0	-2.54302	0	-2.115228	0	-1.014871	0	-0.2791975	0	-0.7114375	0	-0.9266341	0	-2.054712	0	-2.412279	0	-0.374038	0	1.317856	0	-0.2791975	0	-0.6557731	-0.9702989	-0.6811138	-1.617844	0.3568485	-0.009271953	-1.45569	0.1708875	0.3693611	-0.7572406	-0.01882542	0.2026044	-0.5217305	-0.07494045	-0.1249712	-0.1300946	-0.2411396	-0.06811834	-1.46589	-0.6360592						
TianlinLiu	20180411	68062fe15_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_145403945	133			2	133	1	423	55	168	168	1.814976	0	-3.236517	0	-3.135899	0	-1.767623	0	-0.118403	0	-0.851658	0	-0.9246018	0	-2.503026	0	-2.638669	0	-0.396818	0	1.814976	0	-0.118403	0	-0.6606674	-1.10225	-0.8576229	-2.3292	0.3509172	-0.1611194	-1.488004	0.2914194	0.6135892	-0.5072941	-0.1291915	0.1945318	-0.6757135	-0.09774518	-0.2852088	-0.196617	-0.2080934	0.04310824	-1.404158	-0.04605357						
TianlinLiu	20180411	68062fe15_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_145403978	166			3	167	1	423	56	168	168	1.863152	0	-3.422026	0	-3.728855	0	-2.232573	0	0.03677145	0	-0.8964885	0	-1.029674	0	-2.395813	0	-2.475882	0	-0.1741375	0	1.863152	0	0.03677145	0	-0.5713558	-1.15404	-0.7449109	-2.595889	0.122447	-0.3050723	-1.339718	0.3928429	0.6540029	-0.3910192	-0.2720665	0.1273196	-0.7522665	-0.05738474	-0.3577462	-0.2538438	-0.1254579	0.1358728	-1.151491	0.5653555						
TianlinLiu	20180411	68062fe15_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_145404011	199			4	200	1	422	57	167	167	1.893927	0	-3.647004	0	-4.331003	0	-2.297941	0	0.04718151	0	-0.9308617	0	-1.198817	0	-2.538282	0	-2.599462	0	-0.1381584	0	1.893927	0	0.04718151	0	-0.567365	-1.158088	-0.7304828	-2.768131	0.03065922	-0.3439454	-1.458982	0.4361519	0.6868964	-0.3567777	-0.3180977	0.1296099	-0.8353115	0.1251449	-0.4257109	-0.3053204	-0.1013716	0.1273496	-1.165475	0.8388014						
TianlinLiu	20180411	68062fe15_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_145404045	233			5	233	1	417	56	169	169	1.923071	0	-3.441274	0	-4.142732	0	-2.648284	0	0.3116529	0	-1.051825	0	-1.089601	0	-2.135406	0	-1.997941	0	0.02830441	0	1.923071	0	0.3116529	0	-0.3605997	-1.061476	-0.6732126	-2.830431	0.1948227	-0.3945016	-1.285212	0.1880809	0.7628114	-0.2335166	-0.6326302	-0.2096653	-0.8857942	-0.07831351	-0.4673636	-0.5384656	0.07065202	0.1994816	-0.9762767	0.9190701						
TianlinLiu	20180411	68062fe15_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_145404078	266			6	267	1	415	57	168	168	2.016219	0	-3.622346	0	-4.292192	0	-2.678615	0	0.2627919	0	-1.160603	0	-1.205792	0	-2.354067	0	-2.156844	0	0.03052027	0	2.016219	0	0.2627919	0	-0.3832471	-0.9983411	-0.7539663	-2.822959	0.1369559	-0.4305542	-1.597478	0.2367	0.7544349	-0.1448875	-0.4360681	-0.1495783	-0.8942782	0.04288104	-0.4392448	-0.5416912	0.1038885	0.1702553	-0.9616101	0.9948635						
TianlinLiu	20180411	68062fe15_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_145404111	299			7	300	1	411	55	168	168	1.946153	0	-3.309463	0	-3.917829	0	-2.638183	0	0.1807811	0	-1.106716	0	-1.351295	0	-2.131202	0	-1.919459	0	0.06028645	0	1.946153	0	0.1807811	0	-0.4210199	-0.9953332	-0.7053217	-2.800836	0.001548725	-0.4512888	-1.495364	0.160809	0.6684549	-0.1327574	-0.5259496	-0.1957694	-0.8708743	-0.09010309	-0.43101	-0.523087	0.06748789	0.2474237	-0.8523816	1.138409						
TianlinLiu	20180411	68062fe15_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_145404145	333			8	333	1	408	54	170	170	1.763008	0	-3.669192	0	-4.132439	0	-2.373911	0	0.1545126	0	-1.300546	0	-1.084865	0	-2.416351	0	-2.270475	0	-0.1081969	0	1.763008	0	0.1545126	0	-0.2245792	-0.9478195	-0.4988056	-2.70623	-0.05694939	-0.6528758	-1.742904	0.2162689	0.6062394	-0.1767603	-0.562198	-0.3826203	-0.9834982	0.0356128	-0.5316131	-0.7237926	0.2685233	0.1930597	-0.9067801	1.232617						
TianlinLiu	20180411	68062fe15_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_145404178	366			9	367	1	406	54	170	170	1.656949	0	-3.681677	0	-4.187221	0	-2.178835	0	-0.03748656	0	-1.216613	0	-1.370181	0	-2.517543	0	-2.315845	0	-0.2470539	0	1.656949	0	-0.03748656	0	-0.1152253	-0.8165868	-0.4580586	-2.605474	-0.1266709	-0.5942154	-1.725903	0.1888527	0.5381971	-0.1555208	-0.7042165	-0.5438827	-1.126936	0.08861336	-0.5827473	-0.9375458	0.4342895	0.3031584	-0.8499296	1.331557						
