#Study : TianlinLiu
#Date : 20180411 09:07:26
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:38:56.359 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	3a8b0d6ee_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_143856425	66			0	67	1	477	123	221	221	0.4459611	0	-1.254899	0	-0.5176467	0	0.1790196	0	0.1299675	0	-0.8521752	0	0.1097417	0	-0.4667965	0	-0.7837751	0	0.6412961	0	0.4459611	0	0.1790196	0	-0.6559595	-0.3512784	-0.2589835	-0.6349637	-0.6160566	-0.3121772	-2.107423	-0.006662603	0.108247	-0.1965072	-0.2927658	-0.2239933	-0.1734732	-0.2206604	0.1932432	0.160753	-0.9484944	-0.7264122	0.02310321	-0.5851974						
TianlinLiu	20180411	3a8b0d6ee_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_143856459	100			1	100	1	479	125	217	217	0.4472578	0	-1.328123	0	-0.422611	0	0.1686951	0	0.1069959	0	-0.9210879	0	-0.1078972	0	-0.6077702	0	-0.8489841	0	0.6722045	0	0.4472578	0	0.1686951	0	-0.5792271	-0.2311666	-0.4554548	-0.6946121	-0.5613683	-0.3445868	-2.238558	0.06790876	0.08175924	-0.1785074	-0.1868216	-0.2411731	-0.2231055	-0.2047278	0.1943374	0.09981037	-0.8969429	-0.7240635	-0.02551282	-0.6800514						
TianlinLiu	20180411	3a8b0d6ee_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_143856492	133			2	133	1	476	125	220	220	0.4438646	0	-1.27248	0	-0.4199512	0	0.1375235	0	0.1295582	0	-0.8787798	0	0.005634661	0	-0.5239724	0	-0.8149797	0	0.7209967	0	0.4438646	0	0.1375235	0	-0.6862389	-0.3149173	-0.3771238	-0.590259	-0.6109875	-0.30414	-2.200073	-0.005927814	0.08828686	-0.1641711	-0.2458491	-0.2399359	-0.1261819	-0.2261864	0.2056839	0.1632384	-0.9051108	-0.6652436	-0.00478903	-0.6164085						
TianlinLiu	20180411	3a8b0d6ee_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_143856525	166			3	167	1	475	125	220	220	0.4905403	0	-1.297601	0	-0.3790149	0	0.1668938	0	0.1316203	0	-0.9081212	0	-0.02350368	0	-0.5450779	0	-0.8431778	0	0.7246412	0	0.4905403	0	0.1668938	0	-0.6312901	-0.292555	-0.4074314	-0.6611981	-0.6235259	-0.3283421	-2.220096	0.003389812	0.08837085	-0.1688211	-0.2513095	-0.2304489	-0.1377171	-0.2357937	0.2129967	0.1676868	-0.9095476	-0.6784117	-0.01472688	-0.5614095						
TianlinLiu	20180411	3a8b0d6ee_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_143856558	199			4	200	1	474	125	222	222	0.5633377	0	-1.200434	0	-0.6074517	0	-0.009808642	0	0.1388166	0	-0.8119671	0	-0.1276605	0	-0.5012113	0	-0.737233	0	0.6339979	0	0.5633377	0	0.1388166	0	-0.7065642	-0.3877309	-0.3652822	-0.5890704	-0.5515414	-0.2260035	-2.115946	-0.01845725	0.07886292	-0.1711913	-0.3265017	-0.2507773	-0.1664027	-0.2311076	0.2064148	0.1861616	-0.9109548	-0.7067439	-0.02494921	-0.720505						
TianlinLiu	20180411	3a8b0d6ee_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_143856592	233			5	233	1	474	126	222	222	0.6113238	0	-1.255886	0	-0.6497064	0	0.05780572	0	0.1553705	0	-0.8520443	0	0.01084257	0	-0.5208937	0	-0.7247089	0	0.5284635	0	0.6113238	0	0.1553705	0	-0.6881517	-0.4067162	-0.3679548	-0.7590728	-0.5021042	-0.2212345	-2.132082	-0.00110556	0.1799355	-0.08195659	-0.304009	-0.178015	-0.1994718	-0.2431314	0.2762462	0.217947	-0.9218566	-0.6632146	0.06639394	-0.6168151						
TianlinLiu	20180411	3a8b0d6ee_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_143856625	266			6	267	1	473	126	223	223	0.6475263	0	-1.183615	0	-0.8211882	0	-0.003668905	0	0.1631796	0	-0.779353	0	-0.1197327	0	-0.5784157	0	-0.6795605	0	0.4065154	0	0.6475263	0	0.1631796	0	-0.790508	-0.4817012	-0.4028523	-0.684843	-0.4836031	-0.2489651	-2.141568	-0.0285636	0.1910347	-0.06146866	-0.3858895	-0.1344603	-0.2462647	-0.1633775	0.3076546	0.2648923	-0.9259071	-0.6840463	0.1091534	-0.7161195						
TianlinLiu	20180411	3a8b0d6ee_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_143856658	299			7	300	1	473	125	224	224	0.59098	0	-1.276449	0	-0.7062054	0	0.1244748	0	0.1424751	0	-0.7986457	0	0.00895517	0	-0.6028745	0	-0.7384256	0	0.4255963	0	0.59098	0	0.1424751	0	-0.6997525	-0.4183076	-0.444047	-0.7933385	-0.511692	-0.3189387	-2.171562	0.008117053	0.2198512	-0.03527834	-0.3614945	-0.08460458	-0.267275	-0.1926382	0.3517979	0.2315048	-0.9350853	-0.6558062	0.1575558	-0.5487453						
TianlinLiu	20180411	3a8b0d6ee_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_143856692	333			8	333	1	473	125	226	226	0.4847025	0	-1.25967	0	-0.6770568	0	0.04540421	0	0.09487321	0	-0.6705818	0	0.05302732	0	-0.5438411	0	-0.711882	0	0.4729334	0	0.4847025	0	0.09487321	0	-0.7124594	-0.4582482	-0.4558264	-0.8742832	-0.5114031	-0.3348098	-2.11102	0.08088449	0.1762272	-0.10424	-0.3543448	-0.09686136	-0.2727709	-0.1481145	0.325684	0.151382	-0.8990256	-0.6390856	0.1685717	-0.5313142						
TianlinLiu	20180411	3a8b0d6ee_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_143856725	366			9	367	1	472	124	226	226	0.5279039	0	-1.28221	0	-0.5089933	0	0.09537403	0	0.132507	0	-0.7702444	0	-0.002724714	0	-0.5841814	0	-0.7483548	0	0.5801997	0	0.5279039	0	0.132507	0	-0.7160229	-0.4096998	-0.5330645	-0.8244016	-0.5462378	-0.3273002	-2.238914	-0.01458919	0.1634018	-0.04749512	-0.2905069	-0.1365699	-0.2206159	-0.2020528	0.3384575	0.208428	-0.9063304	-0.6064328	0.1876105	-0.5911631						
