#Study : TianlinLiu																																																																				
#Date : 20180411 09:08:54																																																																				
#Version : 6.3.5761.0																																																																				
#TestRunDate : 20180320 14:26:56.004 (+01:00)																																																																				
																																																																				
StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	0e4ee0fb1_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142656070	66			0	67	1	515	135	199	199	0.71000886	0	0.039463043	0	0.112564325	0	0.387590289	0	0.434727401	0	-0.078006506	0	0.318442822	0	0.14289391	0	0.245370626	0	2.333314419	0	0.71000886	0	0.434727401	0	0.9552538	1.124825	-1.091987	0.2323245	-1.358582	-0.747042	-5.435789	-1.868607	-0.8254168	-0.5353474	-1.951152	-1.994507	-1.434961	-0.6508048	-1.064094	-1.160011	-0.8394033	-1.264096	-2.678967	-2.142042						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142656104	100			1	100	1	515	135	200	200	0.633070111	0	-0.024888992	0	0.102768064	0	0.360025287	0	0.415856227	0	-0.142628431	0	0.311034441	0	0.128677726	0	0.200397968	0	2.369303703	0	0.633070111	0	0.415856227	0	0.9668684	1.118962	-1.108615	0.2238758	-1.38339	-0.7496946	-5.493468	-1.889346	-0.8533951	-0.5578173	-1.966437	-2.003064	-1.436095	-0.6521205	-1.057369	-1.177791	-0.8153214	-1.24604	-2.718253	-2.142051						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142656137	133			2	133	1	515	135	200	200	0.292264938	0	-0.034335613	0	0.071350783	0	0.301685214	0	0.18766059	0	-0.16612792	0	0.373216867	0	0.186736226	0	0.152963877	0	2.454028368	0	0.292264938	0	0.373216867	0	0.9896298	1.119587	-1.098607	0.2192703	-1.395222	-0.7256117	-5.560576	-1.897322	-0.9686388	-0.7021338	-1.953528	-2.043918	-1.45859	-0.6640722	-1.07513	-1.2766	-0.7498142	-1.244071	-2.938531	-2.167221						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142656170	166			3	167	1	515	135	200	200	0.199169397	0	-0.003243446	0	0.114236623	0	0.298425198	0	0.159373172	0	-0.142729521	0	0.356296301	0	0.195425153	0	0.132583618	0	2.456602097	0	0.199169397	0	0.356296301	0	0.96379	1.108366	-1.105786	0.2361913	-1.391224	-0.715086	-5.504018	-1.883788	-1.006603	-0.7298971	-1.979925	-2.054072	-1.424789	-0.697193	-1.08861	-1.294319	-0.7450869	-1.240997	-2.997765	-2.169439						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142656203	199			4	200	1	515	135	200	200	0.187798858	0	-0.038947105	0	0.068209291	0	0.182969213	0	0.209430503	0	-0.172180653	0	0.336665869	0	0.261436343	0	0.152645111	0	2.465132713	0	0.187798858	0	0.336665869	0	0.9545358	1.099392	-1.105305	0.1979053	-1.365994	-0.6876857	-5.462376	-1.923116	-0.9888785	-0.7161716	-2.025148	-2.054249	-1.412815	-0.7096012	-1.114872	-1.30986	-0.7622738	-1.244681	-3.008715	-2.108831						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142656237	233			5	233	1	515	135	200	200	0.070632935	0	0.012604237	0	0.118743747	0	0.259603381	0	0.083894014	0	-0.114794016	0	0.356833935	0	0.221535444	0	0.125038147	0	2.474337101	0	0.070632935	0	0.356833935	0	0.9493799	1.095047	-1.105971	0.2361094	-1.396141	-0.7101697	-5.472862	-1.863679	-1.060652	-0.7883376	-1.995726	-2.061209	-1.422929	-0.7283303	-1.111432	-1.352001	-0.7136437	-1.232499	-3.076401	-2.193058						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142656270	266			6	267	1	515	135	200	200	0.145780563	0	0.016139507	0	0.102694809	0	0.253421545	0	0.084881559	0	-0.086340189	0	0.380153418	0	0.203249574	0	0.149904251	0	2.457251787	0	0.145780563	0	0.380153418	0	0.9580388	1.09031	-1.108889	0.2228048	-1.390348	-0.7234319	-5.468797	-1.831269	-1.043381	-0.7790782	-1.940387	-2.014671	-1.437282	-0.7181736	-1.080723	-1.334621	-0.7081903	-1.214501	-3.020518	-2.189599						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142656303	299			7	300	1	515	135	200	200	0.069998026	0	0.042987347	0	0.095316917	0	0.235187888	0	0.04121536	0	-0.071184397	0	0.393251657	0	0.219063878	0	0.145332336	0	2.463955164	0	0.069998026	0	0.393251657	0	0.9595682	1.09245	-1.097957	0.2118629	-1.386139	-0.7192952	-5.451118	-1.829402	-1.06832	-0.8096654	-1.927717	-2.027334	-1.43689	-0.721537	-1.074107	-1.35831	-0.6900796	-1.212918	-3.064327	-2.183716						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142656337	333			8	333	1	515	135	200	200	0.132199287	0	0.0583179	0	0.134395212	0	0.283442736	0	0.061673567	0	-0.020442724	0	0.398715973	0	0.197878003	0	0.13968277	0	2.436224937	0	0.132199287	0	0.398715973	0	0.9593416	1.098801	-1.096346	0.2126142	-1.381855	-0.7328073	-5.425526	-1.798268	-1.049342	-0.7964726	-1.916957	-2.004721	-1.465622	-0.6840532	-1.068177	-1.360035	-0.659107	-1.172162	-2.980764	-2.173073						
TianlinLiu	20180411	0e4ee0fb1_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142656370	366			9	367	1	515	135	200	200	0.122794032	0	0.102903843	0	0.18343246	0	0.304986	0	0.032141298	0	0.02895093	0	0.416774035	0	0.236234903	0	0.154647112	0	2.414388657	0	0.122794032	0	0.416774035	0	0.9692668	1.110707	-1.085336	0.2446087	-1.347206	-0.7025806	-5.378527	-1.779715	-1.062129	-0.8236942	-1.915519	-2.010351	-1.453232	-0.7086675	-1.088196	-1.378515	-0.6464791	-1.17177	-3.035708	-2.154149						
