#Study : TianlinLiu
#Date : 20180411 09:05:33
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:55:35.703 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	71091df7b_7__utterance_101	0	MALE	recording	TestImage	Emotient FACET	20180320_145535769	66			0	67	1	404	125	164	164	3.022913	0	-5.23569	0	-2.583367	0	-0.432784	0	-4.773939	0	-2.593821	0	-4.217495	0	-6.634799	0	-6.164872	0	-5.897376	0	3.022913	0	-0.432784	0	1.212737	1.014673	-0.1559315	0.2979332	0.4689617	-0.4574687	-2.993412	-0.8103999	1.814881	-0.609415	-1.94068	-1.894307	-6.497128	0.2859445	-1.269409	-1.798179	1.243944	-0.05400136	-2.313391	-0.7374056						
TianlinLiu	20180411	71091df7b_7__utterance_101	0	MALE	recording	TestImage	Emotient FACET	20180320_145535803	100			1	100	1	404	125	164	164	3.034899	0	-5.309909	0	-2.569356	0	-0.4597905	0	-4.893359	0	-2.664546	0	-4.284766	0	-6.737322	0	-6.285914	0	-6.001245	0	3.034899	0	-0.4597905	0	1.204152	1.03715	-0.1819306	0.3067034	0.4771159	-0.4710754	-3.029799	-0.8283602	1.829571	-0.6565178	-1.958956	-1.901139	-6.553929	0.2532158	-1.319329	-1.813738	1.300888	-0.01455818	-2.309045	-0.7772868						
TianlinLiu	20180411	71091df7b_7__utterance_101	0	MALE	recording	TestImage	Emotient FACET	20180320_145535836	133			2	133	1	407	125	161	161	3.117319	0	-5.277455	0	-2.242919	0	-0.271116	0	-5.914324	0	-2.834343	0	-5.091455	0	-7.535519	0	-6.978154	0	-6.618562	0	3.117319	0	-0.271116	0	1.415956	1.235925	-0.09490806	0.4333142	0.2343069	-0.4853136	-3.425325	-0.8093382	1.756977	-0.6431073	-1.735535	-2.270056	-7.18916	0.2962421	-1.141283	-2.250626	1.981616	0.3592206	-2.53392	-0.8716062						
TianlinLiu	20180411	71091df7b_7__utterance_101	0	MALE	recording	TestImage	Emotient FACET	20180320_145535869	166			3	167	1	408	125	162	162	3.212753	0	-5.32759	0	-2.235929	0	-0.358151	0	-5.884015	0	-2.902871	0	-5.029058	0	-7.586137	0	-7.06269	0	-6.640674	0	3.212753	0	-0.358151	0	1.397674	1.272595	-0.1319799	0.4474927	0.4460207	-0.3290032	-3.311298	-0.8482656	1.854237	-0.7672789	-1.793669	-2.231913	-7.175424	0.22396	-1.240524	-2.215179	1.947603	0.3946591	-2.466602	-0.9300268						
TianlinLiu	20180411	71091df7b_7__utterance_101	0	MALE	recording	TestImage	Emotient FACET	20180320_145535902	199			4	200	1	409	124	162	162	3.213107	0	-5.187368	0	-2.05653	0	-0.4921191	0	-5.843634	0	-2.866344	0	-4.7771	0	-7.314198	0	-6.883243	0	-6.297794	0	3.213107	0	-0.4921191	0	1.350275	1.191472	-0.05655067	0.2997283	0.3701897	-0.3880099	-3.216059	-0.8764263	1.756155	-0.7857394	-1.845764	-2.259655	-7.14539	0.295655	-1.24508	-2.332139	2.052104	0.4832669	-2.374304	-0.8245686						
TianlinLiu	20180411	71091df7b_7__utterance_101	0	MALE	recording	TestImage	Emotient FACET	20180320_145535936	233			5	233	1	409	123	162	162	3.209008	0	-5.005353	0	-2.058096	0	-0.5650928	0	-6.329878	0	-2.508986	0	-4.92563	0	-7.486105	0	-7.062435	0	-6.591587	0	3.209008	0	-0.5650928	0	1.269082	1.135772	-0.05985259	0.1214103	0.5174914	-0.3070148	-2.90084	-0.8072809	1.779441	-0.9251179	-1.7853	-2.337709	-7.528017	0.3283139	-1.404572	-2.587187	2.329406	0.6204723	-2.400008	-0.5496311						
TianlinLiu	20180411	71091df7b_7__utterance_101	0	MALE	recording	TestImage	Emotient FACET	20180320_145535969	266			6	267	1	409	121	162	162	3.361097	0	-4.953319	0	-1.932296	0	-0.7388117	0	-6.20032	0	-2.379905	0	-4.896714	0	-7.399614	0	-7.041588	0	-6.454269	0	3.361097	0	-0.7388117	0	1.16841	1.138675	-0.1547398	0.001319362	0.6108722	-0.2769234	-2.770723	-0.8544497	1.786341	-0.9628237	-1.675282	-2.238205	-7.388901	0.2113266	-1.408868	-2.635884	2.296036	0.6593035	-2.39383	-0.5370696						
TianlinLiu	20180411	71091df7b_7__utterance_101	0	MALE	recording	TestImage	Emotient FACET	20180320_145536002	299			7	300	1	407	121	161	161	3.398573	0	-4.858007	0	-1.89947	0	-0.8983904	0	-6.192286	0	-2.200655	0	-4.856382	0	-7.315665	0	-6.987564	0	-6.610978	0	3.398573	0	-0.8983904	0	1.188587	1.172019	-0.1547269	-0.1387252	0.7256845	-0.1832231	-2.535136	-0.8364824	1.818964	-0.9015556	-1.499556	-2.028705	-7.335048	0.09457935	-1.319727	-2.495701	2.207436	0.6608882	-2.285377	-0.3741043						
TianlinLiu	20180411	71091df7b_7__utterance_101	0	MALE	recording	TestImage	Emotient FACET	20180320_145536036	333			8	333	1	405	121	158	158	3.200122	0	-4.75612	0	-1.5987	0	-1.053323	0	-6.059073	0	-2.022488	0	-4.738639	0	-6.897535	0	-6.794528	0	-6.499796	0	3.200122	0	-1.053323	0	1.432684	1.366187	-0.08510047	-0.3862092	0.7403576	-0.0681375	-2.23972	-0.8866155	1.743379	-0.8068506	-1.40649	-1.90373	-7.102131	-0.1481027	-1.182574	-2.516058	2.290437	0.8586125	-2.389661	-0.1317715						
TianlinLiu	20180411	71091df7b_7__utterance_101	0	MALE	recording	TestImage	Emotient FACET	20180320_145536069	366			9	367	1	404	121	156	156	3.105367	0	-4.59745	0	-1.578757	0	-1.255081	0	-6.320943	0	-1.503968	0	-4.96468	0	-7.024148	0	-7.066224	0	-6.753408	0	3.105367	0	-1.255081	0	1.270892	1.331046	-0.1076699	-0.6252741	0.9166959	0.03391198	-1.863218	-0.7166739	1.7478	-0.9746221	-1.22269	-1.809796	-7.351061	-0.2914198	-1.133021	-2.773305	2.342732	0.8101947	-2.629492	0.06104237						
