#Study : TianlinLiu
#Date : 20180411 09:08:42
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:28:27.731 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	112659cd9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142827797	66			0	67	1	220	79	177	177	-3.881502	0	-2.725646	0	-1.907277	0	-0.9484275	0	-1.226443	0	-2.306199	0	1.356097	0	-0.7776902	0	-2.102319	0	-0.08044868	0	-3.881502	0	1.356097	0	2.369345	1.164013	0.7567766	-2.084229	-1.80787	-1.394073	-2.667487	-0.8654981	-1.42349	-0.5912753	-0.4731891	-0.6939052	0.228951	-0.7022815	-1.157492	-0.241499	-1.302631	-1.12378	-1.917422	2.227241						
TianlinLiu	20180411	112659cd9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142827831	100			1	100	1	221	79	178	178	-3.634983	0	-2.648818	0	-2.158392	0	-0.8279817	0	-1.090885	0	-2.116105	0	1.465924	0	-0.8044274	0	-2.040305	0	-0.1962152	0	-3.634983	0	1.465924	0	2.313283	1.041368	0.8202725	-2.034859	-1.678614	-1.347147	-2.50174	-0.663102	-1.364479	-0.472048	-0.3548809	-0.5507846	0.2238637	-0.6491015	-1.166566	-0.1342471	-1.382925	-1.173942	-1.90625	2.258664						
TianlinLiu	20180411	112659cd9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142827864	133			2	133	1	221	79	179	179	-3.588124	0	-2.614582	0	-2.165373	0	-0.8167951	0	-1.078259	0	-2.036637	0	1.472575	0	-0.7410762	0	-2.037106	0	-0.2290864	0	-3.588124	0	1.472575	0	2.327865	1.084872	0.8231737	-1.988791	-1.626816	-1.296631	-2.440309	-0.6634635	-1.337268	-0.4320381	-0.3330922	-0.5196007	0.2472841	-0.6421869	-1.112361	-0.07889982	-1.354361	-1.16543	-1.789657	2.130078						
TianlinLiu	20180411	112659cd9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142827897	166			3	167	1	225	81	174	174	-2.733163	0	-2.411562	0	-2.662015	0	-1.095592	0	-0.6976043	0	-1.86429	0	1.628629	0	-0.6260971	0	-1.682292	0	-0.3241638	0	-2.733163	0	1.628629	0	2.326376	1.131857	0.6718818	-2.193912	-1.539183	-1.007686	-2.317281	-0.7268155	-1.007245	-0.111734	-0.2467151	-0.3412288	0.5444533	-0.8002053	-0.849538	0.2013886	-1.778564	-1.542629	-1.542949	2.119276						
TianlinLiu	20180411	112659cd9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142827931	200			4	200	1	225	81	174	174	-2.714163	0	-2.381683	0	-2.72545	0	-1.139838	0	-0.6970529	0	-1.837354	0	1.627755	0	-0.585224	0	-1.638062	0	-0.3085109	0	-2.714163	0	1.627755	0	2.300125	1.115623	0.6711422	-2.207525	-1.519962	-0.9829028	-2.282499	-0.7122158	-1.004515	-0.1163815	-0.2446747	-0.348153	0.5190083	-0.7922225	-0.8434898	0.1820477	-1.796703	-1.555758	-1.541133	2.138674						
TianlinLiu	20180411	112659cd9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142827964	233			5	234	1	225	81	174	174	-2.728968	0	-2.44171	0	-2.772815	0	-1.196507	0	-0.687013	0	-1.853938	0	1.646481	0	-0.6038604	0	-1.675075	0	-0.3061284	0	-2.728968	0	1.646481	0	2.330518	1.131724	0.6674965	-2.245537	-1.521915	-0.972356	-2.309391	-0.7475435	-0.9893365	-0.1005562	-0.2598242	-0.3456543	0.5175691	-0.7850744	-0.8335937	0.1853462	-1.803817	-1.568734	-1.530761	2.144875						
TianlinLiu	20180411	112659cd9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142827997	266			6	267	1	222	80	179	179	-3.08111	0	-2.516172	0	-2.702401	0	-1.143766	0	-0.7760616	0	-2.118284	0	1.624693	0	-0.5914342	0	-1.682162	0	-0.1995182	0	-3.08111	0	1.624693	0	2.220058	1.063686	0.6636713	-2.141111	-1.651023	-1.248119	-2.486678	-0.7756656	-1.085873	-0.1143629	-0.2225626	-0.323074	0.4277724	-0.7014035	-0.8371118	0.1657622	-1.592008	-1.268588	-1.427322	1.990733						
TianlinLiu	20180411	112659cd9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142828031	300			7	300	1	223	81	177	177	-3.009203	0	-2.39123	0	-2.640422	0	-1.082661	0	-0.7393215	0	-1.994582	0	1.556683	0	-0.5729667	0	-1.606305	0	-0.1839849	0	-3.009203	0	1.556683	0	2.221411	1.08635	0.6391078	-2.144178	-1.555793	-1.21602	-2.315367	-0.6936638	-1.067923	-0.1826646	-0.3038516	-0.3866903	0.4248663	-0.7505987	-0.916062	0.125971	-1.633391	-1.320689	-1.630835	2.054541						
TianlinLiu	20180411	112659cd9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142828064	333			8	334	1	219	83	181	181	-3.38487	0	-2.692425	0	-2.862712	0	-1.608479	0	-0.9308072	0	-2.253647	0	1.58464	0	-0.4872939	0	-1.714761	0	-0.04730157	0	-3.38487	0	1.58464	0	2.311105	1.086744	0.8470362	-2.39588	-1.829535	-1.384312	-2.363533	-0.7005756	-1.197218	-0.3205314	-0.5323287	-0.5890517	0.1537678	-0.442933	-1.059722	-0.2157637	-1.149341	-1.018724	-1.528033	2.319088						
TianlinLiu	20180411	112659cd9_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142828098	367			9	367	1	219	83	181	181	-3.345972	0	-2.674647	0	-2.91687	0	-1.669454	0	-0.9128028	0	-2.227998	0	1.573542	0	-0.4539581	0	-1.680686	0	-0.05140683	0	-3.345972	0	1.573542	0	2.324388	1.099528	0.8501004	-2.428547	-1.785872	-1.328256	-2.318798	-0.7142313	-1.161664	-0.2990362	-0.5512191	-0.5902838	0.1587366	-0.4584442	-1.059342	-0.210758	-1.156282	-1.01766	-1.550752	2.338764						
