#Study : TianlinLiu
#Date : 20180411 09:07:24
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:39:27.550 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	3b5e96d77_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143927616	66			0	67	1	372	186	319	319	1.947893	0	-3.874927	0	-3.840254	0	-3.070979	0	0.7530708	0	-1.654909	0	-3.489596	0	-3.857349	0	-3.589155	0	-3.956612	0	1.947893	0	0.7530708	0	-1.343415	-1.058315	-1.637689	-1.774132	1.044882	-0.0658789	-1.162062	-0.5280644	1.580459	0.2037305	-0.8685814	0.0372828	-2.109082	-1.006008	-0.4747371	0.1064809	-1.324369	-1.001605	-1.363308	-0.4771						
TianlinLiu	20180411	3b5e96d77_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143927650	100			1	100	1	373	186	318	318	1.974019	0	-3.971501	0	-3.886673	0	-3.156799	0	0.7635898	0	-1.728856	0	-3.59558	0	-3.954447	0	-3.683169	0	-4.032572	0	1.974019	0	0.7635898	0	-1.360692	-1.077599	-1.670978	-1.791352	1.032628	-0.08026227	-1.175872	-0.5669007	1.598621	0.2120152	-0.9366819	-0.007883949	-2.163833	-1.015046	-0.5222493	0.07556418	-1.359867	-1.040084	-1.423045	-0.4755357						
TianlinLiu	20180411	3b5e96d77_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143927683	133			2	133	1	372	186	321	321	1.86854	0	-3.335455	0	-3.527517	0	-2.999658	0	0.6833041	0	-1.3795	0	-3.120378	0	-3.239246	0	-3.019819	0	-3.404602	0	1.86854	0	0.6833041	0	-1.393757	-1.103263	-1.58982	-1.745466	0.9533197	-0.08655967	-1.220667	-0.5582042	1.497487	0.1561505	-0.749114	0.04728513	-1.763499	-1.191127	-0.3748236	0.2106011	-1.435487	-1.052108	-1.338464	-0.391136						
TianlinLiu	20180411	3b5e96d77_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143927716	166			3	167	1	371	187	322	322	1.917423	0	-3.418741	0	-3.902007	0	-2.990224	0	0.8863845	0	-1.529309	0	-3.01814	0	-3.119901	0	-2.801196	0	-3.170454	0	1.917423	0	0.8863845	0	-1.413917	-1.152431	-1.774001	-1.728212	0.9942212	-0.1144645	-1.472622	-0.5423577	1.539787	0.240392	-0.7675141	0.02757383	-1.691049	-1.209406	-0.4262947	0.3205174	-1.741871	-1.355374	-1.628419	-0.5781716						
TianlinLiu	20180411	3b5e96d77_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143927749	199			4	200	1	373	189	320	320	2.005166	0	-3.550573	0	-4.047056	0	-3.097284	0	0.7339221	0	-1.566846	0	-3.140174	0	-3.283927	0	-2.961571	0	-3.351701	0	2.005166	0	0.7339221	0	-1.402906	-1.141062	-1.792701	-1.794003	0.9695192	-0.1771507	-1.49331	-0.5510805	1.631232	0.2771639	-0.803186	-0.02405515	-1.88736	-1.277508	-0.4399767	0.3140725	-1.811006	-1.443686	-1.668606	-0.588439						
TianlinLiu	20180411	3b5e96d77_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143927783	233			5	233	1	372	189	321	321	1.85718	0	-3.139667	0	-3.617821	0	-2.883461	0	0.7093644	0	-1.23275	0	-2.794201	0	-2.920557	0	-2.63943	0	-2.833108	0	1.85718	0	0.7093644	0	-1.376225	-1.085835	-1.675008	-1.749572	0.9092506	-0.08755698	-1.362372	-0.5494282	1.444696	0.1850573	-0.7014585	0.08110274	-1.492058	-1.181516	-0.3849783	0.3112547	-1.712577	-1.289997	-1.396105	-0.4841482						
TianlinLiu	20180411	3b5e96d77_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143927816	266			6	267	1	372	190	321	321	1.993642	0	-3.287904	0	-3.673868	0	-2.773812	0	0.3779684	0	-1.270716	0	-2.978688	0	-3.281036	0	-2.927475	0	-3.184311	0	1.993642	0	0.3779684	0	-1.305994	-1.04057	-1.554983	-1.74199	0.9372238	-0.06878812	-1.149636	-0.4857017	1.463085	0.1980052	-0.7617415	0.1348644	-1.856654	-0.9497353	-0.3337484	0.2230219	-1.507679	-1.145633	-1.133471	-0.4704494						
TianlinLiu	20180411	3b5e96d77_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143927849	299			7	300	1	370	189	323	323	2.029401	0	-3.3185	0	-3.931538	0	-2.76857	0	0.3234319	0	-1.390449	0	-3.053759	0	-3.335803	0	-2.943	0	-3.373855	0	2.029401	0	0.3234319	0	-1.348213	-1.113897	-1.463239	-1.751643	0.9729648	-0.03673533	-0.9901683	-0.4850167	1.466038	0.2121804	-0.8420388	0.1673352	-2.03011	-0.7774887	-0.3114637	0.2155814	-1.472283	-1.132538	-1.015958	-0.4994591						
TianlinLiu	20180411	3b5e96d77_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143927883	333			8	333	1	371	190	322	322	2.242444	0	-3.489397	0	-4.252695	0	-2.844077	0	-0.004255532	0	-1.588056	0	-3.398006	0	-3.703059	0	-3.131	0	-3.752073	0	2.242444	0	-0.004255532	0	-1.335632	-1.136267	-1.477551	-1.781596	0.9398747	-0.03100596	-0.9052849	-0.592916	1.527171	0.3375387	-1.110564	0.1712361	-2.37012	-0.7009768	-0.3030452	0.2042663	-1.490354	-1.178167	-1.078066	-0.5603248						
TianlinLiu	20180411	3b5e96d77_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143927916	366			9	367	1	372	190	322	322	2.317535	0	-3.459857	0	-4.052949	0	-2.510051	0	-0.2796501	0	-1.859432	0	-3.346098	0	-3.738101	0	-3.087912	0	-3.975194	0	2.317535	0	-0.2796501	0	-1.288478	-1.091286	-1.315572	-1.708273	0.6642233	-0.1508685	-0.9315984	-0.9341192	1.627647	0.4300108	-1.416105	0.2216677	-2.252648	-0.7510381	-0.3615536	0.2295149	-1.473021	-1.188254	-1.097831	-0.4623258						
