#Study : TianlinLiu
#Date : 20180411 09:07:11
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:41:23.120 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	4137641fa_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144123186	66			0	67	1	356	179	253	253	-0.9158578	0	-2.318464	0	-4.341606	0	-0.06956938	0	-2.983864	0	-0.1295433	0	-0.1223399	0	-2.784366	0	-3.718067	0	-3.366151	0	-0.9158578	0	-0.06956938	0	0.06744555	-1.0423	1.283841	-1.795071	-0.1449636	-0.3754515	-1.778596	1.140123	-0.3755187	-1.188364	0.2981181	-0.8574418	-3.428762	0.8068525	-0.07112797	-1.598909	1.562148	-0.06279883	-3.52843	-1.968745						
TianlinLiu	20180411	4137641fa_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144123220	100			1	100	1	357	180	252	252	-1.025182	0	-2.42767	0	-4.520955	0	-0.07377169	0	-3.275367	0	-0.119936	0	-0.2962659	0	-3.082562	0	-4.104395	0	-3.587788	0	-1.025182	0	-0.07377169	0	0.05086021	-1.026651	1.275113	-1.861167	-0.1648248	-0.4074326	-1.87819	1.297241	-0.3424746	-1.233415	0.3353964	-0.9019002	-3.666455	0.8527843	-0.1094077	-1.708068	1.715199	-0.05270509	-3.783507	-2.18887						
TianlinLiu	20180411	4137641fa_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144123253	133			2	133	1	357	179	252	252	-0.9364246	0	-2.521917	0	-4.472973	0	0.01169649	0	-2.882303	0	-0.2391311	0	-0.167536	0	-2.883964	0	-3.858797	0	-3.391719	0	-0.9364246	0	0.01169649	0	0.03774519	-1.024045	1.225618	-1.712113	-0.1015141	-0.3570382	-1.772585	1.211046	-0.3100245	-1.172525	0.2609437	-0.7303734	-3.437714	0.940262	-0.1139187	-1.619547	1.570641	-0.03199809	-3.649417	-2.239347						
TianlinLiu	20180411	4137641fa_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144123286	166			3	167	1	357	178	252	252	-0.9041832	0	-2.458229	0	-4.131044	0	0.0360935	0	-3.195069	0	-0.2802	0	-0.2492821	0	-3.103888	0	-4.038056	0	-3.429709	0	-0.9041832	0	0.0360935	0	0.09244956	-0.9076159	1.185931	-1.686652	-0.1904478	-0.4271389	-2.038355	1.204193	-0.3338795	-1.212692	0.2367352	-0.9252411	-3.58813	0.9280335	-0.2373269	-1.724571	1.751736	0.07745838	-3.695579	-2.338137						
TianlinLiu	20180411	4137641fa_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144123319	199			4	200	1	358	177	251	251	-0.9960538	0	-2.537975	0	-4.498875	0	0.007099799	0	-3.061055	0	-0.3099464	0	-0.2645357	0	-3.024255	0	-4.04156	0	-3.449869	0	-0.9960538	0	0.007099799	0	0.09026209	-0.9504915	1.217684	-1.815735	-0.2157275	-0.4252189	-1.987506	1.251254	-0.3300302	-1.15504	0.167624	-0.8660118	-3.555779	1.000901	-0.2066214	-1.742281	1.719757	0.02046043	-3.723247	-2.493912						
TianlinLiu	20180411	4137641fa_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144123353	233			5	233	1	357	176	252	252	-0.8481859	0	-2.424414	0	-4.019172	0	0.1145504	0	-3.094114	0	-0.2682738	0	-0.2805056	0	-2.975544	0	-3.883874	0	-3.081332	0	-0.8481859	0	0.1145504	0	0.0431218	-0.8394735	0.9897938	-1.604167	-0.2318456	-0.3826891	-2.08673	1.185113	-0.3721421	-1.227797	0.182265	-1.016343	-3.462924	0.959429	-0.2631954	-1.719879	1.751717	0.1129668	-3.549517	-2.477701						
TianlinLiu	20180411	4137641fa_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144123386	266			6	267	1	358	176	251	251	-1.018881	0	-2.66053	0	-4.411307	0	0.3104466	0	-3.127154	0	-0.4166672	0	-0.5686385	0	-3.074674	0	-4.255938	0	-2.992206	0	-1.018881	0	0.3104466	0	0.05812675	-0.6860191	0.9253294	-1.570829	-0.3053707	-0.3688655	-2.475129	1.231899	-0.3463344	-1.202319	-0.06539367	-1.464538	-3.742013	1.155155	-0.3738419	-2.007989	1.935236	0.09978362	-3.670146	-2.922284						
TianlinLiu	20180411	4137641fa_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144123419	299			7	300	1	361	178	247	247	-0.9280995	0	-2.823957	0	-4.561804	0	-0.4511763	0	-1.329077	0	-0.7131184	0	0.7148928	0	-1.670105	0	-2.967652	0	-1.582703	0	-0.9280995	0	0.7148928	0	0.03255861	-0.6590309	0.8338601	-2.565505	-0.1888006	-0.4311054	-1.725596	1.121105	-0.003242174	-0.2149427	0.3890885	-0.6214436	-1.991828	0.5882143	-0.1136841	-1.019861	0.5474837	-0.1381993	-2.566044	-2.920569						
TianlinLiu	20180411	4137641fa_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144123453	333			8	333	1	368	183	236	236	-1.062417	0	-4.181009	0	-6.051074	0	-0.7039886	0	-0.6665955	0	-1.003815	0	1.01774	0	-1.803208	0	-3.299379	0	-1.425628	0	-1.062417	0	1.01774	0	0.4812277	-0.1804869	0.8605281	-3.667793	-0.9369811	-1.49391	-1.287447	1.05291	0.08379346	0.09321571	0.4208848	-0.5703648	-2.098712	0.7189353	-0.5967855	-0.9002544	0.2066862	-0.06176255	-1.634381	-1.731955						
TianlinLiu	20180411	4137641fa_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_144123486	366			9	367	1	369	182	236	236	-1.028556	0	-4.890199	0	-5.788939	0	-0.1397332	0	-2.009991	0	-1.103881	0	-0.1803247	0	-3.446495	0	-4.835197	0	-3.010383	0	-1.028556	0	-0.1397332	0	0.9987851	0.3714704	0.8767876	-3.847957	-0.7899136	-1.462989	-2.42761	1.04331	0.4848543	0.07339162	0.2170817	-1.215285	-3.463705	0.890558	-0.9146913	-1.262998	1.423375	0.316422	-2.555644	-1.435187						
