#Study : TianlinLiuValidation
#Date : 20180411 09:26:08
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:25:07.692 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	50c601f3f_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_232507758	66			0	67	1	488	164	261	261	-0.8845651	0	-2.820022	0	0.1830185	0	0.7229401	0	-0.9294609	0	-1.74612	0	-3.004776	0	-3.485876	0	-3.394784	0	0.2916726	0	-0.8845651	0	0.7229401	0	-0.5691746	0.1676592	-1.497154	0.8012494	-1.411035	-0.8918275	-4.501933	-0.5696967	-0.02697492	-0.4532775	-1.380668	-1.266261	-1.092637	0.07493292	-0.4234551	-0.5861881	-0.9018306	-1.035602	-2.06461	-2.123467						
TianlinLiuValidation	20180411	50c601f3f_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_232507792	100			1	100	1	486	163	264	264	-0.7881398	0	-2.494821	0	-0.0859178	0	0.7432171	0	-0.5375621	0	-1.733532	0	-2.890012	0	-3.055633	0	-2.900552	0	0.3954735	0	-0.7881398	0	0.7432171	0	-0.7865729	-0.09607087	-1.489475	0.8801772	-1.450177	-0.9181279	-4.306841	-0.6360562	-0.03496597	-0.3353321	-1.51719	-1.198031	-1.067462	0.08493842	-0.3150363	-0.4887109	-1.064843	-1.105079	-1.762398	-2.246658						
TianlinLiuValidation	20180411	50c601f3f_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_232507825	133			2	133	1	486	164	263	263	-0.7211255	0	-2.708615	0	0.08040234	0	0.8135988	0	-0.6813333	0	-1.924138	0	-2.909841	0	-3.362587	0	-3.066749	0	0.3254332	0	-0.7211255	0	0.8135988	0	-0.6134165	0.1004936	-1.552319	0.8857012	-1.588765	-0.9839392	-4.606602	-0.6507288	-0.02425089	-0.3169745	-1.487051	-1.182436	-1.231799	0.06287276	-0.3759073	-0.4897337	-1.150444	-1.071087	-1.725197	-2.399961						
TianlinLiuValidation	20180411	50c601f3f_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_232507858	166			3	167	1	486	164	263	263	-0.7435681	0	-2.737645	0	0.2144156	0	0.8773365	0	-0.6154118	0	-2.044519	0	-2.770104	0	-3.358025	0	-2.949028	0	0.3841867	0	-0.7435681	0	0.8773365	0	-0.5098559	0.1830817	-1.620031	0.8369483	-1.6718	-0.9914912	-4.733038	-0.6859793	-0.03118577	-0.2528331	-1.414276	-1.079036	-1.240345	-0.02236185	-0.3376217	-0.3975735	-1.313762	-1.088847	-1.620246	-2.356398						
TianlinLiuValidation	20180411	50c601f3f_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_232507891	199			4	200	1	485	164	263	263	-0.6879891	0	-2.600992	0	0.1131584	0	0.8173993	0	-0.6128432	0	-1.990034	0	-2.936317	0	-3.313107	0	-2.964694	0	0.261403	0	-0.6879891	0	0.8173993	0	-0.6158018	0.08480448	-1.542213	1.040579	-1.544598	-0.9241132	-4.555107	-0.6949636	-0.0122551	-0.2974586	-1.545079	-1.171864	-1.27564	0.0005350009	-0.3676814	-0.5154657	-1.143581	-1.010345	-1.743305	-2.403655						
TianlinLiuValidation	20180411	50c601f3f_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_232507925	233			5	233	1	485	164	263	263	-0.6988438	0	-2.607929	0	0.05782313	0	0.8153295	0	-0.4567476	0	-2.052639	0	-2.829927	0	-3.298221	0	-2.845391	0	0.2927242	0	-0.6988438	0	0.8153295	0	-0.5997387	0.09211519	-1.591585	0.9905262	-1.58225	-0.9364842	-4.629349	-0.6986235	-0.02343955	-0.2376284	-1.512636	-1.100604	-1.232798	-0.06375574	-0.3200282	-0.4191794	-1.283609	-1.07853	-1.647374	-2.452689						
TianlinLiuValidation	20180411	50c601f3f_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_232507958	266			6	267	1	485	164	262	262	-0.6597811	0	-2.645158	0	0.0939004	0	0.8437217	0	-0.5118806	0	-2.071402	0	-2.970256	0	-3.458531	0	-2.926371	0	0.121096	0	-0.6597811	0	0.8437217	0	-0.5567259	0.1614586	-1.564268	1.015429	-1.558914	-0.8916675	-4.663984	-0.696456	0.0007945203	-0.2281351	-1.502007	-1.120352	-1.307014	-0.05293085	-0.3348838	-0.4123548	-1.253747	-1.043957	-1.625394	-2.481295						
TianlinLiuValidation	20180411	50c601f3f_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_232507991	299			7	300	1	485	164	262	262	-0.7024668	0	-2.63975	0	0.1133236	0	0.8850496	0	-0.5439835	0	-2.097376	0	-2.992942	0	-3.486708	0	-2.946116	0	0.1128462	0	-0.7024668	0	0.8850496	0	-0.5487086	0.1744768	-1.566948	1.054569	-1.576765	-0.875467	-4.69773	-0.6958697	-0.01472198	-0.2380232	-1.50057	-1.123543	-1.345216	-0.03078229	-0.3421169	-0.4256484	-1.245422	-1.041484	-1.622049	-2.502526						
TianlinLiuValidation	20180411	50c601f3f_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_232508025	333			8	333	1	485	164	263	263	-0.7744452	0	-2.559404	0	-0.03802831	0	0.8414329	0	-0.3777919	0	-2.070326	0	-2.821351	0	-3.282007	0	-2.757152	0	0.3238667	0	-0.7744452	0	0.8414329	0	-0.6105807	0.08029496	-1.639506	0.9822006	-1.61675	-0.9126547	-4.717043	-0.7352499	-0.04338677	-0.2064648	-1.526673	-1.077605	-1.24026	-0.1044979	-0.3063869	-0.3741077	-1.418631	-1.172433	-1.609218	-2.524164						
TianlinLiuValidation	20180411	50c601f3f_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_232508058	366			9	367	1	485	164	262	262	-0.6611866	0	-2.586152	0	0.08330217	0	0.9154125	0	-0.5795734	0	-2.071373	0	-3.039752	0	-3.493103	0	-2.935732	0	0.04335237	0	-0.6611866	0	0.9154125	0	-0.5675953	0.1652915	-1.550629	1.11648	-1.567322	-0.8533254	-4.667513	-0.7077874	-0.01479881	-0.2416596	-1.520478	-1.142767	-1.349712	-0.0119484	-0.3425803	-0.4366452	-1.204764	-1.007599	-1.60429	-2.497566						
