#Study : TianlinLiu
#Date : 20180411 09:07:08
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:41:43.890 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144143956	66			0	67	1	493	170	271	271	2.142269	0	-3.233091	0	-2.003825	0	-1.25886	0	0.1400889	0	-1.368479	0	-1.213157	0	-2.870479	0	-2.811376	0	-2.216836	0	2.142269	0	0.1400889	0	0.4403037	0.3828865	-1.613097	-1.490477	0.5678289	-1.012681	-3.080568	-0.660308	1.316167	0.2395037	-0.3396778	0.2665623	-1.469966	-1.239749	-0.2087329	0.3884035	-2.0597	-1.633375	-0.842571	0.1822138						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144143990	100			1	100	1	490	170	275	275	2.115915	0	-2.956649	0	-2.170929	0	-1.461787	0	0.157707	0	-1.449103	0	-1.29748	0	-2.413778	0	-2.350723	0	-2.187548	0	2.115915	0	0.157707	0	0.1051772	0.07707721	-1.483235	-1.384046	0.607586	-0.9825904	-2.850193	-0.5973375	1.232317	0.1890658	-0.3140212	0.2647882	-1.444387	-1.32983	-0.02492427	0.4046187	-1.960793	-1.585049	-0.7526292	0.1005064						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144023	133			2	133	1	490	171	274	274	2.138524	0	-2.637299	0	-2.27611	0	-1.459141	0	0.1720425	0	-1.267943	0	-1.287984	0	-2.220858	0	-2.043169	0	-2.083129	0	2.138524	0	0.1720425	0	-0.004037985	0.01794081	-1.487272	-1.4726	0.6034818	-1.002218	-2.704857	-0.6881978	1.204878	0.2397089	-0.3805857	0.2553872	-1.389066	-1.492671	0.02994661	0.4266793	-2.101765	-1.559163	-0.7243213	0.08435611						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144056	166			3	167	1	491	174	270	270	1.962715	0	-2.323687	0	-2.0922	0	-1.508101	0	0.3168299	0	-0.87883	0	-1.175706	0	-1.902847	0	-1.653712	0	-1.340942	0	1.962715	0	0.3168299	0	-0.1049229	-0.01868114	-1.591542	-1.663525	0.5355194	-1.026685	-2.739959	-0.7112829	1.092898	0.3364397	-0.3459644	0.2617144	-1.300449	-1.714745	0.09953171	0.4984079	-2.275167	-1.645566	-0.7334766	0.1456197						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144089	199			4	200	1	487	173	275	275	2.081721	0	-2.521059	0	-2.460791	0	-1.580352	0	0.1898302	0	-1.240748	0	-1.399568	0	-2.213485	0	-1.907791	0	-1.972434	0	2.081721	0	0.1898302	0	-0.3197936	-0.2954603	-1.536778	-1.58165	0.5799162	-1.130171	-2.54799	-0.6969541	1.163334	0.1964375	-0.3307618	0.3076513	-1.588794	-1.593513	0.1742346	0.4060741	-2.262462	-1.82203	-0.5690923	-0.004696751						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144123	233			5	233	1	487	173	274	274	2.019839	0	-2.303785	0	-2.48335	0	-1.528392	0	0.2456357	0	-1.123577	0	-1.338094	0	-1.936244	0	-1.586508	0	-1.63093	0	2.019839	0	0.2456357	0	-0.4152906	-0.3687398	-1.501194	-1.600575	0.5571484	-1.12441	-2.450673	-0.7618787	1.062787	0.2514488	-0.4129834	0.2417364	-1.662234	-1.639135	0.1272474	0.4147867	-2.327286	-1.888016	-0.5298048	0.02190221						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144156	266			6	267	1	484	172	276	276	2.071737	0	-2.286293	0	-2.474131	0	-1.55059	0	0.16951	0	-1.203028	0	-1.526884	0	-2.069321	0	-1.685377	0	-1.827627	0	2.071737	0	0.16951	0	-0.581421	-0.503827	-1.567494	-1.527223	0.589605	-1.149366	-2.371857	-0.7724121	1.14057	0.1814214	-0.4462026	0.272085	-1.736703	-1.685045	0.1571987	0.3891613	-2.313092	-1.96242	-0.4641726	-0.0868558						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144189	299			7	300	1	487	173	267	267	1.577356	0	-1.575017	0	-2.322357	0	-1.35465	0	0.3797894	0	-0.5241378	0	-0.7082186	0	-1.077395	0	-0.7275571	0	-0.7611355	0	1.577356	0	0.3797894	0	-0.5151473	-0.3580235	-1.498516	-1.712951	0.3689184	-1.262972	-2.43791	-0.6811072	0.8090085	0.2978718	-0.09581986	0.2738255	-1.421027	-2.043844	0.2048633	0.58196	-2.692408	-2.063714	-0.375435	0.01450003						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144223	333			8	333	1	485	171	267	267	1.621997	0	-1.485117	0	-2.425129	0	-1.221649	0	0.4626114	0	-0.6089613	0	-0.7806147	0	-0.993333	0	-0.618138	0	-0.7904693	0	1.621997	0	0.4626114	0	-0.5771832	-0.4136795	-1.592286	-1.701644	0.4137266	-1.169624	-2.483822	-0.8448586	0.8109964	0.3464459	-0.2550216	0.2044386	-1.48786	-2.105855	0.161989	0.5958493	-2.733279	-2.141471	-0.4654039	-0.05628026						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144256	366			9	367	1	489	171	258	258	1.487978	0	-1.27775	0	-2.237585	0	-0.7737753	0	0.797798	0	-0.5128706	0	-0.2781414	0	-0.5700761	0	-0.2380649	0	-0.4263594	0	1.487978	0	0.797798	0	-0.4055081	-0.1912972	-1.478918	-1.676419	0.1798529	-1.217521	-2.420761	-0.8994715	0.6060454	0.490403	-0.1682809	0.243063	-1.573007	-1.771534	0.03580706	0.654925	-2.850192	-2.12835	-0.3707352	0.1796252						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144289	399			10	400	1	487	169	261	261	1.790961	0	-1.606251	0	-2.512491	0	-0.7589973	0	0.7577652	0	-0.9813032	0	-0.548186	0	-0.9695112	0	-0.4987287	0	-0.9842102	0	1.790961	0	0.7577652	0	-0.3815962	-0.2583205	-1.577552	-1.728114	0.1904256	-1.285203	-2.662387	-1.085009	0.7386281	0.5802917	-0.3320859	0.2134017	-1.917641	-1.837375	-0.01062109	0.6339316	-2.862602	-2.17962	-0.2560296	0.1288369						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144323	433			11	433	1	486	169	262	262	1.823192	0	-1.628682	0	-2.466332	0	-0.7932154	0	0.7109202	0	-1.006198	0	-0.5702341	0	-0.9845899	0	-0.5684136	0	-0.9709012	0	1.823192	0	0.7109202	0	-0.3881362	-0.2588736	-1.573039	-1.699101	0.2102251	-1.2811	-2.680149	-1.080919	0.7625263	0.5615169	-0.3200322	0.1973213	-1.90698	-1.872247	-0.02264992	0.6250915	-2.843996	-2.175162	-0.2627075	0.09698868						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144356	466			12	467	1	483	166	264	264	1.801394	0	-1.891281	0	-2.148607	0	-0.7266341	0	0.6661685	0	-1.238957	0	-0.6195084	0	-1.131172	0	-0.8021867	0	-0.9439097	0	1.801394	0	0.6661685	0	-0.3816207	-0.3184792	-1.612794	-1.654996	0.22046	-1.385454	-3.048773	-1.073252	0.772563	0.5322399	-0.2811943	0.2026205	-1.599707	-1.943087	0.09514353	0.6745049	-2.815211	-2.260452	-0.4321843	0.1087296						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144390	500			13	500	1	488	165	258	258	1.488245	0	-1.470631	0	-1.95641	0	-0.2997748	0	0.9002597	0	-1.220921	0	-0.3557075	0	-0.6779256	0	-0.2249978	0	-0.5452353	0	1.488245	0	0.9002597	0	-0.2389432	-0.1804857	-1.497754	-1.516299	-0.09929387	-1.377927	-2.79737	-1.252354	0.5208614	0.6616349	-0.3358597	0.2427245	-1.458914	-1.647945	0.115805	0.7011453	-2.82283	-2.180968	-0.2267137	0.3209058						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144423	533			14	533	1	485	162	263	263	1.644174	0	-1.987952	0	-1.913617	0	-0.4991887	0	1.014847	0	-1.824043	0	-0.7331118	0	-1.308621	0	-0.8398354	0	-1.211224	0	1.644174	0	1.014847	0	-0.2850059	-0.2830429	-1.499684	-1.417197	-0.04816284	-1.473899	-2.794107	-1.345388	0.8022292	0.7789138	-0.5047286	0.2985612	-1.407162	-1.581302	0.2532401	0.7281294	-2.650084	-2.208836	-0.2905548	0.2218251						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144456	566			15	567	1	486	160	263	263	1.739218	0	-2.181091	0	-1.65504	0	-0.296069	0	0.8585014	0	-1.971301	0	-0.6969268	0	-1.177067	0	-0.9100792	0	-0.9983911	0	1.739218	0	0.8585014	0	-0.1176753	-0.214474	-1.383808	-1.189312	-0.06999911	-1.326666	-2.757112	-1.202713	0.7355893	0.6483336	-0.4990526	0.2110991	-1.202828	-1.206951	0.2324364	0.5892079	-2.229956	-1.991583	-0.3887565	0.2294127						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144489	599			16	600	1	487	159	261	261	1.574274	0	-2.122209	0	-1.552864	0	-0.1523798	0	0.8354896	0	-2.016333	0	-0.7042965	0	-1.204134	0	-0.9630913	0	-0.8728484	0	1.574274	0	0.8354896	0	-0.1895921	-0.2896828	-1.409867	-1.237649	-0.2013654	-1.412339	-2.69408	-1.218516	0.7432014	0.7058865	-0.4618159	0.2447258	-1.13521	-1.141597	0.3143964	0.6085175	-2.314411	-2.046331	-0.4397488	0.2809148						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144523	633			17	633	1	487	157	262	262	1.636778	0	-2.265254	0	-1.643427	0	-0.2224834	0	0.7562815	0	-2.141315	0	-0.8791086	0	-1.205415	0	-1.05587	0	-0.9614852	0	1.636778	0	0.7562815	0	-0.2004556	-0.3299472	-1.346569	-1.175223	-0.1463315	-1.31023	-2.626795	-1.261039	0.7622425	0.680777	-0.5099705	0.1340955	-1.1818	-1.115701	0.3083104	0.5571423	-2.245801	-2.034139	-0.5364727	0.2395129						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144556	666			18	667	1	489	156	261	261	1.646739	0	-2.431569	0	-1.63796	0	-0.2987119	0	0.7011926	0	-2.174896	0	-0.8887242	0	-1.140513	0	-1.110304	0	-0.7467468	0	1.646739	0	0.7011926	0	-0.09266308	-0.2301496	-1.309199	-1.133607	-0.075873	-1.156887	-2.749963	-1.16767	0.7201992	0.5976964	-0.3864498	0.09020516	-1.069448	-1.114858	0.1890872	0.5102143	-2.139175	-1.925257	-0.8263028	0.1941607						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144589	699			19	700	1	491	154	259	259	1.512402	0	-2.287612	0	-1.472468	0	-0.1235201	0	0.7162837	0	-2.024328	0	-0.8441577	0	-1.115527	0	-1.049519	0	-0.6605074	0	1.512402	0	0.7162837	0	-0.09280477	-0.1823932	-1.385762	-1.203749	-0.1344884	-1.239255	-2.684938	-1.174379	0.6610605	0.5976654	-0.2818508	0.1803553	-0.9933235	-1.183413	0.1876856	0.5765786	-2.24375	-2.021227	-0.7947428	0.3406573						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144623	733			20	733	1	494	155	255	255	1.448891	0	-2.140603	0	-1.21503	0	-0.1468516	0	0.7284504	0	-1.760054	0	-0.6843986	0	-1.098946	0	-0.9398007	0	-0.4379435	0	1.448891	0	0.7284504	0	-0.06252356	-0.09506768	-1.486445	-1.346957	-0.1944206	-1.27294	-2.696642	-1.095875	0.5637377	0.5939416	-0.05393418	0.3014288	-0.7069155	-1.351321	0.1786292	0.5422827	-2.376133	-2.00367	-0.7548048	0.4593175						
TianlinLiu	20180411	4432968ab_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_144144656	766			21	767	1	496	154	254	254	1.558754	0	-2.350943	0	-1.266148	0	-0.1670578	0	0.676311	0	-1.900509	0	-0.7550793	0	-1.221416	0	-1.120638	0	-0.6435142	0	1.558754	0	0.676311	0	0.08996388	0.01153375	-1.367335	-1.287964	-0.1133836	-1.113272	-2.736732	-1.06974	0.6282187	0.5881033	-0.1551698	0.2316339	-0.6847702	-1.314193	0.1206388	0.488321	-2.231175	-1.959899	-0.9711028	0.4972406						
