#Study : TianlinLiu
#Date : 20180411 09:09:01
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:25:43.209 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	04899849f_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142543294	85			0	85	0																																																						
TianlinLiu	20180411	04899849f_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142543337	128			1	128	0																																																						
TianlinLiu	20180411	04899849f_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142543379	170			2	171	0																																																						
TianlinLiu	20180411	04899849f_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142543422	213			3	214	0																																																						
TianlinLiu	20180411	04899849f_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142543465	256			4	256	1	589	148	166	166	-0.8163304	0	-0.460724	0	-3.095168	0	-0.7908019	0	0.7011439	0	-0.01813937	0	0.3130526	0	-0.7175134	0	0.03434401	0	-2.392914	0	-0.8163304	0	0.7011439	0	0.4695593	-0.4567292	1.145372	-0.726105	0.1898748	-0.8514688	0.1657949	0.6066808	-0.2213547	-0.01070803	0.9992903	0.8380688	-0.0007593373	-0.6165517	-0.8176815	3.535001E-05	-1.384397	-1.253917	-1.263981	0.6665896						
TianlinLiu	20180411	04899849f_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142543507	298			5	299	1	590	151	157	157	-0.2668601	0	-1.08419	0	-2.666333	0	-0.6468832	0	0.3558665	0	-0.198262	0	0.4596367	0	-0.7034637	0	-0.55897	0	-1.258076	0	-0.2668601	0	0.4596367	0	0.5493462	-0.6557096	0.5013873	-1.212386	-0.2465941	-1.217737	-0.7927821	0.4356937	-0.08249766	0.14508	0.9596899	0.3664987	0.2365049	-0.7170873	-0.3262689	0.1104696	-1.328277	-1.111607	-1.303638	0.9622071						
TianlinLiu	20180411	04899849f_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142543550	341			6	342	1	583	142	177	177	-1.494669	0	-0.0766663	0	-3.122302	0	-1.130037	0	0.2143394	0	0.4871928	0	-0.1638952	0	-0.4502012	0	0.08370895	0	-2.58129	0	-1.494669	0	0.4871928	0	0.6529865	-0.4339949	1.328275	-1.044172	0.3503588	-0.4947436	0.3621603	0.8602347	-0.2795629	-0.1983297	0.7838898	0.9157813	-0.5281723	-0.853945	-0.7049866	0.0137216	-1.490241	-1.800627	-1.67032	0.8123703						
TianlinLiu	20180411	04899849f_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142543593	384			7	384	1	588	147	160	160	-1.040281	0	-1.549001	0	-2.586042	0	-0.9626421	0	0.5008584	0	-0.2726451	0	0.3494137	0	-0.9833656	0	-0.9060411	0	-1.887037	0	-1.040281	0	0.5008584	0	0.8901663	-0.5779594	1.037299	-1.179609	0.06682696	-0.9637418	-0.323659	0.5566273	-0.2638374	0.05520884	1.089562	0.4133068	0.5477272	-0.6137297	-0.5990041	-0.1185711	-0.870706	-0.7482798	-1.3733	1.000203						
TianlinLiu	20180411	04899849f_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142543636	427			8	427	1	591	153	147	147	-1.958779	0	-2.017613	0	-1.371454	0	-0.2585125	0	-1.645977	0	1.58948	0	-0.6208321	0	-2.127175	0	-2.837193	0	-1.693703	0	-1.958779	0	1.58948	0	0.7196131	0.3126336	0.3695154	-0.673877	-0.4113087	-1.06755	-1.011181	1.460649	-0.7026045	-1.181593	0.60706	-0.1075896	-1.218414	-0.4933309	-0.5259863	-1.042725	-0.0626874	-0.853816	-1.843594	1.429405						
TianlinLiu	20180411	04899849f_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142543678	469			9	470	1	590	149	150	150	-3.18041	0	-1.685116	0	-0.7564946	0	-0.6265512	0	-1.603521	0	1.004126	0	-0.07458525	0	-1.428327	0	-2.339231	0	-1.085622	0	-3.18041	0	1.004126	0	0.9637114	0.3538206	0.4145671	-0.8064014	-0.4590147	-0.9527143	-1.075352	0.9859897	-1.091317	-1.313694	0.5888349	-0.08392791	0.04163717	-1.165209	-0.7461581	-0.847303	-0.578039	-1.002113	-2.397233	1.649243						
