#Study : TianlinLiu
#Date : 20180411 09:06:59
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:43:24.004 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	5005286b9_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144324084	80			0	80	1	261	115	65	65	-1.065208	0	0.1063323	0	-0.7131674	0	-1.012334	0	0.6946728	0	0.6510546	0	-1.791442	0	-0.487783	0	-0.2888164	0	-0.6195033	0	-1.065208	0	0.6946728	0	-1.302252	-1.019896	-0.3362144	-0.4269945	-0.5889003	-0.6156045	-0.01728544	-0.01372109	-0.06218297	-0.1362447	-0.2440846	0.1555895	-0.6460381	-0.5274364	0.1047457	0.2157245	-1.23029	-1.33233	-0.2254075	-0.007804545						
TianlinLiu	20180411	5005286b9_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144324124	120			1	120	1	263	117	63	63	-1.252551	0	-0.6564622	0	-0.7594175	0	-0.932891	0	1.725159	0	0.357163	0	-2.053824	0	-1.543987	0	-1.094401	0	-1.428925	0	-1.252551	0	1.725159	0	-1.059645	-0.8347179	-0.1560921	-0.4012102	-0.7700683	-0.6100503	-0.06524262	-0.03968201	-0.06921006	0.1951861	-0.5781088	0.04219481	-0.9174594	-0.3905136	0.1069523	-0.03287821	-0.7733508	-0.8673233	-0.420973	0.05397461						
TianlinLiu	20180411	5005286b9_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144324164	160			2	160	1	263	117	62	62	-1.142714	0	-0.6025991	0	-0.5391506	0	-1.103464	0	1.399172	0	0.4534771	0	-1.877064	0	-1.230003	0	-0.9636413	0	-1.001621	0	-1.142714	0	1.399172	0	-1.049282	-0.880775	-0.2908504	-0.6583711	-0.7904862	-0.6538514	-0.2412314	-0.09194525	-0.1123156	0.04956723	-0.4202718	-0.02197427	-0.8462231	-0.4537864	0.03061509	-0.09243839	-0.8264065	-0.9579105	-0.4670815	0.2003961						
TianlinLiu	20180411	5005286b9_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144324204	200			3	200	1	261	116	64	64	-0.5254118	0	-0.2812681	0	-1.02834	0	-0.93923	0	1.119416	0	0.3677646	0	-1.877734	0	-1.081692	0	-0.5259586	0	-1.13427	0	-0.5254118	0	1.119416	0	-1.172053	-0.896052	-0.2349862	-0.4339599	-0.4167764	-0.4611319	0.002024462	-0.1488262	0.1674707	0.2476359	-0.5748074	0.04695792	-0.8797269	-0.5018639	0.2689571	0.3114191	-0.8805344	-0.9793224	-0.1327942	-0.08858144						
TianlinLiu	20180411	5005286b9_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144324244	240			4	240	1	259	117	63	63	-0.332344	0	0.1073608	0	0.0990045	0	-0.6283995	0	0.02763467	0	0.2262594	0	-1.173934	0	-0.4776773	0	-0.08632557	0	-0.1341449	0	-0.332344	0	0.2262594	0	-0.8862535	-0.6134368	-0.3405235	-0.2887658	-0.7904063	-0.3215387	-0.7391573	-0.3399019	-0.1721956	-0.07674409	-0.3298506	-0.2645245	-0.5505531	-0.9806984	0.05044327	0.1555766	-0.9898661	-0.9710382	-0.2793573	-0.9332738						
TianlinLiu	20180411	5005286b9_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144324284	280			5	280	1	254	116	65	65	-0.1916549	0	0.04338111	0	0.3838933	0	-0.1154641	0	-0.06240774	0	0.06415928	0	-0.8170296	0	0.02670295	0	0.1290912	0	0.1958197	0	-0.1916549	0	0.06415928	0	-0.5792076	-0.4137497	-0.5836965	-0.3312097	-0.4184082	0.02716157	-0.8136395	-0.160842	0.03986378	-0.08637738	0.3217478	-0.159563	-0.8463628	-1.525655	0.1358747	0.2123298	-1.037233	-1.051372	-0.09171426	-1.317164						
TianlinLiu	20180411	5005286b9_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144324324	320			6	320	1	249	115	68	68	-0.3733719	0	0.04397654	0	0.07234409	0	0.0723054	0	-0.02727757	0	0.118224	0	-0.644469	0	0.3144579	0	0.1857653	0	0.1586842	0	-0.3733719	0	0.118224	0	-0.5868793	-0.5436081	-0.5712714	-0.46397	-0.3863486	0.0006339311	-0.8928667	-0.1499061	0.1542232	0.05347458	0.4488451	0.09005211	-0.527849	-1.662222	0.41605	0.4340949	-1.069126	-1.096068	-0.2816747	-1.142044						
TianlinLiu	20180411	5005286b9_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144324364	360			7	360	1	245	113	70	70	-0.226825	0	-0.047073	0	-0.07170969	0	0.05531381	0	-0.2399587	0	0.03975062	0	-0.8913846	0	0.02830897	0	0.003319021	0	-0.2985074	0	-0.226825	0	0.05531381	0	-0.5093021	-0.4881914	-0.3861914	-0.9099687	-0.4820206	-0.1479126	-0.9932466	-0.1742028	0.2532985	0.1239202	-0.2676422	0.2485548	-0.3733888	-1.490471	0.6531344	0.6177567	-1.071098	-0.9484534	-0.4773385	-0.8112217						
TianlinLiu	20180411	5005286b9_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144324404	400			8	400	1	242	111	71	71	-0.5146495	0	-0.6446607	0	-0.04077088	0	0.3280808	0	-0.4142086	0	-0.15926	0	-1.103567	0	-0.4806643	0	-0.6005115	0	-0.5462699	0	-0.5146495	0	0.3280808	0	-0.41998	-0.4170554	-0.20819	-0.7508556	-0.4476525	-0.07706296	-0.9877177	-0.0322121	0.02536811	-0.3539517	-0.5756758	-0.02107281	-0.8049849	-1.003054	0.3382913	0.02254058	-0.4793485	-0.1875308	-1.011748	-0.5973207						
TianlinLiu	20180411	5005286b9_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144324444	440			9	440	1	241	110	72	72	-0.6507104	0	-0.6197904	0	-0.559011	0	0.4631538	0	-0.2686898	0	-0.2419721	0	-0.7786325	0	-0.4052385	0	-0.5974789	0	-0.3454687	0	-0.6507104	0	0.4631538	0	-0.283908	-0.3234281	0.0433672	-0.4915301	-0.2971959	-0.06022479	-0.7853664	0.1032205	0.004360162	-0.2209004	-0.4241698	-0.2357942	-0.6445846	-0.6368918	0.2709978	-0.01721328	-0.4522525	-0.3701918	-0.7586911	-0.6227883						
