#Study : TianlinLiu
#Date : 20180411 09:05:29
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:56:32.525 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	7459327df__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_145632591	66			0	67	1	410	124	332	332	0.5906806	0	-1.195071	0	-1.039494	0	0.08341918	0	-0.3747636	0	0.1298917	0	-0.1905073	0	-1.089023	0	-1.306566	0	-0.7427059	0	0.5906806	0	0.1298917	0	0.4949642	0.07952537	0.1484804	-0.3291038	0.2956607	-0.6338962	-0.176664	0.4302337	0.3961985	-0.2257632	-0.1589836	-0.02015909	-0.1092561	-0.4517924	-0.8654226	-0.1441983	-0.3722318	-0.6959348	-0.8227078	2.026281						
TianlinLiu	20180411	7459327df__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_145632625	100			1	100	1	419	119	334	334	-0.08874507	0	-1.54858	0	-1.059624	0	0.3455837	0	-0.3434891	0	0.2347579	0	0.111776	0	-1.506694	0	-1.708598	0	-1.040712	0	-0.08874507	0	0.3455837	0	0.9763414	0.3175225	0.2768948	-0.3527299	0.487238	-0.4665779	-0.09759928	0.8589711	0.324199	-0.3448435	-0.2272865	0.3498363	0.05684433	-0.1773437	-0.6291659	-0.1774512	-0.1176417	-0.4811894	-0.6143352	2.363472						
TianlinLiu	20180411	7459327df__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_145632658	133			2	133	1	438	106	321	321	-0.1638884	0	-1.999159	0	-0.4574807	0	0.6775422	0	-0.3706677	0	-0.3396233	0	0.439999	0	-1.594706	0	-2.193552	0	-1.414723	0	-0.1638884	0	0.6775422	0	1.840909	0.884379	0.3499981	-0.2372748	0.2575338	-0.01335564	-0.9465368	0.1854378	-0.01138849	-0.6050059	-0.6342382	-0.4094173	0.02175652	-0.5881581	-1.639208	-0.2195216	0.02784299	-0.2350859	-0.8841996	2.283016						
TianlinLiu	20180411	7459327df__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_145632691	166			3	167	1	477	103	281	281	-0.1559183	0	-3.391733	0	-0.8759996	0	0.103186	0	-0.3603875	0	-0.9494514	0	1.257234	0	-2.107965	0	-2.771515	0	-1.40469	0	-0.1559183	0	1.257234	0	2.547436	1.36765	0.4795701	-1.194374	0.09830229	-0.4432149	-1.246436	0.1231064	0.3446097	-0.0171945	0.1818229	0.1620097	0.7812946	-0.6818925	-1.030583	0.5954748	-0.07718504	-0.1434598	-0.5818821	1.278157						
TianlinLiu	20180411	7459327df__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_145632725	200			4	200	0																																																						
TianlinLiu	20180411	7459327df__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_145632758	233			5	234	1	493	97	265	265	0.5798709	0	-3.704498	0	-2.39961	0	-0.5912149	0	-0.3478405	0	-1.012391	0	1.493562	0	-2.739553	0	-3.128303	0	-2.368884	0	0.5798709	0	1.493562	0	3.020174	1.500395	0.3242197	-1.855743	0.3618703	-0.4625703	-2.141785	0.4438458	0.7684597	-0.2795669	0.1087348	0.4664378	0.1583383	-1.008742	-0.9947668	0.5396573	-0.4802762	-0.7930701	-1.077181	2.39321						
TianlinLiu	20180411	7459327df__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_145632791	266			6	267	1	456	100	311	311	-0.5445787	0	-3.663558	0	-1.39531	0	1.351675	0	-1.828396	0	0.194244	0	-0.3387523	0	-4.256548	0	-4.498871	0	-3.190248	0	-0.5445787	0	1.351675	0	2.096084	1.064838	0.1601321	-0.4923253	0.2050825	-0.4248522	-1.618955	0.9594461	0.5778905	-1.228312	0.4171523	-0.2900085	-1.513329	0.2528277	-1.004993	-1.138497	1.145847	0.1956096	-1.272636	2.803944						
TianlinLiu	20180411	7459327df__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_145632825	300			7	300	1	467	100	268	268	0.09021077	0	-4.363018	0	-3.402431	0	1.001433	0	-0.9088462	0	-1.09129	0	0.3566627	0	-4.179351	0	-4.334013	0	-3.289976	0	0.09021077	0	1.001433	0	2.856323	1.657961	-0.0310074	-1.497182	0.9208586	-0.589883	-2.549226	0.5923424	1.213441	-0.7672014	-0.1828759	-0.302453	-0.8195032	0.03943001	-1.01972	-0.2470716	0.340278	-0.7046639	-0.4658228	1.850859						
TianlinLiu	20180411	7459327df__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_145632858	333			8	334	1	446	96	282	282	-0.03368148	0	-3.363944	0	-2.076504	0	0.9666163	0	-0.5966296	0	-0.7115145	0	0.3916103	0	-3.336985	0	-3.233157	0	-1.830966	0	-0.03368148	0	0.9666163	0	1.999651	0.8764341	0.2943046	-0.8156743	0.02392719	-0.6299707	-1.419871	0.804773	0.1859503	-0.4529212	0.07897055	-0.2633405	0.04256071	0.351196	-0.9840065	0.06776679	0.3297682	0.01330512	0.0963738	2.13529						
TianlinLiu	20180411	7459327df__utterance_13	0	MALE	recording	TestImage	Emotient FACET	20180320_145632892	367			9	367	1	428	100	289	289	-0.4661732	0	-3.437718	0	-1.765085	0	1.668456	0	-1.057605	0	-0.1533297	0	-0.1382087	0	-3.526876	0	-3.472329	0	-2.44296	0	-0.4661732	0	1.668456	0	2.185892	1.310241	0.3637244	-0.6014333	-0.08502911	-0.6339185	-1.237072	0.8830466	0.06916865	-0.8293855	-0.6936536	-0.3748566	-0.2998292	1.15472	-1.07259	-0.4853037	0.6440541	-0.1279546	-0.8221631	2.281261						
