#Study : TianlinLiu
#Date : 20180411 09:05:01
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:59:55.992 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	8563171cd_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145956058	66			0	67	1	219	99	210	210	-3.207462	0	-2.1317	0	0.5935152	0	0.3030521	0	-1.447844	0	-1.291282	0	0.06529604	0	-1.686248	0	-2.586618	0	-0.3084882	0	-3.207462	0	0.3030521	0	1.379734	1.173588	-0.009532095	-0.1370203	-1.149683	-1.306159	-2.2392	0.2693875	-0.7740856	-0.7844285	-0.629424	-0.3041194	-0.1573841	-0.9490678	-1.047755	-0.5848372	-0.9417667	-1.034993	-2.124522	1.652759						
TianlinLiu	20180411	8563171cd_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145956092	100			1	100	1	218	98	212	212	-2.858974	0	-2.338792	0	0.7145818	0	0.1076497	0	-1.186616	0	-1.384101	0	0.09080146	0	-1.739749	0	-2.592608	0	-0.1922191	0	-2.858974	0	0.1076497	0	1.333192	1.150161	-0.1220281	-0.2903927	-1.265123	-1.436916	-2.41116	0.174162	-0.7009562	-0.6500881	-0.8300393	-0.3008973	-0.09127437	-0.9576567	-1.069801	-0.6264262	-0.8000878	-0.8317302	-1.969244	1.830406						
TianlinLiu	20180411	8563171cd_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145956125	133			2	133	1	218	100	210	210	-2.983763	0	-2.014961	0	0.6966735	0	0.4080852	0	-1.435155	0	-1.108962	0	0.06798542	0	-1.635135	0	-2.559757	0	-0.409037	0	-2.983763	0	0.4080852	0	1.341401	1.172124	-0.0008450013	-0.08976108	-1.117838	-1.276992	-2.090847	0.2805645	-0.686125	-0.7612197	-0.649442	-0.282685	-0.1464224	-0.883903	-1.047925	-0.5751231	-0.8431321	-0.9478602	-1.941715	1.685126						
TianlinLiu	20180411	8563171cd_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145956158	166			3	167	1	217	100	212	212	-2.839826	0	-2.078676	0	0.7330772	0	0.3742827	0	-1.359425	0	-1.171565	0	-0.1208142	0	-1.781351	0	-2.620054	0	-0.350848	0	-2.839826	0	0.3742827	0	1.303512	1.150146	-0.09044109	-0.1045024	-1.286348	-1.433404	-2.252841	0.2927912	-0.6708111	-0.6414518	-0.8549706	-0.3320741	-0.1572909	-0.9835184	-1.01972	-0.5136384	-0.9245805	-1.034124	-2.091254	1.749246						
TianlinLiu	20180411	8563171cd_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145956192	200			4	200	1	218	100	211	211	-2.729416	0	-2.018932	0	0.5213895	0	0.3040285	0	-1.244201	0	-1.198956	0	-0.122212	0	-1.730668	0	-2.483549	0	-0.2388493	0	-2.729416	0	0.3040285	0	1.214772	1.071064	-0.1614895	-0.1298894	-1.283027	-1.429468	-2.244131	0.3104458	-0.6474698	-0.6039224	-0.7788976	-0.2825992	-0.1491064	-1.004067	-0.97585	-0.4347447	-1.074485	-1.147465	-2.240695	1.7269						
TianlinLiu	20180411	8563171cd_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145956225	233			5	234	1	218	101	211	211	-2.881369	0	-1.92653	0	0.1269959	0	0.2431522	0	-1.072585	0	-1.355483	0	0.03921109	0	-1.644378	0	-2.401751	0	-0.197158	0	-2.881369	0	0.2431522	0	1.27942	1.089797	-0.1472918	-0.07129024	-1.235368	-1.431993	-2.122844	0.240514	-0.6407493	-0.4092036	-0.628164	-0.05977002	0.06299486	-1.209099	-0.7775968	-0.1695793	-1.553196	-1.523358	-2.414629	1.389051						
TianlinLiu	20180411	8563171cd_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145956258	266			6	267	1	218	103	211	211	-2.912977	0	-2.167642	0	0.1997354	0	0.09000118	0	-0.7187518	0	-1.738979	0	0.01138115	0	-1.860861	0	-2.500146	0	0.04697587	0	-2.912977	0	0.09000118	0	1.165618	1.017208	-0.3901274	-0.03759921	-1.437076	-1.613486	-2.595446	-0.1175158	-0.7722929	-0.1552556	-0.4488817	0.1558317	0.1420111	-1.245524	-0.6416019	0.1071396	-1.932038	-1.648141	-2.321372	1.2314						
TianlinLiu	20180411	8563171cd_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145956292	300			7	300	1	218	106	212	212	-2.71051	0	-2.237074	0	0.3591225	0	-0.02140871	0	-0.4890083	0	-1.720877	0	-0.02555032	0	-1.988197	0	-2.550195	0	0.2055347	0	-2.71051	0	-0.02140871	0	0.9487442	0.9594311	-0.5941511	0.01910601	-1.483634	-1.689335	-2.805147	-0.2823508	-0.7540179	-0.1151554	-0.4680578	0.2393109	0.1920998	-1.302851	-0.6898851	0.1482881	-2.156678	-1.741964	-2.392333	1.28948						
TianlinLiu	20180411	8563171cd_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145956325	333			8	334	1	217	107	216	216	-2.48212	0	-2.14793	0	0.2959586	0	-0.5150011	0	-0.166592	0	-1.564804	0	0.1916734	0	-1.873352	0	-2.278105	0	0.5859212	0	-2.48212	0	0.1916734	0	0.7134326	0.7189412	-0.6752215	-0.3710928	-1.696995	-1.851899	-2.671048	-0.2897683	-0.802445	0.144197	-0.5103923	0.4787937	0.4552276	-1.325377	-0.593164	0.2842583	-2.188325	-1.570794	-2.137063	1.569506						
TianlinLiu	20180411	8563171cd_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145956359	367			9	367	1	218	107	215	215	-2.491391	0	-2.031396	0	0.3121902	0	-0.3236752	0	-0.2339337	0	-1.587662	0	0.02733706	0	-1.897563	0	-2.259118	0	0.5590743	0	-2.491391	0	0.02733706	0	0.6690347	0.7278473	-0.6803253	-0.1674028	-1.633662	-1.723205	-2.647495	-0.2321716	-0.8079243	0.09614512	-0.3926248	0.4757691	0.4752135	-1.270417	-0.5385888	0.2818498	-2.176686	-1.601615	-2.046817	1.27628						
