#Study : TianlinLiu
#Date : 20180411 09:08:36
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:29:16.460 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	119334435_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_142916526	66			0	67	1	478	152	354	354	0.4792203	0	-2.0462	0	-1.64403	0	0.05851828	0	-1.683702	0	-2.114698	0	-2.143275	0	-1.870985	0	-1.524939	0	-2.874356	0	0.4792203	0	0.05851828	0	0.02728771	0.08743716	-0.3441919	-1.080184	-0.3605297	-0.5928721	-3.047793	-0.458697	0.9760484	0.8958043	-1.845522	-0.9577696	-3.030988	-0.04615569	0.01027029	0.05355947	-0.2961347	-0.1086095	0.2319115	-0.186192						
TianlinLiu	20180411	119334435_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_142916560	100			1	100	1	477	155	353	353	0.7052483	0	-2.215552	0	-1.769642	0	0.07198978	0	-1.866508	0	-2.347074	0	-2.184436	0	-2.143532	0	-1.670687	0	-3.202521	0	0.7052483	0	0.07198978	0	0.01541989	0.04942264	-0.4059485	-1.043189	-0.3450408	-0.6549791	-3.262167	-0.5118002	1.043048	0.9864054	-1.867761	-0.9149221	-3.227051	0.005042763	0.1048594	0.1182298	-0.3168952	-0.05506054	0.3281943	-0.244355						
TianlinLiu	20180411	119334435_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_142916593	133			2	133	1	473	154	357	357	0.6161776	0	-2.30106	0	-1.82649	0	0.1596545	0	-1.621089	0	-2.342041	0	-2.117834	0	-2.268299	0	-1.853701	0	-3.37507	0	0.6161776	0	0.1596545	0	0.01172475	0.05676481	-0.3907074	-0.887453	-0.2213433	-0.6450913	-3.138558	-0.4968808	1.111626	1.011218	-1.958331	-0.9490412	-3.144186	-0.05691602	0.1434022	0.1368014	-0.2615188	-0.01130155	0.4156502	-0.3164739						
TianlinLiu	20180411	119334435_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_142916626	166			3	167	1	472	152	356	356	0.7183009	0	-2.181143	0	-1.87288	0	0.09488408	0	-1.590199	0	-2.343586	0	-2.186909	0	-2.200727	0	-1.702537	0	-3.404055	0	0.7183009	0	0.09488408	0	-0.07326222	-0.03331235	-0.3897911	-0.8782394	-0.1958475	-0.6083315	-3.117466	-0.5345361	1.117041	1.044716	-1.957387	-0.9204653	-3.113893	-0.08162718	0.1876943	0.1823901	-0.3680209	-0.04129769	0.4401192	-0.2629876						
TianlinLiu	20180411	119334435_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_142916659	199			4	200	1	470	150	357	357	0.707816	0	-2.297289	0	-1.687338	0	0.09969666	0	-1.549813	0	-2.364109	0	-2.246327	0	-2.289288	0	-1.859884	0	-3.424327	0	0.707816	0	0.09969666	0	-0.01851945	0.04106112	-0.4104129	-0.7873432	-0.2057438	-0.5915952	-3.189006	-0.5585806	1.126182	1.012349	-1.99281	-0.9739261	-3.047386	-0.1264376	0.1166663	0.1060042	-0.2110781	0.07244286	0.3181667	-0.2831603						
TianlinLiu	20180411	119334435_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_142916693	233			5	233	1	468	148	356	356	0.8075551	0	-2.178578	0	-1.687258	0	0.1779825	0	-1.730165	0	-2.368217	0	-2.126413	0	-2.191665	0	-1.724957	0	-3.292947	0	0.8075551	0	0.1779825	0	-0.04061051	0.01251123	-0.4135536	-0.8223291	-0.223817	-0.5763693	-3.252153	-0.5697029	1.101666	0.9905618	-1.926047	-0.960227	-3.044973	-0.05615615	0.1367472	0.1540397	-0.2685775	0.04784229	0.4345482	-0.2709592						
TianlinLiu	20180411	119334435_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_142916726	266			6	267	1	468	150	347	347	0.8359767	0	-2.209308	0	-2.026255	0	0.629615	0	-2.190021	0	-2.478017	0	-2.092913	0	-2.108205	0	-1.62674	0	-3.30838	0	0.8359767	0	0.629615	0	-0.02328276	-0.009294848	-0.190219	-0.8880994	-0.1887906	-0.5511874	-3.169352	-0.6588848	1.146632	1.137427	-1.6791	-0.8520558	-3.291383	0.315785	0.143165	0.5189165	-0.4740002	-0.2155074	0.5744491	-0.351887						
TianlinLiu	20180411	119334435_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_142916759	299			7	300	1	465	151	349	349	1.010656	0	-2.075665	0	-2.28014	0	0.2370517	0	-1.538783	0	-2.452852	0	-1.885966	0	-1.801031	0	-1.312604	0	-2.904099	0	1.010656	0	0.2370517	0	-0.119709	-0.09224591	-0.3780647	-0.990221	-0.2129664	-0.6374957	-3.183942	-0.6130573	1.169989	1.237236	-1.68223	-0.7630708	-3.098448	0.1224605	0.3367022	0.5854736	-0.8859824	-0.4296889	0.7603586	-0.4315764						
TianlinLiu	20180411	119334435_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_142916793	333			8	333	1	465	156	342	342	1.018968	0	-2.29329	0	-2.331103	0	0.4246927	0	-1.454755	0	-2.395187	0	-1.745928	0	-1.956869	0	-1.490631	0	-2.922307	0	1.018968	0	0.4246927	0	-0.02264308	0.006288882	-0.3210374	-0.9335146	-0.09332781	-0.6702303	-3.066403	-0.5456992	1.22758	1.195254	-1.530442	-0.6321577	-3.077986	0.2093863	0.2737543	0.6594576	-0.8819506	-0.5448717	0.7189741	-0.5136502						
TianlinLiu	20180411	119334435_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_142916826	366			9	367	1	457	157	354	354	1.047593	0	-2.38883	0	-2.477428	0	0.07640193	0	-0.5429372	0	-2.24442	0	-1.375199	0	-1.544219	0	-1.685931	0	-2.406816	0	1.047593	0	0.07640193	0	-0.3071713	-0.2250108	-0.6360804	-0.852636	-0.07153108	-0.901466	-3.073476	-0.4874407	1.179233	1.060832	-1.72174	-0.6897324	-2.719179	-0.07875552	0.1806915	0.3875425	-1.006387	-0.5853008	0.617403	-0.458259						
