#Study : TianlinLiu
#Date : 20180411 09:07:25
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:39:15.358 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	3b44c03f7_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_143915424	66			0	67	1	581	209	210	210	-0.3018033	0	-4.833453	0	0.5888097	0	0.6931794	0	-1.621138	0	-4.430292	0	-4.93454	0	-5.217719	0	-5.048441	0	-2.177315	0	-0.3018033	0	0.6931794	0	1.435372	1.790807	-1.069975	0.732548	-1.294042	-0.1795267	-6.063993	-1.829597	-0.5105594	-1.172319	-2.321202	-1.8702	-1.688369	0.5245873	-0.7487063	-2.253682	2.10999	1.844727	-1.932683	-2.182893						
TianlinLiu	20180411	3b44c03f7_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_143915458	100			1	100	1	580	213	208	208	-0.008672959	0	-4.2973	0	-0.298186	0	1.093715	0	-0.9939561	0	-3.952896	0	-4.021997	0	-4.604136	0	-4.200224	0	-1.65743	0	-0.008672959	0	1.093715	0	1.106106	1.412169	-1.126854	0.6510288	-1.044772	-0.1541288	-5.344182	-1.498214	-0.258297	-0.6140192	-1.71467	-1.20043	-1.465312	0.6255751	-0.2494178	-1.410671	0.9487377	0.9949823	-1.346649	-2.430725						
TianlinLiu	20180411	3b44c03f7_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_143915491	133			2	133	1	579	221	209	209	0.1520151	0	-4.78122	0	-1.490567	0	1.399295	0	-0.9409373	0	-4.06141	0	-4.238176	0	-5.128726	0	-4.860629	0	-1.975204	0	0.1520151	0	1.399295	0	1.319707	1.82551	-1.347805	1.120133	-0.9988275	-0.2395456	-5.83752	-1.059358	0.1110441	-0.3624347	-1.624627	-1.108443	-2.322228	0.4327522	-0.2976354	-1.062756	0.3864704	0.2207555	-1.735678	-3.41215						
TianlinLiu	20180411	3b44c03f7_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_143915524	166			3	167	1	581	230	207	207	0.5637068	0	-5.181367	0	-1.980755	0	1.383992	0	-0.9018524	0	-4.076946	0	-4.664924	0	-5.679214	0	-5.31922	0	-2.449711	0	0.5637068	0	1.383992	0	1.696944	2.232621	-1.479217	1.040696	-0.7763463	-0.2624382	-5.941393	-0.970594	0.3426259	-0.1169613	-1.649827	-1.239774	-2.912924	0.1568156	-0.4708511	-0.872127	0.14774	-0.1129862	-1.802319	-3.423013						
TianlinLiu	20180411	3b44c03f7_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_143915557	199			4	200	1	579	237	210	210	0.7674865	0	-5.149687	0	-1.832201	0	1.115555	0	-0.5641997	0	-4.198165	0	-4.518116	0	-5.702354	0	-4.944064	0	-1.923666	0	0.7674865	0	1.115555	0	1.345208	1.811231	-1.490253	1.162719	-1.013745	-0.3630261	-6.096436	-1.095441	0.3087869	0.1851586	-1.529815	-1.052366	-2.741443	0.2851952	-0.4213484	-0.7920367	-0.2014359	-0.2235584	-1.865862	-4.019919						
TianlinLiu	20180411	3b44c03f7_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_143915591	233			5	233	1	578	244	211	211	0.4635813	0	-5.147614	0	-1.314474	0	1.302549	0	-1.209825	0	-4.262571	0	-4.733516	0	-5.961365	0	-5.227161	0	-2.730552	0	0.4635813	0	1.302549	0	1.886686	2.382102	-1.48756	1.080012	-1.024386	-0.2946625	-6.524974	-1.171408	0.3001761	0.02593121	-1.576018	-1.198034	-3.022166	-0.2844124	-0.6297459	-0.8277314	0.2001018	0.228509	-2.056773	-3.932034						
TianlinLiu	20180411	3b44c03f7_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_143915624	266			6	267	1	578	248	211	211	-0.1378831	0	-5.004741	0	-0.4162879	0	1.572779	0	-1.362079	0	-4.006833	0	-4.667423	0	-5.956192	0	-5.329303	0	-3.239989	0	-0.1378831	0	1.572779	0	2.115224	2.696504	-1.391342	1.171712	-1.142709	-0.3534495	-6.744399	-1.052416	0.1969451	-0.2995317	-1.675166	-1.350534	-2.972575	-0.2287473	-0.9886948	-1.245875	0.905828	0.7639252	-2.348106	-3.204971						
TianlinLiu	20180411	3b44c03f7_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_143915657	299			7	300	1	577	248	215	215	-0.07712892	0	-4.651865	0	-0.4148728	0	1.463823	0	-1.451092	0	-3.964857	0	-4.479834	0	-5.60174	0	-4.844067	0	-2.966393	0	-0.07712892	0	1.463823	0	1.786007	2.237838	-1.324652	1.194094	-1.139069	-0.3097001	-6.2164	-0.942802	0.1851688	-0.3116584	-1.65716	-1.364979	-2.794551	-0.05689407	-0.787478	-1.305494	0.775732	0.8327184	-2.198867	-3.515656						
TianlinLiu	20180411	3b44c03f7_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_143915691	333			8	333	1	577	244	219	219	-0.3078716	0	-4.555036	0	-0.3874962	0	1.467126	0	-1.694876	0	-4.106914	0	-4.300552	0	-5.037311	0	-4.450838	0	-2.039513	0	-0.3078716	0	1.467126	0	0.9986383	1.345525	-1.375378	1.132818	-1.636735	-0.4493833	-6.072092	-0.8653755	0.05455593	-0.3877441	-1.859624	-1.594883	-3.069263	0.2619011	-0.6170198	-1.511877	0.7856715	0.8123043	-2.013975	-4.115777						
TianlinLiu	20180411	3b44c03f7_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_143915724	366			9	367	1	579	239	220	220	-1.298329	0	-4.232962	0	0.0126438	0	1.834167	0	-2.051808	0	-4.102266	0	-4.454936	0	-5.0301	0	-4.595583	0	-1.916525	0	-1.298329	0	1.834167	0	0.4436522	0.9218379	-1.155807	1.955677	-2.008494	-0.7109758	-6.130347	-0.7614618	-0.1323279	-0.3004887	-2.256217	-1.580369	-3.126535	0.8903096	-0.5867893	-1.901443	0.8015517	0.9354444	-1.9247	-5.276653						
