#Study : TianlinLiu
#Date : 20180411 09:04:36
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:03:27.976 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	a3f32e3a3__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150328042	66			0	67	1	487	227	271	271	0.8189026	0	-1.319829	0	-2.733747	0	-1.830966	0	0.3228843	0	0.1519819	0	0.09788818	0	-0.8272943	0	-0.1689582	0	-0.4003129	0	0.8189026	0	0.3228843	0	0.3492868	-0.1484202	-0.1094148	-2.339917	-0.03459616	-0.8268492	-0.9680828	0.309184	0.4445528	0.02718734	-0.2308116	0.3778075	0.2853014	-1.069548	0.3981476	0.6920975	-1.73421	-1.456779	-0.8501085	2.167453						
TianlinLiu	20180411	a3f32e3a3__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150328076	100			1	100	1	484	226	269	269	0.7109751	0	-1.508401	0	-2.133261	0	-1.673738	0	0.0704048	0	0.1849216	0	-0.1938732	0	-0.666401	0	-0.2324193	0	-0.4249341	0	0.7109751	0	0.1849216	0	0.3104333	-0.1875131	0.06785392	-1.967045	-0.3166588	-0.6920218	-0.8766049	0.07146643	0.2839402	-0.1160666	-0.4641096	-0.0801695	0.009912427	-0.6992553	0.1563868	0.148839	-1.023374	-0.9148376	-0.7686124	2.05508						
TianlinLiu	20180411	a3f32e3a3__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150328109	133			2	133	1	481	229	262	262	1.011601	0	-1.95094	0	-1.712645	0	-1.69846	0	0.1292035	0	0.06124872	0	-0.8657483	0	-1.265406	0	-0.7258459	0	-0.8235366	0	1.011601	0	0.1292035	0	0.3281838	-0.06945248	-0.1667552	-1.856127	-0.3222969	-0.635695	-1.352863	-0.07895305	0.4391961	0.03450941	-0.6560363	-0.3147151	-0.6835032	-0.6677096	0.1269493	-0.02100948	-0.7691283	-0.562346	-0.6715091	1.868642						
TianlinLiu	20180411	a3f32e3a3__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150328142	166			3	167	1	472	229	266	266	0.8697255	0	-1.431549	0	-1.805587	0	-1.597752	0	0.180074	0	0.1323144	0	-0.4895923	0	-0.6941457	0	-0.2177482	0	-0.6504158	0	0.8697255	0	0.180074	0	0.1323751	-0.2518687	-0.1393877	-1.922539	-0.3223211	-0.5995946	-0.8975865	0.0005371554	0.3848997	0.05360674	-0.3485084	-0.07208471	-0.6559443	-0.6890493	0.2834296	0.1288304	-0.9908501	-0.6956168	-0.1636011	1.90801						
TianlinLiu	20180411	a3f32e3a3__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150328176	200			4	200	1	465	234	262	262	1.127809	0	-1.480175	0	-1.941319	0	-1.476511	0	0.3001603	0	0.07531331	0	-0.7267873	0	-0.7121713	0	-0.2659578	0	-0.5985817	0	1.127809	0	0.3001603	0	0.02528387	-0.2165909	-0.6154853	-2.135691	-0.1250695	-0.4266429	-1.134949	0.2458733	0.7207891	0.1815682	-0.04024346	0.07449533	-1.010745	-0.98524	0.2582971	0.3312489	-1.529177	-1.276043	-0.5798044	1.516154						
TianlinLiu	20180411	a3f32e3a3__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150328209	233			5	234	1	458	235	268	268	0.7291157	0	-1.329016	0	-2.285936	0	-1.293536	0	-0.01435182	0	0.1831808	0	-0.3551806	0	-0.4643247	0	-0.04644304	0	-0.5533611	0	0.7291157	0	0.1831808	0	0.09151664	-0.2695164	-0.404407	-2.210543	-0.2546658	-0.6163628	-0.9448324	0.514786	0.5085589	-0.02465918	-0.02957723	0.06350508	-0.68439	-0.5186391	0.2074224	0.1775893	-1.051395	-0.9574766	-0.189653	1.756826						
TianlinLiu	20180411	a3f32e3a3__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150328242	266			6	267	1	457	239	263	263	0.8296996	0	-1.318168	0	-2.193214	0	-1.365224	0	0.1079601	0	0.313986	0	-0.3561044	0	-0.4866219	0	-0.08998213	0	-0.5337863	0	0.8296996	0	0.313986	0	0.1256687	-0.1904687	-0.4690643	-2.204645	-0.1486602	-0.4789622	-1.026106	0.5121616	0.5638154	0.0600467	-0.0371659	0.02843397	-0.6395599	-0.7295226	0.1804125	0.2571883	-1.195412	-1.079127	-0.3691681	1.739363						
TianlinLiu	20180411	a3f32e3a3__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150328276	300			7	300	1	453	238	265	265	0.7873359	0	-0.9620233	0	-2.542016	0	-1.570738	0	0.2835515	0	0.3053186	0	-0.2030603	0	-0.1564626	0	0.2163587	0	-0.3761855	0	0.7873359	0	0.3053186	0	0.05237763	-0.2774943	-0.6256519	-2.510184	-0.2345383	-0.6808423	-1.159328	0.5352325	0.5307676	0.1413796	0.07379319	0.2760366	-0.3575401	-0.9490574	0.2553193	0.5034941	-1.674831	-1.443516	-0.3534846	1.713388						
TianlinLiu	20180411	a3f32e3a3__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150328309	333			8	334	1	453	238	265	265	0.6954817	0	-0.6353174	0	-2.672116	0	-1.75617	0	0.4243267	0	0.1148268	0	-0.1092361	0	0.05994866	0	0.5167409	0	-0.1819251	0	0.6954817	0	0.4243267	0	0.03885549	-0.3318444	-0.6119797	-2.422982	-0.287066	-0.7452524	-1.113342	0.3339738	0.4892627	0.3294521	0.06964824	0.3703261	0.005766198	-1.066609	0.5059475	0.7028338	-1.971092	-1.562644	-0.2928866	1.657776						
TianlinLiu	20180411	a3f32e3a3__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150328343	367			9	367	1	453	236	266	266	0.6867145	0	-0.5529878	0	-2.57658	0	-1.77185	0	0.4098131	0	0.05263834	0	-0.1696617	0	0.1534188	0	0.5993505	0	-0.02505264	0	0.6867145	0	0.4098131	0	0.05861354	-0.299788	-0.6058619	-2.319252	-0.3298122	-0.7592272	-1.121913	0.2603745	0.4669892	0.3190041	0.0992798	0.3759923	0.03672435	-1.140459	0.5734867	0.7084759	-2.006913	-1.567081	-0.2677944	1.479515						
