#Study : TianlinLiuValidation
#Date : 20180411 09:26:07
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:25:25.285 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	64b27f54f_4___utterance_73	0	MALE	a	TestImage	Emotient FACET	20180325_232525351	66			0	67	1	679	158	124	124	-5.169485	0	0.5049876	0	-2.185468	0	-2.510905	0	-1.403286	0	-1.422899	0	-2.259266	0	0.8409668	0	0.1965832	0	0.9117493	0	-5.169485	0	0.5049876	0	-1.223384	-0.6427734	0.1088787	-0.5166337	-1.591886	-0.4541315	-2.028041	-0.8543733	-1.738097	-1.189724	-1.838451	-1.273009	-0.7600865	-0.5351388	-0.4182719	-1.064922	-0.2429061	-0.4836399	-2.026003	-2.206158						
TianlinLiuValidation	20180411	64b27f54f_4___utterance_73	0	MALE	a	TestImage	Emotient FACET	20180325_232525385	100			1	100	1	677	157	127	127	-5.123617	0	0.4915594	0	-2.245105	0	-2.658824	0	-1.958748	0	-1.324062	0	-2.484895	0	0.8783236	0	0.1181271	0	1.091545	0	-5.123617	0	0.4915594	0	-1.173384	-0.5849727	0.09793758	-0.4683456	-1.634832	-0.4878046	-2.380631	-0.5803087	-1.826147	-1.369467	-2.272919	-1.71399	-0.909962	-0.6375714	-0.7308249	-1.20733	-0.1760612	-0.7585465	-2.853511	-2.384301						
TianlinLiuValidation	20180411	64b27f54f_4___utterance_73	0	MALE	a	TestImage	Emotient FACET	20180325_232525418	133			2	133	1	678	157	126	126	-4.939845	0	0.4855344	0	-2.010049	0	-2.588479	0	-1.637439	0	-1.224483	0	-2.297967	0	0.7940406	0	0.1221255	0	1.040578	0	-4.939845	0	0.4855344	0	-1.12175	-0.5488599	-0.01697478	-0.5017342	-1.695566	-0.614418	-2.281236	-0.494565	-1.775511	-1.243162	-2.056656	-1.381384	-0.8035984	-0.5264294	-0.6176403	-1.089009	-0.230769	-0.6467733	-2.495158	-2.155231						
TianlinLiuValidation	20180411	64b27f54f_4___utterance_73	0	MALE	a	TestImage	Emotient FACET	20180325_232525451	166			3	167	1	678	157	126	126	-4.477067	0	0.2420844	0	-1.635435	0	-2.422807	0	-1.342841	0	-1.01043	0	-2.247388	0	0.4409414	0	-0.138198	0	1.041405	0	-4.477067	0	0.2420844	0	-1.132918	-0.482758	-0.1010616	-0.5632344	-1.709904	-0.6730687	-2.116045	-0.4082985	-1.626524	-1.19183	-1.880512	-1.126185	-0.6593729	-0.3498032	-0.5717518	-1.115378	0.06372273	-0.3323235	-2.187965	-1.948161						
TianlinLiuValidation	20180411	64b27f54f_4___utterance_73	0	MALE	a	TestImage	Emotient FACET	20180325_232525485	200			4	200	1	681	159	123	123	-5.137811	0	0.2679345	0	-2.184853	0	-2.942929	0	-1.492185	0	-0.8749518	0	-1.709987	0	1.31172	0	0.157297	0	0.5399173	0	-5.137811	0	0.2679345	0	-0.6292371	-0.2695022	0.1455397	-1.426927	-1.643571	-0.480397	-2.167876	-0.175244	-1.363454	-1.213212	-1.793312	-1.067005	-0.6457149	-0.5590847	-0.5176731	-1.187196	0.06665144	-0.2274242	-2.074357	0.08006962						
TianlinLiuValidation	20180411	64b27f54f_4___utterance_73	0	MALE	a	TestImage	Emotient FACET	20180325_232525518	233			5	234	1	681	158	122	122	-5.249338	0	-0.3454767	0	-2.104939	0	-2.856917	0	-1.470779	0	-0.6904904	0	-1.285445	0	0.9490746	0	-0.4594077	0	0.9271157	0	-5.249338	0	-0.3454767	0	-0.4705755	-0.1879919	0.006654811	-1.999228	-2.01817	-0.9411159	-1.903819	-0.09152112	-1.479905	-1.335429	-1.808319	-1.210508	-0.8182248	-0.3477288	-0.8497813	-1.466763	0.1655698	-0.1524221	-2.330026	1.483946						
TianlinLiuValidation	20180411	64b27f54f_4___utterance_73	0	MALE	a	TestImage	Emotient FACET	20180325_232525551	266			6	267	1	682	156	124	124	-5.921453	0	0.01669396	0	-2.956981	0	-3.885103	0	-1.433042	0	-0.9301074	0	-1.554583	0	1.420989	0	0.1015918	0	0.8096367	0	-5.921453	0	0.01669396	0	-0.7809826	-0.5258	0.1397089	-2.066961	-1.83377	-0.5669892	-1.776905	-0.2280579	-1.550195	-1.268991	-1.791572	-1.030125	-0.05237416	-0.6939902	-0.462807	-1.123747	-0.1521487	-0.2633579	-2.559345	1.034105						
TianlinLiuValidation	20180411	64b27f54f_4___utterance_73	0	MALE	a	TestImage	Emotient FACET	20180325_232525585	300			7	300	1	682	155	124	124	-7.046448	0	0.5681232	0	-3.14651	0	-4.827259	0	-2.121817	0	-1.13087	0	-1.963787	0	1.840643	0	0.396257	0	0.3319095	0	-7.046448	0	0.5681232	0	-0.9238374	-0.7140036	0.2634135	-1.843409	-1.615022	0.0420442	-1.727159	-0.7416826	-1.760331	-1.492965	-1.928156	-0.9308579	0.8723339	-1.28531	-0.2167606	-1.190231	0.06019996	0.01585753	-3.003296	0.02786554						
TianlinLiuValidation	20180411	64b27f54f_4___utterance_73	0	MALE	a	TestImage	Emotient FACET	20180325_232525618	333			8	334	1	682	154	125	125	-7.123379	0	0.8597167	0	-3.456103	0	-5.196806	0	-2.182174	0	-1.353366	0	-2.230803	0	1.901122	0	0.6679423	0	0.328821	0	-7.123379	0	0.8597167	0	-1.156465	-0.9617859	0.1639842	-1.480054	-1.547917	0.1590295	-1.828655	-1.0569	-1.883587	-1.381746	-2.117343	-0.8883622	1.094254	-1.739041	0.00984758	-0.9094055	-0.4714154	-0.1984409	-2.882366	-0.9776865						
TianlinLiuValidation	20180411	64b27f54f_4___utterance_73	0	MALE	a	TestImage	Emotient FACET	20180325_232525652	367			9	367	1	682	153	126	126	-5.631757	0	0.6005065	0	-3.786582	0	-4.97392	0	-1.830049	0	-0.6708468	0	-2.65362	0	1.679729	0	0.7254221	0	0.3284877	0	-5.631757	0	0.6005065	0	-1.129436	-0.8941514	0.2120268	-1.387907	-1.346437	0.3730831	-2.098195	-0.5204272	-1.527659	-1.470084	-2.585645	-1.841167	-0.1421935	-1.471432	-0.4593771	-1.153168	-0.1846618	-0.4937021	-2.81183	-1.195516						
