#Study : TianlinLiu
#Date : 20180411 09:04:37
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:03:19.771 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150319837	66			0	67	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150319871	100			1	100	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150319904	133			2	133	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150319937	166			3	167	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150319970	199			4	200	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320004	233			5	233	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320037	266			6	267	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320070	299			7	300	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320104	333			8	333	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320137	366			9	367	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320170	399			10	400	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320204	433			11	433	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320237	466			12	467	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320271	500			13	500	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320304	533			14	533	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320337	566			15	567	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320370	599			16	600	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320404	633			17	633	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320437	666			18	667	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320470	699			19	700	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320504	733			20	733	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320537	766			21	767	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320570	799			22	800	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320604	833			23	833	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320637	866			24	867	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320671	900			25	900	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320704	933			26	933	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320737	966			27	967	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320770	999			28	1000	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320804	1033			29	1033	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320837	1066			30	1067	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320870	1099			31	1100	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320904	1133			32	1133	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320937	1166			33	1167	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150320970	1199			34	1200	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321004	1233			35	1233	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321037	1266			36	1267	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321071	1300			37	1300	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321104	1333			38	1333	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321137	1366			39	1367	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321170	1399			40	1400	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321204	1433			41	1433	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321237	1466			42	1467	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321270	1499			43	1500	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321304	1533			44	1533	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321337	1566			45	1567	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321370	1599			46	1600	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321404	1633			47	1633	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321437	1666			48	1667	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321471	1700			49	1700	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321504	1733			50	1733	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321537	1766			51	1767	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321570	1799			52	1800	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321604	1833			53	1833	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321637	1866			54	1867	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321670	1899			55	1900	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321704	1933			56	1933	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321737	1966			57	1967	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321770	1999			58	2000	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321804	2033			59	2033	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321837	2066			60	2067	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321871	2100			61	2100	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321904	2133			62	2133	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321937	2166			63	2167	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150321970	2199			64	2200	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322004	2233			65	2233	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322037	2266			66	2267	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322070	2299			67	2300	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322104	2333			68	2333	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322137	2366			69	2367	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322170	2399			70	2400	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322204	2433			71	2433	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322237	2466			72	2467	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322271	2500			73	2500	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322304	2533			74	2533	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322337	2566			75	2567	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322370	2599			76	2600	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322404	2633			77	2633	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322437	2666			78	2667	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322470	2699			79	2700	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322504	2733			80	2733	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322537	2766			81	2767	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322570	2799			82	2800	0																																																						
TianlinLiu	20180411	a30a8c28d_1__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_150322604	2833			83	2833	0																																																						
