#Study : TianlinLiu
#Date : 20180411 09:04:40
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:03:07.035 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	a288edb53_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150307118	83			0	83	1	495	119	154	154	-2.765843	0	-1.959982	0	-1.606313	0	-1.742235	0	-1.736542	0	1.545485	0	-1.740898	0	-3.219178	0	-2.958045	0	-1.745829	0	-2.765843	0	1.545485	0	0.2576951	0.05542162	-0.5334401	-1.451511	-0.3058404	-0.4724409	-0.1159633	1.588961	-1.489328	-1.925286	0.3137445	-0.1868265	-2.225788	-0.7512754	-1.028086	-1.199655	0.406487	-0.8767185	-2.892615	1.441157						
TianlinLiu	20180411	a288edb53_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150307160	125			1	125	1	495	118	155	155	-2.670016	0	-1.493516	0	-2.475088	0	-2.118628	0	-1.262359	0	1.283441	0	-1.146271	0	-2.296381	0	-2.067289	0	-1.170362	0	-2.670016	0	1.283441	0	0.1401817	-0.1817403	-0.358668	-1.667407	-0.1522217	-0.3468888	-0.0213693	1.407067	-1.272652	-1.597556	0.4318431	0.06534898	-1.26429	-0.6696759	-0.8833876	-0.7694364	-0.09484366	-1.04296	-2.628989	1.220915						
TianlinLiu	20180411	a288edb53_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150307201	166			2	167	1	497	118	154	154	-2.362199	0	-1.419686	0	-2.596926	0	-2.168183	0	-0.8791897	0	1.044466	0	-0.8003649	0	-2.079151	0	-1.814325	0	-0.8151871	0	-2.362199	0	1.044466	0	0.1716916	-0.1051927	-0.4571845	-1.601758	-0.05146854	-0.287609	-0.3169942	1.228176	-1.04655	-1.328102	0.5174118	0.1575547	-0.8595676	-0.7519541	-0.7587921	-0.4913409	-0.4205961	-1.107569	-2.593427	1.05382						
TianlinLiu	20180411	a288edb53_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150307243	208			3	209	1	497	118	158	158	-1.824084	0	-1.224508	0	-1.937471	0	-2.178982	0	-0.3416239	0	0.5468511	0	0.1034828	0	-1.256506	0	-1.111438	0	-0.3604094	0	-1.824084	0	0.5468511	0	0.6218902	0.08511028	-0.1790707	-1.629012	0.230131	0.04587828	-0.2705658	0.6612966	-0.760127	-0.9577776	0.7927548	0.3309453	-0.08910841	-1.122545	-0.8900812	-0.2801582	-1.006813	-1.287381	-2.736877	1.146236						
TianlinLiu	20180411	a288edb53_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150307285	250			4	250	1	499	119	155	155	-2.539275	0	-1.102997	0	-2.418984	0	-2.355987	0	-0.5356379	0	0.5831389	0	-0.09941021	0	-1.223006	0	-0.9774354	0	-0.3280081	0	-2.539275	0	0.5831389	0	0.4346985	-0.05571739	-0.307159	-1.685823	0.1667486	-0.04741075	-0.2174425	0.7089517	-0.8799654	-0.9826083	0.8664435	0.2598323	-0.2025394	-1.14243	-0.5890253	-0.1185229	-1.04779	-1.443567	-2.784317	1.109688						
TianlinLiu	20180411	a288edb53_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150307326	291			5	292	1	500	119	156	156	-2.911151	0	-0.9588962	0	-2.540718	0	-2.491169	0	-0.5803344	0	0.440541	0	-0.007137152	0	-0.9996676	0	-0.8308946	0	-0.3032539	0	-2.911151	0	0.440541	0	0.3966945	-0.1583411	-0.1956704	-1.724928	0.213324	-0.01536819	-0.1527356	0.6265054	-1.001285	-1.029511	0.9241519	0.2846827	-0.2326454	-1.121584	-0.5323987	-0.1242085	-1.136699	-1.480034	-2.95313	1.013911						
TianlinLiu	20180411	a288edb53_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150307368	333			6	334	1	501	120	157	157	-3.19014	0	-0.848895	0	-2.624537	0	-2.4886	0	-0.697791	0	0.4261956	0	-0.09762264	0	-0.8967832	0	-0.7789896	0	-0.384253	0	-3.19014	0	0.4261956	0	0.2609549	-0.2744969	-0.09165679	-1.654976	0.2377417	0.003551393	-0.0114152	0.6112243	-1.10536	-1.136521	0.9940964	0.2951935	-0.4008808	-1.022335	-0.5183102	-0.1281997	-1.101464	-1.464074	-2.937491	0.9047813						
TianlinLiu	20180411	a288edb53_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150307410	375			7	375	1	502	119	159	159	-3.135612	0	-1.166349	0	-2.430212	0	-2.427837	0	-1.274284	0	0.9893923	0	-0.6437216	0	-1.514077	0	-1.63638	0	-1.263212	0	-3.135612	0	0.9893923	0	0.1153356	-0.5136378	0.1648328	-1.636792	0.2770566	0.04638355	0.2290691	1.214624	-1.263875	-1.504443	0.7684863	0.02268213	-1.346851	-0.835474	-0.7816705	-0.7410973	-0.3323733	-1.150998	-2.990741	1.105942						
TianlinLiu	20180411	a288edb53_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150307452	417			8	417	1	505	119	156	156	-2.854413	0	-1.901554	0	-2.315175	0	-2.026448	0	-1.487172	0	1.4986	0	-1.2917	0	-2.471975	0	-2.628216	0	-1.620108	0	-2.854413	0	1.4986	0	0.1521941	-0.2670873	0.003030752	-1.50983	-0.01360197	-0.1161638	0.01100533	1.477795	-1.403077	-1.763372	0.4743741	-0.1705983	-2.323071	-0.4211243	-1.007671	-1.285407	0.3116117	-0.7729831	-2.774529	1.281435						
TianlinLiu	20180411	a288edb53_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150307493	458			9	459	1	507	116	159	159	-2.629383	0	-1.577647	0	-2.336245	0	-2.123402	0	-1.252171	0	1.413536	0	-0.8634048	0	-1.790242	0	-2.10807	0	-1.305253	0	-2.629383	0	1.413536	0	0.1281236	-0.4083811	0.04488392	-1.562504	0.001751958	-0.1927281	0.07864659	1.393218	-1.317727	-1.60381	0.3593321	-0.1043417	-1.391819	-0.5882562	-0.9855597	-1.047395	0.05824721	-0.7941596	-2.649549	1.32675						
