#Study : TianlinLiu
#Date : 20180411 09:04:35
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:03:40.316 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	adcb56bcc_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150340399	83			0	83	1	514	121	119	119	-1.593087	0	-5.46417	0	-1.098133	0	0.2539812	0	-1.460142	0	-3.246165	0	1.751818	0	-3.325319	0	-4.531338	0	-2.124135	0	-1.593087	0	1.751818	0	4.846385	2.273733	0.5609128	-0.7676059	-1.176869	-1.097245	-4.417769	-2.316341	-0.4822404	-0.1149003	-0.3924167	-0.205171	-2.081374	0.2203343	-1.596749	-0.529976	-0.7529699	-0.6800382	-0.3014995	0.9864074						
TianlinLiu	20180411	adcb56bcc_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150340441	125			1	125	1	515	123	117	117	-1.913313	0	-5.30835	0	-0.7750632	0	0.4484569	0	-1.044765	0	-3.421218	0	1.661839	0	-3.096017	0	-4.247587	0	-1.693093	0	-1.913313	0	1.661839	0	4.732673	2.33531	0.3557262	-0.9542207	-1.598395	-1.367878	-4.513947	-2.175562	-0.5913317	-0.08132369	-0.4060669	-0.1820426	-1.693985	0.2569157	-1.516469	-0.4137387	-0.7708653	-0.7705576	0.01537171	0.7564329						
TianlinLiu	20180411	adcb56bcc_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150340482	166			2	167	1	512	123	120	120	-2.032312	0	-5.282608	0	-0.7141193	0	0.4426408	0	-1.325454	0	-3.720922	0	1.740404	0	-2.949706	0	-4.142891	0	-1.851443	0	-2.032312	0	1.740404	0	4.841488	2.140357	0.4353587	-0.9487675	-1.525545	-1.244152	-5.03884	-2.520251	-0.6539403	-0.1388502	-0.541492	-0.1886783	-1.634211	0.07575574	-1.622776	-0.3218439	-1.044619	-0.726374	-0.008972758	0.7846071						
TianlinLiu	20180411	adcb56bcc_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150340524	208			3	208	1	511	124	119	119	-1.737096	0	-5.27503	0	-0.5557727	0	0.3628908	0	-1.07702	0	-3.715586	0	1.83915	0	-2.972083	0	-4.166504	0	-1.778344	0	-1.737096	0	1.83915	0	5.008626	2.312777	0.4004855	-0.8771341	-1.654792	-1.373976	-4.987592	-2.631056	-0.7002503	-0.1165393	-0.6819855	-0.2114161	-1.660063	-0.009918322	-1.65397	-0.4395304	-1.061771	-0.7783301	-0.01499205	0.8334959						
TianlinLiu	20180411	adcb56bcc_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150340565	249			4	250	1	510	125	117	117	-1.960689	0	-5.063869	0	-0.5705851	0	0.4376128	0	-1.082513	0	-3.535039	0	1.712695	0	-2.916079	0	-4.179854	0	-1.956355	0	-1.960689	0	1.712695	0	4.949609	2.189406	0.4129066	-0.8407511	-1.740289	-1.430219	-4.754516	-2.514723	-0.6507773	-0.01389553	-0.6482447	-0.2101673	-1.584898	0.01216325	-1.642845	-0.3155526	-1.147907	-0.9037482	0.1047789	0.704429						
TianlinLiu	20180411	adcb56bcc_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150340607	291			5	292	1	510	127	114	114	-1.316486	0	-5.183473	0	-0.707549	0	0.6204861	0	-0.8263862	0	-3.481302	0	1.311289	0	-3.120852	0	-4.133711	0	-1.915768	0	-1.316486	0	1.311289	0	4.783697	2.293833	0.3190298	-0.7919711	-1.778224	-1.506081	-4.562257	-2.603934	-0.4653058	0.01796742	-0.93118	-0.6966147	-1.995183	0.3228784	-1.564415	-0.4959798	-0.8086845	-0.9947162	0.169452	0.4677985						
TianlinLiu	20180411	adcb56bcc_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150340649	333			6	333	1	510	128	113	113	-1.66976	0	-4.495167	0	-0.7026921	0	0.3689257	0	-0.6999571	0	-2.975634	0	1.562588	0	-2.804084	0	-3.844666	0	-1.877969	0	-1.66976	0	1.562588	0	4.58281	2.176054	0.3386203	-1.016961	-1.542212	-1.336154	-4.05301	-2.249913	-0.4887261	-0.06206295	-0.5147251	-0.339337	-1.175291	-0.03603062	-1.365745	-0.1601581	-0.9979591	-0.9066888	0.02052253	0.4453962						
TianlinLiu	20180411	adcb56bcc_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150340690	374			7	375	1	510	131	108	108	-1.001249	0	-4.324136	0	-0.983835	0	-0.3994509	0	-0.4876727	0	-2.278094	0	0.9491882	0	-2.797253	0	-3.42652	0	-1.359496	0	-1.001249	0	0.9491882	0	3.880798	2.55615	-0.3217382	-1.335609	-2.225371	-1.751643	-4.118196	-1.81367	-0.4927725	-0.5282219	-0.3522216	-0.1658177	-1.257435	0.01722846	-1.137938	-0.2412403	-1.152587	-1.327817	-0.4161632	1.243524						
TianlinLiu	20180411	adcb56bcc_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150340732	416			8	417	1	508	133	108	108	-0.8947698	0	-4.134694	0	-0.726074	0	-0.4660803	0	-0.4725042	0	-2.11844	0	0.7264551	0	-2.760878	0	-3.361286	0	-1.587622	0	-0.8947698	0	0.7264551	0	3.799236	2.561465	-0.3416706	-1.299921	-2.156224	-1.766318	-3.90534	-1.813985	-0.4404629	-0.5790517	-0.4808288	-0.2645525	-1.433428	0.04997645	-1.213227	-0.2481576	-0.8993067	-1.104869	-0.3414777	1.422416						
TianlinLiu	20180411	adcb56bcc_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150340774	458			9	458	1	511	134	105	105	-3.299266	0	-4.194266	0	-0.9618239	0	-0.3184708	0	-1.089892	0	-2.321157	0	1.279954	0	-2.70973	0	-3.854312	0	-1.704017	0	-3.299266	0	1.279954	0	4.249783	2.232777	0.2209223	-1.198288	-1.419744	-1.345138	-3.291136	-1.54548	-0.9363951	-0.5872906	0.1630489	0.05417868	-0.4909313	-0.07472841	-1.310587	-0.1676884	-1.068592	-1.113739	-0.6139115	1.327233						
