#Study : TianlinLiu
#Date : 20180411 09:04:24
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:05:22.992 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	b018c03de_7__utterance_42	0	MALE	recording	TestImage	Emotient FACET	20180320_150523058	66			0	67	1	293	87	75	75	-7.609189	0	-2.668987	0	4.308713	0	-4.79333	0	-6.790209	0	-5.188591	0	-6.132007	0	-5.444376	0	-5.753755	0	-7.505779	0	-7.609189	0	-2.668987	0	0.7649904	0.3590166	-1.041378	-0.1003315	-3.333067	-2.426078	-4.3089	-2.847732	-2.509593	-2.794756	-2.432157	-3.657202	-3.493868	-2.55657	-0.130735	-2.127112	4.92307	5.416395	-6.480504	-1.188805						
TianlinLiu	20180411	b018c03de_7__utterance_42	0	MALE	recording	TestImage	Emotient FACET	20180320_150523092	100			1	100	1	293	88	74	74	-7.748848	0	-3.130238	0	4.508862	0	-5.596943	0	-7.611823	0	-5.628555	0	-7.218736	0	-6.090949	0	-6.230672	0	-8.677712	0	-7.748848	0	-3.130238	0	0.8944148	0.3929363	-1.173221	-0.02837485	-3.684637	-2.622231	-4.141897	-2.735417	-2.62235	-2.79892	-2.524589	-3.944446	-4.013946	-2.098324	0.0725862	-2.325692	5.44386	5.841918	-6.298337	-1.065916						
TianlinLiu	20180411	b018c03de_7__utterance_42	0	MALE	recording	TestImage	Emotient FACET	20180320_150523125	133			2	133	1	293	88	74	74	-7.812268	0	-2.855318	0	3.982174	0	-4.758564	0	-7.469305	0	-5.470199	0	-6.353106	0	-5.811468	0	-6.240832	0	-8.18749	0	-7.812268	0	-2.855318	0	0.7070341	0.2470588	-1.088072	-0.1589297	-3.833466	-2.730792	-4.328763	-2.773213	-2.74774	-2.936221	-2.450696	-3.904816	-4.432995	-1.801848	0.01112773	-2.541134	5.442445	5.800838	-6.110331	-1.188472						
TianlinLiu	20180411	b018c03de_7__utterance_42	0	MALE	recording	TestImage	Emotient FACET	20180320_150523158	166			3	167	1	292	88	74	74	-7.096655	0	-2.467051	0	3.759291	0	-3.970827	0	-7.035789	0	-5.074621	0	-5.661372	0	-5.692796	0	-6.065007	0	-7.669427	0	-7.096655	0	-2.467051	0	0.5891256	0.3043653	-0.9202468	-0.1153054	-3.307794	-2.327681	-4.446416	-2.556137	-2.457317	-3.178467	-2.283172	-3.867534	-4.381237	-1.655107	-0.03491788	-2.595093	5.330422	5.454227	-6.104307	-1.307807						
TianlinLiu	20180411	b018c03de_7__utterance_42	0	MALE	recording	TestImage	Emotient FACET	20180320_150523192	200			4	200	1	291	87	76	76	-6.480165	0	-2.43472	0	3.541185	0	-3.136188	0	-6.369468	0	-4.580792	0	-5.117329	0	-5.597564	0	-5.86057	0	-6.771858	0	-6.480165	0	-2.43472	0	0.7668371	0.5590209	-0.6206958	-0.08238699	-2.991397	-2.087957	-4.59133	-2.298732	-2.392794	-3.339435	-2.148489	-4.00169	-4.276293	-1.838791	-0.6057389	-2.883867	5.282073	5.011918	-6.322936	-1.278113						
TianlinLiu	20180411	b018c03de_7__utterance_42	0	MALE	recording	TestImage	Emotient FACET	20180320_150523225	233			5	234	1	293	88	73	73	-6.141667	0	-2.76925	0	3.037673	0	-3.49191	0	-6.472782	0	-4.84727	0	-5.147684	0	-5.493333	0	-5.904113	0	-6.777945	0	-6.141667	0	-2.76925	0	0.2665121	0.08236659	-1.060398	-0.5320754	-3.298545	-2.324697	-4.521964	-2.461189	-2.320583	-3.03184	-2.687913	-3.528712	-4.632106	-1.158432	0.1476444	-2.528139	4.818939	5.057438	-4.987546	-1.803037						
TianlinLiu	20180411	b018c03de_7__utterance_42	0	MALE	recording	TestImage	Emotient FACET	20180320_150523258	266			6	267	1	292	88	73	73	-5.64972	0	-2.463423	0	2.6139	0	-2.746288	0	-6.051582	0	-4.265384	0	-4.597355	0	-5.13101	0	-5.308585	0	-6.067464	0	-5.64972	0	-2.463423	0	0.3942822	0.1741509	-0.8974745	-0.5307801	-3.100083	-2.116388	-4.266175	-2.238639	-2.232337	-2.855901	-2.625075	-3.537767	-4.744561	-1.053874	0.02300523	-2.576065	4.617417	4.826087	-4.431026	-1.697421						
TianlinLiu	20180411	b018c03de_7__utterance_42	0	MALE	recording	TestImage	Emotient FACET	20180320_150523292	300			7	300	1	292	88	72	72	-4.927807	0	-2.507537	0	2.238952	0	-2.568894	0	-5.771217	0	-4.202426	0	-4.675594	0	-4.840318	0	-4.972083	0	-5.702641	0	-4.927807	0	-2.507537	0	0.1754476	0.01913811	-0.9668909	-0.6972979	-3.145807	-2.036337	-4.218436	-2.163416	-2.067801	-2.580312	-2.61526	-3.175834	-4.693964	-0.6744949	0.2650294	-2.278259	4.078587	4.55494	-3.541507	-1.900422						
TianlinLiu	20180411	b018c03de_7__utterance_42	0	MALE	recording	TestImage	Emotient FACET	20180320_150523325	333			8	334	1	291	87	74	74	-4.222201	0	-2.054684	0	1.624238	0	-1.746661	0	-4.93018	0	-3.177413	0	-3.837795	0	-4.664573	0	-4.656313	0	-4.54887	0	-4.222201	0	-1.746661	0	0.4749955	0.3376998	-0.6185204	-0.5667727	-2.714226	-1.761728	-3.939878	-1.616338	-1.864136	-2.67619	-2.264465	-3.394955	-4.55808	-1.036884	-0.4723057	-2.642544	4.087216	3.8871	-3.784249	-1.756009						
TianlinLiu	20180411	b018c03de_7__utterance_42	0	MALE	recording	TestImage	Emotient FACET	20180320_150523359	367			9	367	1	291	87	73	73	-3.703201	0	-1.94023	0	1.293251	0	-1.367457	0	-4.581272	0	-3.011936	0	-3.651518	0	-4.28968	0	-4.272584	0	-4.226656	0	-3.703201	0	-1.367457	0	0.4479223	0.29845	-0.567152	-0.6907576	-2.664663	-1.689971	-3.709054	-1.573269	-1.708823	-2.510504	-2.449229	-3.278705	-4.642583	-0.8697304	-0.4679615	-2.550313	3.833442	3.637363	-3.31299	-1.822661						
