#Study : TianlinLiuValidation
#Date : 20180411 09:25:45
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:28:28.798 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	74de88564___utterance_7	0	MALE	a	TestImage	Emotient FACET	20180325_232828881	83			0	83	1	520	162	324	324	1.518493	0	-3.276231	0	-4.181058	0	0.5776426	0	-2.682338	0	-0.3480477	0	-2.30119	0	-5.846226	0	-5.028903	0	-4.734316	0	1.518493	0	0.5776426	0	1.009689	0.5786309	-0.7252181	-1.378159	1.002271	-0.6812065	-2.413752	0.9166415	1.786335	-0.2563755	-0.7745717	-0.3702083	-4.702363	-0.5807997	-1.544671	-1.112018	-1.147008	-1.398767	-2.547392	0.5235765						
TianlinLiuValidation	20180411	74de88564___utterance_7	0	MALE	a	TestImage	Emotient FACET	20180325_232828923	125			1	125	1	516	158	329	329	1.23337	0	-3.118572	0	-3.711107	0	1.012198	0	-2.481306	0	-0.475032	0	-2.04918	0	-5.59718	0	-4.888262	0	-4.447848	0	1.23337	0	1.012198	0	1.087255	0.5741303	-0.6161203	-1.133255	0.771818	-0.7205625	-2.507561	0.941391	1.58275	-0.2414315	-0.6934593	-0.3345143	-4.252643	-0.5412604	-1.491926	-0.9913615	-1.131641	-1.438684	-2.481179	0.2194012						
TianlinLiuValidation	20180411	74de88564___utterance_7	0	MALE	a	TestImage	Emotient FACET	20180325_232828964	166			2	167	1	516	158	327	327	1.421007	0	-3.425547	0	-4.101925	0	0.6870551	0	-2.62961	0	-0.4324781	0	-2.077041	0	-5.774584	0	-5.08571	0	-4.735188	0	1.421007	0	0.6870551	0	1.210556	0.6559215	-0.5704926	-1.30936	0.9567226	-0.6943749	-2.434469	0.9477743	1.698738	-0.2658734	-0.7323601	-0.359407	-4.558368	-0.5155007	-1.588268	-1.062243	-1.064659	-1.360489	-2.488071	0.5774777						
TianlinLiuValidation	20180411	74de88564___utterance_7	0	MALE	a	TestImage	Emotient FACET	20180325_232829006	208			3	209	1	514	162	326	326	1.716925	0	-3.737332	0	-4.639553	0	0.434464	0	-2.957881	0	-0.5850565	0	-2.239165	0	-6.1014	0	-5.352581	0	-5.283404	0	1.716925	0	0.434464	0	1.214889	0.6064358	-0.5561534	-1.552219	1.105526	-0.6926425	-2.49677	0.953931	1.810241	-0.2828909	-0.8068971	-0.4046003	-5.017943	-0.4431368	-1.648194	-1.106524	-0.995578	-1.357704	-2.521775	0.5491297						
TianlinLiuValidation	20180411	74de88564___utterance_7	0	MALE	a	TestImage	Emotient FACET	20180325_232829048	250			4	250	1	514	166	326	326	1.463354	0	-3.396512	0	-4.377809	0	0.7701693	0	-2.318065	0	-0.6880252	0	-1.917285	0	-5.773641	0	-5.013103	0	-4.874295	0	1.463354	0	0.7701693	0	1.006159	0.4339657	-0.601045	-1.477863	0.9184024	-0.6436639	-2.318618	0.9955461	1.651072	-0.227277	-0.7237969	-0.1461464	-4.259789	-0.5982351	-1.486836	-0.9188488	-1.211061	-1.584451	-2.721112	0.08421016						
TianlinLiuValidation	20180411	74de88564___utterance_7	0	MALE	a	TestImage	Emotient FACET	20180325_232829089	291			5	292	1	515	166	324	324	1.773094	0	-3.645364	0	-4.613971	0	0.7518416	0	-2.439923	0	-0.8823565	0	-2.266376	0	-6.156609	0	-5.393092	0	-5.347038	0	1.773094	0	0.7518416	0	0.9790009	0.4210728	-0.6893129	-1.393574	1.013624	-0.606017	-2.348013	0.9492766	1.773234	-0.3184441	-0.8920598	-0.1620164	-4.414714	-0.5411506	-1.524666	-0.9664046	-1.209085	-1.673513	-2.714598	0.1181379						
TianlinLiuValidation	20180411	74de88564___utterance_7	0	MALE	a	TestImage	Emotient FACET	20180325_232829131	333			6	334	1	514	162	327	327	1.669982	0	-3.613835	0	-4.623247	0	0.8315127	0	-2.255095	0	-0.9584477	0	-2.326393	0	-6.254186	0	-5.429694	0	-5.507658	0	1.669982	0	0.8315127	0	0.8861896	0.3894207	-0.688446	-1.269657	0.9451508	-0.6406641	-2.187351	0.9558581	1.737064	-0.3643601	-0.8533656	-0.03179658	-4.140021	-0.4358134	-1.514129	-1.025138	-1.125381	-1.575481	-2.705755	0.004639164						
TianlinLiuValidation	20180411	74de88564___utterance_7	0	MALE	a	TestImage	Emotient FACET	20180325_232829173	375			7	375	1	514	160	327	327	1.793809	0	-3.49869	0	-4.68864	0	0.6583204	0	-2.277669	0	-0.7891225	0	-2.286622	0	-5.916287	0	-5.192625	0	-5.363251	0	1.793809	0	0.6583204	0	0.8303394	0.3122771	-0.6831522	-1.375888	1.062812	-0.6278284	-2.097677	0.9729561	1.773453	-0.3755482	-0.9340447	-0.1094834	-4.294322	-0.4151808	-1.510491	-1.01687	-1.173871	-1.576233	-2.592292	0.2160273						
TianlinLiuValidation	20180411	74de88564___utterance_7	0	MALE	a	TestImage	Emotient FACET	20180325_232829215	417			8	417	1	513	159	329	329	1.764259	0	-3.473676	0	-4.790244	0	0.6465561	0	-2.181291	0	-0.7907773	0	-2.191845	0	-5.774595	0	-5.106562	0	-5.272171	0	1.764259	0	0.6465561	0	0.7876292	0.2548555	-0.6401806	-1.382554	1.014784	-0.6502686	-1.955453	1.024907	1.756258	-0.3693276	-0.8789261	-0.06475627	-4.073672	-0.3420755	-1.464538	-1.00817	-1.132697	-1.522722	-2.460592	0.3307403						
TianlinLiuValidation	20180411	74de88564___utterance_7	0	MALE	a	TestImage	Emotient FACET	20180325_232829256	458			9	459	1	512	161	328	328	1.692151	0	-3.481954	0	-4.538449	0	0.8286064	0	-2.21965	0	-0.7932279	0	-2.270454	0	-5.867045	0	-5.241378	0	-5.156239	0	1.692151	0	0.8286064	0	0.7653015	0.2736028	-0.6752051	-1.247613	0.974937	-0.658619	-2.056041	1.025336	1.714288	-0.3940486	-0.8628161	-0.09489124	-4.077734	-0.3273011	-1.437284	-1.006483	-1.127398	-1.514037	-2.394758	0.2628794						
