#Study : TianlinLiu
#Date : 20180411 09:07:21
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:39:55.656 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	3c22d7086_3__utterance_43	0	MALE	recording	TestImage	Emotient FACET	20180320_143955722	66			0	67	1	196	82	148	148	-4.273317	0	-2.70734	0	-3.125227	0	-3.113066	0	-1.084959	0	-1.502675	0	-1.749276	0	-1.205554	0	-1.594511	0	2.70497	0	-4.273317	0	-1.084959	0	-1.142636	-0.9275294	-1.625678	-0.4137984	-1.819522	-0.6472606	-2.910783	-1.809496	-2.197725	-1.605945	-1.150568	-1.088668	-2.389929	-0.948144	-1.475205	-1.53925	-1.412107	-1.544203	-2.946788	-2.330284						
TianlinLiu	20180411	3c22d7086_3__utterance_43	0	MALE	recording	TestImage	Emotient FACET	20180320_143955756	100			1	100	1	197	83	146	146	-4.21014	0	-2.754541	0	-3.139399	0	-3.0383	0	-0.9484448	0	-1.502872	0	-1.810037	0	-1.302512	0	-1.632677	0	2.681672	0	-4.21014	0	-0.9484448	0	-1.046813	-0.8424971	-1.661773	-0.3466184	-1.78032	-0.6020685	-2.99002	-1.734414	-2.115563	-1.529456	-1.225169	-1.11358	-2.412936	-0.9084646	-1.471061	-1.546563	-1.367074	-1.467403	-2.817555	-2.385917						
TianlinLiu	20180411	3c22d7086_3__utterance_43	0	MALE	recording	TestImage	Emotient FACET	20180320_143955789	133			2	133	1	196	83	146	146	-4.241669	0	-2.793266	0	-3.190773	0	-3.167257	0	-1.005252	0	-1.48737	0	-1.86793	0	-1.315115	0	-1.648967	0	2.717283	0	-4.241669	0	-1.005252	0	-1.085305	-0.8770607	-1.680344	-0.384982	-1.798299	-0.6137689	-2.952048	-1.740382	-2.174469	-1.587342	-1.226511	-1.133337	-2.464501	-0.933028	-1.496929	-1.596918	-1.349283	-1.477456	-2.89225	-2.362558						
TianlinLiu	20180411	3c22d7086_3__utterance_43	0	MALE	recording	TestImage	Emotient FACET	20180320_143955822	166			3	167	1	197	83	146	146	-4.026344	0	-2.846541	0	-3.11252	0	-2.951442	0	-0.858144	0	-1.562295	0	-1.835703	0	-1.345791	0	-1.684655	0	2.661745	0	-4.026344	0	-0.858144	0	-1.003559	-0.8338743	-1.657992	-0.3148851	-1.785528	-0.5995021	-3.12143	-1.686464	-2.023984	-1.459906	-1.301024	-1.163621	-2.379917	-0.869105	-1.453442	-1.537243	-1.319001	-1.399034	-2.747531	-2.332573						
TianlinLiu	20180411	3c22d7086_3__utterance_43	0	MALE	recording	TestImage	Emotient FACET	20180320_143955856	200			4	200	1	196	84	146	146	-3.905101	0	-2.866592	0	-3.080336	0	-2.988086	0	-0.779327	0	-1.563469	0	-1.924504	0	-1.388129	0	-1.697944	0	2.648259	0	-3.905101	0	-0.779327	0	-0.9390452	-0.7482865	-1.69087	-0.2639961	-1.760207	-0.575893	-3.183606	-1.755041	-2.005623	-1.413038	-1.410343	-1.234724	-2.425867	-1.028459	-1.467907	-1.53671	-1.379154	-1.439633	-2.787368	-2.415809						
TianlinLiu	20180411	3c22d7086_3__utterance_43	0	MALE	recording	TestImage	Emotient FACET	20180320_143955889	233			5	234	1	196	84	146	146	-3.811893	0	-2.981871	0	-3.175365	0	-3.024996	0	-0.8442031	0	-1.56514	0	-2.056078	0	-1.459405	0	-1.835162	0	2.780965	0	-3.811893	0	-0.8442031	0	-0.9951986	-0.8319846	-1.747641	-0.2582498	-1.723144	-0.5808327	-3.249241	-1.624446	-1.9861	-1.480067	-1.431284	-1.363861	-2.424507	-0.9576637	-1.494346	-1.614298	-1.319734	-1.434459	-2.892474	-2.492989						
TianlinLiu	20180411	3c22d7086_3__utterance_43	0	MALE	recording	TestImage	Emotient FACET	20180320_143955922	266			6	267	1	197	85	145	145	-3.608875	0	-3.098541	0	-2.994315	0	-3.031729	0	-0.7739678	0	-1.810863	0	-2.195327	0	-1.529645	0	-1.847903	0	2.854346	0	-3.608875	0	-0.7739678	0	-1.005222	-0.7899849	-1.803411	-0.3547982	-1.745896	-0.5745305	-3.597685	-1.640086	-1.856771	-1.464591	-1.538731	-1.504306	-2.363035	-0.9574776	-1.479914	-1.611681	-1.232596	-1.308723	-2.820374	-2.610432						
TianlinLiu	20180411	3c22d7086_3__utterance_43	0	MALE	recording	TestImage	Emotient FACET	20180320_143955956	300			7	300	1	196	85	146	146	-3.650914	0	-3.016449	0	-3.133746	0	-3.033085	0	-0.8218787	0	-1.656758	0	-2.040627	0	-1.351756	0	-1.74083	0	2.761783	0	-3.650914	0	-0.8218787	0	-1.011065	-0.8384118	-1.716489	-0.3554552	-1.723199	-0.5725294	-3.312544	-1.628756	-1.92779	-1.450751	-1.458949	-1.447836	-2.364998	-0.9259019	-1.486657	-1.56563	-1.23969	-1.316312	-2.780704	-2.483581						
TianlinLiu	20180411	3c22d7086_3__utterance_43	0	MALE	recording	TestImage	Emotient FACET	20180320_143955989	333			8	334	1	196	85	146	146	-3.603278	0	-3.067838	0	-3.061289	0	-3.136713	0	-0.9192964	0	-1.512874	0	-2.265781	0	-1.499391	0	-1.904218	0	2.887675	0	-3.603278	0	-0.9192964	0	-1.037358	-0.8351426	-1.775221	-0.3246388	-1.62244	-0.5404454	-3.233105	-1.511519	-1.972718	-1.566234	-1.500958	-1.535937	-2.480147	-1.009404	-1.567342	-1.70271	-1.227337	-1.372884	-2.949032	-2.50693						
TianlinLiu	20180411	3c22d7086_3__utterance_43	0	MALE	recording	TestImage	Emotient FACET	20180320_143956023	367			9	367	1	196	86	146	146	-3.305229	0	-3.077003	0	-3.117517	0	-3.199711	0	-0.8082525	0	-1.449368	0	-2.355212	0	-1.490072	0	-1.870707	0	2.856723	0	-3.305229	0	-0.8082525	0	-1.025256	-0.8478792	-1.823577	-0.3072952	-1.561926	-0.5151901	-3.252211	-1.49254	-1.865396	-1.476458	-1.636832	-1.605088	-2.453133	-0.980419	-1.496202	-1.696844	-1.148824	-1.307623	-2.909431	-2.485988						
