#Study : TianlinLiu
#Date : 20180411 09:04:22
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:05:40.047 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	b32a6ac3b__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150540113	66			0	67	1	351	52	125	125	-2.612087	0	-4.049917	0	-0.6287858	0	0.7797401	0	0.3100935	0	-2.681214	0	0.9620801	0	-2.482687	0	-3.16808	0	-0.7984481	0	-2.612087	0	0.9620801	0	3.068295	1.790907	-0.2557668	-0.5866413	-1.08672	-1.25284	-3.799393	-1.46479	-0.4707697	-0.1482306	-0.04668046	-0.2650047	-0.612696	-1.078917	-1.32426	-0.2230312	-1.870929	-1.538913	-1.917686	0.8205342						
TianlinLiu	20180411	b32a6ac3b__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150540147	100			1	100	1	349	51	126	126	-3.077968	0	-4.078885	0	-1.455644	0	0.3847434	0	0.2714116	0	-3.204462	0	1.191777	0	-2.211007	0	-2.826433	0	-0.5493413	0	-3.077968	0	1.191777	0	2.892185	1.535466	-0.2081861	-0.9109446	-1.323889	-1.410131	-3.95339	-1.768917	-0.5792741	-0.1972012	-0.13187	-0.2889892	-0.6822301	-1.427682	-1.255209	-0.1176213	-2.017933	-1.589472	-2.17303	0.6956245						
TianlinLiu	20180411	b32a6ac3b__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150540180	133			2	133	1	349	51	125	125	-3.124266	0	-4.177788	0	-1.411867	0	0.4643171	0	0.1660146	0	-3.335887	0	1.175451	0	-2.239773	0	-2.888035	0	-0.5490981	0	-3.124266	0	1.175451	0	2.984209	1.601706	-0.1893493	-0.8894744	-1.364794	-1.416081	-4.02239	-1.83243	-0.6045358	-0.2182747	-0.257122	-0.346454	-0.7632256	-1.371664	-1.258219	-0.1299987	-1.914801	-1.537346	-2.133098	0.7282306						
TianlinLiu	20180411	b32a6ac3b__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150540213	166			3	167	1	346	49	127	127	-2.691281	0	-2.037416	0	-2.110485	0	-1.048796	0	0.9793602	0	-2.800236	0	0.6588116	0	-0.5181795	0	-0.539352	0	0.5512657	0	-2.691281	0	0.9793602	0	0.7939922	-0.04251599	-0.4750527	-1.385038	-1.551206	-1.435664	-2.973491	-1.281609	-0.839943	-0.2443057	0.302774	0.1879307	-0.2983833	-1.739528	-0.9842183	-0.07057062	-2.732065	-1.880657	-2.329914	0.5955101						
TianlinLiu	20180411	b32a6ac3b__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150540247	200			4	200	1	346	49	127	127	-2.558805	0	-2.06418	0	-2.107123	0	-1.045045	0	1.022457	0	-2.768394	0	0.7011569	0	-0.532867	0	-0.5535548	0	0.4543106	0	-2.558805	0	1.022457	0	0.7964762	-0.06195391	-0.4770983	-1.427383	-1.546942	-1.467811	-2.936128	-1.2825	-0.7713737	-0.2032017	0.3045344	0.2094556	-0.2387775	-1.721118	-0.9864433	-0.03062658	-2.692031	-1.837331	-2.263731	0.5660321						
TianlinLiu	20180411	b32a6ac3b__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150540280	233			5	234	1	336	45	125	125	-3.740341	0	-1.835453	0	-3.094141	0	-2.577449	0	0.7482674	0	-3.428155	0	-0.2645369	0	0.4094316	0	0.1343568	0	0.9389727	0	-3.740341	0	0.7482674	0	0.230437	-0.631213	-0.8278649	-2.778383	-2.578881	-1.892033	-3.584616	-2.820657	-1.128556	-0.2555618	-0.876411	-0.4029411	-0.0448606	-1.839953	-1.329725	-0.08486541	-3.350044	-2.49597	-2.17717	1.321316						
TianlinLiu	20180411	b32a6ac3b__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150540313	266			6	267	1	336	45	125	125	-3.737006	0	-1.843354	0	-3.105603	0	-2.593358	0	0.7452546	0	-3.429175	0	-0.2673072	0	0.4090301	0	0.1324261	0	0.9446932	0	-3.737006	0	0.7452546	0	0.2281203	-0.6357824	-0.8252601	-2.788974	-2.58116	-1.892118	-3.582231	-2.820174	-1.125585	-0.257508	-0.8831943	-0.4074283	-0.04598888	-1.835544	-1.330054	-0.08902333	-3.346527	-2.495646	-2.1752	1.330876						
TianlinLiu	20180411	b32a6ac3b__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150540347	300			7	300	1	316	40	125	125	-2.814344	0	-1.087875	0	-2.417271	0	-2.327601	0	0.08049418	0	-2.13882	0	-0.5109042	0	0.6366298	0	0.3251694	0	1.093385	0	-2.814344	0	0.08049418	0	-0.227819	-0.6833349	-0.7057022	-2.573964	-1.757157	-1.099405	-3.021055	-2.24588	-1.024179	-0.1762987	-1.463859	-0.8243832	-0.6424702	-1.452769	-1.153417	-0.2240271	-2.382686	-2.15049	-2.098447	1.299523						
TianlinLiu	20180411	b32a6ac3b__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150540380	333			8	334	1	316	40	126	126	-2.760875	0	-1.086238	0	-2.429058	0	-2.399594	0	0.1234504	0	-2.164425	0	-0.5968884	0	0.6006528	0	0.30686	0	1.117012	0	-2.760875	0	0.1234504	0	-0.3097809	-0.7274016	-0.7766662	-2.659911	-1.819825	-1.171892	-3.038819	-2.330786	-0.9460585	-0.1523902	-1.505705	-0.7828984	-0.5292737	-1.460172	-1.129569	-0.1728416	-2.409274	-2.12178	-2.070949	1.389962						
TianlinLiu	20180411	b32a6ac3b__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150540414	367			9	367	1	306	39	112	112	-1.22171	0	-1.331575	0	-2.031528	0	-1.724083	0	0.5051178	0	-1.463126	0	-0.7370262	0	0.163434	0	-0.100654	0	0.8745764	0	-1.22171	0	0.5051178	0	-0.2319104	-0.3042945	-0.7978482	-2.099999	-1.334391	-0.8090871	-2.570169	-1.559996	-0.5984729	0.05678126	-1.274408	-0.7652262	-1.043005	-1.102372	-0.8511493	-0.2074697	-1.813085	-1.929852	-1.131968	2.051077						
TianlinLiu	20180411	b32a6ac3b__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150540447	400			10	400	1	308	39	110	110	-1.045933	0	-1.538744	0	-1.819631	0	-1.5529	0	0.5995479	0	-1.490655	0	-0.6876745	0	-0.05674162	0	-0.4202372	0	0.9507712	0	-1.045933	0	0.5995479	0	-0.1140521	-0.1357499	-0.88194	-2.013048	-1.285931	-0.8384742	-2.441748	-1.350841	-0.6326249	0.05385716	-0.9957582	-0.5834395	-1.139985	-1.021502	-0.6908615	-0.1822191	-1.689954	-1.790623	-1.122203	2.039567						
TianlinLiu	20180411	b32a6ac3b__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150540480	433			11	434	1	301	33	105	105	-0.9152039	0	-1.234298	0	-2.026178	0	-1.856632	0	0.3683982	0	-1.263838	0	-0.2349744	0	-0.1799244	0	-0.09746143	0	1.181188	0	-0.9152039	0	0.3683982	0	0.1005452	0.04662534	-1.042341	-2.316788	-1.312289	-1.269324	-2.388149	-1.394473	-0.7617941	-0.2692847	-0.5789284	-0.1354014	-0.8779685	-1.078015	-0.8521234	-0.08717502	-2.299028	-1.914119	-1.491819	2.645395						
TianlinLiu	20180411	b32a6ac3b__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150540514	467			12	467	0																																																						
