#Study : TianlinLiu
#Date : 20180411 09:04:19
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:06:01.220 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	b748addbd_6__utterance_111	0	MALE	recording	TestImage	Emotient FACET	20180320_150601286	66			0	67	1	511	150	404	404	-2.775295	0	-2.601337	0	-1.68341	0	0.8600652	0	-0.2653436	0	-3.824409	0	-0.9097698	0	-0.5944536	0	-1.278534	0	1.274088	0	-2.775295	0	0.8600652	0	0.1201059	0.08262709	-0.4235038	-0.3964174	-1.645097	-1.075231	-4.547485	-2.182482	-1.184827	-0.9432507	-1.624076	-1.483527	-0.5277568	-0.4770052	-1.364614	-0.8871337	-1.014511	-0.9592264	-2.607315	-2.4755						
TianlinLiu	20180411	b748addbd_6__utterance_111	0	MALE	recording	TestImage	Emotient FACET	20180320_150601320	100			1	100	1	505	147	410	410	-3.190716	0	-2.772944	0	-1.900824	0	0.9574246	0	-0.5362542	0	-3.992733	0	-1.126875	0	-0.6255936	0	-1.263104	0	1.435639	0	-3.190716	0	0.9574246	0	0.2260158	0.09888273	-0.4853956	-0.2610807	-1.673536	-0.8053746	-5.102733	-2.193515	-1.233829	-0.9599676	-1.842203	-1.707372	-0.990086	-0.6621179	-1.360386	-0.8015563	-1.089268	-1.121798	-3.007032	-2.806039						
TianlinLiu	20180411	b748addbd_6__utterance_111	0	MALE	recording	TestImage	Emotient FACET	20180320_150601353	133			2	133	1	506	148	402	402	-3.094435	0	-3.064821	0	-1.814502	0	0.939369	0	-0.3886645	0	-4.244923	0	-1.189768	0	-0.8743584	0	-1.46515	0	1.351576	0	-3.094435	0	0.939369	0	0.491686	0.31734	-0.5265428	-0.3058873	-1.512343	-0.8939453	-4.933965	-2.433765	-1.21675	-0.8195685	-1.7966	-1.670234	-0.5960966	-0.7230785	-1.395888	-0.9687659	-1.196136	-1.126576	-2.66514	-2.814448						
TianlinLiu	20180411	b748addbd_6__utterance_111	0	MALE	recording	TestImage	Emotient FACET	20180320_150601386	166			3	167	1	503	147	403	403	-2.393835	0	-4.086957	0	-1.652148	0	1.185465	0	-0.1148552	0	-4.496072	0	-1.178506	0	-1.443868	0	-1.841704	0	1.019672	0	-2.393835	0	1.185465	0	1.323117	0.8365994	-0.4072787	-0.2394379	-1.618377	-1.009121	-5.672968	-2.548755	-0.883564	-0.3441595	-1.838585	-1.688333	-1.035388	-0.4937636	-1.374982	-0.7189448	-0.8726228	-0.9878919	-1.979369	-2.92579						
TianlinLiu	20180411	b748addbd_6__utterance_111	0	MALE	recording	TestImage	Emotient FACET	20180320_150601419	199			4	200	1	498	144	407	407	-2.133034	0	-4.73182	0	-1.432168	0	1.734689	0	-0.2509536	0	-4.60324	0	-0.8587602	0	-1.748332	0	-2.300158	0	0.4956827	0	-2.133034	0	1.734689	0	2.299652	1.415825	-0.1232586	-0.126256	-1.39543	-0.6553693	-6.216856	-2.464935	-0.6422519	-0.2048768	-1.909861	-1.792206	-1.401511	-0.6093974	-1.42648	-0.8265901	-0.3975213	-0.7826231	-1.919406	-2.67019						
TianlinLiu	20180411	b748addbd_6__utterance_111	0	MALE	recording	TestImage	Emotient FACET	20180320_150601453	233			5	233	1	498	145	405	405	-1.683716	0	-4.982114	0	-0.9824654	0	1.827544	0	-0.2682907	0	-4.059935	0	-0.8416321	0	-2.200212	0	-2.687585	0	-0.3832692	0	-1.683716	0	1.827544	0	3.049171	1.703274	0.04159845	-0.2314353	-1.126687	-0.478545	-5.726329	-2.372662	-0.3800333	-0.1403515	-1.553068	-1.498456	-1.132673	-0.3824348	-1.347391	-0.9277375	0.09901197	-0.3105748	-1.366148	-2.167175						
TianlinLiu	20180411	b748addbd_6__utterance_111	0	MALE	recording	TestImage	Emotient FACET	20180320_150601486	266			6	267	1	497	146	402	402	-1.823645	0	-4.969034	0	-0.1337982	0	1.395925	0	-0.6947384	0	-3.360116	0	-0.9598044	0	-2.587196	0	-3.431922	0	-1.107322	0	-1.823645	0	1.395925	0	3.498716	2.085004	0.3161547	-0.1655239	-0.8306444	-0.4214921	-4.542302	-2.349049	-0.3198639	-0.3220052	-1.408951	-1.6705	-0.635842	-0.9423988	-1.539197	-1.532027	0.8423163	0.4470429	-1.614529	-1.305416						
TianlinLiu	20180411	b748addbd_6__utterance_111	0	MALE	recording	TestImage	Emotient FACET	20180320_150601519	299			7	300	1	498	148	403	403	-1.852637	0	-5.106374	0	-0.5698034	0	1.475356	0	-0.2768665	0	-3.798928	0	-0.412361	0	-2.290527	0	-3.261495	0	-0.5891384	0	-1.852637	0	1.475356	0	3.451461	2.004332	0.1889109	-0.186698	-0.9008005	-0.4259422	-4.859595	-2.58076	-0.2362443	-0.2361754	-1.221187	-1.381839	-0.4414586	-0.6090968	-1.368715	-1.237585	0.2172345	-0.1638395	-1.932057	-1.593467						
TianlinLiu	20180411	b748addbd_6__utterance_111	0	MALE	recording	TestImage	Emotient FACET	20180320_150601553	333			8	333	1	505	151	398	398	-1.849315	0	-4.892324	0	-0.9325597	0	1.259322	0	-0.06082693	0	-4.046224	0	0.07480458	0	-1.889467	0	-2.861171	0	-0.210467	0	-1.849315	0	1.259322	0	3.271929	1.791345	0.1700622	-0.1854885	-0.9605243	-0.5546872	-4.585658	-2.711732	-0.2743148	-0.008091829	-0.9375494	-1.094005	-0.004760625	-0.6426584	-1.049888	-0.9320152	-0.3222735	-0.5321994	-1.640265	-1.48482						
TianlinLiu	20180411	b748addbd_6__utterance_111	0	MALE	recording	TestImage	Emotient FACET	20180320_150601586	366			9	367	1	511	153	391	391	-1.709017	0	-4.746206	0	-0.6635536	0	1.033192	0	0.0563693	0	-3.787622	0	0.0514332	0	-1.713858	0	-2.517051	0	-0.09255028	0	-1.709017	0	1.033192	0	3.342186	1.91193	0.1862953	-0.1730269	-0.9576076	-0.6202808	-4.096605	-2.686485	-0.385502	0.02719223	-0.9832851	-1.03934	0.06375483	-0.9698092	-0.9124858	-0.8787477	-0.4640084	-0.6409181	-1.362627	-0.9819059						
