#Study : TianlinLiu
#Date : 20180411 09:08:52
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:27:17.361 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	0e4fe1878_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_142717427	66			0	67	1	457	164	336	336	-3.341598	0	-2.368865	0	-1.373999	0	1.589145	0	-3.71184	0	-0.4968361	0	-1.044187	0	-3.205661	0	-4.131773	0	-4.833509	0	-3.341598	0	1.589145	0	2.392227	0.4586592	1.827837	0.7437102	-0.4189483	-0.3365202	-1.285662	0.1639693	-0.2141821	-0.198457	-0.8563938	-0.4340755	-2.512193	-0.1561798	-0.4794542	-1.449554	0.9438154	-0.2133876	-1.50354	-1.341067						
TianlinLiu	20180411	0e4fe1878_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_142717461	100			1	100	1	461	164	332	332	-2.712415	0	-2.737501	0	-1.610193	0	0.9336016	0	-3.923187	0	0.161636	0	-1.011702	0	-3.652883	0	-4.661249	0	-4.909333	0	-2.712415	0	0.9336016	0	2.193853	0.218307	1.78799	0.1136117	-0.5425597	-0.3927254	-1.086409	0.502068	-0.2248826	-0.1168558	-0.9026049	-0.6523928	-2.779649	-0.2966798	-0.6880606	-1.793108	1.321122	-0.3874355	-1.84854	-1.521243						
TianlinLiu	20180411	0e4fe1878_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_142717494	133			2	133	1	461	161	339	339	-2.995861	0	-2.490217	0	-1.402777	0	1.202657	0	-3.70247	0	-0.3566955	0	-1.014767	0	-3.10032	0	-4.012666	0	-4.734192	0	-2.995861	0	1.202657	0	2.354274	0.3867227	1.814318	0.4463148	-0.2765158	-0.2460702	-1.212198	0.1588679	-0.1364961	-0.234968	-0.8546062	-0.5718601	-2.591652	-0.3467806	-0.5989438	-1.548516	0.9890559	-0.224812	-1.456138	-1.199811						
TianlinLiu	20180411	0e4fe1878_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_142717527	166			3	167	1	465	162	339	339	-3.235792	0	-2.724828	0	-1.133803	0	1.180296	0	-3.990856	0	-0.1778426	0	-1.485888	0	-3.46616	0	-4.495564	0	-5.089004	0	-3.235792	0	1.180296	0	2.445718	0.5362359	1.709981	0.4678295	-0.2995323	-0.1537631	-1.177201	0.2122052	-0.0995286	-0.396026	-0.6570319	-0.6560379	-2.716435	-0.462595	-0.7981592	-1.692357	1.18866	-0.1633412	-1.764873	-1.116444						
TianlinLiu	20180411	0e4fe1878_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_142717561	200			4	200	1	470	164	335	335	-3.401063	0	-2.460387	0	-1.360168	0	1.48501	0	-3.635299	0	-0.3455651	0	-0.9549011	0	-2.989127	0	-4.003261	0	-4.620501	0	-3.401063	0	1.48501	0	2.537692	0.538088	1.864419	0.6815561	-0.2048949	-0.1503628	-1.270901	0.1805474	-0.1232548	-0.3962508	-0.7338285	-0.7244645	-2.495368	-0.2775928	-0.8032238	-1.580379	1.095147	-0.1779273	-1.526803	-1.365804						
TianlinLiu	20180411	0e4fe1878_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_142717594	233			5	234	1	473	163	335	335	-3.476838	0	-2.657668	0	-1.395408	0	1.672776	0	-4.251527	0	-0.01427973	0	-1.399048	0	-3.635043	0	-4.83803	0	-5.127107	0	-3.476838	0	1.672776	0	2.336962	0.5306622	1.775596	0.6930913	-0.3179032	-0.2625765	-1.23058	0.5621656	-0.1468736	-0.5352637	-0.8549694	-0.6986591	-2.965927	-0.3947285	-0.7203065	-1.839309	1.173853	-0.2945583	-1.804808	-1.403044						
TianlinLiu	20180411	0e4fe1878_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_142717627	266			6	267	1	481	162	331	331	-3.285809	0	-2.630234	0	-0.9933523	0	0.9036425	0	-3.311121	0	-0.1676676	0	-0.5214239	0	-2.805481	0	-4.107115	0	-4.122396	0	-3.285809	0	0.9036425	0	2.418843	0.5581394	1.732769	0.1919037	-0.320837	-0.1482321	-1.301394	0.2317362	-0.009744793	-0.2461635	-0.7777953	-0.6512227	-1.82726	-0.8377681	-0.922574	-1.337154	0.8570237	-0.4010621	-1.730855	-1.118854						
TianlinLiu	20180411	0e4fe1878_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_142717661	300			7	300	1	485	160	332	332	-3.16222	0	-2.509753	0	-0.9699288	0	0.929051	0	-2.959855	0	-0.2808114	0	-0.2819234	0	-2.425616	0	-3.696616	0	-3.747651	0	-3.16222	0	0.929051	0	2.509669	0.5442564	1.769192	0.2104721	-0.2927359	-0.1002972	-1.344555	0.01763904	-0.02755832	-0.2171024	-0.9275026	-0.609323	-1.75441	-0.7106834	-0.9463214	-1.229765	0.7066377	-0.3795818	-1.450741	-0.9798716						
TianlinLiu	20180411	0e4fe1878_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_142717694	333			8	334	1	485	157	339	339	-3.160481	0	-2.470787	0	-1.016306	0	0.9399211	0	-3.379083	0	0.05844827	0	-0.6608077	0	-2.484002	0	-3.753926	0	-3.907217	0	-3.160481	0	0.9399211	0	2.279341	0.4901115	1.615296	0.1822976	-0.2082721	-0.1013668	-1.159653	0.2364667	-0.1651709	-0.3224433	-0.8903045	-0.50114	-2.20695	-0.635527	-0.8054457	-1.364553	0.7720934	-0.4261542	-1.519995	-1.090969						
TianlinLiu	20180411	0e4fe1878_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_142717728	367			9	367	1	489	159	334	334	-3.114757	0	-2.443671	0	-0.5863513	0	1.049238	0	-3.336383	0	-0.4422902	0	-1.05339	0	-2.487541	0	-3.639476	0	-4.026872	0	-3.114757	0	1.049238	0	2.555791	0.7429578	1.703959	0.3336414	-0.2463287	-0.1025053	-1.279339	-0.2540438	-0.02777794	-0.4818324	-1.642985	-1.124698	-2.360908	-0.5637696	-1.297959	-1.712247	1.248121	0.1215036	-1.739358	-0.8964714						
