#Study : TianlinLiu
#Date : 20180411 09:04:17
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:06:43.235 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	b7665abe2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150643301	66			0	67	1	350	238	345	345	-0.2987659	0	-2.428361	0	-0.4906923	0	0.5887789	0	-0.9035347	0	-0.2271716	0	-1.212904	0	-2.610287	0	-2.532437	0	0.5343458	0	-0.2987659	0	0.5887789	0	0.4706628	0.1651975	-0.6691582	-0.08011545	-0.3778143	0.02006195	-2.986491	0.7574581	0.05936236	-0.7633621	-1.650351	-1.62096	-0.9008296	-0.9784501	-1.18453	-1.245818	0.1742549	-1.226729	-2.441906	-2.76307						
TianlinLiu	20180411	b7665abe2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150643335	100			1	100	1	349	238	343	343	-0.6921552	0	-2.252288	0	-0.3611653	0	0.6661001	0	-0.8261062	0	-0.3763701	0	-1.248754	0	-2.589533	0	-2.486858	0	0.7258652	0	-0.6921552	0	0.6661001	0	0.476794	0.1791542	-0.6381895	0.03828391	-0.4680895	-0.03903383	-3.067477	0.5363387	-0.1428599	-0.8394925	-1.879059	-1.705988	-0.9741018	-0.947775	-1.341922	-1.377131	0.1311659	-1.239299	-2.762394	-2.74741						
TianlinLiu	20180411	b7665abe2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150643368	133			2	133	1	350	238	342	342	-0.6219767	0	-2.274847	0	-0.3719136	0	0.617831	0	-0.8119215	0	-0.3326553	0	-1.300178	0	-2.609179	0	-2.522228	0	0.7214884	0	-0.6219767	0	0.617831	0	0.4604645	0.1703115	-0.6474087	-0.03365867	-0.439236	-0.01590926	-3.026086	0.5537031	-0.1146788	-0.8689421	-1.885665	-1.690877	-0.9898499	-0.967832	-1.339659	-1.386089	0.1445419	-1.226795	-2.718353	-2.720306						
TianlinLiu	20180411	b7665abe2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150643401	166			3	167	1	350	238	342	342	-1.023783	0	-2.096067	0	-0.2659133	0	0.4431942	0	-0.8162771	0	-0.47412	0	-1.343717	0	-2.48399	0	-2.451015	0	0.7804888	0	-1.023783	0	0.4431942	0	0.4421523	0.1341808	-0.5957186	-0.03699579	-0.5359424	-0.09569712	-3.02656	0.3877006	-0.2754162	-0.9140253	-2.129786	-1.684473	-0.9079493	-1.063951	-1.409174	-1.467884	0.137407	-1.194031	-2.893555	-2.694082						
TianlinLiu	20180411	b7665abe2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150643434	199			4	200	1	350	239	341	341	-1.092309	0	-2.210729	0	-0.1392698	0	0.6511365	0	-0.9171504	0	-0.5542987	0	-1.229376	0	-2.600887	0	-2.63044	0	0.5600127	0	-1.092309	0	0.6511365	0	0.7034336	0.2864514	-0.4779143	0.08667878	-0.4826325	-0.0097519	-3.111153	0.4606093	-0.2525884	-0.9090289	-2.152088	-1.736101	-0.9821777	-1.103899	-1.519063	-1.569408	0.1918388	-1.167802	-3.032521	-2.621299						
TianlinLiu	20180411	b7665abe2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150643468	233			5	233	1	352	239	339	339	-1.600379	0	-1.914948	0	0.03051225	0	0.4678173	0	-0.9489052	0	-0.6174026	0	-1.319633	0	-2.516774	0	-2.535554	0	0.4178971	0	-1.600379	0	0.4678173	0	0.6941193	0.2855977	-0.4414074	0.137053	-0.5660603	0.01944088	-3.113711	0.3049102	-0.3926865	-0.9261808	-2.495976	-1.675318	-0.8050543	-1.269353	-1.486162	-1.618383	0.187008	-1.084529	-3.089057	-2.469028						
TianlinLiu	20180411	b7665abe2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150643501	266			6	267	1	352	239	340	340	-1.542022	0	-2.152424	0	0.3554248	0	0.30665	0	-1.029778	0	-0.6920668	0	-1.300929	0	-2.597632	0	-2.726932	0	0.389382	0	-1.542022	0	0.30665	0	0.8276526	0.3780975	-0.4135039	0.2290191	-0.48621	0.06182734	-3.04318	0.3991072	-0.3969917	-0.9296674	-2.433912	-1.736227	-0.7530308	-1.345374	-1.526122	-1.733696	0.3006973	-0.9046735	-3.299754	-2.515477						
TianlinLiu	20180411	b7665abe2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150643534	299			7	300	1	352	239	343	343	-0.8241013	0	-2.190993	0	-0.1668146	0	0.1904366	0	-0.7335263	0	-0.7324104	0	-0.914456	0	-2.4209	0	-2.212251	0	0.5126507	0	-0.8241013	0	0.1904366	0	0.6978625	0.1732162	-0.6203772	-0.06899454	-0.4846004	0.0291978	-3.025808	0.4149053	-0.2512656	-0.6151012	-1.917843	-1.418722	-0.483107	-1.305773	-1.010517	-1.178073	-0.1069281	-1.046782	-2.580713	-2.556674						
TianlinLiu	20180411	b7665abe2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150643568	333			8	333	1	358	242	336	336	-0.7089694	0	-2.223301	0	-0.7460427	0	-0.5034322	0	-0.5460788	0	-0.5759822	0	-0.7786861	0	-1.785973	0	-1.698965	0	0.7405142	0	-0.7089694	0	-0.5034322	0	0.553917	0.01900536	-0.6493901	-0.8350639	-0.4389586	0.06898843	-2.696207	0.05939798	-0.1953999	-0.5514525	-1.922827	-1.28815	-0.2523763	-1.597641	-0.8595028	-0.907358	-0.3271104	-1.150249	-1.972587	-1.867965						
TianlinLiu	20180411	b7665abe2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150643601	366			9	367	1	361	244	332	332	-0.4495394	0	-2.206069	0	-2.246805	0	-0.9406159	0	-0.09653729	0	-0.5331703	0	-0.3748578	0	-1.409168	0	-1.074033	0	0.3265974	0	-0.4495394	0	-0.09653729	0	0.6083456	0.05339869	-0.6952567	-1.514983	-0.1967747	0.2121185	-2.65374	-0.1513102	0.119354	-0.1155648	-1.676845	-0.9487686	-0.336951	-1.410054	-0.6832271	-0.2763388	-0.7900908	-1.464761	-1.284565	-0.9948207						
