#Study : TianlinLiu
#Date : 20180411 09:04:20
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:05:50.267 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	b40260530_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_150550333	66			0	67	1	131	107	142	142	-2.24195	0	-3.498144	0	-0.5989851	0	-0.6930652	0	0.1630388	0	-2.41662	0	-1.53115	0	-1.425819	0	-2.013681	0	1.433945	0	-2.24195	0	0.1630388	0	0.2198425	0.4991831	-1.094539	-1.725355	-1.011823	-0.9345323	-4.057077	-1.204062	-0.5174933	-0.09664834	-1.317687	-1.168449	-1.041403	-0.1950734	-0.1626395	-0.1592584	-0.8910648	-0.7793898	-0.794566	-0.4820389						
TianlinLiu	20180411	b40260530_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_150550367	100			1	100	1	131	107	142	142	-2.21838	0	-3.511875	0	-0.5989882	0	-0.6891761	0	0.1833227	0	-2.425897	0	-1.545152	0	-1.438063	0	-2.017449	0	1.433727	0	-2.21838	0	0.1833227	0	0.2272996	0.5045055	-1.099462	-1.728726	-1.015418	-0.9401006	-4.078927	-1.211082	-0.5080044	-0.08613698	-1.329867	-1.173002	-1.035865	-0.1937156	-0.1546383	-0.1525112	-0.8954047	-0.7850084	-0.7861337	-0.4849658						
TianlinLiu	20180411	b40260530_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_150550400	133			2	133	1	134	107	145	145	-2.850691	0	-3.176189	0	0.3750274	0	-1.047906	0	-0.8613063	0	-2.015802	0	-1.368182	0	-1.646479	0	-2.322191	0	1.442957	0	-2.850691	0	-0.8613063	0	0.3291923	0.6226267	-1.031535	-1.370777	-1.133237	-0.795799	-3.936805	-1.006211	-0.8487265	-0.7380324	-0.9934348	-1.041447	-0.6036	-0.7344604	-0.06056631	-0.4771205	-0.6338866	-0.6441341	-1.56369	-0.5230952						
TianlinLiu	20180411	b40260530_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_150550433	166			3	167	1	134	107	145	145	-2.882147	0	-3.203173	0	0.3158886	0	-1.062115	0	-0.855342	0	-2.05224	0	-1.442954	0	-1.630923	0	-2.318388	0	1.483652	0	-2.882147	0	-0.855342	0	0.332397	0.6340906	-1.042064	-1.375059	-1.115104	-0.7748458	-3.981842	-0.9859984	-0.862069	-0.7486925	-1.03542	-1.109263	-0.66362	-0.7341108	-0.07108954	-0.4653381	-0.6313143	-0.6862723	-1.63286	-0.5720767						
TianlinLiu	20180411	b40260530_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_150550466	199			4	200	1	137	108	145	145	-2.57747	0	-3.282539	0	0.1665952	0	-0.918879	0	-0.7725493	0	-2.078562	0	-1.780703	0	-1.713207	0	-2.299277	0	1.634225	0	-2.57747	0	-0.7725493	0	0.3161944	0.630269	-1.138265	-1.124682	-1.081887	-0.6719995	-4.212283	-1.008886	-0.7402838	-0.7249853	-1.105626	-1.252778	-0.6995484	-0.7067297	-0.01820015	-0.4073406	-0.5857062	-0.9511646	-1.942686	-0.6721531						
TianlinLiu	20180411	b40260530_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_150550500	233			5	233	1	137	108	145	145	-2.580697	0	-3.247242	0	0.1253523	0	-0.8682383	0	-0.7410604	0	-2.117771	0	-1.702857	0	-1.569819	0	-2.202014	0	1.599247	0	-2.580697	0	-0.7410604	0	0.3026392	0.5947295	-1.089601	-1.080229	-1.107881	-0.6778032	-4.166397	-0.9760699	-0.760155	-0.7141165	-1.119047	-1.314637	-0.7871336	-0.6837493	-0.05759224	-0.4171745	-0.5752512	-0.9353084	-1.889939	-0.6445462						
TianlinLiu	20180411	b40260530_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_150550533	266			6	267	1	138	108	145	145	-2.55149	0	-3.164551	0	-0.1464044	0	-1.023191	0	-0.5563543	0	-2.344115	0	-1.675484	0	-1.595076	0	-2.023815	0	1.741162	0	-2.55149	0	-0.5563543	0	0.3134931	0.6078802	-1.201934	-1.113778	-1.182107	-0.7019692	-4.448611	-1.288325	-0.7066097	-0.5099003	-1.290029	-1.198514	-0.656754	-0.8902013	0.1708868	-0.115748	-1.01199	-1.187868	-1.714919	-0.870414						
TianlinLiu	20180411	b40260530_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_150550566	299			7	300	1	138	108	145	145	-2.519144	0	-3.181297	0	-0.1569565	0	-1.030162	0	-0.5428604	0	-2.33993	0	-1.677013	0	-1.61114	0	-2.030075	0	1.728719	0	-2.519144	0	-0.5428604	0	0.3185338	0.6134597	-1.211859	-1.100946	-1.179244	-0.7082093	-4.454041	-1.27644	-0.707369	-0.5037991	-1.321716	-1.217656	-0.6738679	-0.8914595	0.1540732	-0.1121635	-1.010762	-1.192362	-1.715742	-0.875219						
TianlinLiu	20180411	b40260530_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_150550600	333			8	333	1	136	108	146	146	-2.250013	0	-2.914299	0	0.0498861	0	-1.275855	0	-0.2886687	0	-2.328452	0	-1.338171	0	-1.457747	0	-1.746845	0	1.383598	0	-2.250013	0	-0.2886687	0	0.3013838	0.5514411	-1.150398	-1.252342	-1.024616	-0.6898242	-4.253706	-1.430458	-0.5706542	-0.2024331	-1.10819	-0.7645263	-0.3058573	-1.305762	0.4954331	0.2360743	-1.23352	-1.057938	-1.296527	-0.8707549						
TianlinLiu	20180411	b40260530_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_150550633	366			9	367	1	136	108	146	146	-2.258754	0	-2.923166	0	-0.00380328	0	-1.263807	0	-0.2926787	0	-2.405552	0	-1.289134	0	-1.491035	0	-1.73224	0	1.422256	0	-2.258754	0	-0.2926787	0	0.245177	0.5043629	-1.184178	-1.238281	-1.087443	-0.7215062	-4.274747	-1.444577	-0.5813454	-0.1782342	-1.09744	-0.776292	-0.3204273	-1.342169	0.5164103	0.2810347	-1.342425	-1.072989	-1.208171	-0.9202589						
