#Study : TianlinLiu
#Date : 20180411 09:04:16
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:07:07.955 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	be0afeb8c_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150708021	66			0	67	1	637	78	225	225	-3.452265	0	-0.7566321	0	-1.655351	0	-3.1124	0	-0.8021903	0	-1.754358	0	-1.370574	0	0.6262567	0	-0.2430698	0	1.489444	0	-3.452265	0	-0.7566321	0	-0.4318684	-0.3261106	-0.8100319	-1.008388	-1.034734	-0.3673973	-2.401124	-1.604313	-1.024984	-0.4239805	-1.059478	-0.7349973	0.8626201	-1.344222	-0.04356675	-0.2160319	-1.764045	-1.223237	-2.156212	-1.054571						
TianlinLiu	20180411	be0afeb8c_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150708055	100			1	100	1	637	77	227	227	-3.347663	0	-0.8528656	0	-1.839464	0	-3.074658	0	-0.8096967	0	-1.744538	0	-1.537841	0	0.5447848	0	-0.206181	0	1.560435	0	-3.347663	0	-0.8096967	0	-0.5062037	-0.4190173	-0.8700884	-1.123577	-1.035441	-0.3891227	-2.488216	-1.476571	-0.9755042	-0.3360051	-1.141493	-0.9422402	0.6934265	-1.345003	-0.02017085	-0.102907	-1.703488	-1.26055	-2.182764	-1.101262						
TianlinLiu	20180411	be0afeb8c_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150708088	133			2	133	1	639	78	226	226	-3.536626	0	-0.8730671	0	-1.80177	0	-3.243807	0	-0.8526813	0	-1.775993	0	-1.526888	0	0.5043558	0	-0.2997454	0	1.615348	0	-3.536626	0	-0.8526813	0	-0.5214807	-0.4105272	-0.8800099	-1.101464	-1.062644	-0.4174605	-2.436115	-1.530379	-1.064195	-0.4322112	-1.143177	-0.8531159	0.8129823	-1.370724	-0.05142276	-0.2010101	-1.706428	-1.20047	-2.230619	-1.133951						
TianlinLiu	20180411	be0afeb8c_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150708121	166			3	167	1	639	78	226	226	-3.510494	0	-0.8866444	0	-1.825945	0	-3.304631	0	-0.8336238	0	-1.777575	0	-1.492046	0	0.5250488	0	-0.2890756	0	1.61014	0	-3.510494	0	-0.8336238	0	-0.552807	-0.4227711	-0.8599989	-1.114965	-1.054878	-0.4106973	-2.362491	-1.560793	-1.081765	-0.4409884	-1.120931	-0.817742	0.802308	-1.314641	-0.1004993	-0.2186706	-1.699087	-1.160588	-2.134837	-1.086251						
TianlinLiu	20180411	be0afeb8c_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150708155	200			4	200	1	641	79	225	225	-3.571849	0	-0.8570747	0	-1.703309	0	-3.107233	0	-0.8251513	0	-1.674068	0	-1.438274	0	0.5529333	0	-0.3105753	0	1.593076	0	-3.571849	0	-0.8251513	0	-0.4911973	-0.371797	-0.8742984	-1.113808	-1.032695	-0.4617437	-2.346104	-1.554817	-1.049635	-0.4504291	-1.133559	-0.8198875	0.7748315	-1.355924	-0.0868284	-0.2718645	-1.737365	-1.208694	-2.138497	-1.007486						
TianlinLiu	20180411	be0afeb8c_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150708188	233			5	234	1	642	79	226	226	-3.428903	0	-0.7817634	0	-1.667374	0	-3.020575	0	-0.8176498	0	-1.741076	0	-1.516698	0	0.6977612	0	-0.1416427	0	1.574828	0	-3.428903	0	-0.7817634	0	-0.5157576	-0.424437	-0.8824404	-1.077165	-1.002777	-0.4227585	-2.414058	-1.434469	-1.004428	-0.4088753	-1.128176	-0.9009339	0.6344894	-1.325321	-0.1041532	-0.1275202	-1.733562	-1.302684	-2.268604	-0.9010842						
TianlinLiu	20180411	be0afeb8c_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150708221	266			6	267	1	646	80	222	222	-3.832283	0	-0.8337024	0	-1.486099	0	-3.017445	0	-0.8751101	0	-1.720858	0	-1.241984	0	0.5995988	0	-0.3906727	0	1.581442	0	-3.832283	0	-0.8337024	0	-0.4052154	-0.2652054	-0.8378214	-1.111677	-0.9930553	-0.5093734	-2.25045	-1.714536	-1.112721	-0.5469565	-1.105009	-0.701345	0.8781118	-1.427267	-0.1603462	-0.3886977	-1.895733	-1.284577	-2.189693	-0.8951624						
TianlinLiu	20180411	be0afeb8c_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150708255	300			7	300	1	645	80	224	224	-3.63736	0	-0.8309661	0	-1.518775	0	-3.033928	0	-0.8325679	0	-1.710825	0	-1.357646	0	0.5829507	0	-0.3010946	0	1.584881	0	-3.63736	0	-0.8309661	0	-0.4814126	-0.3490528	-0.8674974	-1.107726	-1.047718	-0.5255638	-2.277358	-1.551793	-1.07351	-0.4855362	-1.120554	-0.7767664	0.7920474	-1.375308	-0.1359452	-0.2913316	-1.789435	-1.252581	-2.215991	-0.8691781						
TianlinLiu	20180411	be0afeb8c_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150708288	333			8	334	1	646	79	226	226	-3.519005	0	-0.8553817	0	-1.686893	0	-3.101117	0	-0.8184744	0	-1.76106	0	-1.376737	0	0.5672809	0	-0.2147398	0	1.566889	0	-3.519005	0	-0.8184744	0	-0.5385734	-0.4442678	-0.8447237	-1.231533	-1.179791	-0.5627473	-2.348702	-1.599753	-1.071526	-0.3720396	-1.209803	-0.8385786	0.803	-1.360443	-0.09931661	-0.1922829	-1.749948	-1.192378	-2.095782	-0.9803276						
TianlinLiu	20180411	be0afeb8c_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150708322	367			9	367	1	647	80	226	226	-3.48804	0	-0.8762943	0	-1.70962	0	-3.06801	0	-0.8154922	0	-1.779228	0	-1.367719	0	0.5810472	0	-0.1997951	0	1.571362	0	-3.48804	0	-0.8154922	0	-0.4997524	-0.42061	-0.8542996	-1.200169	-1.161359	-0.5360065	-2.382679	-1.530259	-1.058198	-0.3702143	-1.126768	-0.849542	0.6940474	-1.325612	-0.1046854	-0.1502374	-1.757995	-1.22837	-2.156342	-0.9684455						
TianlinLiu	20180411	be0afeb8c_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150708355	400			10	400	1	650	81	222	222	-3.751268	0	-0.9526661	0	-1.686218	0	-2.869458	0	-0.799898	0	-1.848403	0	-1.162867	0	0.5159898	0	-0.3821569	0	1.582975	0	-3.751268	0	-0.799898	0	-0.5108212	-0.3572824	-0.8012168	-1.158109	-1.094396	-0.5596737	-2.183388	-1.785375	-1.147412	-0.4565387	-0.9677563	-0.6915905	0.8042151	-1.192775	-0.2182016	-0.3402725	-1.907074	-1.231058	-1.910166	-0.9509938						
