#Study : TianlinLiu
#Date : 20180411 09:07:20
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:39:58.405 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958471	66			0	67	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958505	100			1	100	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958538	133			2	133	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958571	166			3	167	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958604	199			4	200	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958638	233			5	233	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958671	266			6	267	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958704	299			7	300	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958738	333			8	333	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958771	366			9	367	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958804	399			10	400	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958838	433			11	433	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958871	466			12	467	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958905	500			13	500	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958938	533			14	533	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143958971	566			15	567	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959004	599			16	600	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959038	633			17	633	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959071	666			18	667	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959104	699			19	700	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959138	733			20	733	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959171	766			21	767	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959204	799			22	800	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959238	833			23	833	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959271	866			24	867	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959305	900			25	900	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959338	933			26	933	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959371	966			27	967	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959404	999			28	1000	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959438	1033			29	1033	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959471	1066			30	1067	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959504	1099			31	1100	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959538	1133			32	1133	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959571	1166			33	1167	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959604	1199			34	1200	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959638	1233			35	1233	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959671	1266			36	1267	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959705	1300			37	1300	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959738	1333			38	1333	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959771	1366			39	1367	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959804	1399			40	1400	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959838	1433			41	1433	0																																																						
TianlinLiu	20180411	3df704c40_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_143959871	1466			42	1467	0																																																						
