#Study : TianlinLiu
#Date : 20180411 09:04:15
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:07:23.161 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723244	83			0	83	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723286	125			1	125	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723327	166			2	167	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723369	208			3	209	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723411	250			4	250	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723452	291			5	292	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723494	333			6	334	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723536	375			7	375	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723578	417			8	417	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723619	458			9	459	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723661	500			10	500	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723703	542			11	542	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723744	583			12	584	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723786	625			13	626	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723828	667			14	667	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723870	709			15	709	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723911	750			16	751	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723953	792			17	792	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150723995	834			18	834	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150724036	875			19	876	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150724078	917			20	918	0																																																						
TianlinLiu	20180411	bee9cd4cf_1__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_150724120	959			21	959	0																																																						
