#Study : TianlinLiu
#Date : 20180411 09:04:14
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:07:30.421 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730487	66			0	67	0																																																						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730521	100			1	100	0																																																						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730554	133			2	133	0																																																						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730587	166			3	167	0																																																						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730621	200			4	200	0																																																						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730654	233			5	234	0																																																						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730687	266			6	267	1	190	30	53	53	-6.475446	0	-0.8601614	0	1.441793	0	-2.959968	0	-3.687273	0	-1.239653	0	-4.049522	0	-2.62821	0	-3.528186	0	-1.307595	0	-6.475446	0	-0.8601614	0	-1.121352	-0.3584722	-0.85688	0.2939438	-0.8286431	-0.07676148	-1.746555	-1.260364	-2.165242	-3.471129	-2.578221	-2.760287	-2.013528	-1.90536	-2.329212	-3.977407	2.377986	1.34973	-7.152835	0.4052688						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730721	300			7	300	1	190	30	53	53	-6.48236	0	-0.8496557	0	1.44395	0	-2.965125	0	-3.683	0	-1.211792	0	-4.0429	0	-2.618807	0	-3.521729	0	-1.296791	0	-6.48236	0	-0.8496557	0	-1.123111	-0.3622331	-0.8481557	0.2908764	-0.8131323	-0.06204861	-1.739328	-1.24473	-2.164572	-3.471107	-2.592195	-2.759556	-2.012895	-1.917921	-2.346911	-3.989506	2.372719	1.337352	-7.17799	0.4070883						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730754	333			8	334	1	192	28	54	54	-7.407964	0	-1.154669	0	2.043976	0	-2.607698	0	-4.117982	0	-1.957407	0	-4.112802	0	-2.586383	0	-3.996725	0	-1.719976	0	-7.407964	0	-1.154669	0	-0.8603536	-0.3092805	-0.5583414	0.3975089	-1.322799	-0.2465888	-2.215027	-1.066882	-2.619158	-3.880318	-3.105941	-2.999146	-2.208369	-1.361125	-2.813722	-4.779005	3.302521	2.021233	-7.739031	0.7641694						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730788	367			9	367	1	192	28	54	54	-7.410574	0	-1.159082	0	2.045208	0	-2.60616	0	-4.120545	0	-1.959218	0	-4.11176	0	-2.590063	0	-4.001513	0	-1.718573	0	-7.410574	0	-1.159082	0	-0.8589924	-0.3066528	-0.5594367	0.398207	-1.321138	-0.2474068	-2.216908	-1.068454	-2.619121	-3.882873	-3.106499	-3.003006	-2.209022	-1.36295	-2.817804	-4.781888	3.300781	2.02041	-7.742226	0.7713039						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730821	400			10	400	1	192	28	54	54	-7.414352	0	-1.151062	0	2.041955	0	-2.606253	0	-4.121767	0	-1.956587	0	-4.113508	0	-2.5851	0	-3.996297	0	-1.721407	0	-7.414352	0	-1.151062	0	-0.8635396	-0.3117246	-0.5569307	0.396204	-1.324463	-0.2487187	-2.213388	-1.065866	-2.620142	-3.882311	-3.105189	-3.000858	-2.208462	-1.362865	-2.812632	-4.779676	3.304551	2.022384	-7.742057	0.7652499						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730854	433			11	434	1	192	28	54	54	-7.401733	0	-1.161085	0	2.036944	0	-2.60432	0	-4.115552	0	-1.957091	0	-4.107774	0	-2.586	0	-3.996705	0	-1.713673	0	-7.401733	0	-1.161085	0	-0.860525	-0.3085003	-0.5617587	0.397277	-1.319891	-0.2469387	-2.21685	-1.06858	-2.617486	-3.877984	-3.100348	-2.997385	-2.208121	-1.359669	-2.811534	-4.774944	3.294665	2.018117	-7.735836	0.7620714						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730888	467			12	467	1	191	29	60	60	-3.972767	0	-1.638692	0	0.7721648	0	-1.335817	0	-1.186479	0	-1.985774	0	-1.723506	0	-0.6267636	0	-1.644699	0	1.108427	0	-3.972767	0	-1.186479	0	-0.2262484	-0.1005908	-0.7068142	-0.03268277	-1.380519	-0.4284085	-3.297739	-1.633644	-1.220345	-1.366668	-2.718108	-2.140385	-0.6830027	-1.737234	-1.287787	-1.662058	0.5163873	0.0576808	-4.503081	-0.3858152						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730921	500			13	500	1	191	29	60	60	-3.993408	0	-1.672537	0	0.7853643	0	-1.320811	0	-1.195279	0	-2.019431	0	-1.720281	0	-0.6483617	0	-1.665454	0	1.10758	0	-3.993408	0	-1.195279	0	-0.2063144	-0.08541701	-0.7133546	-0.03070536	-1.400186	-0.443832	-3.34001	-1.643388	-1.228061	-1.367257	-2.715998	-2.146399	-0.6855604	-1.733298	-1.290433	-1.662205	0.5163981	0.05876802	-4.509623	-0.3959731						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730954	533			14	534	1	189	31	63	63	-3.605592	0	-1.536063	0	0.8826365	0	-2.069873	0	-1.724194	0	-1.58222	0	-2.252889	0	-0.9501484	0	-1.814608	0	0.2588332	0	-3.605592	0	-1.536063	0	-0.2063685	-0.1003584	-0.6278957	-0.0301035	-0.8033582	-0.1400465	-3.024869	-1.555198	-0.9609851	-1.373071	-2.509437	-1.995408	0.03622827	-2.057551	-0.7256099	-1.476245	0.6707158	0.1778806	-4.883139	-0.6702153						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150730988	567			15	567	1	189	31	63	63	-3.093563	0	-1.582061	0	0.6946996	0	-2.039143	0	-1.436796	0	-1.538758	0	-1.916631	0	-0.9059405	0	-1.64558	0	0.2711525	0	-3.093563	0	-1.436796	0	-0.1438544	-0.1228871	-0.5959293	-0.1674171	-0.7124127	-0.1183472	-2.963049	-1.529833	-0.817302	-1.246147	-2.33958	-1.846852	0.02800166	-1.970843	-0.6545703	-1.326102	0.596467	0.1279627	-4.452169	-0.4707599						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150731021	600			16	601	1	184	34	67	67	-4.100777	0	-1.432945	0	0.3543208	0	-2.351377	0	-1.572392	0	-1.77457	0	-1.77943	0	-0.4229338	0	-1.294732	0	0.5620893	0	-4.100777	0	-1.432945	0	-0.2480786	-0.1405394	-0.5852012	-0.09966566	-0.6865605	-0.07909877	-2.784459	-1.916767	-0.8608319	-0.955701	-1.958707	-1.533946	0.7049244	-2.668183	-0.2666363	-0.6270429	-0.3715397	-0.5074941	-4.908386	-1.397355						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150731054	633			17	634	1	185	34	66	66	-3.998911	0	-1.523699	0	0.41566	0	-2.304459	0	-1.510799	0	-1.729233	0	-1.885249	0	-0.597971	0	-1.40678	0	0.7337024	0	-3.998911	0	-1.510799	0	-0.2774821	-0.08244347	-0.6852339	-0.1084641	-0.6941992	-0.07216443	-2.849874	-1.88447	-0.8742651	-0.9596747	-1.971151	-1.491956	0.6756116	-2.638925	-0.2398943	-0.6580416	-0.3554865	-0.5038565	-4.821517	-1.50271						
TianlinLiu	20180411	c1ff32351_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150731088	667			18	667	1	182	38	66	66	-4.145609	0	-1.429145	0	0.7273946	0	-2.435916	0	-1.699073	0	-1.829308	0	-1.966697	0	-0.7188416	0	-1.447006	0	0.2760352	0	-4.145609	0	-1.429145	0	-0.09551066	0.07903187	-0.3899687	-0.415437	-0.651146	-0.211772	-2.065911	-2.1583	-0.965972	-0.8055486	-1.847254	-1.212877	0.9968059	-2.415318	-0.08524118	-0.7321908	0.1107612	0.3229722	-3.646452	-1.023391						
