#Study : TianlinLiu
#Date : 20180411 09:04:10
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:07:48.625 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	c2b9c66f3_4__utterance_58	0	MALE	recording	TestImage	Emotient FACET	20180320_150748691	66			0	67	0																																																						
TianlinLiu	20180411	c2b9c66f3_4__utterance_58	0	MALE	recording	TestImage	Emotient FACET	20180320_150748725	100			1	100	1	167	25	100	100	0.4313965	0	-0.9916163	0	-3.3071	0	0.1202875	0	-2.129009	0	0.1821854	0	-0.8511241	0	-2.097115	0	-1.400598	0	-2.89937	0	0.4313965	0	0.1821854	0	0.06793032	-0.4823638	0.08999473	-0.5032423	0.5104922	-0.4401305	-0.7220764	1.065819	0.4609905	-0.223265	0.4053314	-0.3067511	-2.930752	-0.3740867	-0.2616255	-0.3458915	0.01211422	0.08295058	-0.9463874	-0.5130916						
TianlinLiu	20180411	c2b9c66f3_4__utterance_58	0	MALE	recording	TestImage	Emotient FACET	20180320_150748758	133			2	133	0																																																						
TianlinLiu	20180411	c2b9c66f3_4__utterance_58	0	MALE	recording	TestImage	Emotient FACET	20180320_150748791	166			3	167	0																																																						
TianlinLiu	20180411	c2b9c66f3_4__utterance_58	0	MALE	recording	TestImage	Emotient FACET	20180320_150748825	200			4	200	0																																																						
TianlinLiu	20180411	c2b9c66f3_4__utterance_58	0	MALE	recording	TestImage	Emotient FACET	20180320_150748858	233			5	234	0																																																						
TianlinLiu	20180411	c2b9c66f3_4__utterance_58	0	MALE	recording	TestImage	Emotient FACET	20180320_150748891	266			6	267	0																																																						
TianlinLiu	20180411	c2b9c66f3_4__utterance_58	0	MALE	recording	TestImage	Emotient FACET	20180320_150748925	300			7	300	0																																																						
TianlinLiu	20180411	c2b9c66f3_4__utterance_58	0	MALE	recording	TestImage	Emotient FACET	20180320_150748958	333			8	334	0																																																						
TianlinLiu	20180411	c2b9c66f3_4__utterance_58	0	MALE	recording	TestImage	Emotient FACET	20180320_150748992	367			9	367	0																																																						
TianlinLiu	20180411	c2b9c66f3_4__utterance_58	0	MALE	recording	TestImage	Emotient FACET	20180320_150749025	400			10	400	1	172	19	90	90	1.044116	0	-2.846579	0	-4.725943	0	0.5246864	0	-2.500608	0	0.3374693	0	-3.024693	0	-3.876902	0	-3.296509	0	-5.057549	0	1.044116	0	0.5246864	0	0.9832043	0.2918655	-0.2568428	-2.141596	0.9406693	-0.2986507	-0.7504377	1.951965	1.242288	-0.7503139	-1.259997	-1.308704	-3.26171	0.8408063	-0.634048	-1.656672	0.3146817	-1.235475	-2.824869	1.447519						
TianlinLiu	20180411	c2b9c66f3_4__utterance_58	0	MALE	recording	TestImage	Emotient FACET	20180320_150749058	433			11	434	0																																																						
TianlinLiu	20180411	c2b9c66f3_4__utterance_58	0	MALE	recording	TestImage	Emotient FACET	20180320_150749092	467			12	467	0																																																						
