#Study : TianlinLiu
#Date : 20180411 09:04:01
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:09:38.422 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	c9a1d6f7e_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150938488	66			0	67	1	698	99	178	178	-1.384132	0	-3.406197	0	-1.024805	0	0.4832888	0	-0.7829436	0	-1.548537	0	0.1449904	0	-2.754858	0	-3.078523	0	-1.273127	0	-1.384132	0	0.4832888	0	2.187361	0.6698223	0.2995953	-0.01199009	-0.08491638	-0.3627483	-3.052013	-0.4694852	-0.1643289	-0.4618711	0.4536373	-0.2551875	-1.533143	-0.2495498	-1.016805	-0.2427424	-0.4364925	-0.5937454	-1.472757	-1.521141						
TianlinLiu	20180411	c9a1d6f7e_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150938522	100			1	100	1	699	99	177	177	-1.464324	0	-3.163182	0	-1.02277	0	0.3249144	0	-0.7343781	0	-1.49085	0	0.3371005	0	-2.582235	0	-2.851721	0	-0.9987041	0	-1.464324	0	0.3371005	0	2.075768	0.6081596	0.2147409	-0.08221945	-0.1375746	-0.3686019	-2.976221	-0.646347	-0.2728876	-0.4735421	0.4921538	-0.1819881	-1.321063	-0.3251242	-0.980544	-0.1841978	-0.640067	-0.7117855	-1.481597	-1.429221						
TianlinLiu	20180411	c9a1d6f7e_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150938555	133			2	133	1	698	98	178	178	-1.759382	0	-2.844337	0	-0.9069334	0	0.3382651	0	-0.7315457	0	-1.458606	0	0.6665379	0	-2.167094	0	-2.609528	0	-0.8795469	0	-1.759382	0	0.6665379	0	2.216614	0.6079839	0.4065364	-0.154276	-0.01459874	-0.2717412	-2.886876	-0.7585948	-0.4543279	-0.3409123	0.5149722	-0.1498629	-0.9303697	-0.4708329	-0.9295674	-0.1559289	-0.7784545	-0.6805086	-1.388062	-1.335325						
TianlinLiu	20180411	c9a1d6f7e_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150938588	166			3	167	1	695	98	180	180	-2.12267	0	-2.893058	0	-0.7644039	0	0.3275617	0	-0.9704594	0	-1.529987	0	0.9332134	0	-1.748341	0	-2.449002	0	-0.9781812	0	-2.12267	0	0.9332134	0	2.075922	0.4883001	0.6071029	-0.3624208	-0.1785709	-0.3398302	-2.776069	-0.7528641	-0.662878	-0.3152992	0.3719387	-0.09787235	-0.479791	-0.6899604	-0.9238427	-0.1305571	-0.5779987	-0.4074934	-1.051645	-0.9162407						
TianlinLiu	20180411	c9a1d6f7e_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150938622	200			4	200	1	699	100	175	175	-2.243225	0	-3.239613	0	-1.677743	0	0.3772326	0	-0.8749751	0	-1.823244	0	0.9162206	0	-2.424661	0	-2.665224	0	-0.9850065	0	-2.243225	0	0.9162206	0	2.021144	0.4917046	0.3304688	-0.1300505	-0.6894382	-0.5408115	-2.953827	-1.258613	-0.8453372	-0.4613464	0.6161739	0.1806011	-0.6998479	-0.28713	-0.7575327	-0.1230132	-1.20815	-0.9366374	-0.9741646	-1.225485						
TianlinLiu	20180411	c9a1d6f7e_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150938655	233			5	234	1	696	98	178	178	-2.19202	0	-3.080554	0	-1.864871	0	0.5005044	0	-0.9659454	0	-1.909345	0	1.010143	0	-2.013968	0	-2.162188	0	-1.330193	0	-2.19202	0	1.010143	0	1.967081	0.2392054	0.5497936	-0.4505108	-0.7446467	-0.6063966	-2.976459	-1.155609	-0.7782276	-0.2120247	0.3383351	0.1607808	-0.654175	-0.08039799	-0.703756	-0.007849677	-0.9200264	-0.6658274	-0.3870822	-1.214089						
TianlinLiu	20180411	c9a1d6f7e_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150938688	266			6	267	1	697	98	178	178	-1.795003	0	-3.203766	0	-1.538697	0	0.8007903	0	-0.9509928	0	-2.223827	0	0.5085656	0	-2.586353	0	-2.302527	0	-1.997214	0	-1.795003	0	0.8007903	0	1.898193	0.2561031	0.445905	-0.3838379	-0.9713426	-0.5766405	-3.4145	-1.43505	-0.6307011	-0.1742391	0.08277796	0.2787007	-0.7129573	0.02402539	-0.8552531	0.06795619	-0.6464511	-0.239428	0.2764611	-1.118809						
TianlinLiu	20180411	c9a1d6f7e_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150938722	300			7	300	1	695	97	182	182	-1.138387	0	-3.429927	0	-1.144328	0	0.8459309	0	-1.091449	0	-2.039322	0	0.2998346	0	-2.76578	0	-2.795713	0	-2.592778	0	-1.138387	0	0.8459309	0	2.152078	0.3672929	0.6676559	-0.4363948	-0.5197398	-0.4413216	-3.118159	-0.7469099	-0.3318194	-0.186969	0.004275123	-0.3083969	-1.520087	0.1264854	-1.107322	-0.3686472	0.2106921	0.3072509	-0.09993973	-1.214727						
TianlinLiu	20180411	c9a1d6f7e_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150938755	333			8	334	1	697	96	180	180	-1.027263	0	-4.24717	0	-1.496629	0	1.261024	0	-1.980139	0	-2.460424	0	-0.9252424	0	-4.199991	0	-4.181409	0	-3.740588	0	-1.027263	0	1.261024	0	2.021053	0.5690645	0.5031149	-0.07791165	-0.6031727	-0.2398841	-3.577167	-0.6600395	-0.3410406	-0.9549209	-0.4528281	-0.82559	-2.652724	0.8339553	-1.336663	-1.240009	1.196354	0.7257833	-0.9763643	-1.19829						
TianlinLiu	20180411	c9a1d6f7e_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150938789	367			9	367	1	698	95	180	180	-0.5196765	0	-4.091952	0	-0.7393695	0	0.6117054	0	-2.414087	0	-2.71014	0	-1.135575	0	-4.311956	0	-4.376022	0	-4.565561	0	-0.5196765	0	0.6117054	0	1.922905	0.587867	0.4224423	-0.1912326	-0.5072882	-0.2059067	-3.132508	-0.7470022	-0.2722204	-1.379583	-0.7364621	-1.182438	-2.977671	0.8609109	-1.39876	-1.67732	2.284845	1.699515	-1.287993	-0.8033557						
TianlinLiu	20180411	c9a1d6f7e_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150938822	400			10	400	1	698	93	183	183	0.02847003	0	-3.997696	0	-0.5107695	0	0.4676318	0	-3.128811	0	-2.786835	0	-1.709978	0	-4.921724	0	-4.607141	0	-5.414227	0	0.02847003	0	0.4676318	0	1.819869	0.5474306	0.350542	-0.4249546	-0.1410921	0.1064693	-3.106663	-0.6326435	-0.08475567	-1.437742	-0.6089987	-1.416976	-3.977809	0.7895467	-1.600411	-1.761255	2.860235	2.115009	-1.3002	-1.181659						
