#Study : TianlinLiu
#Date : 20180411 09:04:00
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:09:44.060 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	c9f0e3623__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150944126	66			0	67	1	540	-3	303	303	-4.507466	0	-1.24124	0	1.113043	0	-1.356686	0	-1.761693	0	-1.195141	0	-2.357042	0	-0.7753969	0	-1.683593	0	1.051954	0	-4.507466	0	-1.195141	0	-0.4803223	-0.147568	-0.2899366	-0.1528062	-2.005659	-1.277505	-2.05952	-0.8627931	-1.885646	-2.270375	-2.106835	-1.517386	-0.5896573	-0.9168397	-1.667835	-2.653928	0.337395	0.008070224	-2.870762	-0.3037861						
TianlinLiu	20180411	c9f0e3623__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150944160	100			1	100	1	538	-3	304	304	-4.350328	0	-1.082471	0	0.7093754	0	-1.417838	0	-1.569335	0	-0.8862451	0	-2.12527	0	-0.396343	0	-1.373418	0	1.468336	0	-4.350328	0	-0.8862451	0	-0.5356112	-0.2308089	-0.2937325	-0.3653601	-1.843125	-1.231207	-1.978167	-0.8075345	-1.805454	-2.149172	-2.136829	-1.435637	-0.4589684	-0.9240939	-1.551609	-2.519408	0.1207115	-0.2812875	-2.753821	-0.3213148						
TianlinLiu	20180411	c9f0e3623__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150944193	133			2	133	1	537	-3	304	304	-4.244178	0	-1.151044	0	0.5877214	0	-1.432805	0	-1.507352	0	-0.8814695	0	-2.090348	0	-0.3983765	0	-1.394952	0	1.560496	0	-4.244178	0	-0.8814695	0	-0.5255311	-0.2245985	-0.3103961	-0.4214652	-1.841406	-1.231342	-2.064076	-0.8089408	-1.733607	-2.09426	-2.113187	-1.450937	-0.4767752	-0.8352373	-1.525658	-2.504289	0.1338907	-0.277297	-2.707858	-0.4297485						
TianlinLiu	20180411	c9f0e3623__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150944226	166			3	167	1	536	-4	307	307	-4.205759	0	-1.099214	0	0.506909	0	-1.352561	0	-1.624217	0	-0.7425273	0	-2.191897	0	-0.3792623	0	-1.436325	0	1.628196	0	-4.205759	0	-0.7425273	0	-0.6298356	-0.2830797	-0.3128916	-0.2387429	-1.799544	-1.132452	-2.098651	-0.6683472	-1.741277	-2.182092	-2.208286	-1.524099	-0.5500847	-0.8230633	-1.578171	-2.569895	0.1606398	-0.4036572	-2.847861	-0.6141024						
TianlinLiu	20180411	c9f0e3623__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150944260	200			4	200	1	535	-4	307	307	-4.237273	0	-0.9877153	0	0.4923813	0	-1.300279	0	-1.638548	0	-0.6830019	0	-2.143436	0	-0.2702474	0	-1.357209	0	1.594829	0	-4.237273	0	-0.6830019	0	-0.6472269	-0.2835038	-0.279579	-0.2423689	-1.76341	-1.085925	-2.074569	-0.6552641	-1.694799	-2.162164	-2.215135	-1.547856	-0.5649049	-0.7450539	-1.5866	-2.546976	0.1608112	-0.4139936	-2.866279	-0.4537979						
TianlinLiu	20180411	c9f0e3623__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150944293	233			5	234	1	537	-2	303	303	-4.138106	0	-1.139256	0	0.3374702	0	-1.341096	0	-1.484489	0	-0.684548	0	-2.024802	0	-0.272301	0	-1.357697	0	1.758933	0	-4.138106	0	-0.684548	0	-0.5720153	-0.2811086	-0.2502378	-0.4228974	-1.769651	-1.196674	-1.992668	-0.7142126	-1.724893	-2.059288	-2.119569	-1.530581	-0.5352677	-0.7695971	-1.505133	-2.569219	0.08962541	-0.4228399	-2.65356	-0.5220257						
TianlinLiu	20180411	c9f0e3623__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150944326	266			6	267	1	536	-2	304	304	-4.176367	0	-1.137101	0	0.3690135	0	-1.308011	0	-1.531746	0	-0.7319908	0	-2.095442	0	-0.3221231	0	-1.383794	0	1.754873	0	-4.176367	0	-0.7319908	0	-0.5998027	-0.2910846	-0.2870732	-0.360682	-1.809032	-1.191126	-2.088509	-0.712636	-1.731092	-2.082578	-2.136834	-1.531644	-0.5601189	-0.7630817	-1.530558	-2.543278	0.07200798	-0.456153	-2.704684	-0.5965462						
TianlinLiu	20180411	c9f0e3623__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150944360	300			7	300	1	537	-1	303	303	-4.348993	0	-1.129047	0	0.1967459	0	-1.563254	0	-1.520995	0	-0.6142941	0	-2.019251	0	-0.2489524	0	-1.338019	0	1.867846	0	-4.348993	0	-0.6142941	0	-0.6351494	-0.3407057	-0.2766762	-0.5165548	-1.78462	-1.22714	-1.89824	-0.7089926	-1.81955	-2.101373	-2.090575	-1.486669	-0.43968	-0.8899636	-1.468542	-2.534974	-0.0270205	-0.5363939	-2.742155	-0.556587						
TianlinLiu	20180411	c9f0e3623__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150944393	333			8	334	1	537	-1	303	303	-4.397517	0	-1.114287	0	0.1562102	0	-1.475511	0	-1.579428	0	-0.5430163	0	-1.973662	0	-0.2173336	0	-1.330361	0	1.833261	0	-4.397517	0	-0.5430163	0	-0.6255974	-0.354412	-0.2240161	-0.5231677	-1.771381	-1.228518	-1.840135	-0.6657836	-1.830218	-2.108255	-2.015514	-1.491427	-0.4128033	-0.8456784	-1.422874	-2.566305	0.02116317	-0.5388585	-2.66832	-0.5004026						
TianlinLiu	20180411	c9f0e3623__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150944427	367			9	367	1	537	0	301	301	-4.435845	0	-1.142861	0	0.1482237	0	-1.487442	0	-1.528897	0	-0.7400911	0	-1.94566	0	-0.2139708	0	-1.306417	0	1.872927	0	-4.435845	0	-0.7400911	0	-0.6679574	-0.3989292	-0.3019032	-0.5771006	-1.90432	-1.297239	-1.974217	-0.7750142	-1.831745	-2.030048	-1.958156	-1.415031	-0.3634875	-0.8644397	-1.465192	-2.437238	-0.07490644	-0.5578693	-2.591478	-0.549755						
