#Study : TianlinLiu
#Date : 20180411 09:04:08
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:08:01.463 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150801594	131			0	132	1	753	209	92	92	0.5469395	0	-0.7579485	0	-0.5331957	0	-0.2596093	0	-0.08271107	0	-0.2249406	0	-0.4779202	0	0.09589766	0	-0.78907	0	0.581837	0	0.5469395	0	-0.08271107	0	-0.1061076	-0.5409923	-1.026819	-0.976704	-0.3290806	-0.6152351	-1.497409	-0.680113	0.4310334	0.7124139	-0.6220377	-0.06083779	-0.8803607	-0.9646003	-0.4158522	0.435358	-1.40625	-0.8350225	-0.8857662	0.7911081						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150801660	197			1	198	0																																																						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150801726	263			2	264	0																																																						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150801792	329			3	330	1	746	213	99	99	-0.06764876	0	0.09714434	0	-0.706451	0	-0.4572531	0	0.016999	0	-0.01735125	0	-0.5997952	0	0.4317752	0	-0.1407788	0	0.4984716	0	-0.06764876	0	0.09714434	0	-0.4277472	-0.8585197	-1.582776	-1.340692	-1.341607	-1.569173	-2.587768	-1.225885	-0.04537988	0.881463	-1.19267	0.03694401	-1.147733	-1.593903	-0.01729173	0.4473072	-2.879277	-2.277882	-0.4425181	-0.2188266						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150801858	395			4	396	1	755	213	93	93	0.9469329	0	-0.7356845	0	0.06495731	0	0.1128638	0	-0.1529816	0	-0.1426892	0	-0.4958374	0	-1.036049	0	-1.324098	0	-0.525775	0	0.9469329	0	0.1128638	0	-0.3122491	-0.577413	-0.8008506	-0.8405987	-0.0873565	-1.050166	-0.7990082	0.1011079	0.6181625	0.2091986	-0.3056585	0.119034	-0.9230723	-0.6128863	-0.3505122	0.1987609	-0.9618386	-0.8186933	-0.1369451	0.4166349						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150801924	461			5	462	1	748	210	94	94	0.7473192	0	-0.7712989	0	-0.924449	0	-0.5815465	0	-0.07721474	0	-0.2452066	0	-0.4073415	0	0.2027903	0	-0.6353596	0	0.3328689	0	0.7473192	0	-0.07721474	0	-0.05780102	-0.4886185	-0.7168035	-0.6333924	-0.1232759	-0.3458185	-1.186361	-0.4437751	0.3296276	0.6601273	-0.5323711	-0.1631609	-0.8603162	-0.8178139	-0.3862992	0.1237235	-1.064633	-0.6589077	-1.233072	0.8423904						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150801990	527			6	527	0																																																						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150802056	593			7	593	0																																																						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150802122	659			8	659	1	689	191	121	121	-0.4127959	0	-1.045399	0	1.651875	0	-0.5074608	0	-1.040483	0	-0.3742991	0	-1.054808	0	-0.4698157	0	-1.675044	0	-0.7146838	0	-0.4127959	0	-0.3742991	0	-0.1371513	0.3849694	-1.468904	-0.7065045	-1.639538	-1.505115	-2.392781	-1.115891	-0.1724867	-0.2193588	-1.349689	-0.003941693	-1.101942	-1.688448	-0.1194066	0.05155245	-1.415608	-0.8660285	-1.250712	1.559598						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150802188	725			9	725	1	686	191	120	120	0.05229836	0	-0.5594599	0	1.102794	0	-0.3302428	0	-0.5450314	0	-0.3814968	0	-0.5102409	0	0.05284599	0	-0.7485697	0	-0.09750973	0	0.05229836	0	-0.3302428	0	-0.6456497	-0.3412739	-1.877394	-1.615318	-1.743188	-2.111546	-3.056075	-1.548747	-0.06601602	0.2685315	-1.685132	0.3314766	-1.322278	-2.005191	0.5148628	0.7049633	-3.036907	-1.84883	-0.6191453	1.283987						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150802254	791			10	791	1	689	195	115	115	0.5539632	0	-1.34496	0	0.5390469	0	-1.078825	0	-0.6382332	0	-0.3193935	0	-0.4412426	0	-0.3851831	0	-1.426451	0	-0.4647439	0	0.5539632	0	-0.3193935	0	-0.8831517	-0.6483886	-2.170238	-2.660092	-1.450419	-2.117344	-3.634544	-1.201966	0.4359916	0.3399362	-1.264518	0.4322686	-2.312529	-1.809939	0.6366029	0.7175753	-3.311332	-1.956555	-0.7167718	1.386473						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150802320	857			11	857	1	681	194	117	117	0.2274456	0	-0.9566986	0	0.8562714	0	-0.8246591	0	-0.7505817	0	-0.3610851	0	-0.4316676	0	-0.2048532	0	-1.247136	0	-0.5526203	0	0.2274456	0	-0.3610851	0	-0.8434623	-0.5072683	-2.040613	-1.96528	-1.487807	-1.979553	-3.241715	-1.323208	0.1844511	0.1250679	-1.31975	0.4202904	-1.746947	-1.899717	0.506067	0.7471535	-2.832996	-1.597504	-0.5559613	0.9852285						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150802386	923			12	923	0																																																						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150802452	989			13	989	0																																																						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150802517	1054			14	1055	1	711	197	105	105	-0.4353628	0	-0.1724891	0	0.3611619	0	-0.7879748	0	0.1614851	0	-0.2617116	0	-0.3202432	0	0.5206888	0	-0.07060429	0	0.05887558	0	-0.4353628	0	0.1614851	0	-0.3477563	-0.7203124	-1.144055	-1.139573	-0.6722776	-1.155324	-2.027351	-0.9867443	0.572089	0.4731331	-1.124544	0.1348624	-1.60501	-1.692922	0.1982875	0.4397744	-1.933547	-1.577717	0.4032717	-0.5161139						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150802583	1120			15	1121	1	695	189	116	116	0.09618725	0	-1.036227	0	0.9333877	0	-0.8166243	0	-0.8347325	0	-0.3860849	0	-0.520543	0	-0.3074025	0	-1.36973	0	-0.6017288	0	0.09618725	0	-0.3860849	0	-0.9609998	-0.5035189	-2.165417	-2.053655	-1.685293	-2.060071	-3.301441	-1.303958	0.1261459	0.171054	-1.3649	0.3828029	-1.981104	-1.799474	0.440432	0.5910279	-2.814034	-1.622345	-0.6330075	0.9173661						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150802649	1186			16	1187	1	699	190	125	125	-1.055564	0	-0.5760873	0	1.086761	0	-0.2516641	0	-0.649085	0	-0.2929704	0	-0.8447387	0	0.007876051	0	-0.8174583	0	-0.3356161	0	-1.055564	0	-0.2516641	0	-0.6060469	-0.3866435	-1.007691	-0.7497666	-1.537045	-1.644582	-1.521918	-1.047973	-0.268625	-0.2091371	-1.064844	-0.02374818	-0.5161746	-1.626848	-0.01071167	0.1089695	-1.527342	-0.7313958	-0.7637591	1.523219						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150802715	1252			17	1253	0																																																						
TianlinLiu	20180411	c455e928d_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150802781	1318			18	1319	1	735	195	91	91	1.115697	0	-0.8642004	0	-1.459225	0	-0.1773355	0	0.00220589	0	-0.266838	0	-0.4528076	0	-0.5821735	0	-0.8888719	0	-0.6204701	0	1.115697	0	0.00220589	0	-0.1102527	-0.5399729	-0.5643309	-0.6525743	0.1387278	-0.4960361	-0.784907	-0.02094078	0.3108359	0.3398632	-0.1378753	-0.07200607	-1.585513	-0.5639948	-0.4440472	-0.1382572	-0.8344101	-0.6641948	-1.141997	1.009058						
