#Study : TianlinLiu
#Date : 20180411 09:04:05
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:08:44.370 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844450	80			0	80	1	191	109	71	71	0.3119002	0	-0.3013545	0	-1.375537	0	-0.815555	0	0.5737008	0	-0.2697319	0	-1.480316	0	-0.6324368	0	-0.1923497	0	0.3525492	0	0.3119002	0	0.5737008	0	-1.329752	-0.7947611	-0.5896593	-0.7367481	-0.568905	-0.8033939	-1.379029	-0.03047682	0.3455084	0.3233607	-0.5809244	-0.4639191	-0.4951978	-0.6039752	0.1447495	0.2099746	-1.39381	-1.401861	-0.8126271	0.5919953						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844490	120			1	120	1	191	108	72	72	-0.004701348	0	-0.249275	0	-1.164151	0	-0.2934826	0	0.7388982	0	-0.3688411	0	-1.505065	0	-0.9148849	0	-0.3990403	0	0.08676185	0	-0.004701348	0	0.7388982	0	-1.229592	-0.6927807	-0.6796381	-0.5250215	-0.6824155	-1.01726	-1.478584	-0.04645164	0.2390572	0.2489023	-0.5629295	-0.2525632	-0.699785	-0.5950277	0.03909632	0.1626821	-1.574813	-1.411751	-0.7286078	0.5150913						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844530	160			2	160	1	193	110	68	68	0.4282096	0	-0.7210172	0	-1.828095	0	-1.506144	0	0.1675594	0	-0.2238837	0	-1.267363	0	-0.3915367	0	-0.07911673	0	0.5031342	0	0.4282096	0	0.1675594	0	-1.068922	-0.602549	-0.4838184	-1.289187	-0.3097877	-0.3694125	-1.317476	-0.01514871	0.4512578	0.4069703	-0.5476021	-0.5922372	-0.3375001	-0.7565451	0.2505547	0.3551904	-1.107122	-1.207724	-0.9373106	0.6800539						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844570	200			3	200	1	193	111	73	73	0.2368925	0	-0.2208204	0	-1.426647	0	-0.9551994	0	0.4819694	0	-0.147517	0	-1.356247	0	-0.4999809	0	-0.06282061	0	0.4758578	0	0.2368925	0	0.4819694	0	-1.340891	-0.7825322	-0.8008004	-1.06084	-0.716419	-0.9478239	-1.605983	-0.09561754	0.3402778	0.3703202	-0.6079377	-0.2191676	-0.5582609	-0.9766434	0.2449661	0.3088229	-1.707556	-1.616098	-1.003769	0.7146605						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844610	240			4	240	1	193	112	70	70	0.2044763	0	-0.1756925	0	-1.021816	0	-1.021117	0	0.138569	0	-0.2161841	0	-1.195724	0	-0.4044039	0	0.1895888	0	0.3038875	0	0.2044763	0	0.138569	0	-0.9886869	-0.575965	-0.5812466	-1.020194	-0.7843323	-0.7393038	-1.264169	-0.1271	0.2297556	0.4899062	-0.7966549	-0.5408404	-0.3784827	-0.7347093	0.2396067	0.3525317	-1.355021	-1.229567	-0.8237864	0.9760305						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844650	280			5	280	1	194	112	70	70	0.2676418	0	-0.4238269	0	-1.273063	0	-1.32252	0	0.03377118	0	-0.6750394	0	-1.609317	0	-0.7194608	0	0.03789584	0	0.3286138	0	0.2676418	0	0.03377118	0	-1.037062	-0.5013205	-0.6124144	-0.7791103	-0.8723595	-0.579743	-1.783088	-0.1849365	0.2378894	0.5341762	-0.9642035	-0.7724202	-0.4535247	-0.6904228	0.1402634	0.3172132	-1.108691	-1.029423	-0.7325083	0.2159235						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844690	320			6	320	1	193	111	71	71	0.1803863	0	-0.6184744	0	-1.099259	0	-1.321319	0	0.2966586	0	-0.7608494	0	-1.5771	0	-1.195895	0	-0.2964792	0	0.3512844	0	0.1803863	0	0.2966586	0	-1.151725	-0.5509393	-0.8401153	-0.6380385	-0.9555875	-0.7543508	-1.946727	-0.2445807	0.1814069	0.4672911	-0.818036	-0.6054903	-0.3071628	-0.84477	0.1980166	0.358975	-1.360199	-1.260465	-0.8089402	-0.4799505						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844730	360			7	360	1	193	111	71	71	0.07657498	0	-0.7831639	0	-0.8062621	0	-1.222734	0	0.1895538	0	-0.9260268	0	-1.898556	0	-1.499644	0	-0.4876568	0	0.3730173	0	0.07657498	0	0.1895538	0	-1.069996	-0.4549821	-0.8258215	-0.5965802	-1.075657	-0.7548139	-2.204072	-0.3125642	0.1886534	0.3949367	-1.029804	-0.778847	-0.3424206	-0.8726998	0.03953031	0.1358331	-1.184563	-1.09755	-0.8996798	-0.6865343						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844770	400			8	400	1	192	108	73	73	-0.006097705	0	-0.7982498	0	-0.8901646	0	-0.5851836	0	0.484928	0	-0.8215851	0	-1.667481	0	-1.517166	0	-0.6280113	0	0.4573866	0	-0.006097705	0	0.484928	0	-1.053542	-0.4128298	-0.8725892	-0.3919919	-1.00398	-1.010974	-2.283204	-0.4072148	0.2110113	0.3721144	-0.8878312	-0.662693	-0.6593367	-0.5114416	-0.1277891	0.1140812	-1.423992	-1.3826	-0.7426775	-0.7443009						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844810	440			9	440	1	191	107	75	75	0.4827491	0	-0.8213232	0	-1.064793	0	-0.8081936	0	0.4898407	0	-0.6481252	0	-1.734396	0	-1.474962	0	-0.6638935	0	0.6887513	0	0.4827491	0	0.4898407	0	-1.327981	-0.6199292	-0.9386542	-0.6305611	-0.7976831	-1.022189	-2.093884	-0.1996948	0.389715	0.2106076	-0.6552578	-0.4652087	-0.5879003	-0.5531632	-0.02349349	0.04715449	-1.50598	-1.536943	-1.048037	-0.6682659						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844850	480			10	480	1	193	109	69	69	0.107829	0	-0.806427	0	-0.4513859	0	-0.2692786	0	-0.03998397	0	-0.6268632	0	-1.864579	0	-1.49	0	-0.7564009	0	0.6000347	0	0.107829	0	-0.03998397	0	-0.7434928	-0.09390968	-0.6075853	0.08869042	-1.030516	-0.6055788	-2.355414	0.0791698	0.03391639	0.2129258	-0.7609295	-0.929842	-0.5792358	-0.370591	-0.1436792	-0.1229484	-0.8267251	-1.005893	-0.7648321	-0.8378493						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844890	520			11	520	1	192	108	69	69	0.4031715	0	-0.9247398	0	-0.3740933	0	-0.2873109	0	-0.2813803	0	-0.460768	0	-1.936864	0	-1.512053	0	-0.9077907	0	0.5854806	0	0.4031715	0	-0.2813803	0	-0.7619532	-0.05964581	-0.5758727	0.1255341	-0.9550702	-0.5460479	-2.336426	0.1756307	0.1337683	0.07758603	-0.8018559	-1.012241	-0.7053483	-0.279945	-0.2959362	-0.2836751	-0.6072822	-0.9213606	-0.9161353	-0.9322968						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844930	560			12	560	1	191	107	70	70	0.1911236	0	-0.8751862	0	-0.6833697	0	-0.247041	0	0.2405539	0	-0.5413975	0	-1.899586	0	-1.597946	0	-0.9225517	0	0.6977957	0	0.1911236	0	0.2405539	0	-0.8196978	-0.1327317	-0.621576	0.2158282	-0.8593047	-0.7268338	-2.219603	0.1743024	0.1974752	0.2559126	-0.6936379	-0.8040948	-0.4908145	-0.2967444	-0.1116815	-0.04931964	-0.8930224	-1.172324	-0.7752718	-0.8580654						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150844970	600			13	600	1	191	106	70	70	0.4075909	0	-0.8924955	0	-0.7463648	0	-0.3371779	0	-0.02554273	0	-0.5466694	0	-2.072942	0	-1.676293	0	-0.9609229	0	0.7447842	0	0.4075909	0	-0.02554273	0	-0.8309244	-0.1171426	-0.6163244	0.2103833	-0.8851317	-0.7410631	-2.249032	0.2934371	0.1887179	0.2122523	-0.7775681	-0.8312922	-0.529517	-0.261871	-0.211418	-0.1417651	-0.760406	-1.082987	-0.9037935	-1.049893						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150845010	640			14	640	1	189	105	72	72	0.8523854	0	-1.14518	0	-1.081686	0	-1.108969	0	0.181414	0	-0.6594536	0	-1.945763	0	-1.671458	0	-1.02815	0	0.5347943	0	0.8523854	0	0.181414	0	-1.015655	-0.4272066	-0.6651413	-0.2954627	-0.5466853	-0.8511504	-1.971248	0.2573886	0.378194	0.2752895	-0.859769	-0.5494254	-0.0758592	-0.6186666	-0.01585353	0.09932286	-0.9403269	-1.152431	-1.011337	-0.6265052						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150845050	680			15	680	1	189	104	73	73	0.3783939	0	-0.9710705	0	-0.9985005	0	-1.060188	0	0.3967533	0	-0.7172027	0	-2.165871	0	-1.815428	0	-1.050353	0	0.513503	0	0.3783939	0	0.3967533	0	-1.112987	-0.4434879	-0.5342417	-0.1554095	-0.6483579	-0.7914472	-1.866277	0.165958	0.1720547	0.2282683	-1.043649	-0.5370204	-0.2697334	-0.5704955	-0.1141963	-0.02294119	-0.9104588	-0.9863203	-0.9110085	-0.7158273						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150845090	720			16	720	1	189	104	71	71	0.7186755	0	-1.159387	0	-0.5822635	0	-0.9408514	0	-0.3125946	0	-0.8774102	0	-2.504695	0	-2.071063	0	-1.324111	0	0.2449613	0	0.7186755	0	-0.3125946	0	-0.9877933	-0.2930904	-0.5743491	-0.1081053	-0.8360538	-0.6789756	-2.089208	0.06925618	0.2718711	0.2860657	-0.916796	-0.4562608	-0.7105207	-0.3887284	-0.1799057	-0.1281805	-0.6135865	-0.6579667	-0.663496	-0.9117945						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150845130	760			17	760	1	189	103	72	72	0.7464836	0	-1.030511	0	-1.151554	0	-1.124445	0	0.07137409	0	-0.7545959	0	-2.354633	0	-1.877166	0	-1.07573	0	0.3880841	0	0.7464836	0	0.07137409	0	-1.208762	-0.5470519	-0.4714008	-0.1901107	-0.558581	-0.6587452	-1.870701	0.2440886	0.3105293	0.2470531	-0.9013523	-0.5128655	-0.4515478	-0.3724395	-0.02867582	-0.01823489	-0.7316841	-0.8614059	-0.7115294	-0.8873165						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150845170	800			18	800	1	188	102	73	73	0.3042093	0	-1.258588	0	-1.007461	0	-0.9440683	0	0.5811984	0	-0.9398625	0	-2.169001	0	-2.023127	0	-1.241916	0	0.4626469	0	0.3042093	0	0.5811984	0	-1.050513	-0.4666918	-0.5319607	-0.1825593	-0.6605684	-0.6973618	-2.01077	0.09830688	0.2639028	0.1982022	-0.9310296	-0.7556061	-0.2326653	-0.4020713	-0.1815269	-0.05879287	-0.8094903	-1.136349	-1.001243	-0.6274797						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150845210	840			19	840	1	189	102	71	71	0.305162	0	-1.190692	0	-0.9980029	0	-0.8396787	0	0.2157407	0	-1.103108	0	-2.29355	0	-1.829674	0	-1.065637	0	0.7382601	0	0.305162	0	0.2157407	0	-1.058197	-0.4108286	-0.583662	-0.0783262	-0.7805572	-0.5812631	-2.320294	0.1061708	0.2449164	0.0876424	-0.9890623	-1.028917	-0.490734	-0.3584157	-0.3148578	-0.2849827	-0.6818675	-1.04426	-0.923196	-1.019321						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150845250	880			20	880	1	189	102	69	69	0.4359457	0	-1.177021	0	-0.8960059	0	-0.7709289	0	0.09273087	0	-0.9612663	0	-2.202738	0	-1.733008	0	-0.9928185	0	0.8931313	0	0.4359457	0	0.09273087	0	-1.102565	-0.4671697	-0.6491711	-0.03163008	-0.8788368	-0.6588594	-2.412297	0.1535555	0.1327211	0.04295804	-0.9817083	-0.9676706	-0.4942063	-0.170965	-0.326846	-0.347091	-0.5956412	-0.9137943	-0.8000371	-1.03854						
TianlinLiu	20180411	c76339de6_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_150845290	920			21	920	1	189	102	70	70	0.3265948	0	-1.234612	0	-1.025735	0	-0.7347455	0	0.2270186	0	-1.024223	0	-2.276442	0	-1.912479	0	-1.154382	0	0.867885	0	0.3265948	0	0.2270186	0	-1.049267	-0.4239004	-0.6380863	0.02664913	-0.8200687	-0.7054855	-2.365736	0.143242	0.1318742	0.09393578	-0.9013194	-0.9436739	-0.5280332	-0.274257	-0.2534147	-0.2651157	-0.7337618	-1.115848	-0.9113532	-1.147171						
