#Study : TianlinLiu
#Date : 20180411 09:04:06
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:08:37.178 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837244	66			0	67	1	430	17	219	219	-0.4410182	0	-2.346518	0	-0.3785895	0	0.3220001	0	-0.6790601	0	0.5059745	0	-2.810814	0	-3.286779	0	-2.978687	0	-0.8358775	0	-0.4410182	0	0.5059745	0	-0.01152751	0.2238825	-0.4308773	0.1965209	-0.5004518	-0.948473	-2.204041	0.6893079	-0.165317	-0.5738598	-1.051455	-1.039889	-1.794544	-0.2096581	-1.093316	-1.209137	0.06080988	-0.6333334	-2.143148	0.7550212						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837277	99			1	100	1	429	13	223	223	-0.1501696	0	-1.975395	0	-0.3512301	0	0.01713496	0	0.1841054	0	0.3648199	0	-1.971768	0	-2.521536	0	-2.221117	0	-0.1590055	0	-0.1501696	0	0.3648199	0	-0.2258313	0.01455613	-0.4941514	0.1362765	-0.3850298	-0.9822199	-1.965786	0.3822048	-0.01101017	-0.2971003	-1.03671	-0.5795676	-0.7501652	-0.4098646	-1.035814	-0.658567	-0.5381024	-0.7900112	-1.966647	0.785771						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837311	133			2	133	1	435	11	219	219	-0.2375057	0	-2.407323	0	-0.3120947	0	0.2025548	0	-0.570063	0	0.5725075	0	-2.675615	0	-3.106719	0	-2.843225	0	-0.6226903	0	-0.2375057	0	0.5725075	0	-0.03450201	0.163356	-0.4434305	0.09049384	-0.4386736	-0.9504291	-2.128037	0.6252414	-0.1780593	-0.5589606	-1.100719	-1.089237	-1.679995	-0.3074327	-1.196023	-1.203853	-0.03129572	-0.6902616	-2.210271	0.7748778						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837344	166			3	167	1	435	7	222	222	-0.3290386	0	-2.284098	0	-0.3135825	0	0.1168635	0	-0.1512674	0	0.4810627	0	-2.206986	0	-2.704321	0	-2.52546	0	-0.2778433	0	-0.3290386	0	0.4810627	0	-0.1023355	0.05989185	-0.4638272	0.131479	-0.3889979	-0.9553331	-2.043675	0.4727906	-0.1761727	-0.52835	-1.070746	-0.8866099	-1.119335	-0.3944712	-1.220624	-0.9895395	-0.2902139	-0.7455144	-2.214299	0.7360045						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837378	200			4	200	1	441	4	218	218	-0.268956	0	-2.415755	0	-0.1083631	0	0.2063534	0	-0.373946	0	0.5210835	0	-2.445927	0	-2.750483	0	-2.704126	0	-0.3087214	0	-0.268956	0	0.5210835	0	0.1114713	0.262423	-0.3659046	0.1883735	-0.517316	-0.9082568	-2.29545	0.6218427	-0.2780063	-0.6692998	-1.166731	-1.222661	-1.423923	-0.2994472	-1.371254	-1.331905	-0.03598869	-0.7044362	-2.415938	0.8763918						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837411	233			5	233	1	446	1	215	215	-0.5484631	0	-2.333866	0	-0.01754084	0	0.3782166	0	-0.5852624	0	0.4993323	0	-2.097421	0	-2.312941	0	-2.498153	0	0.2743568	0	-0.5484631	0	0.4993323	0	0.08902365	0.207453	-0.3821054	0.05619766	-0.5257339	-0.9593752	-2.555363	0.6523643	-0.3623953	-0.7418965	-1.221553	-1.257945	-1.332283	-0.3131984	-1.43105	-1.366516	-0.1897435	-0.8782667	-2.632428	0.8990293						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837444	266			6	267	1	447	-2	218	218	-0.5533977	0	-2.42348	0	0.2173828	0	0.4283524	0	-0.2621614	0	0.5146558	0	-2.038486	0	-2.409739	0	-2.503541	0	0.3601469	0	-0.5533977	0	0.5146558	0	0.5981499	0.7224236	-0.3995332	0.2132011	-0.6518897	-0.9379541	-2.698802	0.496424	-0.5023891	-0.8112234	-1.108155	-1.158729	-1.396908	-0.4084709	-1.535977	-1.27443	-0.3608996	-1.010621	-2.440667	0.7820116						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837477	299			7	300	1	448	-5	219	219	-0.8014078	0	-2.3483	0	0.0915262	0	0.5954797	0	-0.4220717	0	0.3468162	0	-1.72914	0	-2.175174	0	-2.358231	0	0.1832378	0	-0.8014078	0	0.5954797	0	1.055143	0.98386	-0.06339732	0.4643421	-0.791687	-0.9834525	-2.597745	0.5004076	-0.6905068	-0.8484675	-0.8804843	-1.036974	-1.571739	-0.3518648	-1.570874	-1.340603	-0.3802811	-0.9834898	-2.340525	0.5947671						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837511	333			8	333	1	450	-8	219	219	-0.9388575	0	-2.366943	0	0.02772036	0	0.6033385	0	-0.6086926	0	0.1833236	0	-1.262629	0	-1.787068	0	-2.178737	0	0.4999708	0	-0.9388575	0	0.6033385	0	1.076428	0.7200015	0.1265751	0.3437417	-0.838672	-1.111027	-2.686967	0.3969852	-0.7988868	-0.9215416	-0.9696209	-1.092435	-1.547954	-0.07064438	-1.796613	-1.442381	-0.4003264	-1.042313	-2.493104	0.6718781						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837544	366			9	367	1	451	-12	219	219	-1.342243	0	-2.552202	0	-0.01890096	0	0.5651411	0	-0.7273419	0	0.01344877	0	-1.326319	0	-1.758853	0	-2.174099	0	0.6347014	0	-1.342243	0	0.5651411	0	1.127339	0.7798944	0.125082	0.3091099	-1.047335	-1.334166	-2.918601	0.4719853	-0.9861149	-0.9719405	-0.9533612	-1.005971	-1.627693	0.02329598	-1.813438	-1.588462	-0.4970613	-1.084448	-2.829651	0.7058616						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837578	400			10	400	1	453	-15	217	217	-2.462634	0	-2.680776	0	0.2999348	0	0.8044081	0	-1.475372	0	-0.3415186	0	-1.307839	0	-1.777932	0	-2.540791	0	0.8422385	0	-2.462634	0	0.8044081	0	1.164073	0.6000286	0.4828228	0.04103652	-1.168265	-1.441992	-3.327687	0.299679	-1.051694	-1.119129	-0.9138228	-0.9916103	-1.501017	0.4165868	-1.796824	-1.874268	-0.5527703	-1.243437	-3.448322	0.6371499						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837611	433			11	433	1	454	-18	216	216	-2.855244	0	-2.475554	0	0.263276	0	0.6618673	0	-1.462761	0	-0.4557683	0	-1.332433	0	-1.573589	0	-2.386509	0	0.8400052	0	-2.855244	0	0.6618673	0	0.9588493	0.4684885	0.4435921	-0.09364275	-1.192443	-1.482028	-3.182732	0.1967239	-1.04048	-1.204594	-1.116311	-1.003119	-1.54356	0.3121938	-1.702583	-1.930699	-0.7899883	-1.396144	-3.756532	0.9025196						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837644	466			12	467	1	451	-22	218	218	-2.650365	0	-2.107008	0	0.1791858	0	0.5493417	0	-1.148482	0	-0.3265156	0	-1.205106	0	-1.292291	0	-2.089687	0	0.7824211	0	-2.650365	0	0.5493417	0	0.7028938	0.3672301	0.1868948	0.01060453	-1.278717	-1.566485	-2.885336	0.07619932	-0.9709433	-1.154257	-1.253037	-0.9344632	-1.515921	0.3269308	-1.509837	-1.713567	-1.066128	-1.60219	-3.573881	1.130403						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837677	499			13	500	1	450	-25	220	220	-2.497852	0	-1.742082	0	-0.02961165	0	0.6194147	0	-1.032192	0	0.3371454	0	-1.14594	0	-1.136978	0	-2.038793	0	0.4870425	0	-2.497852	0	0.6194147	0	0.6376765	0.4664422	-0.1143945	0.1359735	-0.9701676	-1.426246	-2.605463	0.2640049	-0.7696552	-1.277237	-1.242593	-1.11056	-1.845805	0.4198329	-1.51426	-1.770885	-1.00803	-1.688227	-3.346435	1.218331						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837711	533			14	533	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837744	566			15	567	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837777	599			16	600	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837811	633			17	633	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837844	666			18	667	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837877	699			19	700	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837911	733			20	733	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837944	766			21	767	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150837978	800			22	800	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838011	833			23	833	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838044	866			24	867	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838077	899			25	900	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838111	933			26	933	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838144	966			27	967	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838177	999			28	1000	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838211	1033			29	1033	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838244	1066			30	1067	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838277	1099			31	1100	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838311	1133			32	1133	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838344	1166			33	1167	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838378	1200			34	1200	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838411	1233			35	1233	0																																																						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838444	1266			36	1267	1	416	-14	216	216	-2.223495	0	-2.267177	0	0.8500507	0	-0.7596917	0	-1.063248	0	-0.0833168	0	-1.19179	0	-1.195955	0	-1.85292	0	-0.07390462	0	-2.223495	0	-0.0833168	0	1.260945	1.065768	0.07091673	-0.964869	-0.9873306	-0.9744916	-2.508927	0.3853486	-0.9766244	-1.411302	-0.9147652	-1.042671	-1.087316	-0.6030636	-1.425195	-1.749977	0.3118586	-0.2945739	-2.710807	2.434102						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838477	1299			37	1300	1	415	-8	220	220	-1.540704	0	-1.983428	0	-0.4730247	0	-0.506914	0	-0.480706	0	-0.08327696	0	-0.8297378	0	-0.774458	0	-1.189081	0	1.01159	0	-1.540704	0	-0.08327696	0	0.4177792	0.2002563	-0.1145088	-1.206983	-0.9197868	-1.184057	-2.536509	0.1413718	-0.837811	-1.032428	-1.238597	-1.164083	-0.9514099	-0.259759	-1.613696	-1.394083	-0.415405	-0.7129157	-2.038011	2.123518						
TianlinLiu	20180411	c609494e2_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_150838511	1333			38	1333	1	419	-2	217	217	-2.076707	0	-1.529936	0	-1.535681	0	-1.361289	0	0.04304523	0	-0.3075508	0	-0.5327352	0	-0.4225089	0	-0.7945052	0	1.494027	0	-2.076707	0	0.04304523	0	0.0104801	-0.2235609	-0.3435273	-1.397916	-0.9083338	-1.178289	-2.555641	-0.5654745	-1.03715	-0.833811	-1.432954	-1.059066	-0.3610803	-0.5789827	-1.603876	-0.7503628	-1.334708	-1.50992	-2.398439	1.993806						
