#Study : TianlinLiu
#Date : 20180411 09:04:04
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:08:53.047 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	c85348358_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150853113	66			0	67	1	517	125	213	213	-2.059935	0	-3.784969	0	-1.267492	0	-2.06309	0	-0.1905527	0	-3.27232	0	-1.878267	0	-1.369771	0	-2.410042	0	2.631606	0	-2.059935	0	-0.1905527	0	0.4853835	0.6043302	-1.230615	0.07517619	-1.787052	-0.7386888	-5.396612	-1.956668	-1.167019	-0.6804436	-1.883047	-2.125043	-1.393078	-0.5409847	-0.9209188	-1.209713	-0.6851167	-1.088896	-2.737565	-2.03095						
TianlinLiu	20180411	c85348358_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150853146	99			1	100	1	517	125	213	213	-2.063831	0	-3.784343	0	-1.266056	0	-2.064519	0	-0.1825493	0	-3.270573	0	-1.884112	0	-1.375292	0	-2.408868	0	2.628764	0	-2.063831	0	-0.1825493	0	0.4805799	0.6021598	-1.230012	0.07042842	-1.794852	-0.7440887	-5.397129	-1.960525	-1.168691	-0.6737588	-1.890914	-2.126401	-1.395391	-0.5405616	-0.9256052	-1.20838	-0.6843711	-1.083922	-2.720014	-2.029434						
TianlinLiu	20180411	c85348358_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150853180	133			2	133	1	518	126	213	213	-2.023474	0	-3.754795	0	-1.261181	0	-2.035937	0	-0.1709716	0	-3.24155	0	-1.875038	0	-1.360764	0	-2.388781	0	2.614293	0	-2.023474	0	-0.1709716	0	0.4880878	0.6134316	-1.221884	0.06762044	-1.762891	-0.723177	-5.38017	-1.954977	-1.138777	-0.6613844	-1.887843	-2.123623	-1.405018	-0.5330539	-0.9322829	-1.201836	-0.6883549	-1.085626	-2.68849	-2.000525						
TianlinLiu	20180411	c85348358_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150853213	166			3	167	1	518	126	212	212	-2.009982	0	-3.727607	0	-1.179749	0	-1.953007	0	-0.134989	0	-3.22901	0	-1.87025	0	-1.366054	0	-2.386511	0	2.573671	0	-2.009982	0	-0.134989	0	0.5246382	0.6526183	-1.209564	0.07731867	-1.757256	-0.7239102	-5.404524	-1.961431	-1.117627	-0.6405832	-1.903051	-2.120204	-1.411939	-0.5168647	-0.9518909	-1.190606	-0.6826711	-1.065521	-2.629784	-1.962065						
TianlinLiu	20180411	c85348358_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150853246	199			4	200	1	518	126	213	213	-2.024947	0	-3.758398	0	-1.238175	0	-2.016271	0	-0.1567395	0	-3.262845	0	-1.873492	0	-1.370249	0	-2.388967	0	2.602933	0	-2.024947	0	-0.1567395	0	0.5015333	0.6255195	-1.214998	0.07937639	-1.774802	-0.7349422	-5.392335	-1.956552	-1.142013	-0.6535732	-1.884995	-2.111305	-1.406595	-0.5315681	-0.9260654	-1.190534	-0.685126	-1.08144	-2.675133	-1.993021						
TianlinLiu	20180411	c85348358_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150853280	233			5	233	1	517	125	213	213	-2.00045	0	-3.761444	0	-1.236562	0	-2.012938	0	-0.1666086	0	-3.25263	0	-1.888992	0	-1.367614	0	-2.389657	0	2.605791	0	-2.00045	0	-0.1666086	0	0.5091214	0.630147	-1.215489	0.09986768	-1.760071	-0.7299041	-5.385168	-1.939936	-1.148224	-0.6721927	-1.868004	-2.122469	-1.426007	-0.5425569	-0.9268284	-1.205722	-0.6831639	-1.100081	-2.719336	-1.969796						
TianlinLiu	20180411	c85348358_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150853313	266			6	267	1	518	126	212	212	-1.942378	0	-3.71519	0	-1.101549	0	-1.891215	0	-0.1121289	0	-3.246359	0	-1.842704	0	-1.404052	0	-2.369683	0	2.520968	0	-1.942378	0	-0.1121289	0	0.5422346	0.6492712	-1.198287	0.1016684	-1.801419	-0.7477161	-5.480157	-1.957705	-1.117627	-0.6210681	-1.882722	-2.10551	-1.41023	-0.4909393	-0.9009982	-1.178222	-0.6351295	-1.009974	-2.589751	-1.94945						
TianlinLiu	20180411	c85348358_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150853346	299			7	300	1	518	125	212	212	-2.040126	0	-3.875806	0	-1.158264	0	-1.905138	0	-0.1058094	0	-3.349399	0	-1.84414	0	-1.493552	0	-2.497338	0	2.578207	0	-2.040126	0	-0.1058094	0	0.532096	0.6441432	-1.229447	0.1032683	-1.856053	-0.7798226	-5.547764	-2.002644	-1.16727	-0.6437079	-1.883116	-2.115294	-1.396101	-0.4901893	-0.9375535	-1.177792	-0.6741788	-1.027773	-2.608034	-1.990653						
TianlinLiu	20180411	c85348358_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150853380	333			8	333	1	518	126	211	211	-1.948781	0	-3.859499	0	-1.013842	0	-1.722872	0	-0.04230424	0	-3.344665	0	-1.822929	0	-1.524027	0	-2.509376	0	2.49153	0	-1.948781	0	-0.04230424	0	0.6212686	0.7336439	-1.166933	0.1544883	-1.859336	-0.8068058	-5.586252	-1.990854	-1.141271	-0.5940596	-1.853199	-2.094212	-1.405142	-0.4169486	-0.9244126	-1.169625	-0.6027747	-0.9582988	-2.493423	-1.931775						
TianlinLiu	20180411	c85348358_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150853413	366			9	367	1	518	126	211	211	-1.946474	0	-3.833138	0	-1.028909	0	-1.748981	0	-0.05319697	0	-3.325055	0	-1.822407	0	-1.49209	0	-2.472463	0	2.495051	0	-1.946474	0	-0.05319697	0	0.6092863	0.7147977	-1.167419	0.1455676	-1.857201	-0.8098687	-5.550635	-1.984302	-1.144954	-0.596023	-1.863763	-2.092371	-1.419192	-0.4375837	-0.9207782	-1.171858	-0.6141068	-0.9711784	-2.488938	-1.932022						
