#Study : TianlinLiu
#Date : 20180411 09:03:59
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:09:56.641 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	ca12c2f4a_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150956724	83			0	83	1	569	81	159	159	-1.185941	0	0.1208225	0	-5.450504	0	-3.48457	0	-0.5565165	0	1.045381	0	-1.771893	0	0.2768199	0	0.4030436	0	-0.9525345	0	-1.185941	0	1.045381	0	-1.018923	-1.356179	-0.4041938	-3.527745	-0.08128901	0.02567332	-0.148854	0.3458269	0.07365631	-0.1945577	-0.09846441	0.4140957	-1.506017	-1.027313	0.6236386	0.5454968	-2.10513	-2.464423	-0.9856531	1.308742						
TianlinLiu	20180411	ca12c2f4a_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150956766	125			1	125	1	571	84	161	161	-0.4935279	0	-0.575308	0	-4.729434	0	-3.392508	0	-0.8102475	0	1.244467	0	-1.814429	0	-0.2841416	0	-0.338212	0	-1.240147	0	-0.4935279	0	1.244467	0	-0.5787882	-1.078169	-0.5223665	-3.269993	0.5220636	0.5430926	0.06611991	0.3836751	0.2279906	-0.3927332	0.1913531	0.1239242	-2.073547	-0.6307712	0.009502645	0.1176592	-1.269281	-2.134879	-1.264908	0.3530875						
TianlinLiu	20180411	ca12c2f4a_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150956807	166			2	167	1	573	84	162	162	-0.4596856	0	-1.122033	0	-4.703752	0	-2.493937	0	-0.9717265	0	1.34033	0	-2.332565	0	-1.313125	0	-0.9753811	0	-1.756903	0	-0.4596856	0	1.34033	0	-0.4732171	-0.8706715	-0.4741101	-3.128734	0.4639307	0.5504386	0.257516	0.9498064	0.3579189	-0.602126	0.3864747	-0.3372353	-2.596437	-0.4233507	-0.4153409	-0.262413	-0.8501381	-1.912966	-1.387389	1.049913						
TianlinLiu	20180411	ca12c2f4a_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150956849	208			3	209	1	573	85	157	157	-0.8466623	0	-0.9989657	0	-5.528878	0	-3.641595	0	-0.9612154	0	1.51123	0	-2.299413	0	-0.4389031	0	-0.5361488	0	-1.564925	0	-0.8466623	0	1.51123	0	-0.570729	-1.139935	-0.06109094	-3.11646	0.3081638	0.6575018	0.9514302	0.7518581	-0.1891689	-0.8916629	0.1075782	-0.2773184	-2.140529	-0.002484238	-0.4652185	-0.278652	-0.8141256	-1.618438	-0.854508	0.6908257						
TianlinLiu	20180411	ca12c2f4a_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150956891	250			4	250	1	573	85	155	155	-0.9505004	0	-0.9488393	0	-5.071046	0	-3.578035	0	-1.021816	0	1.331366	0	-2.41924	0	-0.4872221	0	-0.5645773	0	-1.358729	0	-0.9505004	0	1.331366	0	-0.7148988	-1.202387	-0.1664948	-3.129681	0.01226548	0.5544881	0.5565743	0.7517828	-0.2321061	-0.9636301	-0.2006199	-0.8376027	-2.639324	0.1022501	-0.5958788	-0.4941722	-0.8066681	-1.588107	-1.060694	1.135025						
TianlinLiu	20180411	ca12c2f4a_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150956932	291			5	292	1	562	81	160	160	-1.104863	0	-0.7607581	0	-5.350332	0	-3.587926	0	-0.9805402	0	1.56951	0	-2.11991	0	-0.4334356	0	-0.5849801	0	-1.222548	0	-1.104863	0	1.56951	0	-0.669433	-1.187019	-0.3509861	-3.256431	0.1035849	0.4722707	0.5236748	0.6150194	-0.06655955	-0.8371858	0.0877605	-0.2265859	-1.37513	-0.3065533	-0.3948592	-0.1987015	-0.9961339	-1.735438	-1.167958	1.84952						
TianlinLiu	20180411	ca12c2f4a_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150956974	333			6	334	1	558	80	160	160	-1.648369	0	0.1201181	0	-4.836015	0	-3.842527	0	-0.5001319	0	0.8410127	0	-1.597391	0	0.7253123	0	0.5146487	0	-0.1284978	0	-1.648369	0	0.8410127	0	-1.058644	-1.440606	-0.8010049	-3.236586	-0.2035011	-0.03029668	-0.2604132	0.05049995	-0.2533292	-0.574642	0.04526114	0.04490377	-0.4931518	-1.067818	0.7078321	0.4018139	-1.628195	-1.859197	-0.915861	1.973024						
TianlinLiu	20180411	ca12c2f4a_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150957016	375			7	375	1	557	78	160	160	-1.360938	0	0.6071557	0	-4.823081	0	-3.880863	0	-0.4203449	0	0.1528289	0	-1.673774	0	0.7054922	0	1.302939	0	-0.3431416	0	-1.360938	0	0.6071557	0	-1.092631	-1.466321	-0.8860551	-3.255987	-0.9225433	-0.216069	-0.4145872	-0.3601981	-0.0510393	-0.2067242	-0.2455248	0.5389968	-0.6814817	-0.9012678	1.159237	0.8096238	-1.795327	-1.396425	-0.5464371	2.169008						
TianlinLiu	20180411	ca12c2f4a_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150957058	417			8	417	1	554	76	162	162	-1.017075	0	0.02670193	0	-3.303973	0	-3.074304	0	-0.3563113	0	0.2976192	0	-1.129799	0	0.3345895	0	0.5965435	0	-0.07219742	0	-1.017075	0	0.2976192	0	-0.7346661	-1.122358	-0.9683936	-2.579722	-0.6166708	-0.2138724	-0.2448902	-0.08338959	-0.08971528	-0.4212836	0.00845537	0.4126523	-0.3021125	-0.5036154	0.9556888	0.5305133	-0.931816	-0.8280482	-0.8794557	1.724556						
TianlinLiu	20180411	ca12c2f4a_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_150957099	458			9	459	1	550	75	163	163	-1.397548	0	-0.08403695	0	-2.958682	0	-2.763902	0	-0.3253962	0	0.2679614	0	-1.144185	0	0.4079202	0	0.3714994	0	0.06602942	0	-1.397548	0	0.2679614	0	-0.4363989	-0.7530382	-1.043672	-2.846736	-0.7193844	-0.4287991	-0.8568185	-0.3673342	-0.1897955	-0.2392272	-0.1713543	0.252177	-0.4388714	-1.023532	1.004657	0.565388	-1.58332	-1.581228	-0.9441338	1.783438						
