#Study : TianlinLiu
#Date : 20180411 09:03:59
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:10:00.924 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	ca88e9866_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151001057	133			0	133	1	128	66	53	53	0.08830719	0	0.7260341	0	-2.003409	0	0.06902901	0	0.1673252	0	-0.1803592	0	0.3449824	0	0.8951691	0	1.227574	0	-0.5144788	0	0.08830719	0	0.7260341	0	-0.6641618	-1.122924	-0.05771537	-0.2708614	0.08237399	0.1388902	-0.9775003	-0.04956539	0.1901321	0.6865097	0.06003984	0.374318	-0.2272896	-1.047711	0.388201	0.8222018	-1.604159	-1.320585	-0.4583262	0.1116951						
TianlinLiu	20180411	ca88e9866_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151001124	200			1	200	1	127	66	53	53	0.03444618	0	0.6794306	0	-1.943261	0	0.09509203	0	0.1572299	0	-0.2265636	0	0.3475709	0	0.8194864	0	1.17739	0	-0.4309899	0	0.03444618	0	0.6794306	0	-0.6591325	-1.092274	-0.1208093	-0.3295839	0.06774872	0.05683162	-1.138156	-0.1086135	0.2144607	0.6789618	-0.009072807	0.3596007	-0.2756655	-1.110336	0.3196051	0.8153962	-1.660843	-1.355814	-0.4672554	0.1380884						
TianlinLiu	20180411	ca88e9866_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151001190	266			2	267	1	127	66	52	52	0.03471126	0	0.4999926	0	-1.71324	0	0.3521885	0	0.2902987	0	-0.3578069	0	0.2314406	0	0.7551795	0	1.100295	0	-0.4981228	0	0.03471126	0	0.4999926	0	-0.5424355	-1.063777	-0.1910627	-0.5260211	-0.13801	0.06330113	-1.083638	-0.1949577	0.0975458	0.5352666	-0.2422634	0.2536373	-0.2334201	-0.8876061	0.1606652	0.7055292	-1.355275	-1.178672	-0.8035807	0.2053484						
TianlinLiu	20180411	ca88e9866_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151001257	333			3	333	1	128	66	53	53	0.2071732	0	0.4280752	0	-1.958577	0	0.1781123	0	0.2113658	0	-0.1408918	0	0.405656	0	0.5307493	0	0.8447574	0	-0.5650393	0	0.2071732	0	0.4280752	0	-0.6057262	-1.038973	-0.09837246	-0.4219456	0.1094803	0.01065098	-1.35437	-0.2536652	0.3871515	0.711381	-0.2562763	0.380405	-0.4216423	-1.107056	0.4366663	0.8434817	-1.750019	-1.346245	-0.08622397	0.2799785						
TianlinLiu	20180411	ca88e9866_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151001323	399			4	400	1	130	66	53	53	0.2417284	0	0.5251791	0	-2.249358	0	0.2772306	0	0.1417054	0	-0.08666335	0	0.3464032	0	0.5255244	0	0.8996403	0	-0.8269498	0	0.2417284	0	0.5251791	0	-0.6984735	-1.15993	0.1421623	-0.6080759	0.3366213	0.08819789	-0.9980043	-0.06731492	0.4913664	0.6546346	-0.1963954	0.4338302	-0.5096828	-0.91531	0.364391	0.8199336	-1.576043	-1.071727	0.2400834	0.3087784						
TianlinLiu	20180411	ca88e9866_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151001390	466			5	467	1	131	65	52	52	-0.07484054	0	0.5752097	0	-1.802858	0	0.3543101	0	0.1061901	0	-0.4355157	0	0.2023321	0	0.8814237	0	1.121409	0	-0.5073025	0	-0.07484054	0	0.5752097	0	-0.5249179	-1.22486	0.0214217	-0.708677	0.04152315	0.1320008	-1.138809	-0.3152384	0.03857894	0.5717709	-0.2487116	0.1775908	-0.5131841	-0.8798144	0.1674913	0.531077	-1.283556	-1.174638	-0.864822	0.1687994						
TianlinLiu	20180411	ca88e9866_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151001457	533			6	533	1	134	65	53	53	-0.2851736	0	0.5419694	0	-1.851863	0	-0.01838816	0	0.2443757	0	-0.5462329	0	0.1242069	0	0.6091649	0	0.9508675	0	-0.5208891	0	-0.2851736	0	0.5419694	0	-0.6915877	-1.194645	-0.162269	-0.6174647	0.06737053	-0.0272625	-1.431585	-0.4203621	0.2491457	0.6637254	-0.3019502	0.2769354	-0.1915503	-1.179126	0.2567413	0.6470006	-1.616538	-1.215363	-0.6302382	0.05670142						
TianlinLiu	20180411	ca88e9866_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151001523	599			7	600	1	137	65	52	52	-0.02794	0	0.5171668	0	-1.684462	0	-0.09241169	0	0.2772452	0	-0.3862	0	0.1131918	0	0.5251593	0	0.7709597	0	-0.5939943	0	-0.02794	0	0.5171668	0	-0.6999372	-1.146506	-0.2526464	-0.6047428	0.04833708	0.02440888	-1.489712	-0.1256122	0.3147894	0.6452868	-0.1975612	0.320301	-0.3623544	-1.227238	0.2512518	0.6598015	-1.480312	-1.229631	-0.6359859	-0.06258041						
TianlinLiu	20180411	ca88e9866_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151001590	666			8	667	0																																																						
TianlinLiu	20180411	ca88e9866_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151001657	733			9	733	1	146	65	53	53	-0.9944192	0	1.024259	0	-1.668789	0	-0.7968519	0	-0.007322092	0	-0.367255	0	0.2315018	0	1.211023	0	1.398088	0	-0.6069421	0	-0.9944192	0	1.024259	0	-0.708336	-1.366603	0.1603784	-0.4373516	-0.1960857	-0.1024055	-0.6101598	-0.05032041	-0.2184297	0.5948306	-0.2086839	0.7325462	0.6516964	-1.33636	0.4459309	0.9239904	-1.533123	-0.9011199	-0.6949701	-0.4428714						
