#Study : TianlinLiu
#Date : 20180411 09:03:57
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:10:10.136 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	cbb64e001__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_151010202	66			0	67	1	379	137	117	117	-1.284598	0	-2.662914	0	-2.117753	0	-0.1242727	0	-0.391178	0	-1.717807	0	0.9919741	0	-1.052725	0	-1.215986	0	0.09648136	0	-1.284598	0	0.9919741	0	1.477505	0.8764508	-0.2844989	-1.466489	-0.7501289	-1.454723	-2.92872	-0.2102219	-0.6763963	-0.3903784	0.4681905	0.08469905	-1.134066	-1.04616	-1.179097	-0.1784305	-2.281668	-1.863229	-1.795996	1.597539						
TianlinLiu	20180411	cbb64e001__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_151010236	100			1	100	1	380	138	116	116	-1.349237	0	-3.157356	0	-1.022781	0	0.01785626	0	-0.7965887	0	-1.705427	0	0.6732661	0	-1.448691	0	-1.934014	0	0.01820256	0	-1.349237	0	0.6732661	0	1.737793	1.136747	-0.3824087	-1.578753	-0.8321593	-1.33676	-3.418429	-0.4729475	-0.6091875	-0.8006577	-0.03449154	-0.625599	-1.462614	-0.793861	-1.658659	-0.8523691	-1.197159	-1.315214	-1.788283	1.753162						
TianlinLiu	20180411	cbb64e001__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_151010269	133			2	133	1	381	138	116	116	-1.473171	0	-3.37955	0	-0.8773469	0	0.1275193	0	-0.9939055	0	-1.735754	0	0.6084858	0	-1.709437	0	-2.217319	0	-0.1572184	0	-1.473171	0	0.6084858	0	1.902539	1.3183	-0.3614047	-1.570331	-0.8652368	-1.39834	-3.562459	-0.5181925	-0.5965667	-0.8930634	-0.1241751	-0.6306395	-1.461142	-0.7106199	-1.755977	-0.9149948	-1.052874	-1.227124	-1.81837	1.83222						
TianlinLiu	20180411	cbb64e001__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_151010302	166			3	167	1	381	138	117	117	-1.752322	0	-3.239325	0	-0.814015	0	0.1105637	0	-0.9830415	0	-1.669411	0	0.5246469	0	-1.519799	0	-1.987883	0	-0.01779492	0	-1.752322	0	0.5246469	0	1.756612	1.164918	-0.3298753	-1.497686	-0.765094	-1.344759	-3.438399	-0.4249701	-0.6272022	-0.919215	0.01216826	-0.5962664	-1.516081	-0.7652576	-1.776106	-0.9184929	-0.9982536	-1.085667	-1.783345	1.831154						
TianlinLiu	20180411	cbb64e001__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_151010336	200			4	200	1	382	138	116	116	-1.8532	0	-3.413677	0	-0.849148	0	0.1702992	0	-0.9499382	0	-1.774357	0	0.5723249	0	-1.569112	0	-2.118387	0	-0.01019657	0	-1.8532	0	0.5723249	0	1.912893	1.327997	-0.2567206	-1.448969	-0.7862728	-1.35497	-3.533741	-0.5303304	-0.6130849	-0.9059502	-0.03629014	-0.615537	-1.46671	-0.7175942	-1.850609	-0.9185021	-1.0801	-1.159964	-1.8439	1.816614						
TianlinLiu	20180411	cbb64e001__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_151010369	233			5	234	1	383	138	117	117	-1.969002	0	-3.395829	0	-0.8308784	0	0.1138714	0	-0.9551084	0	-1.858034	0	0.6046358	0	-1.506842	0	-2.111055	0	0.1216342	0	-1.969002	0	0.6046358	0	1.750487	1.124271	-0.2973656	-1.479118	-0.8775486	-1.406809	-3.496779	-0.5095092	-0.6869594	-0.9677066	0.03738493	-0.5944052	-1.577224	-0.7516157	-1.820753	-0.9883423	-1.115052	-1.141565	-1.931565	1.795185						
TianlinLiu	20180411	cbb64e001__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_151010402	266			6	267	1	383	138	117	117	-2.245852	0	-3.513501	0	-0.659779	0	0.06278308	0	-1.082539	0	-2.02439	0	0.601317	0	-1.63911	0	-2.255532	0	0.188829	0	-2.245852	0	0.601317	0	1.806584	1.175771	-0.355585	-1.481173	-0.9702625	-1.427235	-3.649424	-0.6596445	-0.8234816	-1.076197	0.007454241	-0.5652558	-1.574153	-0.8065372	-1.785559	-0.9955052	-1.215624	-1.233557	-2.047009	1.855996						
TianlinLiu	20180411	cbb64e001__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_151010436	300			7	300	1	384	138	116	116	-2.556575	0	-3.790973	0	-0.4132741	0	0.2531947	0	-1.203856	0	-2.352251	0	0.5320044	0	-1.827452	0	-2.540493	0	0.2655	0	-2.556575	0	0.5320044	0	1.891865	1.346009	-0.3831153	-1.425004	-1.209051	-1.622601	-4.006945	-1.011133	-0.9500476	-1.199331	-0.08438855	-0.5360396	-1.527842	-0.8059283	-1.877648	-1.019891	-1.346275	-1.32732	-2.201357	1.824172						
TianlinLiu	20180411	cbb64e001__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_151010469	333			8	334	1	385	138	117	117	-2.636615	0	-3.827568	0	-0.3346965	0	0.1381656	0	-1.283948	0	-2.191575	0	0.4514175	0	-1.872358	0	-2.635704	0	0.2212132	0	-2.636615	0	0.4514175	0	1.84532	1.348104	-0.4092389	-1.481162	-1.158682	-1.645003	-3.750817	-0.8925396	-0.9529092	-1.297527	-0.00526713	-0.4647066	-1.703559	-0.8253736	-1.917609	-1.082952	-1.275343	-1.290692	-2.254201	1.893757						
TianlinLiu	20180411	cbb64e001__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_151010503	367			9	367	1	386	139	116	116	-2.671659	0	-3.964757	0	-0.2800241	0	0.2258078	0	-1.255491	0	-2.211272	0	0.3191514	0	-1.935429	0	-2.690559	0	0.217803	0	-2.671659	0	0.3191514	0	1.920522	1.501018	-0.4268991	-1.416449	-1.204243	-1.691175	-3.820106	-1.099168	-0.9293931	-1.301953	-0.02543393	-0.3878588	-1.575738	-0.8426216	-1.952762	-1.14934	-1.405178	-1.503443	-2.488084	1.829954						
