#Study : TianlinLiuValidation
#Date : 20180411 09:25:44
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:28:40.445 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	78a906313_11___utterance_133	0	MALE	a	TestImage	Emotient FACET	20180325_232840511	66			0	67	1	232	62	86	86	-0.0570302	0	-0.6794582	0	-2.957988	0	0.6963367	0	-0.9633609	0	-0.5991296	0	-1.139131	0	-0.5964781	0	-0.2302916	0	-1.828034	0	-0.0570302	0	0.6963367	0	-0.5368031	-1.094261	0.4626811	-1.084926	-0.185169	-0.1188083	-0.7635486	-0.195558	0.1072244	0.2483277	-0.7766955	-0.1379584	-1.344028	0.848074	0.009097404	-0.1114155	-0.2094364	-0.3906595	0.7137136	-0.2343914						
TianlinLiuValidation	20180411	78a906313_11___utterance_133	0	MALE	a	TestImage	Emotient FACET	20180325_232840545	100			1	100	1	232	63	86	86	-0.1547184	0	-0.7543408	0	-2.99195	0	0.8482842	0	-1.109834	0	-0.4531187	0	-1.051678	0	-0.779634	0	-0.3897376	0	-1.741914	0	-0.1547184	0	0.8482842	0	-0.6319677	-1.135206	0.3289646	-1.16876	-0.2554657	-0.249392	-0.8671574	-0.07096467	0.07549319	0.2082881	-0.7243428	-0.146437	-1.588631	0.8384067	-0.02135073	-0.08652432	-0.2924898	-0.5043696	0.5724596	-0.2892359						
TianlinLiuValidation	20180411	78a906313_11___utterance_133	0	MALE	a	TestImage	Emotient FACET	20180325_232840578	133			2	133	1	231	63	87	87	-0.1264306	0	-0.6948481	0	-3.171108	0	0.6583257	0	-1.196022	0	-0.3023662	0	-1.144915	0	-0.7651411	0	-0.2520866	0	-1.817415	0	-0.1264306	0	0.6583257	0	-0.7554113	-1.259933	0.3895288	-1.125357	-0.1389826	-0.1178085	-0.6121883	0.07069641	0.002396948	0.133847	-0.6395741	-0.1240551	-1.737319	0.8187267	-0.01390102	-0.06470208	-0.3008009	-0.5298052	0.6290021	-0.3512383						
TianlinLiuValidation	20180411	78a906313_11___utterance_133	0	MALE	a	TestImage	Emotient FACET	20180325_232840611	166			3	167	1	231	64	85	85	-0.2706798	0	-0.8464973	0	-3.072749	0	0.8512601	0	-0.8073234	0	-0.4729579	0	-0.9492311	0	-0.7302248	0	-0.3097266	0	-1.599174	0	-0.2706798	0	0.8512601	0	-0.6578098	-1.214073	0.3449256	-1.274141	-0.3184547	-0.3998952	-0.7249464	-0.173501	-0.07746659	0.1496014	-0.71591	-0.09098151	-1.396954	0.8092221	-0.1515996	-0.2854366	-0.3952816	-0.6523514	0.7701468	-0.2269375						
TianlinLiuValidation	20180411	78a906313_11___utterance_133	0	MALE	a	TestImage	Emotient FACET	20180325_232840645	200			4	200	1	231	65	84	84	-0.2375717	0	-0.9400788	0	-2.992032	0	0.9718267	0	-0.4539686	0	-0.6840456	0	-0.8992974	0	-0.5467573	0	-0.08422231	0	-1.409772	0	-0.2375717	0	0.9718267	0	-0.5902081	-1.179815	0.3658901	-1.37719	-0.3198276	-0.4980226	-0.7533219	-0.2915963	-0.08625926	0.2600509	-0.7741836	-0.1677061	-1.066947	0.796795	-0.08007857	-0.3508202	-0.5793928	-0.8566878	0.8241963	-0.1532842						
TianlinLiuValidation	20180411	78a906313_11___utterance_133	0	MALE	a	TestImage	Emotient FACET	20180325_232840678	233			5	234	1	231	66	82	82	-0.3043857	0	-1.025601	0	-2.739463	0	1.036003	0	-0.5373819	0	-0.6458722	0	-1.333776	0	-0.7420824	0	-0.106628	0	-1.410455	0	-0.3043857	0	1.036003	0	-0.4574212	-1.044557	0.1585979	-1.565678	-0.5695411	-0.7428281	-0.9306855	-0.3966613	-0.1630135	0.1676543	-1.051624	-0.4104148	-1.235859	0.7773117	-0.1307421	-0.5586859	-0.5021333	-0.838246	0.6055264	-0.007687332						
TianlinLiuValidation	20180411	78a906313_11___utterance_133	0	MALE	a	TestImage	Emotient FACET	20180325_232840711	266			6	267	1	232	67	80	80	-0.4394784	0	-1.05019	0	-2.756894	0	1.221421	0	-0.3351252	0	-0.9248195	0	-1.174918	0	-0.5337046	0	0.07634488	0	-1.059964	0	-0.4394784	0	1.221421	0	-0.3183615	-0.8918064	0.06504785	-1.514099	-0.6799496	-0.8595275	-1.153205	-0.7161013	-0.09685227	0.07316425	-1.319399	-0.4027577	-1.693875	0.6592093	0.04114929	-0.3206885	-0.7142928	-0.8499016	0.2152426	-0.08444059						
TianlinLiuValidation	20180411	78a906313_11___utterance_133	0	MALE	a	TestImage	Emotient FACET	20180325_232840745	300			7	300	1	230	67	83	83	-0.09371272	0	-0.8912715	0	-3.041896	0	0.7659426	0	-0.4259998	0	-0.6429656	0	-1.203848	0	-0.5541502	0	0.1233505	0	-1.218937	0	-0.09371272	0	0.7659426	0	-0.6344801	-1.228772	0.1614913	-1.664068	-0.3976761	-0.7183586	-0.7215967	-0.4137635	-0.08650915	0.2375518	-1.024752	-0.1565982	-1.05926	0.7438453	-0.104179	-0.3229237	-0.7431111	-1.099683	0.773977	-0.01171657						
TianlinLiuValidation	20180411	78a906313_11___utterance_133	0	MALE	a	TestImage	Emotient FACET	20180325_232840778	333			8	334	1	229	69	81	81	-0.09534431	0	-1.340784	0	-2.46496	0	1.530672	0	-0.5993477	0	-0.7205001	0	-1.051105	0	-0.8074917	0	-0.2520695	0	-1.11792	0	-0.09534431	0	1.530672	0	-0.2225014	-1.006829	0.2652303	-1.685785	-0.6146995	-1.214709	-0.7779931	-0.402085	-0.0585761	0.2256312	-1.082781	-0.3243976	-1.196618	0.6004493	-0.3464513	-0.3580983	-0.9799115	-1.17695	0.7452113	1.412631						
TianlinLiuValidation	20180411	78a906313_11___utterance_133	0	MALE	a	TestImage	Emotient FACET	20180325_232840812	367			9	367	1	226	71	79	79	0.2011816	0	-1.294341	0	-2.002288	0	1.148599	0	-0.4007571	0	-0.5719467	0	-0.8110058	0	-0.7000636	0	-0.2058561	0	-0.8967627	0	0.2011816	0	1.148599	0	-0.2388376	-0.9585049	-0.07925631	-1.760079	-0.5487397	-1.282475	-0.7941532	-0.6028756	0.1501019	0.3192155	-1.101399	-0.2782661	-1.199803	0.01005332	-0.2619506	-0.1425214	-1.300936	-1.223946	0.369607	1.576561						
