#Study : TianlinLiu
#Date : 20180411 09:03:40
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:11:40.857 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	d4c1c74d6_6__utterance_67	0	MALE	recording	TestImage	Emotient FACET	20180320_151140923	66			0	67	1	250	74	94	94	-0.6400767	0	-1.592406	0	-4.323349	0	-0.373696	0	-0.04526382	0	-2.888408	0	-0.6308892	0	-1.123588	0	-0.05803902	0	0.1292098	0	-0.6400767	0	-0.04526382	0	-0.306742	-0.9924799	-0.7600127	-0.5779493	-1.216897	-0.956766	-3.332832	-1.246277	-0.631601	0.5389532	-1.283942	-0.9077604	-2.180197	-0.4874035	0.118116	0.1508804	-2.2985	-1.623149	-0.7382503	-3.283277						
TianlinLiu	20180411	d4c1c74d6_6__utterance_67	0	MALE	recording	TestImage	Emotient FACET	20180320_151140957	100			1	100	1	250	74	94	94	-0.5964462	0	-1.553946	0	-4.399121	0	-0.3591114	0	-0.06607473	0	-2.907242	0	-0.6197388	0	-1.114807	0	-0.009855174	0	0.1222992	0	-0.5964462	0	-0.06607473	0	-0.3217749	-0.985678	-0.7773182	-0.6072751	-1.23508	-0.946135	-3.368305	-1.296961	-0.6012249	0.5655389	-1.214797	-0.8209155	-2.17124	-0.4730192	0.1777535	0.2253681	-2.33313	-1.606135	-0.6832892	-3.316893						
TianlinLiu	20180411	d4c1c74d6_6__utterance_67	0	MALE	recording	TestImage	Emotient FACET	20180320_151140990	133			2	133	1	249	74	95	95	-0.4148979	0	-1.411765	0	-4.230248	0	-0.3659499	0	-0.06765782	0	-2.715663	0	-0.5793859	0	-1.03802	0	0.0379099	0	0.1272178	0	-0.4148979	0	-0.06765782	0	-0.2824371	-0.9504133	-0.7671024	-0.5575122	-1.066714	-0.8826658	-3.238284	-1.181702	-0.6303968	0.448624	-1.323249	-0.9495396	-2.186874	-0.5060374	0.1005096	0.06479392	-2.184086	-1.590044	-0.6771337	-3.231954						
TianlinLiu	20180411	d4c1c74d6_6__utterance_67	0	MALE	recording	TestImage	Emotient FACET	20180320_151141023	166			3	167	1	250	74	95	95	-0.407245	0	-1.387058	0	-4.328526	0	-0.3159654	0	-0.09399723	0	-2.750595	0	-0.5905911	0	-0.9626462	0	0.1290284	0	0.100922	0	-0.407245	0	-0.09399723	0	-0.2669894	-0.9434496	-0.7437358	-0.5643265	-1.111278	-0.8945409	-3.25232	-1.226804	-0.5914416	0.4956445	-1.334183	-0.9281297	-2.225956	-0.4547769	0.150206	0.1390938	-2.196266	-1.585452	-0.6445518	-3.230803						
TianlinLiu	20180411	d4c1c74d6_6__utterance_67	0	MALE	recording	TestImage	Emotient FACET	20180320_151141057	200			4	200	1	249	73	96	96	-0.2001584	0	-1.302944	0	-4.14171	0	-0.2801641	0	-0.3588446	0	-2.485137	0	-0.5360267	0	-0.8637221	0	0.06458198	0	0.015927	0	-0.2001584	0	-0.2801641	0	-0.1836018	-0.8613895	-0.6039018	-0.3960818	-0.8565596	-0.7671239	-3.120202	-1.085344	-0.5589678	0.3218003	-1.46865	-1.085416	-2.262765	-0.4751361	-6.291453E-05	-0.1165377	-1.874735	-1.496067	-0.7414115	-3.198106						
TianlinLiu	20180411	d4c1c74d6_6__utterance_67	0	MALE	recording	TestImage	Emotient FACET	20180320_151141090	233			5	234	1	250	74	93	93	-0.2686486	0	-1.79252	0	-3.356148	0	0.6911455	0	-0.6942637	0	-2.534979	0	-1.027096	0	-1.753953	0	-0.4216014	0	0.1367204	0	-0.2686486	0	0.6911455	0	-0.1728729	-0.8763935	-0.8102369	-1.08628	-1.620009	-1.470374	-3.586643	-0.96248	-0.5334936	0.4319574	-1.242683	-0.8105762	-3.057683	-0.001163709	-0.02768799	0.1433007	-1.525421	-1.0814	-0.1711632	-1.861035						
TianlinLiu	20180411	d4c1c74d6_6__utterance_67	0	MALE	recording	TestImage	Emotient FACET	20180320_151141123	266			6	267	1	251	76	90	90	-0.3466397	0	-2.109174	0	-3.519773	0	0.8262986	0	-1.056965	0	-2.204142	0	-0.8510895	0	-1.91068	0	-0.7619811	0	0.06914597	0	-0.3466397	0	0.8262986	0	-0.2258386	-1.10193	-0.9014204	-1.693374	-1.881028	-1.916163	-3.063623	-0.6443939	-0.4740356	0.5225834	-1.008988	-0.515876	-3.245977	0.279842	-0.2470143	0.2317221	-1.105313	-0.5653507	0.2361685	-0.1028517						
TianlinLiu	20180411	d4c1c74d6_6__utterance_67	0	MALE	recording	TestImage	Emotient FACET	20180320_151141157	300			7	300	1	251	74	89	89	0.1904913	0	-2.303012	0	-3.303406	0	0.8580439	0	-1.218814	0	-1.645573	0	-0.8344607	0	-2.068155	0	-1.172203	0	-0.1567493	0	0.1904913	0	0.8580439	0	-0.1526475	-1.018837	-0.7181742	-1.475354	-1.253728	-1.480487	-2.318371	-0.05201972	-0.2114635	0.3064151	-0.6904132	-0.390141	-3.307678	0.4908398	-0.3313129	0.06103011	-0.5748625	-0.3500482	0.1309888	0.2652343						
TianlinLiu	20180411	d4c1c74d6_6__utterance_67	0	MALE	recording	TestImage	Emotient FACET	20180320_151141190	333			8	334	1	248	72	92	92	0.05499574	0	-2.342206	0	-2.993724	0	1.529899	0	-1.463252	0	-1.562453	0	-1.250842	0	-2.322874	0	-1.536476	0	-0.5039278	0	0.05499574	0	1.529899	0	-0.05065418	-0.8843728	-0.521789	-0.8708986	-1.074927	-1.521811	-2.385351	0.2761032	-0.1562655	-0.01415178	-0.9061739	-1.046219	-3.774271	0.7218785	-0.635169	-0.5227948	-0.3067662	-0.7890294	-0.4880227	-0.1994312						
TianlinLiu	20180411	d4c1c74d6_6__utterance_67	0	MALE	recording	TestImage	Emotient FACET	20180320_151141224	367			9	367	1	248	70	91	91	0.422299	0	-2.942263	0	-2.677891	0	0.9987146	0	-2.229018	0	-1.365944	0	-1.808316	0	-3.023982	0	-2.768489	0	-1.252985	0	0.422299	0	0.9987146	0	-0.0537864	-0.7748545	-0.4810344	-1.181826	-0.7858366	-1.087091	-1.858623	0.25196	-0.001817191	-0.4318912	-0.9240543	-0.7781201	-4.095031	0.8233745	-0.7985145	-1.096958	0.4978846	-0.2276203	-0.9271189	0.008422159						
