#Study : TianlinLiu
#Date : 20180411 09:07:15
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:40:43.052 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	3ecbd1402_9__utterance_112	0	MALE	recording	TestImage	Emotient FACET	20180320_144043118	66			0	67	1	319	300	117	117	-2.779369	0	1.034263	0	-3.14009	0	-1.442937	0	-1.226796	0	-0.07950489	0	-0.5279122	0	1.302691	0	0.9620835	0	-1.755188	0	-2.779369	0	1.034263	0	-0.8471584	-2.288522	1.730796	-0.4010217	-0.1833927	0.02005555	-0.8193527	0.3085286	-0.4913921	0.2952654	-0.5327858	0.3825173	-0.4632076	-1.025303	0.3415395	0.2856165	-1.764319	-1.976607	-0.4509445	-0.2678748						
TianlinLiu	20180411	3ecbd1402_9__utterance_112	0	MALE	recording	TestImage	Emotient FACET	20180320_144043152	100			1	100	1	327	295	115	115	-2.279079	0	0.8375766	0	-3.244233	0	-1.583823	0	-0.8491007	0	0.1068099	0	-0.4332128	0	1.180644	0	0.8634622	0	-1.281174	0	-2.279079	0	0.8375766	0	-0.8734132	-2.161252	1.088799	-0.923285	-0.2793928	-0.1994733	-0.9718998	0.2612155	-0.1555402	0.435135	-0.7057373	0.1659789	-0.4170924	-0.9290712	0.09499282	0.1945801	-1.815019	-1.852925	-0.7383237	-0.4313569						
TianlinLiu	20180411	3ecbd1402_9__utterance_112	0	MALE	recording	TestImage	Emotient FACET	20180320_144043185	133			2	133	0																																																						
TianlinLiu	20180411	3ecbd1402_9__utterance_112	0	MALE	recording	TestImage	Emotient FACET	20180320_144043218	166			3	167	1	343	279	117	117	-3.71384	0	1.263823	0	-3.732126	0	-2.08101	0	-1.572986	0	-0.1870394	0	-0.6958789	0	1.476529	0	1.036773	0	-1.617402	0	-3.71384	0	1.263823	0	-1.207428	-2.223262	1.603885	-0.5724952	-0.1517293	0.1726698	-0.7125276	0.04401853	-0.8595894	-0.08850557	-0.7043819	0.2770982	-0.5355279	-1.515111	0.1819217	0.3415934	-2.184023	-2.43749	-0.999008	-0.2366265						
TianlinLiu	20180411	3ecbd1402_9__utterance_112	0	MALE	recording	TestImage	Emotient FACET	20180320_144043252	200			4	200	1	355	277	107	107	-3.263425	0	0.4956378	0	-3.860187	0	-1.664399	0	-1.150098	0	0.2310419	0	-0.5116116	0	1.026947	0	0.4638202	0	-1.171435	0	-3.263425	0	0.4956378	0	-0.5215791	-2.160552	1.155436	-1.583239	-0.4643074	-0.06603324	-0.906001	0.6552116	-0.6322331	0.3783764	-0.5852146	0.08550381	-0.8289863	-0.7347518	0.3396381	0.3435831	-1.394421	-1.75177	-0.3871362	-0.3568341						
TianlinLiu	20180411	3ecbd1402_9__utterance_112	0	MALE	recording	TestImage	Emotient FACET	20180320_144043285	233			5	234	1	360	266	115	115	-4.322629	0	1.204314	0	-4.004626	0	-1.993135	0	-2.029894	0	0.1492056	0	-0.8278702	0	1.263971	0	0.7433567	0	-2.058903	0	-4.322629	0	1.204314	0	-1.138482	-2.442125	1.930672	-0.5557771	-0.1695301	0.4022733	-0.3744274	0.5239174	-1.144538	-0.4018857	-0.4359831	0.2980568	-0.7139896	-1.455516	0.3818576	0.162404	-1.877057	-2.543976	-1.18845	-0.1232364						
TianlinLiu	20180411	3ecbd1402_9__utterance_112	0	MALE	recording	TestImage	Emotient FACET	20180320_144043318	266			6	267	1	369	261	112	112	-4.385258	0	0.7217296	0	-4.121846	0	-1.643924	0	-2.123919	0	0.46262	0	-0.6822866	0	0.6084423	0	0.05719253	0	-2.796627	0	-4.385258	0	0.7217296	0	-0.6651353	-2.478245	2.2247	-0.855193	-0.4709652	0.3444618	-0.4647022	1.061317	-0.9539806	-0.138302	0.004503203	0.5644644	-0.875927	-1.184532	0.5845097	0.1760267	-1.353287	-2.416138	-0.9305621	-0.3563805						
TianlinLiu	20180411	3ecbd1402_9__utterance_112	0	MALE	recording	TestImage	Emotient FACET	20180320_144043352	300			7	300	1	376	256	110	110	-4.193343	0	0.68371	0	-3.990855	0	-1.85606	0	-1.933682	0	0.6397445	0	-0.6605915	0	0.709215	0	0.08484656	0	-2.14585	0	-4.193343	0	0.68371	0	-0.6267416	-2.277813	1.524873	-1.185999	-0.5871229	0.1508011	-0.4559159	0.9202659	-0.9520971	-0.123678	-0.0953578	0.4414845	-0.7783365	-1.431926	0.4940847	0.2124425	-1.677383	-2.524693	-1.176471	-0.3115011						
TianlinLiu	20180411	3ecbd1402_9__utterance_112	0	MALE	recording	TestImage	Emotient FACET	20180320_144043385	333			8	334	1	381	249	111	111	-4.259904	0	0.6172786	0	-4.066964	0	-1.520011	0	-2.085646	0	0.4731926	0	-0.6478366	0	0.5941097	0	0.09812611	0	-2.627036	0	-4.259904	0	0.6172786	0	-0.3892518	-2.261313	1.891265	-1.116898	-0.6589952	0.2501299	-0.6756722	1.043796	-0.9150169	-0.1045059	-0.07791746	0.4606393	-0.9756939	-1.035756	0.6376544	0.148651	-1.383569	-2.566863	-0.8864782	-0.5612911						
TianlinLiu	20180411	3ecbd1402_9__utterance_112	0	MALE	recording	TestImage	Emotient FACET	20180320_144043419	367			9	367	1	387	246	104	104	-3.082769	0	0.1009817	0	-3.954375	0	-1.576818	0	-0.8000026	0	0.01105689	0	-0.6051434	0	0.6624931	0	0.1537827	0	-1.304902	0	-3.082769	0	0.1009817	0	-0.09295868	-1.812129	0.9578742	-2.031623	-0.3904026	-0.1093913	-1.03381	0.9754059	-0.490483	0.4161833	-0.6525974	-0.0219512	-0.8759726	-0.9268159	0.669606	0.2457625	-1.325795	-1.873429	-0.5682756	-0.5892642						
