#Study : TianlinLiu
#Date : 20180411 09:03:46
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:11:01.793 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	d17ca4a42_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151101859	66			0	67	1	528	152	291	291	-0.765042	0	-4.791369	0	0.3569528	0	1.029965	0	-0.8489947	0	-2.176348	0	-2.510558	0	-4.368405	0	-3.960023	0	-0.7138143	0	-0.765042	0	1.029965	0	2.516152	2.583919	-0.4159256	0.1304578	-0.6760575	-1.012191	-4.347612	-1.091253	0.1059965	-0.1370214	-0.8655561	-0.6000824	-1.904801	0.01968253	-0.7874993	-1.004173	-1.006975	-1.597819	-1.534567	-1.660477						
TianlinLiu	20180411	d17ca4a42_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151101893	100			1	100	1	528	151	292	292	-0.8361462	0	-4.920479	0	0.5429677	0	0.9496878	0	-0.8736655	0	-2.329443	0	-2.657994	0	-4.534287	0	-4.154571	0	-0.8687251	0	-0.8361462	0	0.9496878	0	2.619168	2.674354	-0.4495181	0.2233725	-0.7026639	-1.016893	-4.496496	-1.186761	0.1053026	-0.1624026	-0.8781736	-0.6255931	-1.953874	-0.1914993	-0.8111222	-1.006393	-1.041836	-1.534873	-1.556526	-1.751355						
TianlinLiu	20180411	d17ca4a42_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151101926	133			2	133	1	529	152	289	289	-1.087471	0	-4.890455	0	0.4578386	0	0.9323919	0	-0.6899707	0	-2.281622	0	-2.424372	0	-4.46784	0	-4.096862	0	-0.6444138	0	-1.087471	0	0.9323919	0	2.644461	2.667614	-0.4359541	0.2096557	-0.6781948	-0.9820487	-4.371621	-1.244651	0.04442438	-0.2823792	-0.9152084	-0.5970562	-1.696489	-0.1751547	-0.7895214	-1.056499	-1.07941	-1.638696	-1.490125	-1.808443						
TianlinLiu	20180411	d17ca4a42_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151101959	166			3	167	1	536	157	278	278	-0.8820987	0	-5.191566	0	0.3530226	0	1.122384	0	-0.7941647	0	-2.06589	0	-2.074687	0	-4.068252	0	-4.133448	0	-0.6606895	0	-0.8820987	0	1.122384	0	2.47237	2.327163	-0.5014049	-0.9140126	-0.9179808	-1.156694	-4.526229	-1.47195	0.3201681	-0.5571986	-1.196551	-0.7829884	-2.014161	0.3005159	-0.5253931	-1.409186	-0.8051621	-1.326067	-1.673733	-0.6038654						
TianlinLiu	20180411	d17ca4a42_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151101992	199			4	200	1	542	163	270	270	-1.369393	0	-5.040049	0	-0.7219645	0	0.3722802	0	-1.338045	0	-1.952966	0	-1.04618	0	-3.252321	0	-3.898361	0	-1.579893	0	-1.369393	0	0.3722802	0	2.662885	2.181792	-0.3100816	-1.822892	-1.072287	-1.056645	-4.076691	-1.494201	0.3261436	-0.696941	-1.056985	-0.6854959	-2.420316	0.5831872	-0.4716172	-1.321065	-0.6984976	-1.137952	-1.821424	0.8951465						
TianlinLiu	20180411	d17ca4a42_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151102026	233			5	233	1	540	162	272	272	-1.364912	0	-5.481958	0	-0.5770423	0	0.2923621	0	-1.957965	0	-1.692818	0	-1.932696	0	-4.313923	0	-4.959867	0	-2.235636	0	-1.364912	0	0.2923621	0	2.723326	2.397218	-0.4965206	-1.707255	-1.376998	-1.183482	-4.21655	-1.257687	0.1879173	-1.086921	-1.010836	-0.8267448	-2.879405	0.5977052	-0.6872988	-1.693813	-0.3455953	-0.8865134	-2.177219	1.039332						
TianlinLiu	20180411	d17ca4a42_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151102059	266			6	267	1	538	159	279	279	-1.10505	0	-5.162461	0	-0.692984	0	-0.0676728	0	-1.231454	0	-1.855392	0	-1.593469	0	-4.061253	0	-4.285314	0	-1.62656	0	-1.10505	0	-0.0676728	0	2.695052	2.360923	-0.5016679	-1.578158	-0.9153967	-0.9117336	-3.827393	-1.282436	0.3025437	-0.8562106	-0.8105097	-0.6994955	-2.32582	0.4185497	-0.763541	-1.309501	-0.3883239	-0.8933772	-1.791605	0.8106203						
TianlinLiu	20180411	d17ca4a42_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151102092	299			7	300	1	534	156	283	283	-0.9083824	0	-4.745529	0	-0.3609703	0	0.02668681	0	-1.074345	0	-1.638525	0	-1.828928	0	-3.79203	0	-4.034643	0	-1.164366	0	-0.9083824	0	0.02668681	0	2.193839	2.097642	-0.5550217	-1.712378	-1.11456	-0.9578022	-3.771392	-1.197127	0.1663477	-1.005621	-1.027587	-1.023423	-2.300745	0.3709132	-0.4761775	-1.516637	0.001579635	-0.5300254	-1.861091	-0.3760651						
TianlinLiu	20180411	d17ca4a42_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151102126	333			8	333	1	533	154	282	282	-1.088358	0	-4.708669	0	0.4148705	0	-0.1559285	0	-1.534776	0	-1.951333	0	-2.419928	0	-4.037275	0	-4.384379	0	-1.426488	0	-1.088358	0	-0.1559285	0	1.909543	1.913389	-0.792338	-1.303725	-1.465971	-1.048124	-4.257289	-1.431446	-0.1105059	-1.15389	-1.019369	-0.9412835	-2.427484	0.07026518	-0.1720176	-1.304839	0.1499412	0.02556077	-1.972038	-1.303667						
TianlinLiu	20180411	d17ca4a42_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151102159	366			9	367	1	529	151	287	287	-0.794403	0	-4.547165	0	0.2531874	0	-0.2510664	0	-1.275312	0	-1.845693	0	-2.765881	0	-3.790591	0	-3.916454	0	-1.006824	0	-0.794403	0	-0.2510664	0	1.687055	1.778625	-0.8790455	-1.109612	-1.228382	-0.9381663	-4.419013	-1.317712	-0.1518378	-1.047049	-1.179424	-1.126559	-2.612189	0.09464394	-0.3139327	-1.57247	0.09165327	-0.1726362	-1.826039	-1.367765						
